latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
28.67500,77.07500,Faridabad,3,0.19300,238975.00000,0.78780,477207.00000,0.78950,587766.00000,0.79130,762146.00000,-8.86900,0.55800,-8.65100,0.64500,-8.72000,0.78900,-8.43400,0.70500,-8.66500,0.51100,-8.55600,0.44500,-9.02900,0.29600,-8.81000,0.91400,-10.29500,0.55800,-9.78300,0.66500,-9.87800,0.49900,-9.87200,0.65700,-9.06600,0.82100,-9.65500,0.65100,-9.22700,0.96100,-9.32100,0.64400,-9.33000,0.50500,-8.73300,0.70400,-9.06900,0.76200,-7.12200,0.50900,-6.60200,0.64900,-6.80300,0.71900,-5.73000,0.76900,-6.21800,0.66200,-6.28300,0.64100,-6.17300,0.64300,-6.43300,0.53000,-6.01900,0.75400,-5.76000,0.80300,-5.96800,0.48000,-5.44200,0.79600,-5.72100,0.53800,-5.56800,0.66300,0,-9999.00000,-9999.00000,-9999.00000,27082004,3.59000,1.57000
28.67500,77.12500,Faridabad,3,0.54420,575802.00000,0.84790,537200.00000,0.84800,666042.00000,0.84890,873025.00000,-8.63900,0.56500,-8.44600,0.59700,-8.50800,0.78700,-8.27800,0.67700,-8.49900,0.48900,-8.31500,0.43200,-8.72800,0.22900,-8.56100,0.89500,-9.93500,0.57500,-9.45400,0.68200,-9.56700,0.47300,-9.51100,0.64400,-8.66700,0.85800,-9.29700,0.63900,-8.86900,0.95200,-8.98400,0.62500,-8.99600,0.50200,-8.39700,0.71800,-8.65400,0.71600,-6.59400,0.47500,-6.13000,0.54600,-6.28600,0.58700,-5.36200,0.73000,-5.77200,0.55600,-5.83500,0.61200,-5.70700,0.52500,-5.97500,0.48100,-5.64300,0.68100,-5.31500,0.79600,-5.58700,0.41800,-5.12000,0.73300,-5.34800,0.55900,-5.30700,0.60600,0,-9999.00000,-9999.00000,-9999.00000,27082004,4.19000,1.69000
28.67500,77.17500,Faridabad,3,0.73290,738138.00000,0.82380,585108.00000,0.82380,689454.00000,0.82380,855558.00000,-8.59500,0.56100,-8.39700,0.59000,-8.46500,0.78000,-8.24000,0.66100,-8.47400,0.47900,-8.25900,0.43500,-8.66300,0.22000,-8.50200,0.88100,-9.63600,0.58100,-9.24100,0.70100,-9.35400,0.46700,-9.26200,0.65700,-8.39600,0.88100,-9.07100,0.60700,-8.64500,0.93800,-8.75900,0.60900,-8.77900,0.48900,-8.18900,0.72800,-8.39400,0.68200,-6.39600,0.44600,-5.96900,0.54200,-6.08400,0.59100,-5.19500,0.75000,-5.55500,0.55900,-5.63300,0.59600,-5.51100,0.49500,-5.76000,0.45800,-5.46300,0.64300,-5.13700,0.76700,-5.42300,0.39600,-4.90700,0.74100,-5.11900,0.58400,-5.11500,0.60300,0,-9999.00000,-9999.00000,-9999.00000,27082004,4.40000,1.70000
28.67500,77.22500,Faridabad,3,0.46750,408390.00000,0.53960,448391.00000,0.55300,503852.00000,0.56850,564460.00000,-8.52200,0.55000,-8.29800,0.56100,-8.38900,0.75600,-8.19100,0.61600,-8.44200,0.45200,-8.15500,0.43100,-8.54500,0.19900,-8.38900,0.84500,-9.49500,0.58200,-9.18700,0.71900,-9.28700,0.48500,-9.20600,0.69700,-8.29700,0.88100,-9.00300,0.61000,-8.58500,0.89600,-8.67000,0.61300,-8.70900,0.49300,-8.13300,0.72900,-8.30000,0.65500,-6.33600,0.43500,-5.91700,0.55600,-6.00100,0.59800,-5.11600,0.78000,-5.44100,0.57000,-5.55800,0.59100,-5.42600,0.50200,-5.66100,0.46600,-5.38000,0.63300,-5.04600,0.77200,-5.30700,0.42900,-4.79100,0.74300,-4.99400,0.58400,-5.01100,0.61600,0,-9999.00000,-9999.00000,-9999.00000,27082004,6.53000,2.25000
28.67500,77.27500,Faridabad,3,0.62120,652084.00000,0.90380,810594.00000,0.90660,1028108.00000,0.92520,1365342.00000,-8.54400,0.54000,-8.30800,0.55400,-8.40400,0.74200,-8.23100,0.59300,-8.48000,0.42900,-8.16100,0.41900,-8.55600,0.20100,-8.38300,0.81000,-9.56100,0.57500,-9.34800,0.71900,-9.43700,0.49900,-9.36200,0.73300,-8.42800,0.87800,-9.16700,0.62900,-8.75300,0.85300,-8.79500,0.63700,-8.85500,0.50500,-8.30700,0.73700,-8.45800,0.64100,-6.38600,0.43500,-5.98000,0.56800,-6.02900,0.61600,-5.12600,0.81100,-5.42300,0.57600,-5.57900,0.58500,-5.41700,0.52100,-5.64500,0.48900,-5.35600,0.63700,-5.02500,0.77800,-5.24800,0.47700,-4.76800,0.75500,-4.93300,0.58500,-4.96500,0.63100,0,-9999.00000,-9999.00000,-9999.00000,27082004,2.01000,1.24000
28.67500,77.32500,Faridabad,3,0.50820,374097.00000,0.88140,512969.00000,0.88260,668784.00000,0.90720,921538.00000,-8.58700,0.52300,-8.33300,0.54400,-8.43600,0.72300,-8.30000,0.55900,-8.55000,0.39300,-8.17900,0.40000,-8.58200,0.20500,-8.38100,0.75700,-9.72900,0.56600,-9.60100,0.69900,-9.70300,0.50300,-9.61000,0.75700,-8.68300,0.86500,-9.43200,0.64500,-9.02500,0.81100,-9.01200,0.64900,-9.11300,0.50600,-8.57400,0.73400,-8.71900,0.64500,-6.63000,0.47300,-6.21100,0.60100,-6.25300,0.66000,-5.31700,0.87500,-5.59900,0.59300,-5.79300,0.58500,-5.61400,0.55500,-5.82900,0.53800,-5.48900,0.67700,-5.20200,0.78600,-5.37200,0.48900,-4.90700,0.81500,-5.04300,0.60300,-5.07900,0.67300,0,-9999.00000,-9999.00000,-9999.00000,27082004,3.29000,1.39000
28.67500,77.37500,Faridabad,3,0.30860,121318.00000,0.67820,194904.00000,0.68670,271086.00000,0.75900,449420.00000,-8.67100,0.50700,-8.40900,0.54800,-8.50000,0.71500,-8.39400,0.53900,-8.64600,0.36500,-8.23900,0.39200,-8.64900,0.22700,-8.42800,0.70900,-9.97600,0.54700,-9.92100,0.65300,-10.05100,0.50500,-9.93100,0.75100,-9.05900,0.81800,-9.77100,0.63800,-9.36600,0.76700,-9.30900,0.64200,-9.44500,0.49900,-8.91200,0.70900,-9.07200,0.64800,-7.06000,0.51100,-6.63900,0.63000,-6.69500,0.73500,-5.71900,1.00000,-5.93400,0.59900,-6.15900,0.60200,-5.97000,0.55700,-6.19400,0.56300,-5.73300,0.71700,-5.48900,0.72900,-5.59600,0.50200,-5.14000,0.87500,-5.27600,0.65500,-5.30900,0.69900,0,-9999.00000,-9999.00000,-9999.00000,27082004,4.52000,1.65000
28.67500,77.42500,Faridabad,3,0.27590,173049.00000,0.57000,234603.00000,0.58580,333615.00000,0.63580,524783.00000,-8.76000,0.49300,-8.48600,0.55300,-8.56600,0.70600,-8.49100,0.52100,-8.74200,0.33900,-8.30000,0.38400,-8.71900,0.25200,-8.47500,0.66300,-10.28400,0.51600,-10.28400,0.57200,-10.45100,0.49400,-10.28700,0.69800,-9.52600,0.73200,-10.17000,0.60800,-9.75900,0.71000,-9.69300,0.60700,-9.86100,0.46500,-9.35100,0.64700,-9.52800,0.63400,-7.80700,0.51600,-7.34600,0.59300,-7.47200,0.73300,-6.44700,1.09600,-6.56900,0.55200,-6.81000,0.62900,-6.64700,0.54800,-6.89300,0.58000,-6.28000,0.75000,-6.07100,0.66200,-6.12100,0.50200,-5.70400,0.95400,-5.84500,0.75500,-5.86500,0.69300,0,-9999.00000,-9999.00000,-9999.00000,27082004,3.92000,1.63000
28.67500,77.47500,Faridabad,3,0.15000,57400.00000,0.41050,134474.00000,0.44080,204635.00000,0.49500,346096.00000,-8.88600,0.47300,-8.60100,0.56500,-8.65800,0.67900,-8.61800,0.50800,-8.84500,0.33500,-8.39300,0.37700,-8.81500,0.28400,-8.56800,0.62300,-10.60000,0.46800,-10.59400,0.48100,-10.81700,0.46600,-10.59400,0.62300,-9.97800,0.61000,-10.54400,0.54200,-10.11700,0.63700,-10.08600,0.54000,-10.26100,0.42700,-9.81100,0.55700,-10.00700,0.60400,-8.39800,0.44700,-8.00200,0.52700,-8.07200,0.68600,-7.11800,1.02700,-7.24600,0.48100,-7.48000,0.65600,-7.38000,0.55600,-7.66800,0.60200,-6.98700,0.73900,-6.79700,0.61500,-6.83200,0.49100,-6.55000,1.00200,-6.61100,0.79700,-6.60000,0.64900,0,-9999.00000,-9999.00000,-9999.00000,27082004,4.21000,1.55000
28.67500,77.52500,Faridabad,2,0.01170,5242.00000,0.06050,12203.00000,0.09430,26098.00000,0.14850,58692.00000,-8.97500,0.46100,-8.68200,0.57300,-8.72500,0.66100,-8.70500,0.50200,-8.91700,0.33500,-8.45900,0.37400,-8.88300,0.30800,-8.63500,0.59800,-10.87500,0.41900,-10.82200,0.41800,-11.09700,0.43600,-10.83900,0.54300,-10.36300,0.46000,-10.86000,0.47600,-10.41900,0.57500,-10.44300,0.46200,-10.58700,0.41800,-10.21600,0.47000,-10.42300,0.55100,-8.72500,0.37800,-8.47600,0.49000,-8.46700,0.65100,-7.60100,0.97600,-7.80200,0.44400,-8.05400,0.69600,-7.99200,0.56300,-8.32500,0.60300,-7.65700,0.71300,-7.49500,0.56400,-7.51600,0.46000,-7.30800,0.96700,-7.34700,0.73000,-7.31300,0.60000,0,-9999.00000,-9999.00000,-9999.00000,27082004,5.19000,2.12000
