latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.32500,-5.27500,Fez,0,0.00000,0.00000,0.00000,6.00000,0.00010,48.00000,0.00040,428.00000,-12.96500,0.59000,-12.60800,0.63500,-12.43400,0.64000,-12.33500,0.37700,-12.02600,0.59100,-12.32000,0.24500,-12.64100,0.13700,-12.55200,0.12100,-13.72100,0.17800,-13.96400,0.15600,-13.73800,0.16400,-13.60900,0.16700,-13.48300,0.25900,-13.34800,0.17000,-13.46000,0.24400,-13.84200,0.18600,-13.83400,0.28700,-13.61900,0.35000,-13.45700,0.27600,-12.87100,0.27300,-12.72100,0.81100,-12.13500,0.67100,-12.11100,0.38600,-12.38100,0.14400,-12.18800,0.89300,-11.98100,0.43900,-12.34600,0.35400,-12.48000,0.37300,-12.88800,0.20400,-12.74000,0.24600,-11.84800,0.29300,-11.62100,0.23300,-12.05200,0.25600,0,-9999,-9999,-9999,25522224,1.30000,0.91000
34.32500,-5.22500,Fez,0,0.00030,680.00000,0.00050,321.00000,0.00060,331.00000,0.00080,239.00000,-12.96400,0.60400,-12.61700,0.65400,-12.41800,0.61200,-12.31600,0.38300,-12.03100,0.57600,-12.31300,0.23900,-12.65300,0.13000,-12.55700,0.12100,-13.73100,0.17900,-13.97700,0.14000,-13.74300,0.16400,-13.62700,0.19500,-13.46100,0.27700,-13.35100,0.16400,-13.51700,0.23200,-13.81400,0.18900,-13.84500,0.30300,-13.63900,0.38000,-13.47800,0.27400,-12.82500,0.32800,-12.63400,0.82400,-12.13600,0.66600,-12.08800,0.38500,-12.32700,0.15500,-12.14600,0.89900,-11.94800,0.40900,-12.30500,0.35600,-12.40100,0.36800,-12.82500,0.21200,-12.67300,0.23700,-11.73500,0.30600,-11.55900,0.21900,-11.95700,0.22800,0,-9999,-9999,-9999,25522224,1.92000,1.09000
34.32500,-5.17500,Fez,0,0.00150,581.00000,0.00180,431.00000,0.00190,459.00000,0.00290,584.00000,-12.86800,0.66700,-12.64200,0.74800,-12.30900,0.52300,-12.24400,0.40700,-12.01100,0.54300,-12.27100,0.22900,-12.66400,0.10800,-12.52900,0.13100,-13.71000,0.18500,-13.94000,0.15500,-13.70300,0.18200,-13.57700,0.22000,-13.41300,0.27700,-13.29400,0.16100,-13.53300,0.23200,-13.74500,0.19500,-13.82300,0.32000,-13.60900,0.42200,-13.43700,0.27500,-12.78500,0.36300,-12.56800,0.83700,-12.10300,0.66500,-12.06300,0.38900,-12.26900,0.15700,-12.10900,0.89600,-11.91900,0.33500,-12.23900,0.36100,-12.30400,0.34700,-12.77400,0.21300,-12.61400,0.22400,-11.64600,0.32500,-11.51100,0.20300,-11.90300,0.22600,0,-9999,-9999,-9999,25522224,1.37000,0.90000
34.32500,-5.12500,Fez,0,0.00050,2709.00000,0.00050,1334.00000,0.00060,1352.00000,0.00150,1245.00000,-12.86500,0.70000,-12.66300,0.77600,-12.28500,0.49600,-12.23900,0.41800,-12.01100,0.52200,-12.27300,0.22200,-12.67000,0.10100,-12.52600,0.13400,-13.65600,0.19200,-13.84600,0.18100,-13.62600,0.20300,-13.47700,0.23000,-13.32700,0.26600,-13.20000,0.14900,-13.51000,0.25200,-13.65200,0.20200,-13.76000,0.33000,-13.53700,0.46000,-13.34200,0.28500,-12.73600,0.37500,-12.50900,0.83300,-12.02100,0.69900,-12.00200,0.38900,-12.19400,0.15500,-12.07100,0.87900,-11.85800,0.28300,-12.15500,0.35600,-12.22300,0.31900,-12.67600,0.21200,-12.51400,0.20400,-11.56800,0.32600,-11.48200,0.18600,-11.84600,0.22500,0,-9999,-9999,-9999,25522224,1.02000,0.76000
34.32500,-5.07500,Fez,0,0.00010,568.00000,0.00250,1480.00000,0.00320,1895.00000,0.00350,1226.00000,-12.89500,0.65100,-12.70100,0.85700,-12.20900,0.41700,-12.20900,0.43100,-11.98200,0.51300,-12.24900,0.21900,-12.66700,0.09300,-12.49500,0.14600,-13.59300,0.20400,-13.72500,0.19100,-13.52400,0.23400,-13.37100,0.23500,-13.24000,0.25600,-13.07600,0.14700,-13.45800,0.26300,-13.56600,0.21500,-13.68000,0.33200,-13.44400,0.47700,-13.22700,0.30300,-12.66400,0.36100,-12.39300,0.78900,-11.88500,0.72100,-11.88300,0.36900,-12.08000,0.18500,-11.99900,0.84500,-11.72400,0.25500,-12.01200,0.31500,-12.11100,0.26300,-12.48100,0.19800,-12.33700,0.19300,-11.47200,0.33400,-11.45900,0.17100,-11.78200,0.21300,0,-9999,-9999,-9999,25522224,1.22000,0.75000
34.32500,-5.02500,Fez,0,0.00010,1276.00000,0.00010,239.00000,0.00010,197.00000,0.00050,220.00000,-12.94300,0.63800,-12.73100,0.88300,-12.19700,0.38700,-12.22400,0.43900,-11.98400,0.49800,-12.26300,0.21800,-12.68200,0.08900,-12.50200,0.15100,-13.53100,0.22800,-13.60000,0.19500,-13.40500,0.27000,-13.26000,0.24200,-13.15400,0.25400,-12.93500,0.15100,-13.37900,0.26300,-13.46800,0.22800,-13.57700,0.34100,-13.35300,0.47900,-13.12400,0.32400,-12.56200,0.31700,-12.27600,0.74200,-11.73700,0.72000,-11.74900,0.34700,-11.95600,0.18100,-11.92800,0.81300,-11.57900,0.22200,-11.85800,0.24000,-11.98900,0.20500,-12.32800,0.18000,-12.10200,0.16600,-11.35900,0.34700,-11.43300,0.16700,-11.73100,0.20000,0,-9999,-9999,-9999,25522224,1.15000,0.76000
34.32500,-4.97500,Fez,0,0.00010,499.00000,0.00010,0.00000,0.00020,0.00000,0.00150,118.00000,-12.92600,0.61600,-12.76300,0.92300,-12.14200,0.32900,-12.22400,0.45200,-11.97600,0.46100,-12.26600,0.21800,-12.68100,0.09700,-12.49600,0.17300,-13.48300,0.24700,-13.50300,0.20700,-13.30900,0.29900,-13.15500,0.24000,-13.07900,0.25600,-12.81600,0.16300,-13.30300,0.24900,-13.37900,0.24300,-13.47900,0.34800,-13.27400,0.46600,-13.04400,0.34900,-12.45500,0.31800,-12.20900,0.73100,-11.65200,0.73000,-11.66800,0.33800,-11.88200,0.15900,-11.88500,0.79800,-11.49000,0.20700,-11.74100,0.17600,-11.89300,0.17600,-12.25300,0.16900,-11.94800,0.16800,-11.24500,0.38700,-11.41500,0.14500,-11.69300,0.18600,0,-9999,-9999,-9999,25522224,1.44000,0.75000
34.32500,-4.92500,Fez,0,0.00000,7.00000,0.00000,61.00000,0.00010,230.00000,0.00300,908.00000,-12.95700,0.61000,-12.79900,0.93600,-12.14000,0.30000,-12.25600,0.46200,-11.99200,0.43500,-12.29700,0.21900,-12.70800,0.10000,-12.52100,0.18400,-13.47100,0.24900,-13.44500,0.21900,-13.25400,0.31500,-13.05900,0.23300,-13.03400,0.26600,-12.74700,0.18800,-13.24200,0.24300,-13.32300,0.25800,-13.39300,0.33300,-13.20200,0.46200,-13.01800,0.37200,-12.39000,0.34600,-12.17800,0.73800,-11.62400,0.73300,-11.63900,0.33700,-11.85400,0.15100,-11.86500,0.79400,-11.44900,0.20900,-11.67700,0.14100,-11.83100,0.17200,-12.23100,0.15500,-11.87900,0.21900,-11.18600,0.41500,-11.42700,0.13300,-11.67600,0.17600,0,-9999,-9999,-9999,25522224,1.12000,0.69000
34.32500,-4.87500,Fez,0,0.00000,131.00000,0.00000,76.00000,0.00010,90.00000,0.00050,41.00000,-12.89400,0.57600,-12.83900,0.96100,-12.11600,0.24600,-12.26600,0.48200,-11.97500,0.42000,-12.30500,0.22000,-12.70900,0.11100,-12.52500,0.20400,-13.49200,0.24400,-13.44000,0.22600,-13.25200,0.31500,-13.00600,0.22500,-13.03700,0.26500,-12.74300,0.20500,-13.21600,0.25300,-13.32000,0.27800,-13.35000,0.32600,-13.17900,0.46500,-13.06200,0.40400,-12.37500,0.36000,-12.17400,0.75000,-11.62500,0.72700,-11.64200,0.33700,-11.85400,0.15800,-11.86200,0.79700,-11.43200,0.22100,-11.66500,0.11200,-11.79500,0.17100,-12.24300,0.14300,-11.86000,0.27700,-11.19700,0.44000,-11.47600,0.12800,-11.69000,0.17300,0,-9999,-9999,-9999,25522224,1.05000,0.69000
34.32500,-4.82500,Fez,0,0.00000,7351.00000,0.00020,2303.00000,0.00030,2990.00000,0.00170,1014.00000,-12.84000,0.55300,-12.85500,0.97900,-12.09300,0.21600,-12.25800,0.49200,-11.95900,0.41800,-12.29700,0.22000,-12.70200,0.11800,-12.51800,0.21600,-13.54100,0.22100,-13.48700,0.22200,-13.28400,0.29900,-12.99200,0.22400,-13.06200,0.24800,-12.80000,0.22000,-13.21800,0.26600,-13.35500,0.30000,-13.34500,0.33100,-13.19900,0.44700,-13.13300,0.43600,-12.37300,0.36800,-12.17900,0.76200,-11.66100,0.71300,-11.66600,0.33900,-11.87500,0.17800,-11.86900,0.80200,-11.42400,0.23800,-11.67800,0.10200,-11.74100,0.21700,-12.29400,0.13700,-11.86600,0.36100,-11.24700,0.50500,-11.56200,0.14600,-11.72800,0.18800,0,-9999,-9999,-9999,25522224,1.43000,0.71000
34.32500,-4.77500,Fez,1,0.00000,35.00000,0.00000,434.00000,0.00030,816.00000,0.00770,11850.00000,-12.60600,0.56900,-12.80500,1.01300,-12.02000,0.19900,-12.17900,0.51600,-11.86900,0.43500,-12.21100,0.21700,-12.61100,0.14600,-12.42500,0.23600,-13.59600,0.18800,-13.55100,0.21600,-13.33500,0.26200,-12.99900,0.23200,-13.09500,0.22800,-12.89100,0.23900,-13.22800,0.27100,-13.39900,0.30600,-13.36200,0.33700,-13.23500,0.42100,-13.19600,0.44200,-12.37800,0.36900,-12.20100,0.77400,-11.73000,0.64600,-11.69300,0.35600,-11.90000,0.20400,-11.89500,0.80600,-11.42500,0.26200,-11.71700,0.12000,-11.70000,0.27400,-12.35400,0.14300,-11.89400,0.42000,-11.32500,0.57000,-11.65100,0.17400,-11.77700,0.20600,0,-9999,-9999,-9999,25522224,1.15000,0.62000
34.27500,-5.27500,Fez,1,0.00140,1989.00000,0.00190,1576.00000,0.00220,1634.00000,0.00260,1750.00000,-12.99700,0.61900,-12.60100,0.61100,-12.44900,0.69900,-12.37700,0.38400,-11.98600,0.59700,-12.34000,0.22000,-12.55000,0.15700,-12.48700,0.12000,-13.66500,0.19900,-13.88700,0.15000,-13.77700,0.19500,-13.56600,0.19700,-13.50700,0.25600,-13.38200,0.15100,-13.46100,0.24700,-13.80600,0.17500,-13.77900,0.29800,-13.58300,0.32100,-13.43900,0.27200,-12.84000,0.28900,-12.74200,0.80600,-12.16100,0.66800,-12.06400,0.43200,-12.41100,0.14800,-12.23100,0.86400,-12.09100,0.40200,-12.39300,0.34000,-12.52200,0.36700,-12.95600,0.16200,-12.82200,0.24100,-11.93000,0.30300,-11.65300,0.23400,-12.35200,0.25700,0,-9999,-9999,-9999,25537144,1.95000,1.20000
