latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-27.32500,-48.77500,Florianopolis,0,0.00030,131.00000,0.00090,254.00000,0.00130,295.00000,0.00150,343.00000,-8.22200,0.17600,-8.07600,0.12600,-8.20000,0.19500,-8.20800,0.09000,-8.34700,0.25900,-8.15100,0.14700,-8.15400,0.16100,-8.43900,0.39200,-9999.00000,-9999.00000,-9.55000,0.21000,-9.40600,0.16600,-9.43600,0.20300,-9.44000,0.15500,-9.49400,0.17900,-9.38700,0.15000,-9.49600,0.15000,-9.51700,0.18700,-9.43800,0.19900,-9.33500,0.20400,-8.07100,0.21900,-7.90500,0.23500,-8.01300,0.21000,-7.97000,0.23600,-7.91400,0.21300,-8.09900,0.24400,-8.29800,1.16500,-8.02200,0.26600,-8.00900,0.18500,-7.84000,0.24200,-7.95100,0.17200,-7.98400,0.21300,-8.01300,0.21000,-8.01400,0.23700,0,-9999,-9999,-9999,27416264,68.04000,6.76000
-27.32500,-48.72500,Florianopolis,0,0.00090,367.00000,0.00190,666.00000,0.00210,930.00000,0.00310,1430.00000,-8.75200,0.19500,-8.58100,0.14500,-8.78000,0.22600,-8.84100,0.09500,-9.05500,0.32000,-8.78700,0.18400,-8.83900,0.18400,-9.14800,0.44400,-9999.00000,-9999.00000,-10.00300,0.22500,-9.83300,0.15100,-9.83900,0.21500,-9.85900,0.16000,-9.90100,0.16800,-9.81900,0.16300,-9.90000,0.17700,-9.95500,0.17200,-9.86100,0.20800,-9.76100,0.22000,-8.32800,0.25000,-8.13400,0.26800,-8.24900,0.19600,-8.24600,0.23200,-8.19300,0.26400,-8.37300,0.27300,-8.54700,1.24500,-8.34200,0.28300,-8.26000,0.23000,-8.12200,0.26700,-8.22000,0.21000,-8.25800,0.26400,-8.26900,0.25000,-8.27100,0.27700,0,-9999,-9999,-9999,27416264,59.76000,7.23000
-27.32500,-48.67500,Florianopolis,0,0.00080,87.00000,0.00240,175.00000,0.00540,290.00000,0.00870,437.00000,-8.92900,0.19700,-8.77600,0.15600,-8.95500,0.22800,-9.03400,0.10000,-9.26500,0.33000,-8.97800,0.19300,-9.02800,0.18600,-9.34500,0.44700,-9999.00000,-9999.00000,-10.69900,0.21600,-10.53300,0.14700,-10.47900,0.22400,-10.53900,0.17200,-10.57000,0.16100,-10.49500,0.18200,-10.58900,0.19900,-10.65500,0.18300,-10.55500,0.19900,-10.44700,0.23800,-8.94600,0.34700,-8.72300,0.29500,-8.82100,0.24200,-8.91400,0.29700,-8.86400,0.33600,-8.94800,0.30800,-9.15300,1.30500,-8.89400,0.33200,-8.79300,0.28300,-8.71800,0.37100,-8.73100,0.31400,-8.86100,0.32200,-8.88500,0.28700,-8.84700,0.29800,0,-9999,-9999,-9999,27416264,50.86000,7.56000
-27.32500,-48.62500,Florianopolis,1,0.00450,162.00000,0.01220,285.00000,0.01520,326.00000,0.01860,400.00000,-9.71300,0.20200,-9.64800,0.20000,-9.73700,0.23800,-9.89900,0.11600,-10.22000,0.38300,-9.83400,0.23400,-9.88300,0.20500,-10.23800,0.46100,-9999.00000,-9999.00000,-11.65500,0.23900,-11.53600,0.20300,-11.42100,0.25300,-11.46100,0.19200,-11.52500,0.17600,-11.43700,0.19900,-11.54300,0.19900,-11.62300,0.20800,-11.50600,0.21700,-11.41200,0.24400,-9.89300,0.38100,-9.57800,0.34000,-9.76000,0.34900,-9.80500,0.36400,-9.75900,0.40600,-9.79700,0.39500,-10.05600,1.35800,-9.83000,0.35500,-9.79800,0.34100,-9.65600,0.40400,-9.70600,0.35500,-9.80700,0.43400,-9.82800,0.26100,-9.76000,0.33500,24,-9999,-9999,-9999,27416264,35.83000,7.55000
-27.32500,-48.57500,Florianopolis,1,0.01600,2852.00000,0.02850,4125.00000,0.03010,4871.00000,0.03150,5691.00000,-9.71200,0.20100,-9.64900,0.20100,-9.73700,0.23600,-9.89400,0.11600,-10.21200,0.38200,-9.83000,0.23400,-9.87800,0.20300,-10.23100,0.46100,-9999.00000,-9999.00000,-12.86200,0.29800,-12.80100,0.22200,-12.66700,0.31300,-12.69500,0.23100,-12.74500,0.23100,-12.67600,0.26200,-12.78600,0.22800,-12.81400,0.21500,-12.68700,0.23700,-12.63100,0.27000,-11.19700,0.47100,-10.88000,0.48100,-11.11000,0.43600,-11.01900,0.39700,-11.03200,0.43800,-11.11600,0.43100,-11.22700,1.30200,-11.09300,0.42500,-11.08200,0.44000,-10.87600,0.44600,-10.94900,0.36100,-11.01700,0.48300,-10.97900,0.32000,-10.97100,0.39800,46,-9999,-9999,-9999,27416264,41.63000,7.98000
-27.32500,-48.52500,Florianopolis,1,0.02490,1123.00000,0.04870,1684.00000,0.05200,1987.00000,0.05370,2247.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-13.58200,0.34800,-13.55500,0.22700,-13.41400,0.34200,-13.43400,0.25900,-13.48600,0.27300,-13.43600,0.30200,-13.53000,0.24800,-13.52000,0.21000,-13.38000,0.25800,-13.35600,0.29800,-11.97400,0.52300,-11.75600,0.52100,-11.96000,0.47400,-11.85700,0.43600,-11.82400,0.44300,-11.99900,0.42300,-12.07800,1.29800,-11.89800,0.43600,-11.86000,0.46400,-11.62600,0.46300,-11.66100,0.37300,-11.80200,0.52000,-11.72300,0.38200,-11.71900,0.42800,89,-9999,-9999,-9999,27416264,25.71000,7.72000
-27.32500,-48.47500,Florianopolis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,27416264,-9999.00000,-9999.00000
-27.32500,-48.42500,Florianopolis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,27416264,-9999.00000,-9999.00000
-27.32500,-48.37500,Florianopolis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,97,-9999,-9999,-9999,27416264,20.22000,6.15000
-27.32500,-48.32500,Florianopolis,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,27416264,56.96000,4.79000
