latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
50.32500,8.42500,Frankfurt,1,0.01720,1625.00000,0.03190,1688.00000,0.03350,1786.00000,0.03680,1706.00000,-8.52100,0.61700,-8.75400,0.43900,-8.86400,0.30500,-9.04700,0.35000,-9.40500,0.35700,-8.69100,0.30600,-9.01500,0.32200,-8.66800,0.18100,-11.67000,0.22700,-11.29900,0.32000,-11.48600,0.28000,-11.41900,0.26400,-11.61500,0.31700,-11.38900,0.30400,-11.47900,0.30500,-11.29400,0.23800,-11.37800,0.28500,-11.46500,0.22300,-11.30500,0.27400,-8.96500,0.28600,-9.19600,0.23100,-8.91900,0.25400,-8.88700,0.24400,-8.80600,0.25300,-9.08000,0.27500,-9.09900,0.30100,-8.69500,0.19700,-9.20600,0.27100,-8.85600,0.29700,-8.81000,0.26800,-9.16200,0.32900,-9.05100,0.34500,-9.14400,0.30000,0,0.00830,3.42980,0.50910,19803020,38.71000,6.10000
50.32500,8.47500,Frankfurt,1,0.02520,3214.00000,0.04750,3345.00000,0.05730,3488.00000,0.06700,4132.00000,-8.72600,0.80900,-8.72200,0.41900,-8.81900,0.30300,-8.96900,0.37900,-9.34900,0.33900,-8.63700,0.30900,-8.99000,0.30300,-8.64400,0.16400,-11.46600,0.20400,-11.08300,0.31700,-11.26300,0.25800,-11.17600,0.25600,-11.38700,0.31200,-11.17500,0.29900,-11.24800,0.30100,-11.08300,0.22700,-11.12800,0.27500,-11.24500,0.22300,-11.06300,0.26100,-8.92200,0.30200,-9.16300,0.23100,-8.88800,0.26900,-8.84400,0.25100,-8.76200,0.25200,-9.03300,0.28500,-9.01900,0.29400,-8.66200,0.20100,-9.15200,0.28700,-8.81500,0.28600,-8.74100,0.25700,-9.11600,0.32900,-8.97600,0.33900,-9.03900,0.33900,0,0.00890,2.98610,0.53020,19803020,33.24000,6.16000
50.32500,8.52500,Frankfurt,2,0.07070,10993.00000,0.12230,12990.00000,0.14090,14954.00000,0.15700,15552.00000,-8.73800,0.83800,-8.66700,0.39300,-8.75400,0.29700,-8.89200,0.38600,-9.27500,0.32800,-8.57200,0.30700,-8.92600,0.29700,-8.58600,0.16000,-11.28800,0.19600,-10.89200,0.31900,-11.07100,0.24800,-10.96900,0.24800,-11.18600,0.30800,-10.97600,0.29500,-11.03900,0.29100,-10.89000,0.22000,-10.90800,0.26800,-11.04200,0.23000,-10.85200,0.24900,-8.88000,0.31500,-9.12900,0.23200,-8.85100,0.27700,-8.79900,0.25500,-8.71700,0.25400,-8.98500,0.29500,-8.94500,0.29400,-8.61900,0.20800,-9.09500,0.30200,-8.77000,0.28200,-8.67000,0.25900,-9.07300,0.32400,-8.89500,0.33800,-8.95000,0.37000,0,0.03320,5.27810,2.31960,19803020,22.10000,4.97000
50.32500,8.57500,Frankfurt,1,0.05800,4010.00000,0.08980,3997.00000,0.09680,4253.00000,0.10440,4395.00000,-8.67300,0.79900,-8.61800,0.37000,-8.69700,0.29100,-8.83400,0.38200,-9.21200,0.32300,-8.51800,0.30500,-8.86100,0.29800,-8.52700,0.16100,-11.09000,0.21300,-10.68600,0.33600,-10.87400,0.25100,-10.76000,0.23700,-10.99700,0.29000,-10.77700,0.28500,-10.82200,0.26600,-10.71000,0.21400,-10.68200,0.25900,-10.83900,0.25100,-10.64600,0.23100,-8.84900,0.32300,-9.11600,0.23100,-8.83200,0.28500,-8.79800,0.26500,-8.68900,0.27200,-8.94700,0.31400,-8.89700,0.31000,-8.58200,0.23100,-9.05000,0.31900,-8.75700,0.27800,-8.61100,0.27000,-9.08700,0.31300,-8.82700,0.34300,-8.95500,0.36600,0,0.01320,3.53420,0.90020,19803020,38.39000,5.68000
50.32500,8.62500,Frankfurt,1,0.01560,2082.00000,0.02800,2963.00000,0.02890,3133.00000,0.02970,3063.00000,-8.93500,0.97000,-8.63400,0.34500,-8.67700,0.29600,-8.74500,0.39300,-9.19600,0.29000,-8.49600,0.31000,-8.86300,0.28700,-8.57900,0.13600,-10.90100,0.24000,-10.48700,0.36300,-10.69900,0.25300,-10.60100,0.24900,-10.86100,0.27100,-10.62100,0.27800,-10.63200,0.25500,-10.58500,0.20100,-10.50300,0.25000,-10.67100,0.25700,-10.49400,0.22600,-8.75700,0.36500,-9.05600,0.24400,-8.81300,0.30200,-8.74400,0.31000,-8.63600,0.31700,-8.87700,0.31500,-8.79000,0.33500,-8.52800,0.25400,-8.97800,0.32900,-8.71300,0.28300,-8.51800,0.30100,-9.10600,0.32400,-8.79700,0.38000,-8.90800,0.33100,0,0.00910,3.08990,0.60410,19803020,48.97000,5.78000
50.32500,8.67500,Frankfurt,1,0.03680,4050.00000,0.05420,4112.00000,0.05770,4070.00000,0.06140,4038.00000,-8.90100,0.97400,-8.58600,0.31600,-8.62400,0.29000,-8.69000,0.38400,-9.13500,0.28500,-8.44500,0.30700,-8.80100,0.28900,-8.52300,0.13600,-10.82100,0.25700,-10.41000,0.37600,-10.62600,0.27100,-10.54900,0.26600,-10.83000,0.26600,-10.55100,0.28400,-10.56700,0.25900,-10.55200,0.20500,-10.44100,0.25900,-10.60500,0.27000,-10.46100,0.22600,-8.72100,0.38600,-8.99000,0.28200,-8.82600,0.30900,-8.66500,0.34500,-8.61100,0.36300,-8.81500,0.33300,-8.71000,0.35900,-8.48600,0.26600,-8.93200,0.32800,-8.66500,0.31800,-8.44000,0.30500,-9.08300,0.30700,-8.75700,0.42500,-8.86200,0.33200,0,0.00790,1.73970,0.54110,19803020,63.75000,6.88000
50.32500,8.72500,Frankfurt,1,0.09090,8912.00000,0.11870,9393.00000,0.14470,10621.00000,0.16570,11702.00000,-9.00900,1.10000,-8.60000,0.32000,-8.62500,0.29300,-8.65400,0.38200,-9.14200,0.27300,-8.45800,0.31300,-8.81500,0.29300,-8.58900,0.16600,-10.74100,0.27100,-10.32400,0.37900,-10.53600,0.28400,-10.48000,0.27300,-10.76300,0.25900,-10.46200,0.29100,-10.47400,0.26700,-10.48000,0.21800,-10.36100,0.26500,-10.52200,0.27600,-10.40000,0.22700,-8.71400,0.39400,-8.96400,0.30000,-8.83000,0.31000,-8.63400,0.35700,-8.60400,0.38300,-8.79800,0.34400,-8.67900,0.37300,-8.47100,0.27100,-8.91300,0.33000,-8.64800,0.33800,-8.41300,0.30300,-9.06800,0.31400,-8.74200,0.44800,-8.83000,0.33900,0,0.02490,4.98250,1.81870,19803020,8.75000,3.95000
50.32500,8.77500,Frankfurt,2,0.28660,18934.00000,0.32010,19456.00000,0.34030,19677.00000,0.34880,18735.00000,-9.20600,1.32000,-8.65400,0.34500,-8.66300,0.30300,-8.63400,0.37900,-9.19200,0.25800,-8.51100,0.32300,-8.87600,0.29700,-8.72800,0.21200,-10.69300,0.28800,-10.26700,0.38400,-10.47300,0.30600,-10.44400,0.28300,-10.73700,0.25000,-10.40800,0.30100,-10.41300,0.27700,-10.44600,0.23700,-10.32200,0.27500,-10.47800,0.28000,-10.38600,0.23200,-8.73500,0.40300,-8.96700,0.31300,-8.85900,0.31000,-8.63200,0.36500,-8.62500,0.39600,-8.81500,0.34400,-8.67800,0.38500,-8.48700,0.27400,-8.91800,0.34100,-8.66400,0.35100,-8.42700,0.31100,-9.08800,0.32200,-8.78300,0.45800,-8.82600,0.33900,0,0.04000,5.88580,3.27260,19803020,8.35000,3.62000
50.32500,8.82500,Frankfurt,1,0.06530,3801.00000,0.08150,4117.00000,0.09040,4459.00000,0.09640,4425.00000,-9.19500,1.33900,-8.62900,0.33000,-8.63600,0.30000,-8.60500,0.37200,-9.16000,0.25700,-8.48500,0.32100,-8.84400,0.29900,-8.69900,0.21300,-10.81300,0.29600,-10.39500,0.38700,-10.60900,0.34400,-10.59900,0.29700,-10.93000,0.25400,-10.51900,0.31200,-10.55300,0.28200,-10.61800,0.27400,-10.50300,0.28500,-10.63500,0.28200,-10.58900,0.23200,-8.82200,0.41000,-9.03100,0.34600,-9.02000,0.32300,-8.71800,0.37500,-8.74000,0.44100,-8.93300,0.35800,-8.76700,0.40100,-8.58700,0.29600,-9.04000,0.36500,-8.79000,0.34500,-8.53000,0.31100,-9.30000,0.34900,-8.95000,0.49800,-9.01800,0.40100,0,0.01290,3.91250,0.77500,19803020,9.06000,3.52000
50.32500,8.87500,Frankfurt,1,0.04960,4987.00000,0.07010,4606.00000,0.07890,4897.00000,0.08920,4932.00000,-9.38000,1.38200,-8.82100,0.50600,-8.85100,0.32700,-9.17700,1.13900,-9.38900,0.21500,-8.74100,0.34900,-9.12600,0.30700,-9.02400,0.32200,-11.03200,0.29500,-10.62200,0.36600,-10.80800,0.36200,-10.83600,0.30800,-11.20400,0.26800,-10.72300,0.35500,-10.78100,0.28900,-10.86600,0.31700,-10.75500,0.28000,-10.88200,0.29700,-10.84200,0.23600,-8.94000,0.42400,-9.17000,0.37100,-9.13600,0.30400,-8.85300,0.38100,-8.87500,0.44600,-9.08100,0.36200,-8.92900,0.39100,-8.78600,0.34800,-9.21400,0.35000,-8.95800,0.31000,-8.71300,0.31900,-9.56800,0.33200,-9.19300,0.48800,-9.22300,0.39800,0,0.01270,3.37240,0.80560,19803020,14.13000,4.33000
