latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.97500,-97.57500,FtWorth,1,0.00330,641.00000,0.01150,1018.00000,0.01430,1473.00000,0.02320,2072.00000,-12.08800,0.30800,-11.38500,0.42800,-11.45000,0.23200,-11.68600,0.62500,-11.41800,0.20300,-12.02600,0.23700,-11.78900,0.25400,-11.85400,0.33200,-13.16000,0.29000,-12.99300,0.42600,-12.55500,0.34800,-12.42400,0.39400,-12.41800,0.30500,-12.18700,0.31100,-12.73000,0.21800,-12.89600,0.33500,-11.85500,0.36700,-12.50300,0.36800,-12.19800,0.36600,-10.43300,0.45600,-11.33000,0.50700,-10.89300,0.63300,-10.73000,0.53100,-11.66100,0.33300,-11.02700,0.55400,-11.16900,0.49100,-11.27400,0.49100,-10.87700,0.38700,-10.69900,0.43200,-10.29000,0.47100,-10.45000,0.86100,-10.48300,0.60900,-10.39100,0.48500,0,0.00530,3.52010,0.25710,25918144,4.89000,2.46000
32.97500,-97.52500,FtWorth,1,0.01670,1509.00000,0.03660,1913.00000,0.04620,2313.00000,0.06070,3076.00000,-12.03500,0.32600,-11.31800,0.43200,-11.36700,0.24200,-11.59400,0.58900,-11.29300,0.20900,-11.88700,0.22800,-11.63900,0.24100,-11.72200,0.30900,-13.10100,0.29100,-12.96500,0.40000,-12.42400,0.37500,-12.30500,0.38200,-12.32500,0.30800,-12.08800,0.36400,-12.65100,0.22800,-12.78700,0.34300,-11.76300,0.35800,-12.37100,0.39600,-12.00600,0.38400,-10.43300,0.46100,-11.36600,0.52800,-10.80900,0.64100,-10.67400,0.54100,-11.59500,0.36800,-11.01000,0.55200,-11.12100,0.49200,-11.22700,0.49600,-10.80300,0.41700,-10.64100,0.46000,-10.21300,0.48700,-10.25600,0.85700,-10.37300,0.66200,-10.30200,0.52600,6,0.00960,4.34290,0.47810,25918144,4.18000,2.51000
32.97500,-97.47500,FtWorth,1,0.02020,800.00000,0.03670,1218.00000,0.05050,1440.00000,0.09630,1902.00000,-11.98600,0.34300,-11.25700,0.43400,-11.29000,0.24900,-11.51000,0.55700,-11.17900,0.21400,-11.76100,0.22000,-11.50400,0.22900,-11.60200,0.29000,-12.98000,0.28700,-12.86200,0.36900,-12.23400,0.37900,-12.12200,0.37300,-12.17600,0.31900,-11.92800,0.40000,-12.49400,0.26300,-12.63000,0.34300,-11.58700,0.35800,-12.12700,0.43500,-11.76600,0.39100,-10.38100,0.47700,-11.34000,0.54300,-10.71400,0.69200,-10.55500,0.54800,-11.48500,0.38100,-10.95300,0.55000,-11.07000,0.49800,-11.13300,0.52300,-10.66500,0.46800,-10.48100,0.53000,-10.07000,0.51000,-9.96300,0.82100,-10.14600,0.71100,-10.06000,0.61100,0,0.00820,4.24960,0.52610,25918144,4.12000,2.33000
32.97500,-97.42500,FtWorth,1,0.02770,2007.00000,0.05100,3031.00000,0.09490,3924.00000,0.25080,5376.00000,-11.84700,0.35900,-11.10000,0.44400,-11.12300,0.27000,-11.33800,0.50200,-10.98700,0.21600,-11.51500,0.20700,-11.26900,0.21100,-11.39300,0.24900,-12.82800,0.29500,-12.70500,0.34100,-12.04000,0.37600,-11.93200,0.36200,-11.97700,0.36100,-11.75100,0.42700,-12.26700,0.29100,-12.43200,0.33500,-11.37800,0.38300,-11.84200,0.47000,-11.50500,0.39700,-10.24900,0.52800,-11.10100,0.53500,-10.49800,0.71600,-10.35700,0.54800,-11.24900,0.36700,-10.77100,0.54800,-10.89700,0.50300,-10.86900,0.53600,-10.40000,0.51600,-10.18300,0.61400,-9.78000,0.55300,-9.56400,0.78400,-9.63400,0.77900,-9.63700,0.65800,0,0.02130,5.37550,1.40110,25918144,2.42000,1.57000
32.97500,-97.37500,FtWorth,1,0.02130,3214.00000,0.05260,4630.00000,0.10670,6064.00000,0.25160,8466.00000,-11.76200,0.36900,-11.00500,0.44900,-11.02200,0.28100,-11.23400,0.46800,-10.87200,0.21700,-11.36700,0.19900,-11.12800,0.20100,-11.26600,0.22600,-12.65500,0.29700,-12.52400,0.31900,-11.85700,0.37000,-11.73200,0.35900,-11.75300,0.40000,-11.53800,0.43800,-12.00600,0.31400,-12.19300,0.31900,-11.16000,0.43100,-11.55400,0.48100,-11.25200,0.40000,-9.96400,0.58700,-10.66100,0.53500,-10.13800,0.72200,-9.95700,0.59500,-10.80300,0.39000,-10.39300,0.56400,-10.41500,0.51800,-10.38700,0.51500,-9.96000,0.58800,-9.59000,0.57300,-9.35000,0.56600,-9.05600,0.88900,-8.99900,0.85200,-9.15600,0.62000,0,0.03390,5.78170,2.37970,25918144,2.45000,1.58000
32.97500,-97.32500,FtWorth,1,0.03290,563.00000,0.12690,799.00000,0.22810,994.00000,0.31000,1406.00000,-11.52400,0.36900,-10.77000,0.44700,-10.79500,0.29700,-10.98000,0.40300,-10.62000,0.19400,-11.04000,0.19000,-10.81000,0.17700,-10.94900,0.17900,-12.45600,0.27800,-12.32100,0.29700,-11.66600,0.39300,-11.51800,0.37200,-11.50700,0.42400,-11.31000,0.44800,-11.73500,0.31200,-11.90100,0.30500,-10.96700,0.44500,-11.29000,0.48100,-11.01200,0.37400,-9.61700,0.54900,-10.24000,0.51400,-9.72600,0.64900,-9.52300,0.53800,-10.28200,0.37300,-9.93300,0.50800,-9.87000,0.48200,-9.77900,0.45000,-9.49100,0.61000,-9.07200,0.53000,-8.90600,0.58600,-8.61100,0.99900,-8.56700,0.82500,-8.76600,0.56300,0,0.03290,7.60300,3.15670,25918144,2.38000,1.62000
32.97500,-97.27500,FtWorth,2,0.02090,8482.00000,0.06050,12400.00000,0.19050,15956.00000,0.48960,21956.00000,-11.43300,0.37000,-10.68000,0.44500,-10.70700,0.30200,-10.88100,0.37700,-10.52100,0.18600,-10.91400,0.18600,-10.68900,0.16800,-10.82500,0.16400,-12.28200,0.23600,-12.15700,0.28700,-11.51200,0.41500,-11.36600,0.38100,-11.30600,0.43100,-11.12500,0.43700,-11.48800,0.30200,-11.64600,0.30900,-10.82100,0.42300,-11.06200,0.46700,-10.82900,0.34800,-9.33300,0.46600,-9.77000,0.41300,-9.33900,0.55200,-9.18400,0.46800,-9.72200,0.29300,-9.47100,0.42000,-9.40100,0.38600,-9.27200,0.42400,-9.14400,0.56000,-8.80300,0.54500,-8.51000,0.56400,-8.28200,1.02100,-8.29300,0.82600,-8.50700,0.60700,0,0.06130,8.37540,5.37860,25918144,2.69000,1.72000
32.97500,-97.22500,FtWorth,2,0.03560,2972.00000,0.09740,4554.00000,0.21610,6004.00000,0.33410,8660.00000,-11.10600,0.34700,-10.38800,0.42500,-10.43500,0.31000,-10.55800,0.31800,-10.23100,0.14000,-10.54100,0.18200,-10.31900,0.14600,-10.42700,0.12600,-12.09400,0.21500,-11.94800,0.28700,-11.33400,0.42400,-11.18500,0.37900,-11.08800,0.43400,-10.92800,0.42300,-11.20800,0.32000,-11.36300,0.29000,-10.65200,0.41500,-10.81800,0.43100,-10.63300,0.35600,-9.15300,0.39700,-9.41000,0.35100,-9.06800,0.49500,-8.95800,0.40100,-9.29900,0.26300,-9.10100,0.37300,-9.05300,0.37900,-8.96200,0.41500,-8.91400,0.52600,-8.64400,0.47500,-8.29600,0.52200,-8.12800,0.89700,-8.13700,0.73900,-8.36500,0.71900,0,0.04560,8.33100,3.35350,25918144,4.35000,2.23000
32.97500,-97.17500,FtWorth,2,0.02140,3769.00000,0.11000,6124.00000,0.19330,8351.00000,0.28620,12833.00000,-11.03600,0.34400,-10.32300,0.41800,-10.37200,0.31100,-10.48400,0.30400,-10.16400,0.13200,-10.45600,0.18000,-10.23700,0.14200,-10.33700,0.12000,-11.94600,0.18600,-11.75300,0.30300,-11.18500,0.42500,-11.04600,0.37400,-10.90400,0.42100,-10.75800,0.40400,-10.99500,0.30800,-11.08000,0.31200,-10.54500,0.39100,-10.64300,0.41600,-10.48300,0.39800,-9.06100,0.37900,-9.21400,0.32500,-8.95000,0.41700,-8.84300,0.33800,-9.11900,0.27800,-8.95500,0.32900,-8.91600,0.36000,-8.76000,0.38200,-8.72300,0.51500,-8.52500,0.44500,-8.23400,0.50300,-8.33300,0.59900,-8.08100,0.64000,-8.28800,0.63000,0,0.06020,9.26370,4.05880,25918144,5.48000,2.39000
32.97500,-97.12500,FtWorth,2,0.05510,4892.00000,0.14130,6799.00000,0.20220,8559.00000,0.27590,12068.00000,-10.64700,0.28700,-9.99000,0.38300,-10.07100,0.28900,-10.12500,0.27100,-9.84800,0.10800,-10.06300,0.16300,-9.84800,0.13600,-9.90400,0.11400,-11.70000,0.19100,-11.44800,0.31800,-10.94400,0.43900,-10.81400,0.36900,-10.66400,0.42200,-10.54300,0.39400,-10.73300,0.30700,-10.73900,0.33400,-10.34700,0.36200,-10.43300,0.40300,-10.26000,0.44200,-8.97500,0.38100,-9.16200,0.31200,-8.92500,0.32700,-8.76200,0.33400,-9.03000,0.28200,-8.87300,0.30900,-8.81400,0.34500,-8.59100,0.35300,-8.52900,0.57200,-8.34800,0.59000,-8.19300,0.42900,-8.39500,0.61700,-8.02600,0.65800,-8.16000,0.50700,30,0.04440,6.65550,2.95490,25918144,6.27000,3.35000
