latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
33.82500,130.17500,Fukuoka,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25670534,-9999.00000,-9999.00000
33.82500,130.22500,Fukuoka,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25670534,-9999.00000,-9999.00000
33.82500,130.27500,Fukuoka,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25670534,-9999.00000,-9999.00000
33.82500,130.32500,Fukuoka,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25670534,-9999.00000,-9999.00000
33.82500,130.37500,Fukuoka,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,25670534,-9999.00000,-9999.00000
33.82500,130.42500,Fukuoka,0,0.00090,17.00000,0.00610,39.00000,0.00970,71.00000,0.01400,68.00000,-10.33900,0.29900,-10.88100,0.38200,-10.73000,0.68700,-10.38900,0.37500,-10.10600,0.39600,-10.40100,0.19100,-10.02800,0.59800,-10.39800,0.65000,-14.10000,0.58300,-14.28400,0.58200,-14.30400,0.68200,-14.34000,0.59500,-14.13200,0.71700,-14.28100,0.72800,-14.31500,0.76200,-13.96000,0.79800,-13.96500,0.66600,-14.19700,0.87700,-13.92900,0.53800,-13.08100,0.66100,-13.23500,0.81600,-12.86000,0.73900,-13.05500,0.75400,-13.22500,0.70500,-13.11400,0.70600,-12.97500,0.63000,-12.72100,0.84200,-12.76500,0.79800,-12.97700,1.11300,-12.97900,0.64900,-12.91000,1.36200,-12.75800,0.91000,-12.33000,1.05000,94,-9999,-9999,-9999,25670534,7.00000,7.72000
33.82500,130.47500,Fukuoka,1,0.01260,5076.00000,0.03820,7129.00000,0.05300,8521.00000,0.06330,8476.00000,-10.33900,0.29900,-10.88100,0.38200,-10.73000,0.68700,-10.38900,0.37500,-10.10600,0.39600,-10.40100,0.19100,-10.02800,0.59800,-10.39800,0.65000,-12.96900,0.48900,-13.09000,0.47800,-13.09800,0.52800,-13.11600,0.44700,-12.89200,0.51600,-13.00900,0.56100,-13.02300,0.58700,-12.70700,0.58300,-12.65700,0.54100,-12.89000,0.72400,-12.72000,0.42800,-11.08700,0.58300,-11.19500,0.65300,-10.94800,0.69400,-10.99500,0.69700,-11.28600,0.66000,-11.05000,0.61800,-10.98700,0.54800,-10.71800,0.66900,-10.77200,0.64300,-10.86400,0.92700,-11.01600,0.57600,-11.06500,1.01000,-10.83000,0.76900,-10.50000,0.92400,15,-9999,-9999,-9999,25670534,22.77000,6.41000
33.82500,130.52500,Fukuoka,2,0.05900,15068.00000,0.14630,17005.00000,0.17230,18208.00000,0.18860,20181.00000,-9.57600,0.25700,-10.08700,0.31500,-9.91800,0.58900,-9.68000,0.33200,-9.32400,0.34400,-9.59000,0.16700,-9.23600,0.52300,-9.59600,0.50600,-11.75400,0.40700,-11.74300,0.40100,-11.74100,0.41600,-11.78700,0.37800,-11.52800,0.38400,-11.59600,0.40400,-11.61600,0.44400,-11.32200,0.42200,-11.20000,0.43600,-11.43600,0.56900,-11.33900,0.39700,-8.72900,0.43900,-8.81600,0.45500,-8.63800,0.63500,-8.66900,0.56000,-8.89900,0.58900,-8.64300,0.47700,-8.61100,0.55000,-8.41300,0.50700,-8.42000,0.56900,-8.55100,0.66300,-8.57400,0.46200,-8.86400,0.64900,-8.39800,0.58600,-8.21500,0.73600,0,-9999,-9999,-9999,25670534,39.22000,6.07000
33.82500,130.57500,Fukuoka,2,0.09660,22275.00000,0.21690,28986.00000,0.24570,29564.00000,0.25980,28876.00000,-8.97400,0.22200,-9.45100,0.26500,-9.27200,0.50900,-9.11800,0.30000,-8.69600,0.30300,-8.93500,0.14600,-8.59600,0.46000,-8.94900,0.38700,-10.63600,0.36700,-10.51600,0.39400,-10.50800,0.38200,-10.54200,0.34200,-10.25500,0.36200,-10.34200,0.32100,-10.34900,0.39600,-10.07100,0.35200,-9.93900,0.35800,-10.11700,0.41500,-10.06600,0.41200,-7.55200,0.39100,-7.68000,0.36100,-7.49900,0.52100,-7.54500,0.44600,-7.70600,0.50500,-7.44400,0.38000,-7.47100,0.54000,-7.28900,0.41100,-7.28700,0.49400,-7.44200,0.54900,-7.34800,0.42000,-7.60500,0.59800,-7.15100,0.45000,-7.06300,0.58900,0,-9999,-9999,-9999,25670534,35.60000,5.96000
33.82500,130.62500,Fukuoka,1,0.04760,22850.00000,0.10690,19457.00000,0.11880,19746.00000,0.12850,19370.00000,-8.75400,0.23800,-9.17400,0.24900,-9.00700,0.45100,-8.87500,0.30400,-8.41300,0.30000,-8.61600,0.15500,-8.27400,0.40700,-8.62300,0.35300,-9.66200,0.33400,-9.53500,0.36100,-9.48200,0.34700,-9.51000,0.31200,-9.23000,0.32600,-9.32900,0.30200,-9.31100,0.36600,-9.09000,0.33100,-8.95600,0.33200,-9.02500,0.29600,-9.05600,0.43200,-6.97700,0.38200,-7.12500,0.35700,-7.00300,0.48000,-6.98600,0.39900,-7.09400,0.46900,-6.93400,0.36800,-6.97000,0.53600,-6.76700,0.40600,-6.74900,0.45700,-6.88600,0.53600,-6.83200,0.43000,-6.97900,0.60700,-6.61400,0.51800,-6.56600,0.58500,0,-9999,-9999,-9999,25670534,51.76000,6.32000
33.82500,130.67500,Fukuoka,2,0.18560,27692.00000,0.33750,35659.00000,0.35320,37063.00000,0.36480,37633.00000,-8.46600,0.24300,-8.84100,0.22500,-8.65900,0.37600,-8.56800,0.28900,-8.06200,0.28600,-8.23900,0.16300,-7.88800,0.36100,-8.22900,0.30600,-8.86400,0.30900,-8.75800,0.35000,-8.66900,0.30400,-8.70800,0.27500,-8.43700,0.29200,-8.54600,0.30200,-8.50000,0.32700,-8.33900,0.33900,-8.18200,0.33200,-8.18700,0.22700,-8.24800,0.45300,-6.53000,0.38900,-6.66000,0.33700,-6.63700,0.50700,-6.58900,0.31800,-6.65300,0.44100,-6.59800,0.36200,-6.59300,0.53600,-6.35400,0.41000,-6.29100,0.47200,-6.47700,0.47000,-6.46200,0.47200,-6.53300,0.55000,-6.21000,0.61200,-6.17700,0.56000,0,-9999,-9999,-9999,25670534,13.12000,4.67000
