latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
42.12500,123.62500,Fushun,2,0.01790,23731.00000,0.07690,21491.00000,0.08790,21102.00000,0.19680,18314.00000,-9.04400,0.18400,-8.48900,0.30500,-8.78800,0.35100,-9.10200,0.47800,-9.28700,0.47300,-8.61900,0.21800,-9.38800,0.40400,-9.64500,0.36000,-10.97900,0.55000,-11.55400,0.56000,-11.07100,0.46000,-11.17500,0.59700,-10.52900,0.40200,-10.56800,0.49700,-10.70400,0.56300,-10.97100,0.46900,-10.85100,0.42900,-10.68600,0.61900,-10.93700,0.54200,-9.25000,0.55700,-9.15400,0.45200,-9.62600,0.48300,-8.57500,0.33200,-9.04700,0.54300,-8.69700,0.44300,-8.68700,0.35300,-9.36800,0.37900,-9.42100,0.47700,-8.54600,0.54400,-8.84000,0.53200,-8.94600,0.50400,-8.33300,0.60000,-8.30300,0.75900,0,0.03300,5.12320,2.33570,22961684,4.08000,2.25000
42.12500,123.67500,Fushun,2,0.00560,4034.00000,0.05140,11127.00000,0.06670,11308.00000,0.24200,16329.00000,-9.05800,0.18800,-8.51400,0.30300,-8.81800,0.34700,-9.13100,0.47200,-9.29400,0.47000,-8.64600,0.21700,-9.41200,0.41100,-9.67100,0.36700,-11.00400,0.54900,-11.53500,0.51000,-11.09900,0.45100,-11.15700,0.60600,-10.57400,0.40400,-10.60000,0.47900,-10.66300,0.54400,-10.97300,0.45200,-10.77500,0.39900,-10.66800,0.59400,-10.86500,0.50000,-9.18100,0.54400,-9.14800,0.43900,-9.61100,0.48100,-8.54100,0.33400,-8.97900,0.54800,-8.60300,0.41700,-8.58700,0.34800,-9.27100,0.38500,-9.27700,0.47900,-8.44500,0.54400,-8.70900,0.52100,-8.82500,0.51100,-8.23900,0.61200,-8.22100,0.77000,0,0.03740,6.54520,3.40090,22961684,5.65000,2.82000
42.12500,123.72500,Fushun,1,0.00360,2051.00000,0.01550,1700.00000,0.01790,1724.00000,0.04940,2565.00000,-9.06700,0.20700,-8.58100,0.30100,-8.85100,0.35800,-9.15900,0.45500,-9.28300,0.46100,-8.67200,0.22900,-9.38700,0.41300,-9.63400,0.36900,-11.04000,0.57000,-11.51200,0.46600,-11.12600,0.45100,-11.14100,0.60200,-10.64100,0.39100,-10.64800,0.46300,-10.63900,0.53800,-10.96800,0.44000,-10.71500,0.38900,-10.67000,0.59700,-10.84200,0.47800,-9.17100,0.53500,-9.19400,0.43400,-9.68800,0.48600,-8.63700,0.36800,-8.99900,0.56600,-8.61300,0.39300,-8.60700,0.36600,-9.28900,0.41100,-9.25500,0.49300,-8.45100,0.55400,-8.70000,0.51100,-8.80300,0.51600,-8.24800,0.62300,-8.23300,0.79600,0,0.00600,2.79480,0.29210,22961684,7.76000,3.78000
42.12500,123.77500,Fushun,1,0.00060,403.00000,0.00400,708.00000,0.00640,1084.00000,0.01790,2187.00000,-9.07900,0.21600,-8.62200,0.29800,-8.87800,0.36200,-9.18700,0.44300,-9.28200,0.45600,-8.70000,0.23500,-9.39100,0.41900,-9.63600,0.37000,-11.05900,0.58600,-11.48900,0.44300,-11.14700,0.44500,-11.13000,0.60300,-10.71000,0.37900,-10.68200,0.43800,-10.62800,0.53400,-10.96200,0.43500,-10.67800,0.39800,-10.68600,0.61100,-10.84700,0.48700,-9.18300,0.53500,-9.26100,0.44600,-9.80200,0.46000,-8.84500,0.39500,-9.15600,0.56800,-8.75400,0.40000,-8.83400,0.37200,-9.49200,0.42300,-9.49000,0.49800,-8.64100,0.52400,-8.86500,0.49000,-8.90400,0.52500,-8.43300,0.56300,-8.42900,0.81000,0,0.00450,1.88190,0.23140,22961684,10.69000,4.34000
42.12500,123.82500,Fushun,1,0.00210,1086.00000,0.01210,2104.00000,0.01340,2194.00000,0.01710,1416.00000,-9.08700,0.24000,-8.67600,0.29900,-8.90100,0.37900,-9.19900,0.43500,-9.27400,0.44400,-8.72000,0.25600,-9.37600,0.42500,-9.61200,0.36900,-11.06900,0.59100,-11.46200,0.42000,-11.15700,0.43300,-11.11100,0.60700,-10.77200,0.37900,-10.70700,0.42200,-10.63500,0.51800,-10.93500,0.43300,-10.65500,0.41100,-10.69900,0.62900,-10.86900,0.51800,-9.18800,0.53500,-9.31400,0.46100,-9.90100,0.43500,-9.02500,0.39700,-9.33800,0.56100,-8.91600,0.41600,-9.06600,0.35000,-9.71000,0.41600,-9.76900,0.50300,-8.87400,0.48500,-9.10800,0.43300,-9.07200,0.54700,-8.66600,0.49700,-8.71100,0.76400,0,0.00510,2.38620,0.20120,22961684,9.39000,4.01000
42.12500,123.87500,Fushun,1,0.00630,7024.00000,0.02410,8004.00000,0.02510,7253.00000,0.03030,5101.00000,-9.08900,0.26200,-8.72800,0.29900,-8.91700,0.39800,-9.20100,0.42800,-9.26100,0.43100,-8.73200,0.27900,-9.35000,0.42800,-9.57400,0.36600,-11.07900,0.59500,-11.44000,0.40000,-11.14900,0.43700,-11.08000,0.60700,-10.81700,0.38700,-10.72700,0.42900,-10.65100,0.50800,-10.88000,0.43300,-10.64400,0.41700,-10.70200,0.65700,-10.91500,0.54700,-9.17200,0.53600,-9.33400,0.46800,-9.93900,0.43200,-9.09500,0.38900,-9.43500,0.54900,-8.97700,0.41700,-9.13800,0.30000,-9.78100,0.39200,-9.86800,0.50800,-8.99800,0.46200,-9.26200,0.36600,-9.19300,0.57300,-8.79700,0.46400,-8.90200,0.70100,0,0.01120,3.88500,0.56460,22961684,8.17000,3.77000
42.12500,123.92500,Fushun,1,0.00190,806.00000,0.00900,2562.00000,0.00950,2233.00000,0.01140,1523.00000,-9.08400,0.28100,-8.74500,0.30600,-8.91500,0.41400,-9.18700,0.43000,-9.24600,0.42000,-8.72600,0.29200,-9.31900,0.42800,-9.52500,0.36500,-11.07200,0.60200,-11.41900,0.40300,-11.12300,0.45200,-11.04600,0.60900,-10.84800,0.39700,-10.73700,0.44000,-10.67000,0.50900,-10.81400,0.43200,-10.64500,0.42200,-10.70300,0.69000,-10.96600,0.55200,-9.12800,0.53600,-9.30600,0.47900,-9.91400,0.42600,-9.09800,0.39200,-9.46300,0.54200,-8.98500,0.41500,-9.12800,0.29300,-9.77200,0.38200,-9.86600,0.51800,-9.01700,0.45500,-9.26600,0.36400,-9.20100,0.57900,-8.82500,0.45300,-8.93800,0.69500,0,0.00690,3.09700,0.26670,22961684,5.30000,3.12000
42.12500,123.97500,Fushun,0,0.00080,734.00000,0.00280,792.00000,0.00290,721.00000,0.00350,539.00000,-9.07300,0.32000,-8.78100,0.32200,-8.91100,0.44800,-9.15600,0.43600,-9.21300,0.39700,-8.71300,0.32200,-9.25100,0.42600,-9.41900,0.36300,-11.06900,0.59400,-11.38400,0.41300,-11.10300,0.45000,-11.03000,0.61800,-10.86400,0.41200,-10.74400,0.46100,-10.69500,0.50600,-10.76500,0.43300,-10.65700,0.42000,-10.71500,0.71400,-11.00700,0.54200,-9.05600,0.51600,-9.24300,0.49000,-9.83400,0.41800,-9.05100,0.40400,-9.44800,0.53300,-8.95500,0.40200,-9.07600,0.27900,-9.71600,0.38100,-9.81100,0.53500,-9.00400,0.44900,-9.24400,0.36300,-9.18200,0.57900,-8.82300,0.43700,-8.94400,0.68100,0,0.00520,1.64190,0.30410,22961684,22.11000,6.29000
42.12500,124.02500,Fushun,0,0.00010,0.00000,0.00040,4.00000,0.00050,8.00000,0.00060,6.00000,-9.06900,0.33100,-8.78000,0.32800,-8.90700,0.45400,-9.14700,0.43900,-9.20500,0.39200,-8.70900,0.32600,-9.23400,0.42700,-9.39800,0.36300,-11.07700,0.58900,-11.35000,0.41600,-11.08000,0.44100,-11.03400,0.62600,-10.85300,0.42900,-10.75200,0.48800,-10.71700,0.47800,-10.72200,0.44200,-10.66200,0.41200,-10.73800,0.72300,-11.03700,0.53900,-8.97300,0.47900,-9.15700,0.49800,-9.69700,0.40000,-8.94000,0.42500,-9.38300,0.53000,-8.89000,0.37700,-8.99400,0.26100,-9.61200,0.39500,-9.72400,0.54600,-8.96800,0.44200,-9.19700,0.35300,-9.15300,0.58300,-8.79300,0.42200,-8.93200,0.64300,0,0.00050,0.48360,0.01850,22961684,28.35000,7.54000
42.12500,124.07500,Fushun,0,0.00040,200.00000,0.00070,116.00000,0.00080,116.00000,0.00110,213.00000,-9.04600,0.38800,-8.77900,0.35800,-8.88900,0.48400,-9.10300,0.45600,-9.16100,0.36500,-8.69100,0.34900,-9.14000,0.43100,-9.28100,0.36800,-11.06900,0.57100,-11.30900,0.41200,-11.05600,0.43700,-11.02800,0.64500,-10.82700,0.44200,-10.74000,0.50300,-10.71700,0.45500,-10.67800,0.44200,-10.64500,0.39800,-10.72800,0.71400,-11.05100,0.53000,-8.87700,0.44700,-9.06400,0.48600,-9.55500,0.38200,-8.79700,0.45200,-9.28200,0.53400,-8.81700,0.35000,-8.89600,0.25200,-9.48200,0.40000,-9.63400,0.55100,-8.90800,0.43700,-9.13300,0.34500,-9.11000,0.57200,-8.73500,0.40400,-8.90800,0.60100,0,0.00100,0.86020,0.04460,22961684,28.25000,6.95000
