latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
26.32500,119.07500,Fuzhou,1,0.00120,792.00000,0.00120,1109.00000,0.00300,2070.00000,0.00440,2561.00000,-8.74500,0.23200,-8.73700,0.19300,-8.73500,0.29200,-8.91700,0.41600,-8.53000,0.22100,-8.88000,0.17300,-8.63100,0.27700,-8.78000,0.38500,-10.77600,0.21000,-10.76600,0.31000,-10.69100,0.23200,-10.57100,0.22100,-10.71100,0.19100,-10.64300,0.27800,-10.75500,0.25000,-10.53600,0.25600,-10.46600,0.31100,-10.49100,0.23300,-10.46500,0.19700,-8.38700,0.30100,-8.42200,0.20700,-8.34700,0.26800,-8.32600,0.26800,-8.36200,0.25100,-8.23800,0.21100,-8.28800,0.20500,-8.22800,0.19600,-8.08500,0.26300,-8.05700,0.24800,-8.22400,0.23500,-8.03100,0.40200,-8.15600,0.29500,-8.14600,0.28900,0,0.00230,1.15070,0.11550,27654102,39.88000,8.41000
26.32500,119.12500,Fuzhou,0,0.00090,615.00000,0.00090,820.00000,0.00230,673.00000,0.00370,1002.00000,-8.72000,0.21800,-8.67800,0.17900,-8.69300,0.28700,-8.87200,0.40200,-8.48800,0.20800,-8.82000,0.16100,-8.56200,0.25900,-8.71900,0.40100,-10.70100,0.20000,-10.67500,0.29600,-10.59500,0.23700,-10.48600,0.19400,-10.58700,0.19500,-10.55500,0.27300,-10.65000,0.23400,-10.48300,0.24100,-10.37800,0.30700,-10.41200,0.24700,-10.38300,0.21400,-8.34900,0.30100,-8.37400,0.19300,-8.32800,0.26200,-8.29800,0.26200,-8.32300,0.25300,-8.20700,0.21100,-8.27400,0.20400,-8.18600,0.19900,-8.07000,0.23700,-8.03200,0.22600,-8.19700,0.22200,-8.02700,0.37800,-8.13200,0.29600,-8.14000,0.30500,0,0.00150,0.89200,0.05880,27654102,41.50000,8.70000
26.32500,119.17500,Fuzhou,1,0.00070,934.00000,0.00110,1053.00000,0.00240,1253.00000,0.00430,1457.00000,-8.71500,0.20100,-8.61700,0.15700,-8.67300,0.28800,-8.82700,0.40000,-8.45500,0.20200,-8.77700,0.14600,-8.50300,0.24000,-8.65600,0.41100,-10.57100,0.19900,-10.53500,0.27400,-10.46300,0.23300,-10.36000,0.18700,-10.44600,0.21700,-10.42400,0.26200,-10.50300,0.21700,-10.38600,0.25400,-10.24300,0.30400,-10.28500,0.26300,-10.25800,0.23800,-8.30700,0.29600,-8.31700,0.18100,-8.29100,0.25600,-8.25700,0.24500,-8.26900,0.25900,-8.16800,0.21200,-8.24700,0.20800,-8.13400,0.20400,-8.04100,0.23100,-8.00700,0.21300,-8.16700,0.20600,-8.01100,0.38400,-8.09500,0.31300,-8.11100,0.32300,0,0.00310,1.91740,0.46620,27654102,32.94000,7.35000
26.32500,119.22500,Fuzhou,0,0.00010,0.00000,0.00060,226.00000,0.00150,140.00000,0.00310,133.00000,-8.71100,0.18900,-8.57000,0.14200,-8.66300,0.29100,-8.79700,0.39500,-8.43300,0.19800,-8.75000,0.13500,-8.46400,0.22900,-8.61700,0.42100,-10.40700,0.21200,-10.38600,0.27500,-10.31800,0.24100,-10.21900,0.18900,-10.31400,0.22300,-10.28000,0.26800,-10.34000,0.20700,-10.26700,0.28900,-10.09600,0.32000,-10.14100,0.27000,-10.11200,0.26400,-8.27500,0.28600,-8.27500,0.17600,-8.25700,0.25600,-8.21800,0.22900,-8.22100,0.26300,-8.12400,0.20900,-8.22000,0.20900,-8.08900,0.21300,-7.99500,0.23300,-7.98900,0.21300,-8.14300,0.20100,-7.98900,0.39100,-8.05300,0.32800,-8.06700,0.34200,0,0.00040,0.44660,0.01910,27654102,43.17000,7.00000
26.32500,119.27500,Fuzhou,0,0.00020,94.00000,0.00090,400.00000,0.00210,475.00000,0.00280,669.00000,-8.77000,0.19600,-8.55700,0.13500,-8.70900,0.29300,-8.69000,0.56900,-8.46000,0.20300,-8.76800,0.13200,-8.48600,0.22200,-8.61300,0.41300,-10.25900,0.22900,-10.26300,0.30800,-10.21200,0.26300,-10.09400,0.21800,-10.21800,0.22800,-10.16900,0.27200,-10.20200,0.21100,-10.16100,0.29800,-9.97700,0.32900,-10.01400,0.24800,-10.00400,0.28100,-8.25500,0.27800,-8.24700,0.18100,-8.23300,0.26200,-8.18700,0.23800,-8.17100,0.25600,-8.07300,0.20500,-8.18600,0.20700,-8.04000,0.22500,-7.95300,0.24500,-7.96500,0.21800,-8.12100,0.20400,-7.94400,0.39500,-8.00800,0.32400,-8.00700,0.35700,0,0.00190,1.10140,0.12080,27654102,39.44000,6.74000
26.32500,119.32500,Fuzhou,0,0.00010,85.00000,0.00050,150.00000,0.00080,49.00000,0.00120,135.00000,-8.79600,0.20000,-8.55500,0.13500,-8.73900,0.29700,-8.65700,0.63300,-8.48000,0.20500,-8.78700,0.13100,-8.50700,0.22200,-8.62900,0.41100,-10.18400,0.26100,-10.20100,0.32500,-10.17500,0.29400,-10.05300,0.26300,-10.21300,0.24000,-10.12800,0.25500,-10.15200,0.21800,-10.11300,0.30300,-9.93200,0.32700,-9.94800,0.20500,-9.95100,0.28600,-8.24600,0.27700,-8.23700,0.20000,-8.21400,0.27300,-8.17100,0.25600,-8.11800,0.25000,-8.01900,0.21100,-8.13900,0.22600,-7.96900,0.23300,-7.90900,0.26400,-7.91000,0.25200,-8.08900,0.21100,-7.87600,0.39200,-7.92900,0.33300,-7.94600,0.37400,0,0.00030,0.14260,0.02000,27654102,50.09000,7.74000
26.32500,119.37500,Fuzhou,0,0.00010,237.00000,0.00040,1016.00000,0.00080,553.00000,0.00170,758.00000,-8.98600,0.23500,-8.70100,0.17100,-8.88700,0.30300,-8.85600,0.46100,-8.63400,0.22500,-8.93400,0.15200,-8.67000,0.23400,-8.75500,0.39200,-10.19600,0.25800,-10.23600,0.32700,-10.21500,0.28500,-10.09900,0.29200,-10.27200,0.24100,-10.14600,0.26300,-10.17900,0.23600,-10.11500,0.30100,-9.94900,0.31500,-9.94900,0.19600,-9.94100,0.28000,-8.25900,0.28300,-8.24200,0.21000,-8.20400,0.28400,-8.17700,0.26200,-8.08800,0.25600,-7.99700,0.22600,-8.10700,0.24300,-7.91400,0.24500,-7.83500,0.28300,-7.85700,0.26400,-8.01200,0.22500,-7.74100,0.45500,-7.81400,0.35300,-7.85100,0.51100,0,0.00110,1.36920,0.42400,27654102,40.69000,6.64000
26.32500,119.42500,Fuzhou,1,0.00490,1306.00000,0.00880,2263.00000,0.01130,2341.00000,0.01270,2440.00000,-9.09300,0.25300,-8.79300,0.18600,-8.97400,0.30600,-8.94300,0.43600,-8.72800,0.23700,-9.02900,0.16300,-8.77300,0.24600,-8.84600,0.38600,-10.32800,0.23900,-10.36500,0.33700,-10.34300,0.27300,-10.20800,0.32500,-10.39800,0.24400,-10.24400,0.28200,-10.27800,0.23400,-10.19500,0.29500,-10.04200,0.31500,-10.01100,0.20500,-10.00400,0.29800,-8.32900,0.31500,-8.27600,0.21600,-8.23700,0.28700,-8.21800,0.27000,-8.11000,0.27500,-8.02700,0.25200,-8.08800,0.24000,-7.87800,0.24400,-7.74100,0.34400,-7.81600,0.29000,-7.93300,0.25100,-7.65100,0.52400,-7.73300,0.40100,-7.80600,0.52700,0,0.00510,2.52860,0.28800,27654102,27.19000,7.00000
26.32500,119.47500,Fuzhou,1,0.02710,6989.00000,0.03910,9293.00000,0.04630,10264.00000,0.05220,11822.00000,-9.47600,0.31500,-9.13900,0.23100,-9.29500,0.31400,-9.21600,0.46100,-9.08000,0.28000,-9.38900,0.20300,-9.15900,0.29800,-9.21100,0.37300,-10.58600,0.23700,-10.61300,0.36000,-10.59300,0.26900,-10.41700,0.34100,-10.62900,0.24200,-10.46100,0.31500,-10.50300,0.27300,-10.38900,0.30300,-10.25900,0.32300,-10.16300,0.25000,-10.15900,0.31500,-8.52200,0.41100,-8.39600,0.23600,-8.35300,0.29600,-8.32100,0.27700,-8.22400,0.32300,-8.10600,0.26700,-8.15400,0.25200,-7.93500,0.26300,-7.77700,0.37500,-7.86500,0.32500,-7.93000,0.27100,-7.65500,0.56200,-7.74700,0.41800,-7.81500,0.55400,0,0.02090,4.43930,2.28720,27654102,22.63000,6.80000
26.32500,119.52500,Fuzhou,1,0.02760,2210.00000,0.03690,2769.00000,0.04360,3102.00000,0.04700,2970.00000,-9.70300,0.32700,-9.36500,0.26100,-9.49900,0.31900,-9.41700,0.45400,-9.29900,0.29800,-9.60800,0.21800,-9.38200,0.31200,-9.44800,0.36300,-10.95200,0.22000,-10.97200,0.38400,-10.94400,0.26300,-10.74200,0.34800,-10.95000,0.25700,-10.80300,0.33600,-10.81400,0.32100,-10.69700,0.31500,-10.56100,0.33200,-10.41400,0.29700,-10.41900,0.33900,-8.70700,0.43900,-8.60900,0.25800,-8.52500,0.32100,-8.48600,0.31100,-8.42800,0.35200,-8.32800,0.29200,-8.33800,0.32000,-8.11900,0.28300,-7.92200,0.41500,-7.99600,0.34800,-8.07600,0.30300,-7.77900,0.57500,-7.85000,0.40400,-7.95800,0.56100,0,0.00360,1.58860,0.31920,27654102,25.24000,4.47000
