latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
26.07500,114.67500,Ganzhou,1,0.00060,1828.00000,0.00110,3458.00000,0.00140,4064.00000,0.00270,4041.00000,-8.80500,0.34100,-8.65100,0.29200,-8.98500,0.43400,-8.78900,0.29900,-8.47000,0.27800,-9.18200,0.29300,-8.77900,0.19100,-8.94000,0.21200,-10.90100,0.25600,-11.18100,0.21900,-11.11500,0.25300,-11.00800,0.28600,-11.23700,0.20700,-11.22200,0.27400,-11.15500,0.18400,-10.99900,0.31100,-11.16300,0.29400,-10.98400,0.20400,-11.00200,0.24800,-8.53400,0.29700,-8.41500,0.24500,-8.51400,0.33100,-8.50900,0.20600,-8.55400,0.25500,-8.45500,0.19300,-8.40300,0.27000,-8.36000,0.25500,-8.30100,0.22600,-8.23000,0.17700,-8.36600,0.18400,-8.15800,0.34900,-8.26500,0.37300,-8.17800,0.22200,0,0.00390,2.04290,0.32480,27712256,33.80000,8.29000
26.07500,114.72500,Ganzhou,1,0.00010,368.00000,0.00010,147.00000,0.00020,274.00000,0.00020,433.00000,-8.84400,0.33900,-8.68100,0.29900,-9.01000,0.43900,-8.82600,0.30600,-8.49400,0.28900,-9.21400,0.29300,-8.79800,0.18900,-8.97200,0.21700,-11.01800,0.24100,-11.29000,0.20800,-11.22600,0.24800,-11.12800,0.27900,-11.35700,0.23200,-11.32300,0.27700,-11.27100,0.20200,-11.13000,0.29000,-11.28700,0.28300,-11.09200,0.21700,-11.15100,0.22600,-8.55700,0.29000,-8.44100,0.24000,-8.54300,0.33500,-8.53800,0.20400,-8.56500,0.25000,-8.45500,0.18100,-8.42800,0.27300,-8.36900,0.25600,-8.30800,0.21500,-8.23600,0.16900,-8.37500,0.18400,-8.16700,0.34700,-8.27700,0.37100,-8.19400,0.22900,0,0.00030,0.11910,0.01200,27712256,40.23000,8.42000
26.07500,114.77500,Ganzhou,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.00000,-8.94600,0.33300,-8.75000,0.32900,-9.06600,0.45600,-8.91800,0.31900,-8.55000,0.31600,-9.28700,0.28800,-8.84200,0.18500,-9.04100,0.22700,-11.14100,0.20600,-11.39900,0.21400,-11.34400,0.24300,-11.25300,0.27900,-11.46000,0.26300,-11.41100,0.26600,-11.37100,0.23700,-11.25100,0.25300,-11.38600,0.27500,-11.18700,0.24800,-11.26700,0.21400,-8.58900,0.27400,-8.47400,0.24200,-8.57500,0.33100,-8.58900,0.20100,-8.57700,0.25500,-8.45700,0.17400,-8.45400,0.27500,-8.37500,0.25400,-8.31400,0.21000,-8.24500,0.17400,-8.38000,0.18900,-8.17700,0.37600,-8.29200,0.36700,-8.22600,0.24100,0,0.00070,0.35550,0.09960,27712256,40.78000,8.48000
26.07500,114.82500,Ganzhou,2,0.00000,0.00000,0.00000,0.00000,0.00000,32.00000,0.00070,1397.00000,-8.97600,0.32900,-8.75900,0.34200,-9.07600,0.47700,-8.93700,0.32100,-8.55800,0.32100,-9.29200,0.28300,-8.84400,0.18700,-9.04800,0.23000,-11.27000,0.19300,-11.49900,0.23000,-11.44800,0.23900,-11.37200,0.30600,-11.55800,0.27900,-11.48700,0.26100,-11.45000,0.26300,-11.35800,0.22700,-11.44600,0.26900,-11.27000,0.28000,-11.35800,0.22900,-8.63600,0.26500,-8.52300,0.25200,-8.62000,0.32800,-8.66200,0.21000,-8.60400,0.27300,-8.47400,0.17100,-8.51000,0.26400,-8.40900,0.24400,-8.34700,0.21700,-8.28300,0.19100,-8.40500,0.20500,-8.22900,0.38900,-8.33200,0.36600,-8.29800,0.25400,0,0.00140,0.39890,0.38780,27712256,43.02000,8.93000
26.07500,114.87500,Ganzhou,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.03600,0.32300,-8.77900,0.37000,-9.09600,0.52000,-8.97600,0.32400,-8.57600,0.33000,-9.30100,0.27100,-8.84700,0.19000,-9.06200,0.23500,-11.39400,0.19100,-11.59300,0.23600,-11.53600,0.23100,-11.46400,0.34300,-11.64200,0.28500,-11.52900,0.25600,-11.52300,0.27000,-11.46400,0.20600,-11.47900,0.25800,-11.33600,0.29900,-11.41500,0.25100,-8.68600,0.27400,-8.57400,0.26600,-8.66900,0.33500,-8.72400,0.22000,-8.63300,0.28900,-8.51400,0.17400,-8.58700,0.25400,-8.48600,0.22800,-8.39800,0.23000,-8.33600,0.21500,-8.45300,0.22900,-8.32900,0.39300,-8.38400,0.38900,-8.40400,0.24000,0,0.00040,0.27220,0.01070,27712256,40.53000,8.35000
26.07500,114.92500,Ganzhou,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.05400,0.31700,-8.77700,0.38100,-9.09700,0.55600,-8.99000,0.31900,-8.57000,0.33100,-9.28400,0.26400,-8.83800,0.19300,-9.05000,0.24100,-11.48500,0.19800,-11.66600,0.23700,-11.59300,0.23500,-11.53900,0.36600,-11.69900,0.27700,-11.55200,0.25500,-11.57800,0.27000,-11.55200,0.19100,-11.48000,0.24700,-11.38700,0.31400,-11.44500,0.27600,-8.70700,0.28100,-8.59800,0.25600,-8.70200,0.32900,-8.73700,0.20900,-8.64500,0.28700,-8.54100,0.17400,-8.62300,0.24300,-8.53500,0.21700,-8.41100,0.24000,-8.35300,0.23200,-8.47300,0.23200,-8.37500,0.37800,-8.39600,0.39100,-8.43100,0.21000,1,0.00000,0.00000,0.00000,27712256,41.81000,8.55000
26.07500,114.97500,Ganzhou,1,0.00090,11322.00000,0.00420,17621.00000,0.00510,20648.00000,0.00590,23980.00000,-9.07200,0.31000,-8.77600,0.39300,-9.09800,0.59400,-9.00500,0.31400,-8.56500,0.33100,-9.26600,0.25700,-8.82800,0.19700,-9.03700,0.24700,-11.53900,0.20400,-11.70000,0.23600,-11.60400,0.24300,-11.59300,0.37000,-11.72800,0.27900,-11.55700,0.25000,-11.60500,0.27800,-11.60400,0.20100,-11.47600,0.23900,-11.41300,0.32300,-11.45800,0.31500,-8.67100,0.28700,-8.57900,0.24100,-8.67600,0.31400,-8.69700,0.19300,-8.62400,0.27500,-8.53000,0.17400,-8.60000,0.23700,-8.52600,0.20200,-8.38000,0.24400,-8.32800,0.23000,-8.44300,0.21600,-8.33400,0.34500,-8.37000,0.37600,-8.36900,0.21700,3,0.00270,1.14420,0.17970,27712256,24.08000,7.52000
26.07500,115.02500,Ganzhou,1,0.00010,313.00000,0.00020,455.00000,0.00030,1310.00000,0.00040,1851.00000,-9.05600,0.30300,-8.76800,0.40600,-9.09800,0.58500,-9.01000,0.31400,-8.54200,0.32800,-9.23200,0.26000,-8.82200,0.20200,-9.00600,0.25400,-11.56300,0.20700,-11.70600,0.22500,-11.58800,0.25000,-11.60900,0.35900,-11.74600,0.28100,-11.55700,0.24600,-11.61200,0.28700,-11.62700,0.22800,-11.48700,0.25200,-11.42700,0.33200,-11.47000,0.35200,-8.61200,0.30300,-8.52500,0.23100,-8.61200,0.32000,-8.62600,0.19000,-8.59100,0.27800,-8.49800,0.19800,-8.55400,0.24500,-8.50300,0.18800,-8.32600,0.24800,-8.29600,0.21700,-8.38900,0.21000,-8.25400,0.33100,-8.32900,0.34400,-8.30400,0.24100,0,0.00050,0.25790,0.01880,27712256,41.56000,8.62000
26.07500,115.07500,Ganzhou,1,0.00000,0.00000,0.00000,0.00000,0.00000,104.00000,0.00010,269.00000,-9.04200,0.29800,-8.75900,0.41300,-9.09500,0.58000,-9.01200,0.31500,-8.52500,0.32700,-9.21000,0.26300,-8.81800,0.20600,-8.98800,0.25800,-11.55900,0.20300,-11.69500,0.22800,-11.57400,0.26600,-11.60400,0.33100,-11.75300,0.27000,-11.55100,0.25000,-11.62800,0.27400,-11.63700,0.27200,-11.51300,0.26400,-11.42400,0.33700,-11.48500,0.38300,-8.58100,0.31900,-8.48300,0.22600,-8.57400,0.32800,-8.58300,0.19000,-8.58100,0.29000,-8.47800,0.22100,-8.52600,0.25400,-8.49600,0.18300,-8.27100,0.24300,-8.26900,0.21400,-8.37000,0.22000,-8.20600,0.35700,-8.29100,0.33700,-8.26300,0.27200,0,0.00020,0.15810,0.00710,27712256,41.58000,8.86000
26.07500,115.12500,Ganzhou,1,0.00090,720.00000,0.00150,1102.00000,0.00170,1392.00000,0.00210,1386.00000,-9.01700,0.29700,-8.78200,0.42400,-9.09700,0.56100,-9.02800,0.32400,-8.51100,0.31800,-9.18500,0.28300,-8.83500,0.22000,-8.97100,0.26400,-11.55800,0.21300,-11.69100,0.23200,-11.58200,0.29700,-11.58900,0.31400,-11.77900,0.25700,-11.55400,0.25200,-11.65500,0.26100,-11.63400,0.30400,-11.55000,0.28600,-11.44000,0.36000,-11.51500,0.38500,-8.58500,0.33600,-8.47600,0.23200,-8.57000,0.33300,-8.58900,0.18400,-8.59000,0.30000,-8.46700,0.24700,-8.52300,0.25700,-8.49500,0.19600,-8.24400,0.24800,-8.26400,0.22600,-8.37700,0.21500,-8.22200,0.39500,-8.26800,0.36500,-8.25500,0.29600,0,0.00160,0.73860,0.07470,27712256,31.93000,7.97000
26.07500,115.17500,Ganzhou,1,0.00930,5483.00000,0.01100,6880.00000,0.01180,7890.00000,0.01220,8788.00000,-9.00400,0.29700,-8.79000,0.42700,-9.09300,0.55600,-9.03500,0.32900,-8.50300,0.31400,-9.17700,0.29400,-8.84300,0.22700,-8.96700,0.26700,-11.56700,0.23200,-11.69800,0.25300,-11.61900,0.31400,-11.57800,0.31800,-11.83200,0.25000,-11.59500,0.25600,-11.69600,0.26300,-11.64500,0.31700,-11.59500,0.32900,-11.47400,0.40200,-11.56100,0.39100,-8.61200,0.35100,-8.50100,0.25200,-8.59400,0.33900,-8.64100,0.19000,-8.61900,0.30400,-8.47400,0.25100,-8.53300,0.25000,-8.50000,0.22500,-8.23800,0.26500,-8.26200,0.24300,-8.40100,0.20000,-8.26900,0.42100,-8.27500,0.38200,-8.25400,0.31100,0,0.00650,1.62080,0.66240,27712256,27.13000,7.27000
26.02500,114.67500,Ganzhou,2,0.00270,7657.00000,0.00450,10387.00000,0.00520,12157.00000,0.00670,14887.00000,-8.88900,0.37300,-8.75600,0.34600,-9.07100,0.46700,-8.83700,0.31300,-8.49600,0.29000,-9.25100,0.32100,-8.80600,0.20900,-8.98400,0.21000,-11.02400,0.27200,-11.27400,0.25200,-11.25200,0.30200,-11.14000,0.28600,-11.32100,0.18500,-11.37900,0.31300,-11.23500,0.23800,-11.11700,0.31400,-11.23300,0.31600,-11.09100,0.22800,-11.12600,0.28300,-8.54900,0.29100,-8.42800,0.25100,-8.52400,0.33600,-8.53200,0.18600,-8.55300,0.25700,-8.46100,0.19800,-8.40300,0.28600,-8.36500,0.27100,-8.27500,0.22500,-8.21700,0.17400,-8.33300,0.18900,-8.16000,0.34300,-8.25800,0.36600,-8.15600,0.21800,0,0.00550,1.54400,0.92920,27723824,41.34000,8.80000
26.02500,114.72500,Ganzhou,1,0.00000,0.00000,0.00000,0.00000,0.00000,382.00000,0.00000,984.00000,-8.93100,0.36800,-8.78300,0.35100,-9.09300,0.47100,-8.87200,0.31600,-8.52200,0.29900,-9.28300,0.32000,-8.82700,0.20400,-9.01500,0.21600,-11.10200,0.25900,-11.35700,0.25400,-11.34700,0.28000,-11.24700,0.28900,-11.40900,0.21200,-11.45100,0.31000,-11.32900,0.25500,-11.21200,0.30200,-11.32000,0.32900,-11.14400,0.24900,-11.20200,0.26900,-8.57400,0.28300,-8.45600,0.24300,-8.55000,0.33700,-8.56000,0.17900,-8.55500,0.25100,-8.45100,0.18300,-8.41500,0.28900,-8.36600,0.26600,-8.27200,0.21100,-8.21400,0.16900,-8.33200,0.18100,-8.15600,0.33000,-8.26100,0.35000,-8.15300,0.22500,0,0.00230,1.34880,0.15060,27723824,39.14000,8.59000
26.02500,114.77500,Ganzhou,1,0.00000,0.00000,0.00070,2809.00000,0.00110,3734.00000,0.00150,5337.00000,-9.01700,0.35800,-8.83900,0.36200,-9.13600,0.47800,-8.94700,0.32300,-8.57700,0.31900,-9.34800,0.31700,-8.87000,0.19500,-9.07800,0.22800,-11.18300,0.23200,-11.41700,0.25900,-11.42600,0.27600,-11.33600,0.29500,-11.48700,0.24300,-11.48800,0.29300,-11.39600,0.26600,-11.27000,0.25500,-11.37900,0.31700,-11.17500,0.27600,-11.25300,0.25500,-8.59900,0.27200,-8.48600,0.24100,-8.57100,0.32900,-8.58700,0.17400,-8.54600,0.25500,-8.43900,0.17200,-8.41900,0.28700,-8.35700,0.26300,-8.26600,0.20600,-8.20400,0.17500,-8.31900,0.17900,-8.15000,0.35000,-8.26100,0.33300,-8.16700,0.23800,0,0.00210,1.24440,0.13220,27723824,38.98000,8.52000
26.02500,114.82500,Ganzhou,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,246.00000,-9.04900,0.34800,-8.83800,0.36900,-9.13800,0.49900,-8.97100,0.32400,-8.59200,0.32400,-9.34900,0.30100,-8.87400,0.19300,-9.08600,0.23300,-11.27400,0.21500,-11.48200,0.25900,-11.49700,0.28100,-11.41300,0.32800,-11.55200,0.25600,-11.50600,0.29400,-11.44400,0.27900,-11.32900,0.22100,-11.40600,0.30800,-11.20200,0.30400,-11.26600,0.28300,-8.63100,0.26700,-8.52000,0.24700,-8.59600,0.31900,-8.62200,0.18800,-8.54500,0.27200,-8.44000,0.16700,-8.43200,0.28000,-8.36100,0.25800,-8.27100,0.21300,-8.19900,0.18900,-8.30900,0.18700,-8.16000,0.37900,-8.25900,0.33600,-8.20300,0.24400,0,0.00020,0.17750,0.00950,27723824,45.57000,8.55000
26.02500,114.87500,Ganzhou,1,0.00020,2563.00000,0.00070,4178.00000,0.00130,5662.00000,0.00300,5573.00000,-9.08600,0.33700,-8.83900,0.38100,-9.14300,0.52400,-8.99900,0.32500,-8.60800,0.33000,-9.35100,0.28600,-8.87600,0.19100,-9.09400,0.23900,-11.37200,0.20400,-11.55100,0.24400,-11.55700,0.27900,-11.47900,0.35600,-11.60800,0.25700,-11.50700,0.30300,-11.49500,0.28700,-11.39100,0.21000,-11.41000,0.28800,-11.22400,0.32900,-11.27300,0.31100,-8.66000,0.27300,-8.55300,0.25500,-8.62700,0.31400,-8.65500,0.20100,-8.55300,0.28800,-8.45800,0.16700,-8.47500,0.25500,-8.38400,0.24300,-8.29200,0.22400,-8.21700,0.20100,-8.32000,0.20400,-8.20200,0.35600,-8.27800,0.34200,-8.25300,0.24100,0,0.00010,0.12280,0.00470,27723824,38.86000,8.38000
26.02500,114.92500,Ganzhou,1,0.00000,349.00000,0.00020,501.00000,0.00030,719.00000,0.00040,646.00000,-9.09400,0.32200,-8.82000,0.39000,-9.12800,0.56700,-9.00700,0.31900,-8.59600,0.32900,-9.31300,0.26900,-8.85600,0.19400,-9.06900,0.24500,-11.44700,0.20900,-11.60300,0.22700,-11.57300,0.28000,-11.53100,0.37700,-11.64200,0.24800,-11.49200,0.29700,-11.53200,0.29100,-11.44000,0.20700,-11.38900,0.27400,-11.24600,0.34700,-11.27100,0.31800,-8.66800,0.27800,-8.56200,0.25400,-8.64100,0.31300,-8.66300,0.20800,-8.55800,0.29100,-8.46900,0.16900,-8.50600,0.24100,-8.41000,0.22900,-8.30300,0.23500,-8.23700,0.20900,-8.33000,0.21400,-8.23100,0.33600,-8.28400,0.34300,-8.27400,0.23600,1,0.00080,0.39350,0.04670,27723824,23.93000,7.71000
26.02500,114.97500,Ganzhou,1,0.00000,0.00000,0.00000,53.00000,0.00010,106.00000,0.00040,1160.00000,-9.09700,0.31400,-8.80500,0.39500,-9.11800,0.59300,-9.01200,0.31500,-8.58500,0.32900,-9.28800,0.26000,-8.84200,0.19600,-9.05300,0.24900,-11.48700,0.21500,-11.63300,0.22600,-11.56300,0.27000,-11.56300,0.36600,-11.66500,0.26000,-11.47400,0.28400,-11.53900,0.29700,-11.47600,0.21900,-11.37500,0.26700,-11.26900,0.34600,-11.27100,0.34400,-8.64100,0.28300,-8.53000,0.24900,-8.62000,0.31300,-8.62800,0.21200,-8.54800,0.28700,-8.45800,0.17000,-8.49800,0.24600,-8.41100,0.22400,-8.27900,0.24300,-8.22400,0.20800,-8.31500,0.21400,-8.20500,0.32300,-8.26300,0.33900,-8.24800,0.24100,0,0.00020,0.14020,0.00420,27723824,36.76000,8.34000
