latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
46.47500,5.87500,Geneva,1,0.00070,387.00000,0.00220,437.00000,0.00280,471.00000,0.00330,519.00000,-9.18100,0.33500,-9.39000,0.30400,-9.18800,0.17200,-9.49200,0.49600,-9.45700,0.41400,-9.13300,0.42700,-9.33200,0.50900,-9.30500,0.25000,-11.90400,0.26100,-11.82600,0.29100,-11.81500,0.27700,-11.83100,0.33900,-11.97900,0.26200,-11.81200,0.26200,-11.91200,0.23400,-11.76800,0.17400,-11.85100,0.30100,-11.98000,0.38100,-11.94000,0.28200,-8.71600,0.33000,-8.81100,0.34700,-8.75600,0.20200,-8.84400,0.29000,-8.70100,0.26700,-8.78500,0.25300,-8.65100,0.27400,-8.64000,0.34100,-9.01000,0.25100,-8.70700,0.23700,-8.88900,0.23600,-8.82100,0.35600,-8.86100,0.25400,-8.70700,0.22000,0,0.00210,1.43630,0.12220,21342212,43.25000,7.30000
46.47500,5.92500,Geneva,1,0.00090,1276.00000,0.00210,1219.00000,0.00340,1136.00000,0.00410,926.00000,-9.17300,0.34000,-9.38400,0.30800,-9.18000,0.17400,-9.48900,0.48700,-9.44700,0.40500,-9.12200,0.43700,-9.33400,0.50300,-9.29700,0.25000,-11.90500,0.26400,-11.86200,0.27700,-11.84000,0.25600,-11.87700,0.34700,-11.99000,0.27100,-11.83000,0.26500,-11.91600,0.23600,-11.76900,0.19200,-11.85800,0.30700,-11.98400,0.39600,-11.94300,0.29600,-8.70500,0.32300,-8.79800,0.34100,-8.75000,0.20200,-8.83100,0.29500,-8.68400,0.26700,-8.77300,0.25400,-8.63600,0.27200,-8.60700,0.32200,-8.98800,0.24700,-8.70100,0.23600,-8.87700,0.23300,-8.78600,0.36000,-8.85200,0.25100,-8.69000,0.21200,0,0.00540,2.78930,0.36420,21342212,46.77000,7.31000
46.47500,5.97500,Geneva,0,0.00050,47.00000,0.00090,49.00000,0.00170,171.00000,0.00220,202.00000,-9.17200,0.34800,-9.38300,0.31500,-9.18300,0.17500,-9.49800,0.46800,-9.43800,0.37700,-9.11700,0.46000,-9.34600,0.49000,-9.30000,0.25500,-11.91400,0.27100,-11.90000,0.26200,-11.87200,0.23000,-11.91800,0.34800,-11.99900,0.27900,-11.85200,0.26600,-11.91700,0.23400,-11.77000,0.20600,-11.86600,0.31800,-11.98800,0.40800,-11.94400,0.31200,-8.70800,0.31700,-8.79600,0.33300,-8.75800,0.20200,-8.82800,0.29900,-8.68100,0.26800,-8.77400,0.25900,-8.63200,0.27300,-8.59000,0.31100,-8.97800,0.24300,-8.70300,0.23600,-8.87300,0.23000,-8.77100,0.36600,-8.85400,0.25200,-8.68700,0.20600,0,0.00110,1.04520,0.06100,21342212,54.70000,7.01000
46.47500,6.02500,Geneva,1,0.00910,455.00000,0.01840,539.00000,0.02100,678.00000,0.02460,1134.00000,-9.22700,0.35900,-9.39500,0.34500,-9.25400,0.18200,-9.59400,0.40500,-9.48700,0.29200,-9.15900,0.56200,-9.44800,0.46600,-9.36700,0.27400,-11.95400,0.28400,-11.97200,0.26300,-11.95200,0.20800,-12.00500,0.32800,-12.03800,0.27700,-11.91400,0.26700,-11.95400,0.22900,-11.81000,0.21700,-11.91200,0.34000,-12.01500,0.39900,-11.97000,0.32300,-8.72700,0.31600,-8.80600,0.33100,-8.77900,0.20600,-8.83300,0.30000,-8.69600,0.25400,-8.78400,0.26700,-8.63900,0.27500,-8.58300,0.31400,-8.97600,0.24000,-8.71200,0.23700,-8.88100,0.22500,-8.76600,0.37600,-8.86200,0.25400,-8.69300,0.19800,0,0.00350,1.74880,0.21220,21342212,54.32000,6.97000
46.47500,6.07500,Geneva,1,0.00660,2383.00000,0.01650,2596.00000,0.02060,2716.00000,0.02320,3110.00000,-9.22000,0.36300,-9.39600,0.34400,-9.25100,0.18300,-9.58900,0.39600,-9.47000,0.28000,-9.15300,0.55800,-9.44000,0.45400,-9.36500,0.27500,-12.02300,0.29600,-12.06400,0.23900,-12.05500,0.20500,-12.11000,0.30900,-12.09800,0.27000,-12.00500,0.26700,-12.03100,0.23000,-11.89500,0.23100,-11.97600,0.33900,-12.08600,0.38000,-12.03200,0.32800,-8.75800,0.31400,-8.82900,0.33400,-8.81200,0.21100,-8.85200,0.30200,-8.72000,0.25500,-8.79800,0.27300,-8.65600,0.27200,-8.59200,0.31700,-8.98400,0.24200,-8.72400,0.24300,-8.90400,0.21600,-8.77700,0.38700,-8.87400,0.26500,-8.70900,0.19800,0,0.01140,3.86890,0.68700,21342212,36.41000,7.09000
46.47500,6.12500,Geneva,0,0.00070,0.00000,0.00250,337.00000,0.00330,436.00000,0.00360,410.00000,-9.36100,0.36800,-9.44100,0.35800,-9.44100,0.19200,-9.78100,0.30600,-9.60000,0.20800,-9.33300,0.55300,-9.60400,0.41400,-9.56600,0.24500,-12.11300,0.27800,-12.17900,0.22200,-12.15800,0.22600,-12.20100,0.28900,-12.18100,0.24800,-12.11100,0.26100,-12.14700,0.24200,-12.01600,0.21700,-12.04100,0.34700,-12.13600,0.33700,-12.08300,0.31400,-8.83300,0.30300,-8.88700,0.34500,-8.88900,0.23000,-8.89200,0.28900,-8.78900,0.25700,-8.85800,0.27400,-8.71900,0.28300,-8.64800,0.32300,-9.02500,0.24600,-8.77200,0.25200,-8.96300,0.21900,-8.82200,0.42500,-8.91400,0.27800,-8.75600,0.20900,0,0.00040,0.18900,0.02410,21342212,47.36000,7.61000
46.47500,6.17500,Geneva,0,0.00180,0.00000,0.00300,53.00000,0.00340,105.00000,0.00430,228.00000,-9.35900,0.36900,-9.44500,0.35500,-9.44600,0.19400,-9.78100,0.29800,-9.58600,0.20300,-9.33400,0.55000,-9.59900,0.40300,-9.57100,0.24500,-12.15000,0.27400,-12.22400,0.23000,-12.19900,0.21900,-12.23500,0.28600,-12.23200,0.24600,-12.16300,0.24800,-12.19000,0.25400,-12.07300,0.23500,-12.03400,0.35200,-12.14900,0.32400,-12.08200,0.30800,-8.95600,0.31800,-8.99800,0.36800,-8.99900,0.26400,-8.99200,0.28200,-8.92700,0.27700,-8.96200,0.25300,-8.83500,0.32200,-8.74100,0.30100,-9.09000,0.24200,-8.87300,0.25100,-9.05700,0.22500,-8.94100,0.48200,-8.99200,0.28000,-8.85000,0.22300,0,0.00080,0.34340,0.04750,21342212,54.15000,6.98000
46.47500,6.22500,Geneva,1,0.00520,2243.00000,0.02410,2916.00000,0.03060,3713.00000,0.03510,5490.00000,-9.42600,0.37300,-9.47600,0.35300,-9.54000,0.20500,-9.85700,0.26000,-9.64500,0.20900,-9.42900,0.54200,-9.67000,0.40000,-9.66000,0.24000,-12.20100,0.27600,-12.28100,0.24200,-12.24900,0.22200,-12.27700,0.28200,-12.29200,0.24100,-12.22300,0.23600,-12.25600,0.26500,-12.13300,0.24600,-12.05500,0.34500,-12.17600,0.31100,-12.10900,0.30200,-9.15000,0.35000,-9.20300,0.37100,-9.21300,0.30500,-9.18900,0.29000,-9.12000,0.28900,-9.14200,0.24800,-9.01100,0.35200,-8.90800,0.29500,-9.22500,0.23900,-9.04200,0.24900,-9.19900,0.23900,-9.10800,0.51500,-9.11900,0.29000,-8.99800,0.25900,0,0.01450,3.20850,0.86410,21342212,31.69000,6.33000
46.47500,6.27500,Geneva,1,0.01320,947.00000,0.02500,1182.00000,0.02830,1405.00000,0.03370,1882.00000,-9.53100,0.37700,-9.52100,0.35100,-9.68100,0.22100,-9.97500,0.20800,-9.74400,0.22100,-9.57600,0.53300,-9.78400,0.40300,-9.79400,0.23400,-12.25900,0.27900,-12.34900,0.26000,-12.30400,0.23000,-12.32400,0.27800,-12.35800,0.24100,-12.28800,0.22700,-12.33800,0.27800,-12.19800,0.25300,-12.08600,0.33200,-12.21200,0.29600,-12.14600,0.29200,-9.49700,0.40500,-9.59300,0.35200,-9.59800,0.33700,-9.56400,0.30000,-9.44500,0.28100,-9.46100,0.26400,-9.29500,0.37600,-9.21200,0.32000,-9.49400,0.24400,-9.33200,0.25800,-9.44600,0.26100,-9.36700,0.53200,-9.34700,0.32900,-9.24400,0.32200,0,0.00850,4.38150,0.50480,21342212,33.41000,5.89000
46.47500,6.32500,Geneva,1,0.03810,3196.00000,0.04930,5105.00000,0.05260,7062.00000,0.05750,11830.00000,-9.52900,0.37700,-9.52200,0.34900,-9.68200,0.22200,-9.97200,0.20700,-9.73900,0.22200,-9.57400,0.53100,-9.78000,0.40200,-9.79400,0.23400,-12.31800,0.29700,-12.39700,0.27300,-12.31300,0.23200,-12.32800,0.26500,-12.41400,0.21900,-12.32700,0.23300,-12.38400,0.27900,-12.22700,0.27800,-12.05700,0.31500,-12.19700,0.27700,-12.15600,0.30800,-9.86700,0.39100,-9.88500,0.39300,-9.93900,0.33800,-9.94900,0.26900,-9.76100,0.31300,-9.86600,0.28600,-9.70900,0.33300,-9.57600,0.35100,-9.92500,0.24800,-9.67900,0.29900,-9.77200,0.30800,-9.83300,0.52600,-9.71200,0.34600,-9.67500,0.36000,0,0.02230,5.02920,1.60130,21342212,19.38000,5.69000
