latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
5.67500,100.07500,GeorgeTown,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30625864,-9999.00000,-9999.00000
5.67500,100.12500,GeorgeTown,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30625864,-9999.00000,-9999.00000
5.67500,100.17500,GeorgeTown,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30625864,-9999.00000,-9999.00000
5.67500,100.22500,GeorgeTown,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30625864,-9999.00000,-9999.00000
5.67500,100.27500,GeorgeTown,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30625864,0.85000,10.72000
5.67500,100.32500,GeorgeTown,0,0.00460,117.00000,0.01350,225.00000,0.01830,218.00000,0.02130,368.00000,-10.33300,0.70800,-10.19200,0.44600,-10.05200,0.27600,-10.15200,0.84500,-10.09300,0.23100,-9.89300,0.30000,-10.41900,0.34300,-10.07100,0.25100,-12.68500,0.37600,-12.59800,0.21600,-12.83500,0.29700,-12.77600,0.25900,-12.60000,0.26400,-12.64800,0.32800,-12.91600,0.32000,-12.69500,0.41300,-12.55100,0.33700,-12.66600,0.39600,-12.59900,0.39100,-10.45100,0.36300,-10.51300,0.46800,-10.50000,0.40300,-10.57300,0.41500,-10.56700,0.48300,-10.42600,0.29400,-10.48400,0.49500,-10.48400,0.42000,-10.47200,0.45900,-10.56800,0.43400,-10.58800,0.35500,-10.40000,0.57400,-10.39600,0.42100,-10.46000,0.47100,100,-9999,-9999,-9999,30625864,11.95000,9.59000
5.67500,100.37500,GeorgeTown,1,0.01120,4445.00000,0.06890,5081.00000,0.09570,6522.00000,0.11110,8130.00000,-10.33300,0.70800,-10.19200,0.44600,-10.05200,0.27600,-10.15200,0.84500,-10.09300,0.23100,-9.89300,0.30000,-10.41900,0.34300,-10.07100,0.25100,-12.15600,0.34500,-12.04700,0.22600,-12.27600,0.27700,-12.22100,0.25400,-12.02600,0.24400,-12.06900,0.28700,-12.31700,0.28700,-12.12500,0.38500,-11.99000,0.34300,-12.07300,0.33100,-12.02600,0.36800,-9.98200,0.36100,-10.04700,0.41800,-10.07500,0.40500,-10.10300,0.40100,-10.10900,0.44800,-10.00400,0.32000,-9.98800,0.47800,-9.98000,0.41000,-9.98800,0.43600,-10.04600,0.42300,-10.07200,0.34600,-9.88400,0.55500,-9.90100,0.43800,-9.91000,0.44700,3,-9999,-9999,-9999,30625864,31.28000,8.18000
5.67500,100.42500,GeorgeTown,1,0.01030,3630.00000,0.07500,8060.00000,0.13000,10883.00000,0.16100,14257.00000,-9.56000,0.54700,-9.47700,0.36800,-9.34500,0.25600,-9.46700,0.67500,-9.40600,0.20400,-9.19500,0.25100,-9.64900,0.28700,-9.34000,0.19600,-10.61000,0.26700,-10.47200,0.23100,-10.66400,0.21600,-10.60700,0.22900,-10.40200,0.20200,-10.42400,0.21200,-10.62400,0.20300,-10.47800,0.31500,-10.35900,0.33200,-10.34500,0.22500,-10.38100,0.31400,-8.54600,0.38700,-8.63100,0.33600,-8.63000,0.44200,-8.63700,0.38300,-8.68900,0.42600,-8.65300,0.34600,-8.52700,0.41200,-8.43500,0.37100,-8.42600,0.35000,-8.44600,0.40200,-8.38300,0.33000,-8.30400,0.46500,-8.35500,0.42000,-8.24700,0.43200,0,-9999,-9999,-9999,30625864,28.60000,8.46000
5.67500,100.47500,GeorgeTown,2,0.07810,20724.00000,0.18940,27779.00000,0.31000,38948.00000,0.33860,49286.00000,-8.94300,0.41900,-8.90600,0.30600,-8.78000,0.23900,-8.92000,0.53900,-8.85800,0.18300,-8.63700,0.21200,-9.03400,0.24200,-8.75500,0.15300,-9.63400,0.21300,-9.50500,0.19800,-9.68100,0.19100,-9.63100,0.22900,-9.46600,0.18100,-9.45900,0.20700,-9.63700,0.17300,-9.46100,0.28500,-9.36100,0.28800,-9.31200,0.25200,-9.36800,0.27900,-7.63200,0.29600,-7.76800,0.31100,-7.65400,0.37900,-7.76100,0.28500,-7.72900,0.36300,-7.69500,0.26200,-7.61600,0.28200,-7.56900,0.30000,-7.50600,0.27600,-7.55200,0.34500,-7.39100,0.28900,-7.42100,0.35200,-7.50500,0.36500,-7.35700,0.34600,0,-9999,-9999,-9999,30625864,24.77000,8.76000
5.67500,100.52500,GeorgeTown,3,0.01920,10935.00000,0.15180,36386.00000,0.27890,48547.00000,0.40720,74952.00000,-8.20000,0.29100,-8.19700,0.19700,-8.11500,0.19000,-8.21500,0.29400,-8.14900,0.15900,-7.98400,0.13900,-8.23200,0.15300,-8.08400,0.14700,-9.12800,0.19600,-8.95600,0.19300,-9.10400,0.19600,-9.10500,0.23900,-8.95700,0.20400,-8.92000,0.19400,-9.07100,0.16900,-8.90200,0.23900,-8.81600,0.21500,-8.76400,0.26700,-8.78300,0.22300,-7.40700,0.26000,-7.48700,0.26300,-7.41400,0.31400,-7.51200,0.22600,-7.46000,0.29800,-7.42800,0.22800,-7.39300,0.22800,-7.35600,0.29400,-7.28300,0.23900,-7.32900,0.31000,-7.15700,0.25700,-7.21500,0.30700,-7.24200,0.35900,-7.10000,0.27600,0,-9999,-9999,-9999,30625864,21.42000,8.81000
