latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
28.92500,77.17500,Ghaziabad,1,0.00690,13068.00000,0.02000,14259.00000,0.02810,17624.00000,0.03570,22351.00000,-9.18200,0.51100,-8.89900,0.40500,-8.94700,0.68900,-9.04100,0.60600,-9.04600,0.44300,-8.83800,0.27000,-9.28800,0.21500,-9.19100,0.74300,-11.62000,0.44200,-11.37500,0.40400,-11.55200,0.42700,-11.54400,0.43300,-11.13700,0.45200,-11.60000,0.38500,-11.40700,0.44600,-11.18900,0.42600,-11.29300,0.40800,-11.15800,0.43200,-11.35300,0.43900,-9.38800,0.34800,-9.19300,0.50300,-9.38800,0.56000,-8.79500,0.66600,-9.05900,0.48900,-9.13700,0.70200,-8.91700,0.54700,-9.25700,0.45400,-8.84000,0.51700,-8.82900,0.48800,-8.71700,0.40700,-8.41500,0.65600,-8.59900,0.52900,-8.66700,0.45400,0,-9999.00000,-9999.00000,-9999.00000,27018452,10.09000,3.54000
28.92500,77.22500,Ghaziabad,2,0.01670,106405.00000,0.04040,137818.00000,0.05250,152151.00000,0.05800,168685.00000,-9.11300,0.51800,-8.84400,0.45700,-8.86200,0.63500,-9.00600,0.51200,-8.99900,0.39500,-8.73800,0.23300,-9.17400,0.20600,-9.05900,0.67100,-11.46400,0.38200,-11.20200,0.38300,-11.43100,0.41600,-11.41400,0.41700,-10.98100,0.40100,-11.48800,0.38500,-11.25600,0.46400,-11.07500,0.40800,-11.14900,0.35900,-11.05900,0.41700,-11.26500,0.43500,-9.40900,0.33200,-9.24200,0.43800,-9.38500,0.52600,-8.81900,0.57200,-9.06900,0.41200,-9.20500,0.61400,-8.98500,0.46100,-9.29900,0.41200,-9.02600,0.45600,-8.93500,0.39000,-8.85100,0.29100,-8.60000,0.61100,-8.86100,0.46000,-8.88500,0.43200,0,-9999.00000,-9999.00000,-9999.00000,27018452,5.86000,2.30000
28.92500,77.27500,Ghaziabad,1,0.00670,3170.00000,0.01410,6695.00000,0.01530,6069.00000,0.01620,7477.00000,-9.09300,0.52100,-8.82900,0.46100,-8.84800,0.63700,-8.98300,0.51400,-8.98200,0.39700,-8.71900,0.23800,-9.15400,0.20600,-9.03400,0.67500,-11.30800,0.34200,-11.07200,0.35100,-11.33600,0.40500,-11.30700,0.42300,-10.87900,0.36700,-11.39400,0.40000,-11.15000,0.44800,-10.99100,0.37400,-11.06000,0.32200,-11.00800,0.37900,-11.21800,0.41300,-9.36600,0.31800,-9.23400,0.41900,-9.35400,0.49700,-8.81600,0.54000,-9.01500,0.35500,-9.22400,0.55000,-9.00000,0.41700,-9.29600,0.38100,-9.07600,0.44400,-8.95600,0.36500,-8.88100,0.26700,-8.64400,0.58400,-8.95100,0.45000,-8.97700,0.40900,0,-9999.00000,-9999.00000,-9999.00000,27018452,6.22000,2.44000
28.92500,77.32500,Ghaziabad,0,0.00140,304.00000,0.00160,372.00000,0.00170,324.00000,0.00190,368.00000,-9.08800,0.50700,-8.83000,0.52000,-8.80200,0.61000,-8.99800,0.42500,-9.00500,0.32700,-8.67600,0.24000,-9.11000,0.23000,-8.97600,0.59100,-11.18600,0.31300,-10.94000,0.32800,-11.21700,0.38500,-11.18100,0.44000,-10.78600,0.34200,-11.30500,0.40300,-11.00900,0.44100,-10.91100,0.36200,-10.98200,0.31400,-10.96700,0.33800,-11.17900,0.36800,-9.32900,0.34600,-9.20300,0.40500,-9.30100,0.47200,-8.78100,0.51300,-8.94700,0.31300,-9.18500,0.50800,-8.94900,0.36900,-9.24700,0.35900,-9.05800,0.46000,-8.93700,0.35500,-8.87800,0.25800,-8.64500,0.57400,-8.94500,0.44800,-8.98900,0.40600,0,-9999.00000,-9999.00000,-9999.00000,27018452,6.68000,2.45000
28.92500,77.37500,Ghaziabad,0,0.00020,390.00000,0.00020,333.00000,0.00080,914.00000,0.00100,986.00000,-9.05200,0.50900,-8.79600,0.52300,-8.77600,0.61600,-8.95000,0.43100,-8.97800,0.32800,-8.64000,0.25100,-9.07100,0.23200,-8.92900,0.60400,-11.03500,0.29900,-10.79900,0.30100,-11.05500,0.36200,-11.02400,0.46400,-10.65600,0.31800,-11.16700,0.40500,-10.84500,0.43000,-10.79600,0.36500,-10.88100,0.30200,-10.89400,0.32900,-11.07800,0.36800,-9.28800,0.35400,-9.11600,0.40500,-9.21600,0.44200,-8.72400,0.50900,-8.89400,0.29100,-9.11300,0.48300,-8.87100,0.32100,-9.13900,0.34500,-8.99400,0.46100,-8.88600,0.35100,-8.84600,0.24700,-8.61500,0.58700,-8.90400,0.46500,-8.96900,0.40200,0,-9999.00000,-9999.00000,-9999.00000,27018452,6.52000,2.44000
28.92500,77.42500,Ghaziabad,0,0.00060,0.00000,0.00100,34.00000,0.00210,186.00000,0.00290,380.00000,-9.05000,0.48600,-8.78300,0.56100,-8.74000,0.58500,-8.92900,0.38400,-8.98100,0.30600,-8.60000,0.26700,-9.02100,0.26100,-8.87000,0.55200,-10.90400,0.30200,-10.69900,0.28400,-10.93300,0.36800,-10.87200,0.45900,-10.56600,0.29800,-11.02600,0.39400,-10.70000,0.41300,-10.68100,0.36100,-10.78400,0.27800,-10.83600,0.30400,-10.98200,0.35000,-9.22800,0.34600,-8.97000,0.37100,-9.13400,0.39800,-8.62500,0.53600,-8.81600,0.27900,-9.01000,0.43500,-8.79800,0.30400,-9.05000,0.35100,-8.92500,0.45900,-8.79500,0.33400,-8.78500,0.28600,-8.51800,0.58000,-8.82900,0.47700,-8.91100,0.41300,0,-9999.00000,-9999.00000,-9999.00000,27018452,6.38000,2.45000
28.92500,77.47500,Ghaziabad,0,0.00220,8153.00000,0.00340,6634.00000,0.00500,7595.00000,0.00640,8694.00000,-9.03100,0.48500,-8.76300,0.56100,-8.72700,0.58900,-8.90100,0.39100,-8.96900,0.30600,-8.57800,0.27400,-8.99900,0.26500,-8.83900,0.56100,-10.79900,0.30300,-10.60700,0.25900,-10.80900,0.37700,-10.71800,0.47400,-10.47100,0.26800,-10.86300,0.36300,-10.57900,0.41800,-10.57800,0.36100,-10.69500,0.27500,-10.74900,0.26900,-10.89600,0.32700,-9.10800,0.33400,-8.80700,0.36000,-9.05000,0.39200,-8.41300,0.53700,-8.70200,0.25300,-8.86500,0.41700,-8.66500,0.30000,-8.94100,0.36800,-8.84300,0.45000,-8.68600,0.33800,-8.70600,0.27200,-8.35600,0.61000,-8.67000,0.42900,-8.75900,0.40600,0,-9999.00000,-9999.00000,-9999.00000,27018452,14.41000,3.41000
28.92500,77.52500,Ghaziabad,1,0.00290,5903.00000,0.00400,3914.00000,0.00610,8281.00000,0.00690,9316.00000,-9.05200,0.45200,-8.78100,0.57400,-8.73800,0.53400,-8.90300,0.39200,-8.97100,0.31800,-8.57000,0.27600,-8.98600,0.28300,-8.81300,0.52600,-10.69100,0.29200,-10.50600,0.25100,-10.70100,0.38300,-10.56400,0.49700,-10.35500,0.27500,-10.69600,0.34400,-10.44800,0.43100,-10.46500,0.39200,-10.58900,0.32000,-10.67500,0.26100,-10.79300,0.35500,-8.99500,0.31700,-8.69200,0.34600,-8.97100,0.37300,-8.21200,0.62100,-8.56000,0.24200,-8.71900,0.45500,-8.49400,0.31900,-8.81000,0.37800,-8.68600,0.48200,-8.45700,0.39600,-8.54900,0.28600,-8.15800,0.71900,-8.45400,0.44400,-8.49700,0.39100,0,-9999.00000,-9999.00000,-9999.00000,27018452,11.07000,3.13000
28.92500,77.57500,Ghaziabad,0,0.00090,106.00000,0.00160,73.00000,0.00250,206.00000,0.00340,685.00000,-9.05200,0.44400,-8.78000,0.57300,-8.74100,0.52700,-8.89700,0.39900,-8.97100,0.32000,-8.56600,0.27300,-8.97900,0.28600,-8.80200,0.52700,-10.60600,0.29200,-10.43900,0.23500,-10.62500,0.37800,-10.44400,0.52700,-10.25700,0.28700,-10.57100,0.33000,-10.37100,0.45500,-10.37700,0.40000,-10.48600,0.36200,-10.58200,0.25800,-10.69200,0.37300,-8.88500,0.32900,-8.61700,0.35700,-8.88600,0.38400,-8.06000,0.64600,-8.45700,0.27400,-8.58900,0.50100,-8.36900,0.34700,-8.66700,0.44000,-8.55000,0.50900,-8.30500,0.39200,-8.38400,0.36300,-7.98700,0.77100,-8.26800,0.49500,-8.28400,0.40500,0,-9999.00000,-9999.00000,-9999.00000,27018452,10.91000,3.15000
28.92500,77.62500,Ghaziabad,2,0.00650,17038.00000,0.02280,28048.00000,0.03080,41895.00000,0.04580,71941.00000,-9.09000,0.40000,-8.80800,0.57200,-8.76600,0.45600,-8.91800,0.42200,-8.97200,0.33300,-8.58200,0.24400,-8.96300,0.28500,-8.80900,0.51000,-10.54700,0.29500,-10.39400,0.22600,-10.59500,0.39500,-10.35800,0.56500,-10.17600,0.31300,-10.49400,0.36800,-10.30800,0.48200,-10.30200,0.38700,-10.40500,0.38400,-10.48800,0.24800,-10.61400,0.38300,-8.80000,0.33500,-8.54800,0.38800,-8.81100,0.40700,-7.93600,0.62100,-8.36800,0.29500,-8.47800,0.52500,-8.22400,0.39100,-8.56700,0.49500,-8.44500,0.52400,-8.16500,0.43300,-8.22400,0.42700,-7.82900,0.88100,-8.05700,0.56100,-8.13000,0.42500,0,-9999.00000,-9999.00000,-9999.00000,27018452,7.92000,2.64000
