latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
20.92500,-103.57500,Guadalajara,0,0.00010,135.00000,0.00020,245.00000,0.00020,230.00000,0.00020,109.00000,-8.40300,0.26100,-8.53600,0.21200,-8.31700,0.22900,-8.57300,0.22600,-8.66300,0.32900,-8.28100,0.10300,-8.47900,0.35500,-8.76200,0.15700,-10.39800,0.41900,-10.66100,0.31600,-10.34900,0.39500,-10.54600,0.29500,-10.35000,0.32400,-10.30600,0.29100,-10.38200,0.36200,-10.42800,0.35900,-10.18800,0.29100,-10.31100,0.37400,-10.44600,0.22500,-8.31400,0.24900,-8.27600,0.29900,-8.43600,0.33800,-8.26100,0.30400,-8.57400,0.40900,-8.38300,0.31000,-8.23000,0.49000,-8.43300,0.26200,-8.69000,0.29100,-8.44300,0.27100,-8.34300,0.39700,-8.46300,0.41000,-8.37300,0.34200,-8.37600,0.25200,0,-9999,-9999,-9999,28792330,14.34000,5.81000
20.92500,-103.52500,Guadalajara,0,0.00000,34.00000,0.00000,62.00000,0.00010,20.00000,0.00010,10.00000,-8.39600,0.26600,-8.53200,0.21200,-8.31400,0.23500,-8.57000,0.25100,-8.65200,0.32600,-8.26400,0.10800,-8.46000,0.35500,-8.74700,0.17300,-10.30000,0.45500,-10.62400,0.33900,-10.32300,0.39300,-10.48300,0.29200,-10.29600,0.30400,-10.23100,0.30200,-10.33400,0.38600,-10.39100,0.36300,-10.17500,0.30900,-10.24100,0.40200,-10.40800,0.21600,-8.34600,0.26400,-8.30700,0.32100,-8.47400,0.35100,-8.28600,0.32700,-8.58200,0.41800,-8.37200,0.30600,-8.24800,0.52500,-8.45600,0.27900,-8.69900,0.28700,-8.48300,0.27900,-8.35700,0.38600,-8.51000,0.39600,-8.40000,0.37400,-8.40500,0.25600,0,-9999,-9999,-9999,28792330,16.67000,5.76000
20.92500,-103.47500,Guadalajara,0,0.00000,0.00000,0.00000,0.00000,0.00030,37.00000,0.00200,124.00000,-8.37100,0.28500,-8.52300,0.21800,-8.29900,0.25800,-8.57600,0.36200,-8.62600,0.31100,-8.20500,0.12700,-8.39200,0.35000,-8.70300,0.22100,-10.21300,0.46800,-10.54800,0.33000,-10.25100,0.37600,-10.35100,0.31200,-10.18900,0.26600,-10.11400,0.30600,-10.24800,0.39800,-10.29500,0.36300,-10.12800,0.30500,-10.13500,0.42500,-10.32000,0.21400,-8.36000,0.28800,-8.32900,0.34100,-8.49600,0.36100,-8.29500,0.35600,-8.59300,0.41800,-8.37000,0.30900,-8.27000,0.53000,-8.47600,0.29300,-8.70600,0.28700,-8.51400,0.30200,-8.38500,0.37600,-8.54100,0.37500,-8.41100,0.39300,-8.44600,0.27500,0,-9999,-9999,-9999,28792330,14.01000,5.15000
20.92500,-103.42500,Guadalajara,0,0.00020,37.00000,0.00040,53.00000,0.00070,57.00000,0.00170,54.00000,-8.39000,0.29700,-8.54500,0.21900,-8.31700,0.26700,-8.56700,0.32900,-8.63900,0.30600,-8.20200,0.13600,-8.39500,0.34300,-8.72500,0.24700,-10.18600,0.44000,-10.51400,0.30700,-10.18900,0.36100,-10.23200,0.31000,-10.12200,0.25800,-10.05200,0.28200,-10.17300,0.40600,-10.22200,0.35900,-10.09800,0.29000,-10.06200,0.42600,-10.26200,0.22600,-8.36600,0.30700,-8.36900,0.34700,-8.49700,0.38300,-8.31600,0.36600,-8.61100,0.41600,-8.38600,0.32400,-8.27600,0.49900,-8.50200,0.29600,-8.71500,0.31200,-8.53400,0.31700,-8.42800,0.39800,-8.54400,0.35000,-8.42000,0.40700,-8.50200,0.29400,0,-9999,-9999,-9999,28792330,9.08000,4.36000
20.92500,-103.37500,Guadalajara,0,0.00010,2.00000,0.00030,73.00000,0.00050,45.00000,0.00070,20.00000,-8.40900,0.30900,-8.56700,0.21900,-8.33600,0.27700,-8.54800,0.27200,-8.65400,0.30000,-8.19700,0.14500,-8.39800,0.33500,-8.74800,0.27300,-10.21800,0.42100,-10.54300,0.28700,-10.18600,0.35100,-10.18100,0.27300,-10.11900,0.26400,-10.07400,0.26000,-10.14600,0.37700,-10.20300,0.34600,-10.11400,0.26700,-10.05200,0.40900,-10.27300,0.25100,-8.38000,0.31000,-8.42500,0.36100,-8.52700,0.40700,-8.35600,0.36500,-8.64500,0.41400,-8.42800,0.35300,-8.28800,0.45500,-8.56100,0.29900,-8.75300,0.34800,-8.56500,0.32100,-8.45200,0.42200,-8.50000,0.31700,-8.44700,0.40600,-8.56300,0.30000,0,-9999,-9999,-9999,28792330,15.20000,5.17000
20.92500,-103.32500,Guadalajara,0,0.00010,0.00000,0.00020,0.00000,0.00020,0.00000,0.00020,0.00000,-8.51500,0.33100,-8.66400,0.20900,-8.44300,0.27600,-8.59200,0.24000,-8.75800,0.30500,-8.27600,0.15100,-8.50500,0.32400,-8.90600,0.28600,-10.33800,0.40400,-10.64600,0.27300,-10.27500,0.33400,-10.21900,0.24700,-10.20000,0.26900,-10.20000,0.24700,-10.21200,0.32900,-10.27900,0.34300,-10.20500,0.26100,-10.14800,0.40500,-10.38400,0.26600,-8.47800,0.30000,-8.56000,0.36200,-8.63600,0.41200,-8.48400,0.35900,-8.77600,0.39700,-8.52900,0.35700,-8.37400,0.43300,-8.67300,0.31000,-8.84900,0.38200,-8.66500,0.34000,-8.55000,0.43200,-8.54600,0.32600,-8.53900,0.42800,-8.66600,0.33300,0,-9999,-9999,-9999,28792330,19.78000,5.67000
20.92500,-103.27500,Guadalajara,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00050,0.00000,-8.54000,0.33700,-8.68500,0.20600,-8.47200,0.27600,-8.59400,0.22400,-8.78200,0.30800,-8.29100,0.15300,-8.53000,0.32100,-8.94200,0.29100,-10.50600,0.38600,-10.81100,0.27100,-10.40900,0.29900,-10.33500,0.25600,-10.34200,0.28600,-10.38600,0.23500,-10.35700,0.28900,-10.40900,0.35800,-10.34100,0.28100,-10.32400,0.39700,-10.55600,0.27000,-8.77400,0.31200,-8.87800,0.38100,-8.95900,0.40600,-8.84600,0.36900,-9.05400,0.44100,-8.87500,0.34300,-8.66500,0.45500,-8.94500,0.32400,-9.09800,0.38700,-8.99500,0.31500,-8.88400,0.40300,-8.82200,0.39400,-8.88500,0.53500,-8.96000,0.35700,0,-9999,-9999,-9999,28792330,14.87000,5.66000
20.92500,-103.22500,Guadalajara,0,0.00000,890.00000,0.00010,1022.00000,0.00030,1288.00000,0.00100,1295.00000,-8.74800,0.35900,-8.87700,0.19100,-8.67300,0.27300,-8.73800,0.18900,-8.98400,0.33000,-8.47400,0.16200,-8.75800,0.30600,-9.25600,0.33100,-10.70600,0.36100,-11.06100,0.25300,-10.60700,0.29200,-10.57500,0.30500,-10.57700,0.27600,-10.66200,0.21500,-10.57700,0.28600,-10.62500,0.35700,-10.59100,0.30000,-10.62400,0.34400,-10.83600,0.24000,-9.39700,0.35600,-9.44400,0.38900,-9.62000,0.42500,-9.32200,0.40200,-9.66800,0.49800,-9.42000,0.40900,-9.14000,0.46100,-9.59000,0.41100,-9.69100,0.42300,-9.54500,0.37200,-9.53900,0.43400,-9.38700,0.38900,-9.48500,0.61900,-9.49900,0.41200,0,-9999,-9999,-9999,28792330,7.50000,5.06000
20.92500,-103.17500,Guadalajara,0,0.00010,589.00000,0.00020,193.00000,0.00050,731.00000,0.00080,725.00000,-8.81000,0.35900,-8.93100,0.18800,-8.73100,0.27300,-8.78700,0.18800,-9.03400,0.33800,-8.52600,0.16600,-8.82200,0.30300,-9.32200,0.33600,-10.87300,0.32900,-11.27600,0.27100,-10.79100,0.28300,-10.79300,0.33500,-10.76400,0.24500,-10.87800,0.21800,-10.76900,0.30100,-10.80100,0.36200,-10.78800,0.31400,-10.86800,0.29300,-11.08000,0.23800,-9.62100,0.39400,-9.61800,0.35300,-9.88400,0.42200,-9.52200,0.43900,-9.90500,0.42200,-9.74800,0.41800,-9.41500,0.42400,-9.83900,0.41600,-9.93900,0.41200,-9.82200,0.35700,-9.79500,0.37300,-9.72500,0.37900,-9.74900,0.56300,-9.74900,0.44100,0,-9999,-9999,-9999,28792330,9.01000,5.34000
20.92500,-103.12500,Guadalajara,0,0.00010,953.00000,0.00040,1336.00000,0.00050,1304.00000,0.00070,1448.00000,-9.00000,0.36300,-9.10300,0.18000,-8.90100,0.26900,-8.95800,0.20600,-9.19400,0.35500,-8.69500,0.17900,-9.02300,0.29900,-9.54200,0.35000,-10.97000,0.28600,-11.43200,0.27000,-10.90800,0.26900,-10.95000,0.33200,-10.87000,0.22100,-11.01000,0.22100,-10.88100,0.32500,-10.91900,0.38100,-10.91500,0.30800,-11.03900,0.27400,-11.21600,0.24000,-9.64900,0.38700,-9.65000,0.35700,-9.93000,0.42200,-9.56100,0.43800,-9.93000,0.41300,-9.80700,0.40900,-9.44900,0.41000,-9.88000,0.39900,-9.97200,0.41500,-9.86100,0.34700,-9.83900,0.36200,-9.78000,0.39800,-9.80600,0.55200,-9.83500,0.43400,0,-9999,-9999,-9999,28792330,8.05000,5.12000
