latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-1.97500,-80.17500,Guayaquil,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.86800,0.32000,-8.29800,0.21300,-8.23500,0.14200,-8.37400,0.57300,-8.41300,0.57200,-7.51700,0.03300,-7.98800,0.36100,-8.18500,0.40400,-9999.00000,-9999.00000,-9.90200,0.77900,-9.93200,0.64900,-10.28400,0.87000,-9.89800,0.74200,-10.06400,0.72300,-11.02600,0.71700,-10.26500,1.04600,-10.02100,0.68200,-9.57600,0.63700,-9.96600,0.72100,-7.89400,0.38300,-7.49100,0.30000,-7.81100,0.46200,-7.81600,0.45200,-8.02500,0.44300,-7.61600,0.37600,-7.67000,0.35300,-7.98800,0.36400,-8.18500,0.47800,-7.86300,0.41300,-7.71600,0.50300,-7.85600,0.67400,-7.62400,0.30600,-7.81200,0.55000,0,-9999,-9999,-9999,30754888,30.35000,10.77000
-1.97500,-80.12500,Guayaquil,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.96800,0.27200,-8.37600,0.21200,-8.35400,0.13600,-8.47500,0.54800,-8.47900,0.55900,-7.66200,0.03400,-8.12700,0.37200,-8.28100,0.39900,-9999.00000,-9999.00000,-10.07600,0.75800,-10.12800,0.58900,-10.45000,0.82200,-10.08300,0.70500,-10.17100,0.66600,-11.08100,0.71400,-10.36600,0.97900,-10.13700,0.63800,-9.73600,0.54800,-10.11900,0.68300,-7.95800,0.36600,-7.54200,0.28000,-7.92300,0.48000,-7.90800,0.42100,-8.10400,0.41700,-7.75300,0.38200,-7.77200,0.33100,-8.06200,0.35500,-8.23600,0.44100,-7.91500,0.39200,-7.81700,0.52900,-7.92900,0.65700,-7.70500,0.33600,-7.85600,0.53900,0,-9999,-9999,-9999,30754888,34.24000,12.22000
-1.97500,-80.07500,Guayaquil,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.03000,0.24500,-8.40600,0.20600,-8.42400,0.13200,-8.53400,0.53200,-8.51700,0.54700,-7.75100,0.03800,-8.20900,0.37700,-8.33700,0.39600,-9999.00000,-9999.00000,-10.28200,0.71500,-10.34800,0.52600,-10.61400,0.76800,-10.28200,0.63000,-10.31700,0.60400,-11.12900,0.69000,-10.50500,0.87200,-10.26500,0.58100,-9.92800,0.42800,-10.27100,0.60700,-8.05500,0.33800,-7.70900,0.31200,-8.05200,0.48300,-8.04300,0.43700,-8.21000,0.41700,-7.91400,0.37300,-7.87900,0.32800,-8.16700,0.35500,-8.28800,0.44200,-7.98800,0.42300,-7.92900,0.50500,-8.02600,0.63200,-7.79300,0.37000,-7.93700,0.51700,0,-9999,-9999,-9999,30754888,27.67000,10.82000
-1.97500,-80.02500,Guayaquil,0,0.00040,399.00000,0.00040,586.00000,0.00060,2248.00000,0.00080,4470.00000,-8.16600,0.20000,-8.34900,0.14800,-8.56900,0.12100,-8.64100,0.49100,-8.58500,0.50300,-7.94800,0.06400,-8.36600,0.37500,-8.44100,0.39300,-9999.00000,-9999.00000,-10.54800,0.65100,-10.59300,0.47500,-10.84300,0.70800,-10.52900,0.55800,-10.51100,0.53800,-11.22400,0.66100,-10.73500,0.75200,-10.44100,0.51600,-10.14700,0.33800,-10.47000,0.51400,-8.14800,0.35600,-7.98100,0.37000,-8.22300,0.47600,-8.26200,0.41700,-8.39300,0.48500,-8.13900,0.37300,-7.92300,0.36200,-8.28000,0.39900,-8.38500,0.47100,-8.18000,0.40900,-8.16200,0.50800,-8.21800,0.65100,-8.00100,0.39400,-8.15400,0.57100,0,-9999,-9999,-9999,30754888,17.65000,8.85000
-1.97500,-79.97500,Guayaquil,0,0.00100,401.00000,0.00100,588.00000,0.00180,1319.00000,0.00200,2413.00000,-8.23500,0.17700,-8.38200,0.13500,-8.64000,0.12100,-8.67900,0.46600,-8.61400,0.46800,-8.04700,0.08100,-8.42700,0.37000,-8.48400,0.39200,-9999.00000,-9999.00000,-10.87200,0.58700,-10.88100,0.44900,-11.14300,0.62500,-10.83400,0.48500,-10.78300,0.49200,-11.40000,0.63300,-11.07000,0.64800,-10.68500,0.44100,-10.44800,0.31100,-10.77200,0.42400,-8.42200,0.30500,-8.45700,0.43400,-8.56500,0.47600,-8.62900,0.39800,-8.74400,0.40200,-8.59000,0.39100,-8.20800,0.36600,-8.57000,0.41800,-8.69400,0.44300,-8.58300,0.35900,-8.56700,0.53300,-8.60500,0.58400,-8.32400,0.32500,-8.53000,0.62700,0,-9999,-9999,-9999,30754888,19.97000,8.75000
-1.97500,-79.92500,Guayaquil,0,0.00030,0.00000,0.00030,0.00000,0.00050,0.00000,0.00060,0.00000,-8.34000,0.15300,-8.45500,0.11800,-8.74700,0.12400,-8.74800,0.43200,-8.67800,0.42200,-8.20000,0.10300,-8.52100,0.36300,-8.55100,0.39300,-9999.00000,-9999.00000,-11.20500,0.53600,-11.20400,0.43100,-11.48400,0.56400,-11.19200,0.40100,-11.06900,0.45500,-11.64900,0.59800,-11.47200,0.56200,-10.95000,0.36200,-10.84200,0.34800,-11.15100,0.37300,-8.74200,0.24400,-8.97600,0.48200,-8.95300,0.43100,-9.01400,0.43900,-9.10800,0.35100,-9.02900,0.45900,-8.56000,0.41300,-8.88700,0.34800,-8.97400,0.35800,-9.00500,0.33400,-8.93400,0.50400,-8.92200,0.51100,-8.57300,0.37100,-8.80800,0.58800,0,-9999,-9999,-9999,30754888,21.52000,8.79000
-1.97500,-79.87500,Guayaquil,0,0.00230,1130.00000,0.00230,1658.00000,0.00320,2718.00000,0.01060,3238.00000,-8.46100,0.13700,-8.59300,0.15000,-8.85100,0.13500,-8.77300,0.38200,-8.74300,0.35300,-8.36800,0.12900,-8.59100,0.34200,-8.60600,0.38200,-9999.00000,-9999.00000,-11.49200,0.47300,-11.51500,0.39800,-11.83200,0.53300,-11.55000,0.35000,-11.33900,0.42700,-11.90000,0.57300,-11.86100,0.52500,-11.25100,0.32700,-11.30000,0.44900,-11.60100,0.39300,-8.88100,0.27100,-9.51600,0.69500,-9.40000,0.52100,-9.40800,0.57500,-9.43200,0.42300,-9.45700,0.67400,-8.93600,0.60400,-9.22700,0.45100,-9.14300,0.35700,-9.40900,0.34600,-9.27600,0.60700,-9.24400,0.55600,-8.89200,0.47900,-9.06000,0.54000,0,-9999,-9999,-9999,30754888,17.31000,8.64000
-1.97500,-79.82500,Guayaquil,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.52200,0.14600,-8.65800,0.16400,-8.89200,0.14400,-8.78400,0.36300,-8.78600,0.31400,-8.46400,0.13900,-8.62200,0.33000,-8.63200,0.37600,-9999.00000,-9999.00000,-11.66800,0.40800,-11.76500,0.33800,-12.09800,0.56700,-11.84600,0.32200,-11.55300,0.39300,-12.08800,0.54200,-12.18200,0.52600,-11.52500,0.33200,-11.74200,0.58000,-12.05200,0.44100,-9.05100,0.32300,-9.89900,0.91300,-9.93300,0.64300,-9.64700,0.70800,-9.74700,0.56300,-10.18600,1.05000,-9.43800,0.84600,-9.77200,0.73700,-9.49400,0.53100,-9.95900,0.43900,-9.82800,0.85800,-9.62700,0.69000,-9.54300,0.66900,-9.55500,0.66000,0,-9999,-9999,-9999,30754888,16.60000,8.98000
-1.97500,-79.77500,Guayaquil,0,0.00110,16.00000,0.00110,24.00000,0.00110,29.00000,0.00110,59.00000,-8.59200,0.17700,-8.71100,0.19500,-8.91100,0.15900,-8.76100,0.34400,-8.82300,0.25200,-8.58400,0.15100,-8.62900,0.30700,-8.65300,0.36000,-9999.00000,-9999.00000,-11.63500,0.37200,-11.82300,0.31200,-12.12400,0.58300,-11.90000,0.31200,-11.58800,0.35000,-12.06200,0.49900,-12.24500,0.52700,-11.59900,0.36400,-11.99900,0.66400,-12.23500,0.48500,-9.11800,0.36200,-10.02400,0.98900,-10.16300,0.66700,-9.73100,0.77400,-9.87600,0.64500,-10.45900,1.19500,-9.64100,0.97000,-10.07200,0.92700,-9.68700,0.65400,-10.19500,0.52300,-10.13000,1.02800,-9.90700,0.81200,-9.92300,0.85100,-9.82600,0.86600,0,-9999,-9999,-9999,30754888,22.24000,9.07000
-1.97500,-79.72500,Guayaquil,0,0.00410,1970.00000,0.00410,2891.00000,0.00410,2540.00000,0.00410,2666.00000,-8.58400,0.21200,-8.67400,0.20500,-8.86500,0.17500,-8.70900,0.34400,-8.80300,0.21200,-8.62100,0.15600,-8.57900,0.28900,-8.62100,0.33500,-9999.00000,-9999.00000,-11.41800,0.32000,-11.68300,0.32500,-11.92200,0.56500,-11.73500,0.30200,-11.43800,0.30300,-11.83500,0.44100,-12.06500,0.50400,-11.49000,0.37000,-11.98700,0.68600,-12.15700,0.47600,-9.06000,0.38100,-9.99900,1.01200,-10.19800,0.69400,-9.69000,0.77700,-9.88700,0.67100,-10.44500,1.19900,-9.64800,0.98000,-10.12900,0.98800,-9.74100,0.74700,-10.18200,0.57200,-10.18500,1.08200,-9.95500,0.85800,-10.04200,0.89800,-9.88600,0.92300,0,-9999,-9999,-9999,30754888,18.18000,7.63000
