latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
26.82500,106.47500,Guiyang,0,0.00000,2249.00000,0.00000,3387.00000,0.00000,4102.00000,0.00070,4197.00000,-8.14100,0.25200,-8.50600,0.33600,-8.47900,0.35800,-8.59900,0.49200,-8.47900,0.38300,-8.37500,0.38700,-8.30000,0.48200,-8.27800,0.27200,-10.30100,0.29600,-10.37400,0.27400,-10.55500,0.37300,-10.44900,0.39100,-10.62500,0.37900,-10.42600,0.38900,-10.42100,0.32700,-10.50800,0.40500,-10.20500,0.27600,-10.13400,0.32200,-10.19900,0.30800,-8.29600,0.28800,-8.20900,0.35600,-8.31600,0.45000,-8.23800,0.32900,-8.57200,0.37100,-8.03300,0.41800,-8.33400,0.37800,-7.88600,0.36400,-7.87400,0.31000,-8.00100,0.30700,-7.81200,0.21800,-7.79900,0.33600,-7.77300,0.29600,-7.55100,0.51600,0,0.00290,1.42060,0.14960,27536226,22.01000,9.62000
26.82500,106.52500,Guiyang,0,0.00000,1993.00000,0.00000,3001.00000,0.00000,3635.00000,0.00000,0.00000,-8.16300,0.26400,-8.51100,0.32500,-8.48900,0.35300,-8.61900,0.48600,-8.49000,0.37700,-8.39400,0.38900,-8.32000,0.47400,-8.28500,0.26300,-10.40600,0.28700,-10.48600,0.26500,-10.64700,0.39900,-10.54000,0.37400,-10.65400,0.36600,-10.49800,0.38900,-10.44700,0.32800,-10.51600,0.39900,-10.18200,0.28500,-10.08800,0.33600,-10.16100,0.32900,-8.28500,0.29100,-8.19100,0.35100,-8.30000,0.44400,-8.21500,0.34500,-8.53300,0.36800,-7.93500,0.38700,-8.18800,0.34700,-7.74700,0.38100,-7.75300,0.32600,-7.81800,0.31800,-7.64600,0.22700,-7.58700,0.36500,-7.58200,0.38300,-7.33000,0.54300,0,0.00200,1.53810,0.05260,27536226,27.77000,10.15000
26.82500,106.57500,Guiyang,1,0.00340,32247.00000,0.02170,36274.00000,0.02170,43933.00000,0.04090,41660.00000,-8.20500,0.28600,-8.52200,0.30400,-8.50700,0.34300,-8.65500,0.47300,-8.51200,0.36500,-8.42700,0.39300,-8.36000,0.46000,-8.29800,0.24800,-10.51400,0.27500,-10.57700,0.26700,-10.74900,0.43500,-10.60200,0.36400,-10.68200,0.35800,-10.52800,0.37300,-10.47100,0.32700,-10.49700,0.39700,-10.16300,0.29900,-10.03800,0.34700,-10.13600,0.35000,-8.29800,0.29900,-8.18200,0.34300,-8.29400,0.43700,-8.18400,0.36300,-8.49000,0.36300,-7.88000,0.38500,-8.05800,0.36200,-7.60700,0.38700,-7.60500,0.33200,-7.63200,0.35000,-7.48100,0.25600,-7.39900,0.35300,-7.37000,0.44700,-7.07900,0.54200,0,0.02870,5.07280,4.40010,27536226,28.37000,10.48000
26.82500,106.62500,Guiyang,1,0.00110,183.00000,0.01000,8432.00000,0.01000,10212.00000,0.02130,15293.00000,-8.23100,0.29400,-8.53000,0.28900,-8.51900,0.33500,-8.68600,0.45500,-8.51800,0.36500,-8.44800,0.39300,-8.38600,0.44000,-8.31200,0.24400,-10.60100,0.27200,-10.64200,0.27100,-10.84400,0.47600,-10.64800,0.36400,-10.70200,0.35600,-10.53500,0.35200,-10.51100,0.31200,-10.47100,0.38300,-10.16800,0.29800,-10.01300,0.35300,-10.13900,0.35900,-8.34600,0.31200,-8.20100,0.33400,-8.31800,0.42900,-8.17300,0.37900,-8.47600,0.37500,-7.86600,0.39700,-7.97800,0.38100,-7.55300,0.39000,-7.51400,0.33100,-7.56500,0.35800,-7.39600,0.28000,-7.31500,0.34400,-7.23500,0.44100,-6.93200,0.52500,0,0.01390,4.03360,1.48840,27536226,25.02000,10.08000
26.82500,106.67500,Guiyang,0,0.00000,0.00000,0.00050,0.00000,0.00050,0.00000,0.00160,183.00000,-8.25600,0.30200,-8.53800,0.27400,-8.52900,0.32600,-8.71300,0.44100,-8.52300,0.36500,-8.46700,0.39500,-8.40900,0.42200,-8.32500,0.24100,-10.67000,0.27200,-10.67400,0.27200,-10.89300,0.50500,-10.68200,0.37500,-10.71800,0.34900,-10.53800,0.33300,-10.53700,0.30200,-10.45200,0.39100,-10.21500,0.29400,-10.01700,0.34000,-10.16600,0.36000,-8.37400,0.31800,-8.22300,0.32100,-8.35300,0.41600,-8.19400,0.40000,-8.49200,0.40000,-7.86900,0.40400,-7.94700,0.39500,-7.54200,0.39700,-7.46900,0.35000,-7.54900,0.36500,-7.35600,0.28500,-7.29800,0.35100,-7.19900,0.39000,-6.87600,0.50900,0,0.00900,3.52680,0.76410,27536226,43.19000,11.23000
26.82500,106.72500,Guiyang,1,0.00070,149.00000,0.01130,974.00000,0.01130,1179.00000,0.02560,2779.00000,-8.28100,0.29300,-8.54100,0.25600,-8.53400,0.31700,-8.73200,0.42400,-8.53300,0.36200,-8.48600,0.39500,-8.43200,0.40000,-8.34800,0.24400,-10.70900,0.26600,-10.68900,0.28600,-10.91500,0.52500,-10.69500,0.37100,-10.72800,0.34200,-10.53700,0.32200,-10.56100,0.29700,-10.44400,0.41200,-10.27700,0.30100,-10.05000,0.31500,-10.21300,0.35000,-8.37300,0.32400,-8.24000,0.30100,-8.37300,0.40700,-8.22500,0.41400,-8.53600,0.43100,-7.89300,0.39500,-7.94900,0.40200,-7.56700,0.39400,-7.46800,0.36500,-7.57400,0.37200,-7.37400,0.28200,-7.34100,0.37200,-7.21200,0.37300,-6.88200,0.50900,0,0.02270,5.87480,3.05420,27536226,28.66000,10.70000
26.82500,106.77500,Guiyang,0,0.00000,1506.00000,0.00000,1675.00000,0.00000,2028.00000,0.00060,5793.00000,-8.29100,0.28900,-8.54200,0.25000,-8.53500,0.31300,-8.74000,0.41700,-8.53700,0.36000,-8.49300,0.39500,-8.44200,0.39200,-8.35600,0.24400,-10.73500,0.27000,-10.69800,0.30400,-10.93600,0.52800,-10.71200,0.36200,-10.76700,0.33600,-10.57800,0.30800,-10.61900,0.27700,-10.49100,0.41800,-10.37200,0.31300,-10.16200,0.29400,-10.34400,0.34000,-8.36500,0.31200,-8.23900,0.29000,-8.37900,0.39900,-8.26800,0.41500,-8.59300,0.44300,-7.95100,0.35700,-8.04100,0.39100,-7.65300,0.37400,-7.59900,0.33500,-7.70400,0.34500,-7.47400,0.27000,-7.46700,0.39500,-7.28600,0.39000,-7.01700,0.48900,0,0.00490,2.65270,0.39300,27536226,307.26000,16.58000
26.82500,106.82500,Guiyang,0,0.00000,1897.00000,0.00000,2799.00000,0.00000,3390.00000,0.00030,0.00000,-8.28800,0.27800,-8.53500,0.23300,-8.53400,0.29800,-8.73400,0.40400,-8.54200,0.35400,-8.49700,0.40700,-8.45200,0.38000,-8.38800,0.24200,-10.72900,0.25400,-10.72300,0.30500,-10.95100,0.53000,-10.71900,0.35100,-10.81800,0.32900,-10.62600,0.32800,-10.66400,0.28000,-10.55900,0.42700,-10.47800,0.31600,-10.29200,0.27300,-10.46400,0.36500,-8.36400,0.27600,-8.21900,0.28700,-8.37800,0.38800,-8.31500,0.37900,-8.65500,0.42900,-8.01000,0.33300,-8.17400,0.33900,-7.83300,0.37800,-7.76200,0.28200,-7.90100,0.34900,-7.70400,0.25400,-7.73200,0.37300,-7.51800,0.41000,-7.34300,0.43400,0,0.00580,3.18720,0.28570,27536226,27.55000,10.19000
26.82500,106.87500,Guiyang,0,0.00000,1566.00000,0.00010,3920.00000,0.00010,4747.00000,0.00020,2930.00000,-8.28200,0.27600,-8.53200,0.22800,-8.53300,0.29300,-8.72900,0.40500,-8.54300,0.35400,-8.49600,0.40900,-8.45100,0.37900,-8.39700,0.24100,-10.69900,0.24500,-10.73700,0.29900,-10.96500,0.52500,-10.73400,0.33700,-10.84400,0.33300,-10.68500,0.34800,-10.72600,0.28000,-10.65500,0.43400,-10.55000,0.31600,-10.39500,0.27700,-10.58500,0.38700,-8.36100,0.25300,-8.19900,0.28500,-8.37600,0.38000,-8.33200,0.33400,-8.69300,0.41100,-8.05800,0.31500,-8.26200,0.32000,-7.96200,0.38400,-7.93300,0.28300,-8.04900,0.32700,-7.89600,0.25900,-7.95400,0.34000,-7.77100,0.36200,-7.63500,0.39900,0,0.00700,2.69900,0.54900,27536226,33.13000,10.52000
26.82500,106.92500,Guiyang,0,0.00000,1367.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-8.25300,0.27100,-8.51800,0.21700,-8.52800,0.27600,-8.70800,0.41300,-8.54100,0.35900,-8.48900,0.41500,-8.43800,0.37900,-8.42100,0.23900,-10.65400,0.22100,-10.71100,0.30200,-10.96700,0.50200,-10.72100,0.33000,-10.85300,0.33600,-10.70700,0.37100,-10.74900,0.30700,-10.72000,0.43300,-10.55400,0.31000,-10.43600,0.27800,-10.64000,0.39700,-8.35000,0.24800,-8.18500,0.28400,-8.38600,0.37300,-8.32600,0.32000,-8.71600,0.41000,-8.09000,0.31100,-8.32400,0.31000,-8.03000,0.37500,-8.03000,0.25400,-8.15900,0.31100,-8.04800,0.22600,-8.07100,0.33100,-7.93200,0.32900,-7.81200,0.35200,0,0.00470,2.86480,0.22440,27536226,41.18000,10.26000
