latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.42500,73.92500,Gujranwala,2,0.00060,8116.00000,0.00680,11570.00000,0.03660,32256.00000,0.08760,57279.00000,-10.26300,0.27700,-9.87800,0.75200,-9.40800,0.97200,-10.01000,0.53000,-9.95600,0.71600,-10.18500,0.49400,-10.32100,0.33600,-10.00900,0.54300,-12.60900,0.51800,-12.28600,0.38000,-12.19700,0.49900,-12.47200,0.53100,-12.59800,0.74800,-12.57300,0.72000,-12.44100,0.73400,-12.26900,0.57700,-12.48200,0.58700,-12.63000,0.69900,-12.74400,0.54300,-10.15700,0.60500,-10.15200,0.60100,-10.68300,0.71100,-9.76200,0.89800,-9.93300,0.59600,-10.13800,0.86100,-9.76600,0.81600,-9.81600,0.70900,-10.02500,0.59000,-9.93600,0.38000,-9.78800,0.60000,-9.88300,0.57000,-10.05800,0.57400,-10.23000,0.61000,0,-9999,-9999,-9999,26075310,8.06000,2.60000
32.42500,73.97500,Gujranwala,2,0.00090,1368.00000,0.00760,3770.00000,0.02130,14019.00000,0.05490,29238.00000,-10.26500,0.28400,-9.88000,0.75900,-9.40700,0.98900,-10.00700,0.53900,-9.95800,0.73000,-10.19100,0.49100,-10.34000,0.35400,-10.02800,0.55600,-12.64500,0.52200,-12.26500,0.38700,-12.18700,0.55600,-12.46000,0.54100,-12.57200,0.73500,-12.53200,0.69400,-12.39900,0.71300,-12.21500,0.58600,-12.46500,0.61900,-12.52700,0.66900,-12.66400,0.51300,-10.16500,0.57200,-10.10600,0.61900,-10.60800,0.73200,-9.76100,0.89000,-9.90800,0.62000,-10.12900,0.85300,-9.73300,0.81900,-9.78300,0.70500,-9.99800,0.58400,-9.85200,0.33600,-9.74300,0.63100,-9.83600,0.53500,-9.93300,0.57500,-10.18600,0.56800,0,-9999,-9999,-9999,26075310,6.81000,2.82000
32.42500,74.02500,Gujranwala,1,0.00010,32.00000,0.00240,1899.00000,0.00740,2643.00000,0.02440,15015.00000,-10.19800,0.28000,-9.85000,0.80900,-9.36700,1.05800,-9.93900,0.57300,-9.94700,0.81100,-10.12700,0.49300,-10.26500,0.36800,-9.94000,0.61200,-12.65900,0.56600,-12.25200,0.42500,-12.15600,0.61800,-12.42600,0.56800,-12.49400,0.73600,-12.43500,0.65800,-12.33400,0.68700,-12.12600,0.57400,-12.39700,0.63700,-12.42300,0.64300,-12.57300,0.51000,-10.15000,0.56000,-10.02100,0.61400,-10.51900,0.73400,-9.75900,0.90300,-9.86600,0.63100,-10.06400,0.81300,-9.64100,0.77400,-9.72700,0.71000,-9.92200,0.61100,-9.77700,0.34200,-9.66100,0.63000,-9.68900,0.59100,-9.74300,0.52300,-10.09700,0.52900,0,-9999,-9999,-9999,26075310,8.23000,2.85000
32.42500,74.07500,Gujranwala,1,0.00410,7130.00000,0.02010,16454.00000,0.02860,17973.00000,0.04400,20177.00000,-10.19300,0.28500,-9.84500,0.81800,-9.35900,1.07500,-9.92500,0.58000,-9.93900,0.82500,-10.12700,0.50400,-10.27500,0.38000,-9.95200,0.62300,-12.67000,0.61100,-12.24400,0.47600,-12.15600,0.67500,-12.43100,0.60700,-12.42700,0.72100,-12.38600,0.63300,-12.26100,0.66800,-12.06300,0.58100,-12.31100,0.66400,-12.34900,0.63200,-12.49500,0.52000,-10.07800,0.54500,-9.92200,0.60100,-10.41000,0.77200,-9.71700,0.92000,-9.79900,0.64400,-10.00400,0.79900,-9.55700,0.73400,-9.64200,0.73000,-9.84300,0.60100,-9.67400,0.36000,-9.55300,0.63700,-9.56500,0.62000,-9.56500,0.56600,-9.93100,0.54100,0,-9999,-9999,-9999,26075310,8.43000,2.69000
32.42500,74.12500,Gujranwala,3,0.00990,46637.00000,0.06890,101907.00000,0.09760,107249.00000,0.13140,109089.00000,-10.10200,0.28100,-9.80200,0.87600,-9.30100,1.18500,-9.85000,0.64000,-9.93600,0.91900,-10.06000,0.56400,-10.17800,0.39200,-9.88800,0.68800,-12.68200,0.68200,-12.25000,0.55300,-12.18700,0.75100,-12.44400,0.64600,-12.35800,0.72800,-12.34100,0.61600,-12.20400,0.66100,-12.02200,0.58400,-12.24800,0.69300,-12.30200,0.64500,-12.41900,0.51600,-9.98300,0.61400,-9.84400,0.62900,-10.32000,0.79300,-9.68000,0.94000,-9.72400,0.68300,-9.96000,0.84600,-9.48600,0.71200,-9.55100,0.82300,-9.69700,0.64500,-9.54100,0.38900,-9.47700,0.68300,-9.45200,0.63100,-9.37000,0.56300,-9.77900,0.59100,0,-9999,-9999,-9999,26075310,8.52000,2.67000
32.42500,74.17500,Gujranwala,1,0.00550,7326.00000,0.01690,8310.00000,0.02120,8468.00000,0.02730,9364.00000,-10.09800,0.28100,-9.79700,0.88100,-9.29500,1.19200,-9.84100,0.64400,-9.93000,0.92600,-10.05600,0.57500,-10.18000,0.39500,-9.89000,0.69200,-12.68000,0.76200,-12.24700,0.60300,-12.24200,0.77800,-12.44600,0.68200,-12.33500,0.77100,-12.33400,0.62800,-12.19400,0.70100,-11.99400,0.59600,-12.20600,0.70400,-12.27400,0.66800,-12.38700,0.52400,-9.91500,0.67400,-9.82300,0.68000,-10.24300,0.81700,-9.63700,0.98100,-9.63600,0.72900,-9.91300,0.91100,-9.43700,0.75900,-9.46900,0.90400,-9.57100,0.66100,-9.46200,0.43000,-9.41300,0.68100,-9.37100,0.67500,-9.28100,0.57300,-9.69600,0.62500,0,-9999,-9999,-9999,26075310,10.41000,2.98000
32.42500,74.22500,Gujranwala,1,0.00270,961.00000,0.01400,14895.00000,0.01650,16528.00000,0.02010,20241.00000,-10.00500,0.29200,-9.73700,0.90300,-9.24300,1.23000,-9.75500,0.63700,-9.90000,0.94300,-9.96300,0.56300,-10.05700,0.40300,-9.81200,0.74000,-12.68300,0.83500,-12.22300,0.64600,-12.27800,0.81800,-12.45300,0.70800,-12.30800,0.81200,-12.31900,0.66300,-12.18100,0.76600,-11.97100,0.61600,-12.14500,0.70900,-12.28500,0.71300,-12.35500,0.54200,-9.82800,0.72800,-9.82400,0.70400,-10.19500,0.84500,-9.60300,1.01200,-9.54400,0.77200,-9.87400,0.94900,-9.40300,0.78900,-9.41100,0.94400,-9.49600,0.67700,-9.43000,0.44900,-9.34500,0.69400,-9.30800,0.73000,-9.20700,0.56000,-9.61200,0.69500,0,-9999,-9999,-9999,26075310,10.64000,3.04000
32.42500,74.27500,Gujranwala,1,0.00330,12541.00000,0.01370,16146.00000,0.01630,18693.00000,0.01910,20410.00000,-9.99300,0.31100,-9.72300,0.91900,-9.23700,1.24000,-9.73300,0.64400,-9.88000,0.95800,-9.94800,0.59200,-10.05700,0.41800,-9.81200,0.75600,-12.67400,0.89600,-12.18700,0.68400,-12.30200,0.84900,-12.43100,0.73400,-12.29400,0.86300,-12.29800,0.71400,-12.15000,0.82100,-11.94900,0.65000,-12.06700,0.72500,-12.26100,0.77900,-12.30400,0.58500,-9.70600,0.76700,-9.79400,0.72300,-10.14900,0.84400,-9.55500,1.02300,-9.43700,0.84600,-9.79800,0.98500,-9.34800,0.81400,-9.36100,0.97100,-9.43800,0.68800,-9.38100,0.47400,-9.27200,0.71800,-9.25000,0.74200,-9.11100,0.56600,-9.51000,0.73400,0,-9999,-9999,-9999,26075310,11.04000,3.13000
32.42500,74.32500,Gujranwala,1,0.00320,8043.00000,0.01630,17145.00000,0.01950,18996.00000,0.02240,22984.00000,-9.91400,0.32100,-9.63400,0.89700,-9.18600,1.19300,-9.65700,0.60000,-9.81200,0.93700,-9.82900,0.55400,-9.93300,0.41800,-9.70800,0.77000,-12.64400,0.91800,-12.11000,0.70700,-12.28400,0.84900,-12.37000,0.70400,-12.24400,0.86900,-12.25000,0.75500,-12.09700,0.85700,-11.91700,0.67100,-11.97200,0.73300,-12.20000,0.82800,-12.26500,0.61800,-9.57600,0.75700,-9.74900,0.73400,-10.12000,0.82500,-9.47400,1.01400,-9.34300,0.85800,-9.70700,0.97000,-9.26900,0.83400,-9.30000,1.00500,-9.35400,0.73300,-9.31000,0.45000,-9.18000,0.73400,-9.15400,0.74000,-9.01700,0.58600,-9.43100,0.73100,0,-9999,-9999,-9999,26075310,9.85000,3.01000
32.42500,74.37500,Gujranwala,1,0.00070,3344.00000,0.02260,24964.00000,0.02720,28604.00000,0.03010,33015.00000,-9.90600,0.33900,-9.61400,0.90900,-9.17900,1.20100,-9.63300,0.60300,-9.78900,0.95300,-9.80600,0.58300,-9.93300,0.42800,-9.70600,0.78400,-12.57500,0.95000,-12.02400,0.69300,-12.20600,0.86800,-12.28800,0.67600,-12.14800,0.86800,-12.17000,0.78100,-12.00300,0.87100,-11.87000,0.68800,-11.84400,0.74200,-12.10400,0.86200,-12.19000,0.65000,-9.43300,0.68500,-9.69300,0.71200,-10.07500,0.78800,-9.38300,0.96600,-9.26900,0.87200,-9.64100,0.95600,-9.15900,0.81600,-9.21900,0.98900,-9.26900,0.73300,-9.23100,0.44000,-9.03600,0.69200,-9.03100,0.72500,-8.91000,0.59300,-9.31300,0.72200,0,-9999,-9999,-9999,26075310,7.61000,2.53000
32.42500,74.42500,Gujranwala,1,0.00260,2731.00000,0.01190,11781.00000,0.01490,14875.00000,0.01960,18657.00000,-9.85700,0.32900,-9.48700,0.82200,-9.15100,1.16000,-9.60200,0.56200,-9.71600,0.91300,-9.69400,0.53400,-9.82900,0.40900,-9.62300,0.76300,-12.46000,0.94700,-11.91700,0.67300,-12.08800,0.86500,-12.18900,0.62800,-12.04100,0.85900,-12.10600,0.80400,-11.90000,0.86200,-11.79400,0.70300,-11.68200,0.77800,-12.00300,0.90600,-12.11000,0.68700,-9.33700,0.64700,-9.63500,0.70300,-9.98300,0.74100,-9.31100,0.94800,-9.18100,0.86900,-9.54200,0.90300,-9.02000,0.78600,-9.09500,0.95400,-9.15700,0.75800,-9.13500,0.40700,-8.92800,0.65900,-8.88500,0.70700,-8.77600,0.65100,-9.21400,0.74300,0,-9999,-9999,-9999,26075310,9.08000,2.93000
