latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
20.32500,110.07500,Haikou,1,0.00420,5074.00000,0.00420,7540.00000,0.00670,7539.00000,0.01160,9991.00000,-10.92500,0.33200,-10.55000,0.42800,-10.86000,0.64000,-11.42900,0.74200,-10.74800,0.23800,-11.07700,0.49500,-10.98600,0.41400,-10.42600,0.33900,-12.58000,0.40200,-12.64300,0.29400,-12.33400,0.47000,-12.19100,0.40200,-12.62400,0.35600,-12.46300,0.48000,-12.31200,0.56100,-12.12900,0.36700,-11.98600,0.51500,-12.09200,0.29700,-11.96900,0.39500,-8.70400,0.65500,-8.61500,0.41700,-8.52400,0.46600,-8.67000,0.54400,-8.68800,0.58200,-8.69000,0.59400,-8.77400,0.55100,-9.18800,0.55300,-9.33500,0.57200,-9.06800,0.58800,-8.82500,0.51400,-8.26200,0.76900,-8.75700,0.65800,-8.80100,0.60500,0,0.01440,3.96940,1.41800,28903362,17.75000,5.39000
20.32500,110.12500,Haikou,1,0.05330,677.00000,0.05330,1006.00000,0.06830,6951.00000,0.08820,16021.00000,-10.72200,0.32100,-10.31900,0.41400,-10.61900,0.60800,-11.19200,0.75500,-10.51600,0.23500,-10.80200,0.48700,-10.74400,0.38500,-10.14900,0.32300,-11.95500,0.36300,-11.96800,0.32300,-11.72100,0.44600,-11.53800,0.34300,-11.98800,0.34100,-11.74300,0.40800,-11.60500,0.51700,-11.44900,0.33500,-11.36300,0.51100,-11.37400,0.29600,-11.25600,0.33700,-8.18700,0.62000,-8.07400,0.41200,-7.91900,0.46600,-8.12700,0.51200,-8.14100,0.56500,-8.26000,0.60200,-8.34300,0.57700,-8.72300,0.55100,-8.87800,0.56400,-8.53500,0.58800,-8.22200,0.54500,-7.72700,0.72100,-8.04600,0.64000,-8.14000,0.51000,0,0.04050,5.73670,3.82140,28903362,15.49000,4.58000
20.32500,110.17500,Haikou,2,0.10300,75515.00000,0.10300,112225.00000,0.15420,129630.00000,0.18430,154950.00000,-10.43300,0.30200,-9.97400,0.39200,-10.26100,0.55900,-10.85100,0.78500,-10.18000,0.23200,-10.38700,0.47300,-10.38700,0.34000,-9.73100,0.29800,-11.46900,0.32600,-11.38600,0.32200,-11.17400,0.36900,-11.03400,0.29800,-11.44500,0.30800,-11.14300,0.37500,-11.05400,0.46700,-10.86600,0.29200,-10.85300,0.45800,-10.77300,0.27400,-10.70700,0.30900,-7.96700,0.62000,-7.92100,0.39000,-7.69400,0.45200,-7.86900,0.47400,-7.83100,0.56500,-8.01900,0.56500,-8.13700,0.57100,-8.51000,0.54100,-8.61800,0.56800,-8.33100,0.58800,-7.92000,0.53300,-7.48900,0.72500,-7.66900,0.56300,-7.80700,0.47700,0,0.09140,7.92650,12.23770,28903362,14.12000,4.67000
20.32500,110.22500,Haikou,1,0.02530,923.00000,0.02530,1372.00000,0.04280,2228.00000,0.04990,4653.00000,-10.43600,0.31100,-9.89600,0.40400,-10.17200,0.52900,-10.85500,0.85000,-10.16700,0.24900,-10.26000,0.45500,-10.30100,0.32400,-9.62100,0.29300,-11.14000,0.30900,-10.95900,0.29800,-10.79400,0.31100,-10.69500,0.26800,-11.05900,0.29100,-10.71200,0.33400,-10.71100,0.40200,-10.45900,0.28100,-10.53200,0.37700,-10.39400,0.26400,-10.36500,0.30400,-7.94300,0.66200,-7.92500,0.42800,-7.65300,0.47000,-7.77000,0.47300,-7.70900,0.62300,-7.91100,0.57100,-8.11100,0.58700,-8.52100,0.59300,-8.56100,0.58800,-8.30500,0.61300,-7.85400,0.53100,-7.43000,0.76000,-7.59600,0.54800,-7.72600,0.49200,0,0.01200,3.32250,0.81080,28903362,17.65000,5.19000
20.32500,110.27500,Haikou,1,0.00050,855.00000,0.00050,1271.00000,0.00170,1928.00000,0.00400,3371.00000,-10.42500,0.31800,-9.82700,0.41000,-10.10100,0.51200,-10.84400,0.88900,-10.14900,0.25800,-10.16800,0.44100,-10.23300,0.31700,-9.53700,0.28900,-11.12900,0.30900,-10.85100,0.28000,-10.74100,0.28200,-10.67100,0.23700,-10.99600,0.31500,-10.62600,0.30900,-10.69700,0.36200,-10.41000,0.27700,-10.54900,0.28400,-10.35900,0.25500,-10.36600,0.32000,-7.99200,0.69000,-7.99200,0.46400,-7.73700,0.51000,-7.79000,0.49600,-7.75300,0.67300,-8.03500,0.64100,-8.27200,0.63300,-8.75500,0.64700,-8.75600,0.65100,-8.45400,0.64400,-8.04800,0.61100,-7.52300,0.80800,-7.74700,0.61700,-7.89800,0.52500,0,0.00840,3.19690,0.60560,28903362,16.87000,5.11000
20.32500,110.32500,Haikou,1,0.01170,9226.00000,0.01170,13711.00000,0.02130,17523.00000,0.02800,18528.00000,-10.84800,0.33900,-10.17500,0.41500,-10.40700,0.50300,-11.32900,1.07800,-10.54500,0.30400,-10.45800,0.43700,-10.54200,0.29800,-9.85200,0.29100,-11.36500,0.29800,-11.00400,0.28400,-10.93200,0.29300,-10.88200,0.20800,-11.15500,0.34300,-10.78000,0.26200,-10.91100,0.34000,-10.60300,0.28000,-10.79300,0.23400,-10.57000,0.21300,-10.64200,0.35500,-8.18700,0.70700,-8.15400,0.52400,-8.05900,0.56800,-8.00300,0.52300,-8.15800,0.77000,-8.55100,0.76100,-8.78400,0.72600,-9.23500,0.70600,-9.32900,0.67700,-8.90100,0.68200,-8.55900,0.72900,-7.90900,0.89800,-8.32100,0.75800,-8.48500,0.54700,0,0.01640,3.77420,1.37420,28903362,17.34000,5.12000
20.32500,110.37500,Haikou,1,0.00350,6864.00000,0.00350,10201.00000,0.00530,9694.00000,0.00760,11652.00000,-11.07300,0.35600,-10.37300,0.42200,-10.57800,0.50100,-11.58500,1.17200,-10.73900,0.33500,-10.63100,0.44900,-10.71500,0.30300,-10.04700,0.29400,-12.21800,0.30700,-11.77100,0.31900,-11.81200,0.34100,-11.76900,0.25300,-11.98400,0.41000,-11.63400,0.29400,-11.78500,0.34800,-11.48200,0.28100,-11.72700,0.28400,-11.45900,0.21200,-11.59600,0.44700,-9.05200,0.77100,-9.04000,0.65700,-9.10800,0.68400,-9.05300,0.64500,-9.52600,0.90600,-9.81800,0.88600,-9.83800,0.79300,-10.19300,0.81700,-10.46800,0.74800,-9.94300,0.73300,-9.67200,0.78000,-9.14700,1.09000,-9.56900,0.92900,-9.79400,0.64200,40,0.01090,3.31160,0.69140,28903362,15.78000,4.96000
20.32500,110.42500,Haikou,1,0.00620,3210.00000,0.00620,4770.00000,0.00800,5351.00000,0.00940,5236.00000,-11.89300,0.41200,-11.14600,0.46400,-11.25300,0.49800,-12.50100,1.46900,-11.43300,0.44100,-11.30500,0.51400,-11.39200,0.32400,-10.81400,0.31800,-13.35900,0.31900,-12.88400,0.42900,-12.93900,0.42300,-12.88100,0.31300,-13.13200,0.50200,-12.83900,0.36600,-12.93700,0.41700,-12.67000,0.33500,-12.95000,0.34700,-12.63200,0.30700,-12.82300,0.47000,-11.18500,0.89300,-11.20300,0.72300,-11.30800,0.82100,-11.29700,0.77200,-11.71700,0.98700,-11.75800,0.86900,-11.70500,0.91200,-12.11500,0.99100,-12.43000,0.78000,-11.78500,0.81100,-11.59100,0.81300,-11.15600,1.25800,-11.67300,1.21100,-11.95600,0.85800,84,0.00630,1.85960,0.41990,28903362,9.50000,4.56000
20.32500,110.47500,Haikou,0,0.00040,0.00000,0.00040,0.00000,0.00090,0.00000,0.00110,0.00000,-11.89300,0.41200,-11.14600,0.46400,-11.25300,0.49800,-12.50100,1.46900,-11.43300,0.44100,-11.30500,0.51400,-11.39200,0.32400,-10.81400,0.31800,-14.30100,0.37300,-13.79200,0.49200,-13.84400,0.49400,-13.76400,0.36700,-13.98300,0.56300,-13.78300,0.44000,-13.84100,0.48700,-13.62400,0.36500,-13.91900,0.42100,-13.54700,0.37500,-13.79100,0.51000,-12.98200,0.98000,-12.91800,0.76000,-12.99700,0.98300,-12.97400,0.76200,-13.35600,1.04400,-13.29000,0.92300,-13.19800,0.94600,-13.69300,1.11900,-13.96100,0.80000,-13.29200,0.84000,-13.15200,0.98600,-12.67600,1.41300,-13.31900,1.48500,-13.47300,1.03000,100,0.00000,0.00000,0.00000,28903362,-9999.00000,-9999.00000
20.32500,110.52500,Haikou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-15.27600,0.45000,-14.61100,0.55000,-14.75600,0.60300,-14.53700,0.46500,-14.70900,0.61600,-14.59800,0.57000,-14.62900,0.56200,-14.45400,0.39200,-14.77200,0.53500,-14.34000,0.46000,-14.62600,0.58300,-14.05500,1.03800,-13.77200,0.78700,-14.10100,1.07300,-13.82600,0.85800,-14.23000,1.00200,-14.14700,0.76100,-13.88600,0.89900,-14.52800,1.09000,-14.64400,0.93900,-13.98600,0.82800,-14.04400,1.21500,-13.44500,1.45800,-14.09800,1.47500,-14.09000,1.01200,100,0.00000,0.00000,0.00000,28903362,-9999.00000,-9999.00000
