latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.07500,106.42500,Haiphong,1,0.00020,4241.00000,0.00890,2472.00000,0.01820,2876.00000,0.02790,4080.00000,-9.28100,0.21600,-9.22000,0.26200,-9.32100,0.30600,-9.39000,0.52200,-9.15700,0.10100,-9.67000,0.33200,-9.41300,0.17900,-9.14500,0.25400,-11.49500,0.40300,-11.18200,0.39600,-11.17400,0.29000,-11.21400,0.33700,-11.09900,0.35500,-10.90800,0.27300,-10.90300,0.45800,-10.81700,0.35300,-10.77000,0.35700,-10.49500,0.31500,-10.40700,0.34700,-8.86300,0.28800,-8.30100,0.40000,-8.51700,0.29200,-8.25800,0.41400,-8.07300,0.38000,-8.08600,0.43300,-7.83900,0.41100,-7.98000,0.26300,-7.83500,0.48500,-7.61800,0.40400,-7.32200,0.33400,-7.14100,0.63200,-7.30800,0.37100,-7.15500,0.48600,0,-9999.00000,-9999.00000,-9999.00000,28764086,16.52000,5.41000
21.07500,106.47500,Haiphong,1,0.00090,15747.00000,0.02010,10472.00000,0.03280,15338.00000,0.04230,17936.00000,-9.19100,0.22400,-9.13400,0.23800,-9.22500,0.29200,-9.31000,0.49600,-9.07300,0.09400,-9.57600,0.35700,-9.30000,0.18800,-9.05200,0.24900,-11.06800,0.40100,-10.91300,0.36600,-10.84700,0.29000,-10.85700,0.35300,-10.81500,0.31700,-10.59600,0.25600,-10.59300,0.38900,-10.50600,0.35900,-10.46000,0.25600,-10.17300,0.28400,-10.06100,0.28000,-8.65000,0.31200,-8.14300,0.40100,-8.37400,0.27100,-8.12700,0.42200,-7.95200,0.37700,-8.00100,0.45300,-7.74400,0.42800,-7.88600,0.25800,-7.68900,0.48500,-7.44500,0.43100,-7.21300,0.37200,-6.99200,0.63700,-7.23400,0.40100,-7.03400,0.52600,0,-9999.00000,-9999.00000,-9999.00000,28764086,12.82000,4.41000
21.07500,106.52500,Haiphong,2,0.00060,19774.00000,0.02570,22698.00000,0.05060,33187.00000,0.06370,36058.00000,-8.99100,0.24800,-8.93000,0.18800,-8.99900,0.26600,-9.11600,0.45700,-8.87800,0.08400,-9.35700,0.41700,-9.03900,0.20700,-8.83800,0.25000,-10.73200,0.38200,-10.68100,0.34700,-10.59700,0.29200,-10.58000,0.37500,-10.59900,0.30000,-10.37200,0.26000,-10.35700,0.34500,-10.26200,0.36200,-10.20900,0.22500,-9.89300,0.27200,-9.77900,0.23500,-8.39200,0.34200,-7.95700,0.41000,-8.17500,0.25700,-7.94100,0.43800,-7.71900,0.41400,-7.81000,0.47400,-7.56800,0.45100,-7.75500,0.27300,-7.42800,0.52500,-7.16900,0.41800,-6.99900,0.39800,-6.77500,0.60200,-7.08300,0.42700,-6.88500,0.55500,0,-9999.00000,-9999.00000,-9999.00000,28764086,10.47000,3.75000
21.07500,106.57500,Haiphong,2,0.00180,46807.00000,0.06910,44878.00000,0.10080,50706.00000,0.12090,61531.00000,-8.89800,0.24900,-8.80900,0.15900,-8.88100,0.25000,-9.02500,0.43200,-8.77600,0.08800,-9.22000,0.43100,-8.90300,0.21400,-8.73300,0.25400,-10.43600,0.35900,-10.46600,0.33100,-10.38800,0.30900,-10.34600,0.38100,-10.40900,0.29800,-10.17700,0.26600,-10.12700,0.31500,-10.06400,0.37400,-10.00600,0.23900,-9.62200,0.25300,-9.52500,0.21300,-8.26800,0.33000,-7.77900,0.44000,-7.99900,0.27400,-7.71000,0.50300,-7.52800,0.40600,-7.60900,0.45700,-7.42400,0.41800,-7.65500,0.27300,-7.27100,0.54500,-7.04300,0.34900,-6.89800,0.37700,-6.74000,0.57700,-7.00200,0.44600,-6.76400,0.51200,0,-9999.00000,-9999.00000,-9999.00000,28764086,14.46000,4.37000
21.07500,106.62500,Haiphong,1,0.00050,464.00000,0.03390,35393.00000,0.05360,40748.00000,0.07160,45846.00000,-8.81100,0.25000,-8.69600,0.13100,-8.77000,0.23600,-8.93900,0.40800,-8.68100,0.09100,-9.09100,0.44400,-8.77600,0.22200,-8.63500,0.25700,-10.21400,0.33500,-10.29700,0.31300,-10.25200,0.32300,-10.19000,0.36500,-10.24800,0.28800,-10.03000,0.27800,-9.95800,0.30000,-9.92400,0.38300,-9.85700,0.24800,-9.42000,0.22500,-9.36000,0.18900,-8.23400,0.32600,-7.76700,0.41800,-7.89900,0.31900,-7.60700,0.52800,-7.55100,0.37600,-7.65400,0.38100,-7.46100,0.34200,-7.67900,0.25300,-7.43700,0.47800,-7.18300,0.34500,-7.10600,0.32300,-6.98300,0.56000,-7.09000,0.49800,-6.91900,0.42400,0,-9999.00000,-9999.00000,-9999.00000,28764086,26.17000,6.81000
21.07500,106.67500,Haiphong,1,0.00000,0.00000,0.01290,2651.00000,0.01940,3872.00000,0.02300,3960.00000,-8.71900,0.22900,-8.55600,0.10600,-8.64900,0.20300,-8.82300,0.30400,-8.58400,0.10600,-8.92100,0.42800,-8.65500,0.23300,-8.55500,0.24700,-10.06000,0.30900,-10.17100,0.28900,-10.16500,0.32800,-10.10900,0.34600,-10.12800,0.26400,-9.94800,0.28300,-9.86700,0.29200,-9.84700,0.38000,-9.76600,0.23900,-9.30900,0.22700,-9.29000,0.19800,-8.23100,0.32800,-7.82300,0.36300,-7.89300,0.33300,-7.62900,0.48900,-7.68400,0.35000,-7.74400,0.34400,-7.57200,0.26200,-7.72400,0.22600,-7.65400,0.43500,-7.43200,0.33300,-7.41000,0.27400,-7.25400,0.53000,-7.36900,0.45400,-7.30600,0.38200,0,-9999.00000,-9999.00000,-9999.00000,28764086,32.27000,7.90000
21.07500,106.72500,Haiphong,0,0.00000,0.00000,0.00320,23.00000,0.00450,82.00000,0.00840,971.00000,-8.68500,0.21900,-8.50400,0.09900,-8.60400,0.19000,-8.78000,0.26300,-8.54900,0.11300,-8.85600,0.41900,-8.61100,0.23700,-8.53000,0.24300,-9.97800,0.27900,-10.11600,0.26600,-10.14000,0.31800,-10.09200,0.33000,-10.07600,0.23800,-9.93100,0.29900,-9.84600,0.27400,-9.85500,0.37000,-9.75200,0.21800,-9.31300,0.24700,-9.32000,0.20500,-8.23300,0.34000,-7.87000,0.32500,-7.97500,0.25800,-7.75900,0.34000,-7.80400,0.27200,-7.80900,0.28200,-7.62500,0.23600,-7.75100,0.20900,-7.74100,0.40400,-7.56300,0.28700,-7.54500,0.22200,-7.42000,0.55500,-7.56000,0.33000,-7.50100,0.35800,0,-9999.00000,-9999.00000,-9999.00000,28764086,27.96000,7.83000
21.07500,106.77500,Haiphong,0,0.00000,0.00000,0.00160,2846.00000,0.00270,3235.00000,0.00740,4517.00000,-8.62700,0.18100,-8.41400,0.10400,-8.52300,0.16100,-8.70800,0.17900,-8.49000,0.13400,-8.73100,0.37600,-8.54200,0.23500,-8.51600,0.22500,-9.91200,0.25300,-10.06400,0.25800,-10.13100,0.31200,-10.06800,0.31500,-10.04600,0.23200,-9.92800,0.30100,-9.87400,0.23800,-9.89700,0.34600,-9.78400,0.20400,-9.41900,0.25300,-9.42000,0.20600,-8.20400,0.31100,-7.88300,0.31300,-8.00800,0.24200,-7.80300,0.30300,-7.84100,0.24500,-7.83400,0.27200,-7.64600,0.22900,-7.76500,0.19700,-7.80100,0.37700,-7.64700,0.24900,-7.62000,0.20600,-7.51200,0.53000,-7.65000,0.28400,-7.64400,0.31400,0,-9999.00000,-9999.00000,-9999.00000,28764086,33.42000,8.26000
21.07500,106.82500,Haiphong,0,0.00010,0.00000,0.00270,419.00000,0.00390,512.00000,0.00730,782.00000,-8.62500,0.17100,-8.41400,0.10900,-8.52200,0.15800,-8.70000,0.15900,-8.48800,0.14200,-8.72000,0.35600,-8.55000,0.23100,-8.53400,0.21700,-9.90400,0.25900,-10.04000,0.25800,-10.14000,0.30200,-10.04300,0.32000,-10.04400,0.24700,-9.95900,0.30300,-9.92000,0.20800,-9.93900,0.33900,-9.84300,0.22200,-9.55000,0.26000,-9.55100,0.21300,-8.15700,0.26400,-7.88200,0.30900,-8.01800,0.23900,-7.82700,0.29600,-7.85700,0.24500,-7.84800,0.28200,-7.69600,0.23500,-7.80700,0.18600,-7.85200,0.38100,-7.71700,0.24800,-7.69200,0.22800,-7.60400,0.47200,-7.75500,0.27400,-7.74200,0.32500,0,-9999.00000,-9999.00000,-9999.00000,28764086,46.31000,9.41000
21.07500,106.87500,Haiphong,0,0.00000,0.00000,0.00000,0.00000,0.00010,203.00000,0.00050,481.00000,-8.62200,0.15200,-8.41400,0.11700,-8.51900,0.15200,-8.68600,0.12100,-8.48600,0.15800,-8.70100,0.31900,-8.56400,0.22400,-8.56600,0.20100,-9.88200,0.25500,-9.98200,0.25900,-10.10900,0.30500,-9.98700,0.31800,-10.01300,0.26600,-9.96600,0.29600,-9.93900,0.20300,-9.95600,0.31700,-9.87200,0.23800,-9.66000,0.25200,-9.66300,0.21400,-8.13800,0.25000,-7.92500,0.32800,-8.06400,0.24200,-7.86100,0.30300,-7.90100,0.24700,-7.87100,0.30300,-7.78900,0.26400,-7.90600,0.18600,-7.92100,0.38800,-7.81600,0.27100,-7.76500,0.24400,-7.70700,0.43000,-7.85800,0.28400,-7.82600,0.33400,0,-9999.00000,-9999.00000,-9999.00000,28764086,42.19000,9.04000
