latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
53.82500,9.72500,Hamburg,1,0.00290,520.00000,0.00790,709.00000,0.00930,760.00000,0.01180,778.00000,-8.88600,0.77700,-9.99300,0.89600,-9.96200,0.42500,-10.02500,0.85700,-9.29200,1.06900,-9.40800,0.42200,-9.61900,0.43700,-9.84000,0.23500,-11.76500,0.29700,-11.64000,0.31100,-11.22700,0.35600,-11.41300,0.21100,-11.87700,0.33400,-11.20100,0.33000,-11.48100,0.30700,-11.40700,0.42700,-11.15700,0.23900,-11.32400,0.38800,-11.47600,0.25800,-9.43400,0.30000,-9.76000,0.39700,-9.94000,0.42900,-9.73400,0.52000,-9.52800,0.30800,-9.52800,0.33700,-9.62600,0.46600,-9.78500,0.38200,-9.50200,0.31900,-9.56100,0.25100,-9.39000,0.30900,-10.29000,0.36400,-9.53900,0.38700,-9.57600,0.52700,0,0.00700,3.54680,0.33940,18323184,20.74000,6.66000
53.82500,9.77500,Hamburg,1,0.00570,1202.00000,0.01380,1453.00000,0.01580,1643.00000,0.01970,1784.00000,-9.11000,0.86000,-9.74100,0.80900,-9.75600,0.39800,-9.72200,0.78400,-9.62900,0.93900,-9.21200,0.36900,-9.39800,0.43000,-9.58100,0.24200,-11.67700,0.29700,-11.50900,0.30800,-11.13300,0.32100,-11.28400,0.25200,-11.79300,0.31900,-11.08700,0.30000,-11.37400,0.31900,-11.31100,0.42100,-11.04100,0.25700,-11.19200,0.38000,-11.32100,0.24000,-9.46500,0.30000,-9.77100,0.37300,-9.90700,0.40800,-9.73500,0.51400,-9.50300,0.28600,-9.52300,0.30200,-9.61700,0.44000,-9.77000,0.36700,-9.47900,0.31000,-9.47300,0.29100,-9.31600,0.30400,-10.15100,0.40300,-9.42100,0.35100,-9.50000,0.50300,0,0.00930,4.25850,0.51150,18323184,24.98000,6.88000
53.82500,9.82500,Hamburg,0,0.00010,8.00000,0.00060,96.00000,0.00090,125.00000,0.00130,173.00000,-9.11000,0.86000,-9.74100,0.80900,-9.75600,0.39800,-9.72200,0.78400,-9.62900,0.93900,-9.21200,0.36900,-9.39800,0.43000,-9.58100,0.24200,-11.64200,0.29300,-11.46100,0.31000,-11.10100,0.31000,-11.23300,0.26200,-11.75700,0.31800,-11.05100,0.29100,-11.32800,0.31800,-11.27900,0.41500,-11.00500,0.25200,-11.15300,0.37900,-11.27200,0.23100,-9.39700,0.30500,-9.70200,0.36700,-9.80600,0.39400,-9.65600,0.51800,-9.42700,0.28600,-9.44400,0.29800,-9.53600,0.44400,-9.67200,0.36600,-9.39100,0.31900,-9.36600,0.29800,-9.16500,0.29700,-9.99800,0.40400,-9.28500,0.35100,-9.34800,0.49000,0,0.00200,1.78670,0.09750,18323184,28.37000,7.03000
53.82500,9.87500,Hamburg,1,0.00470,337.00000,0.00760,323.00000,0.00870,353.00000,0.00940,319.00000,-9.07600,0.86700,-9.71400,0.80900,-9.72500,0.39500,-9.68700,0.77400,-9.60300,0.95000,-9.18100,0.36900,-9.36500,0.42900,-9.54800,0.24400,-11.54700,0.28600,-11.34100,0.31300,-11.01600,0.28500,-11.10800,0.28500,-11.66200,0.31400,-10.95800,0.27300,-11.21000,0.31600,-11.18600,0.39800,-10.90200,0.23800,-11.05000,0.37600,-11.14400,0.21200,-9.24400,0.31400,-9.55800,0.35200,-9.60100,0.36500,-9.47500,0.52000,-9.27400,0.28800,-9.26800,0.28400,-9.38100,0.43800,-9.46800,0.35700,-9.23000,0.32500,-9.14900,0.30400,-8.86000,0.28000,-9.67700,0.40200,-9.00200,0.34400,-9.03900,0.47900,0,0.00370,2.26500,0.19390,18323184,25.22000,6.81000
53.82500,9.92500,Hamburg,1,0.06070,6600.00000,0.09310,6839.00000,0.10800,7795.00000,0.12740,8762.00000,-8.97100,0.96900,-9.47300,0.68900,-9.56800,0.40800,-9.55300,0.71200,-9.47000,0.96900,-9.06000,0.37400,-9.21400,0.43900,-9.36700,0.27500,-11.46300,0.29700,-11.24600,0.30900,-10.95900,0.28900,-11.00700,0.29700,-11.60600,0.32500,-10.91100,0.28100,-11.13700,0.30500,-11.11700,0.39000,-10.79900,0.24400,-10.97600,0.37000,-11.04500,0.21000,-9.10600,0.27200,-9.47400,0.34200,-9.48900,0.35400,-9.32000,0.47600,-9.15200,0.29700,-9.14000,0.29400,-9.24200,0.41900,-9.30100,0.33900,-9.13100,0.32300,-9.03200,0.29100,-8.73700,0.28100,-9.53000,0.36600,-8.82000,0.31800,-8.85900,0.46800,0,0.01900,4.01880,1.10930,18323184,20.47000,6.50000
53.82500,9.97500,Hamburg,2,0.11550,12613.00000,0.18790,15567.00000,0.21580,18268.00000,0.24910,20323.00000,-8.88700,0.98600,-9.40400,0.69500,-9.49400,0.40000,-9.47500,0.69800,-9.41000,0.99300,-8.98400,0.37200,-9.13100,0.43800,-9.28800,0.28000,-11.47400,0.30000,-11.25200,0.32300,-10.98500,0.27900,-11.02400,0.31600,-11.64000,0.34100,-10.94600,0.28200,-11.16400,0.30600,-11.14500,0.38500,-10.80900,0.24100,-10.99300,0.38500,-11.07600,0.20400,-9.12600,0.27400,-9.54400,0.35700,-9.55200,0.37100,-9.36400,0.47200,-9.19100,0.30400,-9.20100,0.31600,-9.29700,0.38600,-9.35500,0.34700,-9.22300,0.31400,-9.11300,0.27800,-8.82500,0.31300,-9.62900,0.36600,-8.91000,0.34200,-8.91700,0.49100,0,0.05280,6.87980,3.96650,18323184,18.72000,6.45000
53.82500,10.02500,Hamburg,1,0.03660,3606.00000,0.06500,3999.00000,0.07210,4408.00000,0.07810,4719.00000,-8.80400,0.99700,-9.33100,0.69900,-9.42300,0.39500,-9.40700,0.68800,-9.35500,1.01500,-8.91300,0.37200,-9.05400,0.43900,-9.21200,0.28700,-11.47100,0.30600,-11.24400,0.32900,-10.98600,0.27300,-11.02100,0.32300,-11.64600,0.34900,-10.95100,0.28000,-11.16400,0.30700,-11.14500,0.38300,-10.80300,0.23600,-10.98900,0.39400,-11.07800,0.20400,-9.12600,0.27100,-9.56300,0.36300,-9.56900,0.36600,-9.38500,0.46700,-9.20800,0.30700,-9.22600,0.32200,-9.31400,0.37800,-9.36900,0.34400,-9.25800,0.31000,-9.14400,0.28000,-8.85200,0.32100,-9.65300,0.37000,-8.93300,0.34800,-8.92800,0.50400,0,0.01530,4.35150,0.92150,18323184,20.82000,6.66000
53.82500,10.07500,Hamburg,1,0.00610,456.00000,0.01110,619.00000,0.01160,675.00000,0.01340,872.00000,-8.74400,0.89800,-9.17700,0.66900,-9.43200,0.44000,-9.58200,0.77000,-9.39600,0.97100,-8.95100,0.41100,-9.08900,0.48800,-9.20000,0.33200,-11.56400,0.30300,-11.33900,0.36400,-11.09600,0.27100,-11.13300,0.33300,-11.79100,0.36500,-11.09000,0.31100,-11.29900,0.29700,-11.29000,0.37200,-10.90100,0.23000,-11.12900,0.41500,-11.23900,0.22100,-9.30400,0.31700,-9.76300,0.40700,-9.79400,0.42200,-9.54200,0.50600,-9.35500,0.32000,-9.44700,0.36200,-9.54100,0.35400,-9.61000,0.39100,-9.49500,0.33400,-9.40600,0.27600,-9.13100,0.32800,-10.05700,0.34000,-9.27300,0.37500,-9.37800,0.51900,0,0.00730,4.64170,0.39360,18323184,19.17000,6.28000
53.82500,10.12500,Hamburg,1,0.02340,2001.00000,0.03420,2197.00000,0.03610,2446.00000,0.03700,2847.00000,-8.67100,0.91500,-9.11600,0.68000,-9.36900,0.43200,-9.53500,0.78600,-9.34800,0.99000,-8.88600,0.40600,-9.01700,0.48700,-9.13200,0.33400,-11.70600,0.30100,-11.51400,0.42100,-11.27500,0.30700,-11.31600,0.33800,-12.00400,0.39100,-11.27900,0.35200,-11.51900,0.30600,-11.50500,0.37500,-11.08900,0.23500,-11.36300,0.41200,-11.48600,0.22600,-9.38100,0.34200,-9.79400,0.43000,-9.87300,0.43900,-9.59500,0.51500,-9.39000,0.33100,-9.55500,0.38900,-9.61200,0.41300,-9.69400,0.42000,-9.57600,0.35100,-9.54400,0.29300,-9.24400,0.31000,-10.29300,0.28100,-9.45100,0.34500,-9.66800,0.49600,0,0.01030,3.63500,0.56640,18323184,18.25000,6.11000
53.82500,10.17500,Hamburg,1,0.03840,3605.00000,0.05680,4300.00000,0.06540,4761.00000,0.07260,5229.00000,-8.70500,0.84600,-9.05100,0.70500,-9.39600,0.45200,-9.79400,1.23300,-9.37400,0.94200,-8.90600,0.40600,-9.05300,0.50800,-9.13600,0.34600,-11.68800,0.30400,-11.48600,0.44100,-11.24800,0.33400,-11.29300,0.33000,-11.97000,0.38500,-11.26000,0.36400,-11.50400,0.30800,-11.48700,0.37400,-11.06800,0.23600,-11.36100,0.40400,-11.46800,0.23400,-9.36200,0.34300,-9.78300,0.43500,-9.85500,0.44400,-9.57500,0.52300,-9.37900,0.33600,-9.55400,0.39400,-9.59900,0.42100,-9.68400,0.42400,-9.56200,0.35800,-9.53400,0.29900,-9.23200,0.32100,-10.28700,0.27500,-9.44100,0.34500,-9.65900,0.49800,0,0.01500,4.75810,0.94350,18323184,17.98000,6.15000
