latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
36.82500,114.22500,Handan,2,0.04230,10760.00000,0.13900,22699.00000,0.19670,25811.00000,0.22130,29064.00000,-9.32000,0.60200,-9.66200,0.46700,-8.74300,0.58400,-9.17900,0.55900,-9.70300,0.42400,-9.27000,0.65500,-9.71500,0.46200,-9.08500,0.61000,-11.42700,0.52900,-11.07300,0.33600,-11.08700,0.62800,-11.02900,0.44100,-10.60900,0.42400,-10.44600,0.43600,-10.40100,0.48400,-10.49500,0.45600,-10.31000,0.48600,-10.05500,0.39300,-10.13000,0.44100,-8.85100,0.62200,-8.56000,0.35500,-8.53200,0.50500,-8.61100,0.68800,-8.31500,0.45900,-8.21400,0.44600,-8.31200,0.65900,-8.52900,0.51000,-8.53600,0.58500,-7.96400,0.50000,-8.27100,0.48100,-7.89200,0.54200,-8.44000,0.64000,-7.87500,0.59900,0,0.01670,4.00260,1.33210,24751510,6.30000,1.99000
36.82500,114.27500,Handan,2,0.00430,20158.00000,0.06220,25421.00000,0.09270,27711.00000,0.11570,29310.00000,-9.32700,0.60600,-9.69500,0.49200,-8.78600,0.60100,-9.18800,0.56800,-9.73500,0.42500,-9.31300,0.67500,-9.73300,0.47000,-9.09600,0.66700,-11.36700,0.57900,-10.96400,0.37300,-10.99700,0.69200,-10.96400,0.47600,-10.50500,0.47500,-10.38500,0.47000,-10.29300,0.52500,-10.43200,0.49000,-10.20400,0.52300,-9.97100,0.40900,-9.98100,0.45200,-8.83900,0.63400,-8.58700,0.37300,-8.53900,0.50600,-8.61800,0.68600,-8.32900,0.48300,-8.20600,0.46300,-8.29100,0.66500,-8.51900,0.52300,-8.51200,0.58400,-7.91700,0.53600,-8.19300,0.50900,-7.80800,0.54300,-8.30300,0.60200,-7.79700,0.59900,0,0.02050,4.84940,1.43940,24751510,5.41000,1.72000
36.82500,114.32500,Handan,1,0.00600,1337.00000,0.07610,7526.00000,0.09510,8193.00000,0.13840,10153.00000,-9.33300,0.60900,-9.73900,0.53800,-8.85800,0.63200,-9.19500,0.58700,-9.79000,0.42700,-9.38300,0.71100,-9.75900,0.48600,-9.11200,0.77100,-11.26100,0.64000,-10.81000,0.40900,-10.88400,0.75500,-10.86700,0.50800,-10.38800,0.53800,-10.29800,0.53500,-10.17100,0.56200,-10.33600,0.52500,-10.07000,0.56700,-9.85100,0.43300,-9.81700,0.47200,-8.82800,0.63900,-8.61100,0.39100,-8.53000,0.50800,-8.61300,0.67900,-8.34800,0.51700,-8.18600,0.49700,-8.26500,0.66700,-8.47900,0.52700,-8.47300,0.57400,-7.84300,0.58100,-8.10400,0.52800,-7.68900,0.57300,-8.14300,0.56100,-7.71600,0.60100,0,0.02320,4.13030,2.01670,24751510,5.38000,1.67000
36.82500,114.37500,Handan,2,0.00390,2936.00000,0.05320,9372.00000,0.09410,12122.00000,0.18310,15807.00000,-9.31800,0.60500,-9.74400,0.55800,-8.90200,0.64700,-9.19000,0.58900,-9.81400,0.43400,-9.41100,0.72400,-9.75300,0.48700,-9.10300,0.82000,-11.14800,0.69800,-10.63900,0.45200,-10.76800,0.80900,-10.74300,0.54000,-10.26600,0.59900,-10.20800,0.61100,-10.06500,0.59500,-10.25400,0.55700,-9.95500,0.59900,-9.73000,0.45200,-9.69700,0.50000,-8.80800,0.64000,-8.61500,0.41000,-8.50300,0.52400,-8.58000,0.65500,-8.35200,0.53400,-8.16300,0.52100,-8.21300,0.68300,-8.39200,0.53400,-8.41000,0.55200,-7.71600,0.63200,-7.97000,0.54300,-7.53300,0.62300,-7.97100,0.52500,-7.55700,0.61800,0,0.02030,4.68780,1.26360,24751510,5.09000,1.74000
36.82500,114.42500,Handan,2,0.01080,12353.00000,0.08490,15844.00000,0.13710,17236.00000,0.19820,18015.00000,-9.28000,0.59500,-9.73700,0.59400,-8.98100,0.67700,-9.17200,0.59100,-9.85600,0.44400,-9.45300,0.74700,-9.73200,0.49100,-9.07800,0.91700,-11.02700,0.76000,-10.47600,0.48700,-10.65300,0.87400,-10.60500,0.57400,-10.15400,0.65300,-10.13100,0.66600,-9.98000,0.63200,-10.18200,0.60000,-9.88000,0.61700,-9.64500,0.47700,-9.61200,0.52700,-8.79500,0.63900,-8.59800,0.43400,-8.48400,0.54000,-8.53400,0.62500,-8.33600,0.51800,-8.13000,0.54900,-8.15100,0.73300,-8.28700,0.53000,-8.34300,0.53300,-7.57700,0.70000,-7.79400,0.55400,-7.39300,0.66500,-7.80200,0.48000,-7.34400,0.62700,0,0.02330,4.96480,1.77070,24751510,5.48000,1.84000
36.82500,114.47500,Handan,3,0.02290,16834.00000,0.13770,39034.00000,0.19430,48789.00000,0.29310,60624.00000,-9.25300,0.58600,-9.71300,0.60300,-9.00800,0.68200,-9.15700,0.58700,-9.87000,0.45200,-9.46000,0.74700,-9.70800,0.49200,-9.02700,0.85400,-10.89000,0.82900,-10.32900,0.52900,-10.51700,0.95100,-10.46200,0.60100,-10.03800,0.70500,-10.06700,0.71300,-9.91500,0.66600,-10.12600,0.64700,-9.83500,0.64000,-9.57800,0.51900,-9.55600,0.54600,-8.81600,0.63400,-8.57000,0.45700,-8.47200,0.55100,-8.51500,0.60700,-8.33400,0.50500,-8.11300,0.58200,-8.12300,0.76700,-8.22200,0.51900,-8.30800,0.53800,-7.51500,0.75400,-7.71100,0.56700,-7.32300,0.69700,-7.71100,0.44900,-7.27300,0.60900,0,0.06680,7.81580,9.06580,24751510,5.62000,1.97000
36.82500,114.52500,Handan,3,0.02910,27437.00000,0.15260,43249.00000,0.18720,50132.00000,0.28630,61108.00000,-9.19600,0.56600,-9.66400,0.62100,-9.06300,0.69200,-9.12600,0.57800,-9.90000,0.46800,-9.47300,0.74900,-9.65800,0.49300,-8.92000,0.72400,-10.76000,0.87500,-10.22500,0.57900,-10.39200,1.02100,-10.34800,0.64300,-9.93600,0.74100,-10.03400,0.75500,-9.90000,0.68800,-10.11800,0.68500,-9.83100,0.66000,-9.57200,0.56000,-9.58000,0.56300,-8.85500,0.62900,-8.58400,0.47300,-8.53000,0.57700,-8.57100,0.60000,-8.40000,0.52000,-8.17000,0.59300,-8.15400,0.78400,-8.24600,0.52700,-8.34300,0.54600,-7.53700,0.78300,-7.71700,0.57800,-7.39400,0.73100,-7.75200,0.46100,-7.31300,0.59500,0,0.07000,8.29470,7.83990,24751510,5.15000,1.84000
36.82500,114.57500,Handan,2,0.03280,26256.00000,0.15230,29641.00000,0.16680,32806.00000,0.19890,32631.00000,-9.16500,0.55300,-9.62700,0.62100,-9.06600,0.68900,-9.10800,0.57200,-9.90700,0.48400,-9.46700,0.73700,-9.63000,0.49100,-8.86300,0.64100,-10.65400,0.88300,-10.17000,0.61800,-10.28700,1.08300,-10.26500,0.66600,-9.85600,0.75800,-10.02900,0.78000,-9.92200,0.68400,-10.15600,0.70800,-9.87700,0.66700,-9.63500,0.61200,-9.65700,0.58100,-8.91300,0.60900,-8.64700,0.49100,-8.68000,0.61400,-8.74700,0.59100,-8.59700,0.52000,-8.38400,0.59400,-8.32100,0.79000,-8.47100,0.53200,-8.55900,0.56000,-7.70200,0.85000,-7.94000,0.62600,-7.71000,0.80500,-8.00000,0.46200,-7.55600,0.56600,0,0.02340,5.50640,1.46750,24751510,4.94000,1.71000
36.82500,114.62500,Handan,2,0.02210,17237.00000,0.15500,21834.00000,0.17410,25613.00000,0.20850,29664.00000,-9.09900,0.52500,-9.54400,0.62100,-9.07400,0.68300,-9.06700,0.56100,-9.92100,0.52000,-9.45300,0.71100,-9.56800,0.48800,-8.73600,0.45700,-10.57800,0.87100,-10.15000,0.63600,-10.19400,1.11500,-10.20500,0.67400,-9.79900,0.75000,-10.02400,0.77700,-9.94700,0.68500,-10.21600,0.70000,-9.93200,0.66200,-9.71700,0.64900,-9.74500,0.58200,-8.96500,0.57900,-8.73000,0.49200,-8.81600,0.60900,-8.96400,0.56000,-8.84000,0.48400,-8.69800,0.56100,-8.63300,0.77300,-8.94100,0.51300,-8.99800,0.56400,-8.09000,0.89500,-8.42300,0.65400,-8.25100,0.83700,-8.47800,0.47100,-8.06100,0.52100,0,0.02920,4.71330,1.92780,24751510,4.95000,1.72000
36.82500,114.67500,Handan,2,0.01000,14512.00000,0.08730,18953.00000,0.09380,21106.00000,0.10850,21593.00000,-9.06300,0.51200,-9.50400,0.61800,-9.05600,0.68000,-9.05400,0.55900,-9.92700,0.54200,-9.43800,0.69600,-9.53800,0.48200,-8.70100,0.41900,-10.52400,0.83400,-10.15500,0.64700,-10.11500,1.11400,-10.18000,0.66600,-9.73400,0.74000,-10.00100,0.73600,-9.97400,0.68400,-10.26600,0.69000,-9.95800,0.65600,-9.79100,0.65900,-9.84300,0.57900,-8.96300,0.56400,-8.77400,0.45700,-8.85800,0.59500,-9.03700,0.53700,-8.92900,0.45300,-8.89700,0.53700,-8.84300,0.75900,-9.25500,0.46800,-9.32800,0.52600,-8.49000,0.81900,-8.80000,0.56500,-8.66600,0.72400,-8.81300,0.46700,-8.45900,0.47400,0,0.02040,4.26550,1.20220,24751510,4.92000,1.75000
36.82500,114.72500,Handan,1,0.00680,14363.00000,0.06550,16119.00000,0.07160,18417.00000,0.10640,23665.00000,-8.97900,0.48300,-9.41000,0.61200,-9.01300,0.67300,-9.02300,0.55200,-9.94100,0.59500,-9.40300,0.66200,-9.46700,0.47000,-8.62000,0.32800,-10.50000,0.78400,-10.16100,0.63800,-10.06000,1.08500,-10.17100,0.65800,-9.67800,0.70600,-9.94000,0.68100,-9.97600,0.67600,-10.26300,0.65900,-9.94500,0.64200,-9.81600,0.63900,-9.88200,0.58900,-8.90200,0.52400,-8.76500,0.44200,-8.83800,0.58200,-9.03400,0.53300,-8.93900,0.44800,-8.93100,0.53000,-8.88300,0.73300,-9.33900,0.43600,-9.38400,0.53800,-8.60000,0.76600,-8.91400,0.51700,-8.82100,0.63600,-8.89300,0.47200,-8.53100,0.46600,0,0.01270,2.76060,0.67540,24751510,4.87000,1.79000
36.77500,114.22500,Handan,2,0.02290,7089.00000,0.12640,14145.00000,0.17960,14254.00000,0.23990,18775.00000,-9.24600,0.57700,-9.52600,0.46200,-8.70000,0.58400,-9.09800,0.56100,-9.67500,0.41700,-9.18500,0.64400,-9.64700,0.47200,-9.03900,0.61500,-11.31800,0.51700,-10.98900,0.33900,-10.96700,0.64700,-10.90300,0.44100,-10.44900,0.42900,-10.28400,0.44800,-10.22400,0.52900,-10.28000,0.46400,-10.06800,0.50600,-9.78700,0.40100,-9.87400,0.46400,-8.79800,0.67200,-8.44400,0.38700,-8.44000,0.52700,-8.49600,0.75900,-8.18900,0.52400,-7.93600,0.48200,-8.15400,0.67000,-8.38600,0.53200,-8.33800,0.64600,-7.76900,0.59500,-7.98700,0.53000,-7.51000,0.61500,-8.12000,0.62000,-7.55500,0.60100,0,0.02010,3.15500,2.22200,24767396,5.42000,1.64000
