latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
30.47500,119.92500,Hangzhou,1,0.00100,7178.00000,0.00440,4827.00000,0.00700,7376.00000,0.01560,8145.00000,-9.04300,0.37700,-9.53600,0.18200,-9.38700,0.33900,-9.38700,1.65900,-9.02500,0.42400,-8.99300,0.34900,-8.85300,0.34000,-9.48400,0.39800,-11.50400,0.30600,-11.63100,0.40400,-11.33400,0.47300,-11.32600,0.35700,-11.19100,0.36400,-11.14000,0.47700,-11.07700,0.43400,-10.81500,0.42500,-10.76600,0.49900,-10.38700,0.32900,-10.43300,0.50100,-8.47300,0.46000,-8.14900,0.47300,-8.15100,0.44800,-8.03000,0.51200,-7.97200,0.43100,-7.85400,0.43200,-8.06200,0.52400,-7.67500,0.41100,-7.78300,0.49600,-7.60800,0.61900,-7.63500,0.39900,-7.42800,0.67800,-7.18800,0.68400,-6.87900,0.83800,0,0.01240,4.06510,1.35230,26613018,37.05000,6.46000
30.47500,119.97500,Hangzhou,1,0.00360,11619.00000,0.00830,6420.00000,0.01240,6683.00000,0.05420,8665.00000,-8.98700,0.39200,-9.53900,0.18500,-9.34300,0.37700,-9.69500,1.69700,-8.98400,0.42400,-8.92700,0.38000,-8.76400,0.36800,-9.38600,0.39800,-11.50100,0.35000,-11.59900,0.41000,-11.24400,0.44800,-11.24000,0.37600,-11.04000,0.37700,-10.93900,0.46600,-10.81000,0.48100,-10.51300,0.43200,-10.39500,0.50900,-9.99700,0.34600,-9.94800,0.48700,-8.38700,0.50100,-8.03200,0.55300,-7.99800,0.48600,-7.79400,0.53600,-7.73600,0.46400,-7.60000,0.49000,-7.71300,0.53500,-7.35000,0.49200,-7.45600,0.57200,-7.25600,0.59900,-7.29700,0.43000,-6.96400,0.77500,-6.72700,0.81500,-6.39700,0.81800,0,0.01370,5.15730,1.18170,26613018,26.22000,5.60000
30.47500,120.02500,Hangzhou,1,0.00820,6142.00000,0.03100,9340.00000,0.04510,10929.00000,0.09700,10826.00000,-8.97600,0.39500,-9.54700,0.18600,-9.33800,0.38800,-9.74300,1.72500,-8.98600,0.42500,-8.92100,0.38100,-8.76500,0.37600,-9.38000,0.39700,-11.40300,0.37400,-11.49800,0.43300,-11.06700,0.43200,-11.05000,0.43700,-10.80400,0.38800,-10.61700,0.45400,-10.44100,0.51200,-10.10300,0.42600,-9.93200,0.51100,-9.52100,0.35300,-9.34300,0.48500,-8.31700,0.51400,-7.93800,0.61400,-7.85600,0.52200,-7.63900,0.53200,-7.51200,0.47200,-7.38500,0.54200,-7.48300,0.55200,-7.00800,0.58700,-7.08600,0.62400,-6.93100,0.63500,-6.92800,0.48800,-6.40800,0.89600,-6.26400,0.83100,-6.01000,0.79000,3,0.01690,5.44830,1.69860,26613018,25.22000,5.92000
30.47500,120.07500,Hangzhou,2,0.01520,7418.00000,0.08410,18123.00000,0.11560,23415.00000,0.17630,23666.00000,-8.88000,0.39800,-9.48800,0.19700,-9.24100,0.43700,-9.67300,1.68700,-8.90900,0.42900,-8.86000,0.35300,-8.66200,0.41400,-9.24600,0.38100,-11.28500,0.37800,-11.40500,0.45400,-10.89300,0.42900,-10.85300,0.49000,-10.60300,0.40100,-10.34400,0.45800,-10.15400,0.52600,-9.77500,0.40800,-9.53400,0.50300,-9.17600,0.36000,-8.90300,0.48700,-8.24900,0.52600,-7.79800,0.67400,-7.69200,0.55600,-7.40800,0.58000,-7.21100,0.51900,-7.12300,0.63000,-7.15600,0.57400,-6.55500,0.67700,-6.58100,0.69600,-6.47200,0.68400,-6.36300,0.63600,-5.89900,0.86600,-5.70900,0.86600,-5.52600,0.84800,1,0.02970,7.09860,3.93550,26613018,17.09000,4.98000
30.47500,120.12500,Hangzhou,2,0.02450,12963.00000,0.08500,17902.00000,0.11690,21919.00000,0.24490,32841.00000,-8.84500,0.40100,-9.46100,0.20100,-9.20500,0.44800,-9.64900,1.67100,-8.88100,0.43300,-8.84400,0.34500,-8.63000,0.42800,-9.20100,0.37500,-11.15300,0.37000,-11.27100,0.48200,-10.72900,0.41600,-10.66700,0.53600,-10.44600,0.42000,-10.13100,0.47800,-9.92900,0.54000,-9.50700,0.42400,-9.21000,0.48100,-8.92100,0.37900,-8.54700,0.48000,-8.05500,0.54700,-7.53900,0.71300,-7.36800,0.58300,-7.05800,0.63000,-6.80500,0.53200,-6.69200,0.68700,-6.64000,0.58500,-5.98600,0.65000,-6.03700,0.68000,-5.98900,0.68100,-5.83700,0.62700,-5.50200,0.81800,-5.31500,0.81500,-4.90600,1.00100,0,0.07340,9.32160,11.84760,26613018,15.98000,4.64000
30.47500,120.17500,Hangzhou,3,0.06380,29071.00000,0.15440,40646.00000,0.21000,53249.00000,0.39260,71455.00000,-8.72400,0.41100,-9.36400,0.21300,-9.08600,0.48500,-9.57200,1.62000,-8.78900,0.44900,-8.79600,0.32000,-8.53000,0.47700,-9.05400,0.35000,-11.05600,0.35000,-11.18100,0.50400,-10.59000,0.39900,-10.53500,0.58600,-10.36600,0.43300,-10.01400,0.48600,-9.77100,0.54000,-9.32800,0.45800,-8.98700,0.48000,-8.72500,0.39300,-8.32000,0.47400,-7.86000,0.55600,-7.31200,0.77400,-7.08300,0.57500,-6.78000,0.61300,-6.53300,0.51500,-6.33800,0.66600,-6.24500,0.61600,-5.57500,0.67400,-5.55200,0.68300,-5.62400,0.68100,-5.41500,0.60900,-5.10300,0.73900,-4.97000,0.75800,-4.45200,0.92300,0,0.12260,12.08760,19.74790,26613018,13.64000,4.24000
30.47500,120.22500,Hangzhou,2,0.01050,2591.00000,0.06370,9778.00000,0.09400,13506.00000,0.22590,29493.00000,-8.68900,0.41700,-9.33900,0.21700,-9.05600,0.49400,-9.55300,1.57700,-8.77000,0.45700,-8.80000,0.32300,-8.52100,0.48500,-9.02500,0.33800,-11.05200,0.33900,-11.17000,0.52000,-10.56500,0.37400,-10.52000,0.61400,-10.43200,0.44400,-10.03000,0.49500,-9.80000,0.54700,-9.35100,0.49200,-8.99600,0.50700,-8.75400,0.38600,-8.34700,0.47500,-7.65400,0.57100,-7.13300,0.83800,-6.86800,0.61000,-6.52600,0.59800,-6.37000,0.56300,-6.09900,0.72300,-5.92400,0.63400,-5.28500,0.71600,-5.09800,0.77400,-5.33900,0.71200,-5.15200,0.58900,-4.78600,0.72600,-4.60900,0.74100,-4.07500,0.88300,0,0.07830,10.48840,12.73830,26613018,16.22000,4.65000
30.47500,120.27500,Hangzhou,2,0.01230,33530.00000,0.08920,55914.00000,0.16890,75538.00000,0.30840,97922.00000,-8.60400,0.43100,-9.28100,0.22900,-8.98600,0.51600,-9.50900,1.47300,-8.72400,0.47500,-8.80900,0.33100,-8.50000,0.50600,-8.95600,0.30700,-11.09700,0.35000,-11.18000,0.52400,-10.59400,0.36700,-10.54200,0.62800,-10.54200,0.45400,-10.12800,0.50800,-9.90000,0.56500,-9.48600,0.51200,-9.09600,0.54800,-8.87100,0.38500,-8.49500,0.48200,-7.52700,0.58400,-7.02100,0.85400,-6.70700,0.62700,-6.35300,0.60600,-6.36800,0.63600,-6.01000,0.77600,-5.85600,0.69300,-5.21300,0.76200,-4.85900,0.86500,-5.24400,0.76700,-5.12700,0.62000,-4.66200,0.75500,-4.48700,0.69000,-3.97600,0.89300,0,0.11950,12.02440,17.42840,26613018,14.87000,4.44000
30.47500,120.32500,Hangzhou,3,0.01910,51859.00000,0.12470,65161.00000,0.22150,71903.00000,0.37210,94552.00000,-8.60000,0.43400,-9.28400,0.24000,-8.98900,0.52200,-9.52500,1.42600,-8.74300,0.48100,-8.86100,0.39100,-8.53700,0.51100,-8.96900,0.28900,-11.17700,0.37900,-11.20700,0.50600,-10.67500,0.35700,-10.58000,0.62300,-10.67100,0.47100,-10.26900,0.51300,-10.06400,0.59000,-9.67700,0.54800,-9.26000,0.59400,-9.04900,0.36800,-8.74000,0.49700,-7.59500,0.61300,-7.13400,0.79600,-6.86200,0.62800,-6.50100,0.60400,-6.61600,0.61700,-6.24600,0.76100,-6.13500,0.74200,-5.53400,0.81900,-5.11900,0.87600,-5.56800,0.79100,-5.48700,0.65800,-5.02100,0.77700,-4.78700,0.71100,-4.36300,0.91500,0,0.11880,12.29030,17.86850,26613018,15.61000,4.47000
30.47500,120.37500,Hangzhou,2,0.00600,6324.00000,0.07360,17691.00000,0.12560,22544.00000,0.24880,30038.00000,-8.59800,0.43600,-9.30200,0.26100,-9.00600,0.53400,-9.56500,1.35200,-8.78900,0.49200,-8.97100,0.52800,-8.61100,0.51600,-9.01400,0.26400,-11.27600,0.41500,-11.29200,0.49000,-10.81600,0.35700,-10.67600,0.60900,-10.87000,0.48800,-10.48700,0.51300,-10.30600,0.60100,-9.97400,0.57600,-9.58600,0.62700,-9.37100,0.35200,-9.12700,0.53000,-7.88500,0.54600,-7.47200,0.70700,-7.27200,0.63000,-6.95400,0.63800,-7.14600,0.56400,-6.79200,0.69300,-6.80300,0.67500,-6.19100,0.77200,-5.93400,0.81700,-6.38900,0.72800,-6.25500,0.62300,-5.75100,0.72700,-5.55900,0.76200,-5.27900,0.90600,0,0.10200,11.15750,15.18600,26613018,17.13000,4.89000
