latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.27500,105.62500,Hanoi,2,0.00160,38319.00000,0.04480,43351.00000,0.05870,41594.00000,0.08900,31955.00000,-9.11900,0.16400,-8.95700,0.27000,-9.14800,0.18200,-9.10000,0.83500,-9.10600,0.19600,-9.50800,0.12900,-9.33400,0.16200,-9.09100,0.32200,-12.15800,0.38000,-11.72800,0.57200,-11.65400,0.52000,-11.57500,0.74600,-11.43000,0.58600,-11.41300,0.48800,-11.20300,0.46600,-11.24700,0.46400,-11.16400,0.59500,-10.91000,0.55500,-10.91400,0.59100,-8.67600,0.33600,-8.18700,0.41900,-8.22500,0.41200,-7.91300,0.36900,-7.77700,0.29900,-7.57000,0.39400,-7.27300,0.30300,-7.20800,0.30900,-7.09300,0.47200,-6.78800,0.27400,-6.60600,0.38000,-6.38000,0.47400,-6.51000,0.45300,-6.18900,0.55300,0,-9999.00000,-9999.00000,-9999.00000,28726122,9.50000,3.41000
21.27500,105.67500,Hanoi,2,0.00290,37750.00000,0.05300,50887.00000,0.07130,52312.00000,0.11100,46523.00000,-9.11800,0.18700,-8.96500,0.25600,-9.14500,0.21200,-9.24000,0.81700,-9.08900,0.17800,-9.50600,0.12800,-9.33600,0.14900,-9.07300,0.33200,-12.00800,0.33100,-11.62700,0.52700,-11.56600,0.45100,-11.47200,0.63800,-11.31700,0.52900,-11.31600,0.44600,-11.08800,0.40900,-11.09100,0.39200,-11.01300,0.53000,-10.81500,0.52200,-10.77500,0.52400,-8.61900,0.32000,-8.14600,0.39900,-8.19500,0.40500,-7.86800,0.36100,-7.72300,0.29400,-7.51300,0.42200,-7.21500,0.30600,-7.16600,0.30800,-7.08200,0.49800,-6.76300,0.28700,-6.56800,0.39200,-6.31600,0.50500,-6.46700,0.44100,-6.17400,0.55300,0,-9999.00000,-9999.00000,-9999.00000,28726122,9.99000,3.39000
21.27500,105.72500,Hanoi,2,0.00180,25418.00000,0.02000,32435.00000,0.02660,35416.00000,0.03330,33277.00000,-9.13800,0.19600,-8.98800,0.24600,-9.16100,0.23500,-9.22800,0.84100,-9.08800,0.16500,-9.51100,0.13700,-9.34900,0.13900,-9.07700,0.34200,-11.89900,0.29200,-11.54200,0.47200,-11.51200,0.40100,-11.39800,0.53600,-11.25000,0.47500,-11.24200,0.42400,-11.01500,0.38700,-10.97900,0.35300,-10.91000,0.46700,-10.72500,0.48400,-10.68500,0.50100,-8.60700,0.30400,-8.11700,0.39300,-8.19700,0.39000,-7.85100,0.36700,-7.71100,0.28500,-7.50600,0.45800,-7.19300,0.28700,-7.19600,0.31300,-7.16000,0.52200,-6.86000,0.31200,-6.58700,0.40000,-6.36900,0.57200,-6.52300,0.40000,-6.28200,0.54800,0,-9999.00000,-9999.00000,-9999.00000,28726122,10.97000,3.73000
21.27500,105.77500,Hanoi,1,0.00010,1027.00000,0.00380,1395.00000,0.00540,2168.00000,0.00860,3582.00000,-9.15900,0.20400,-9.01400,0.23400,-9.17900,0.26000,-9.21500,0.86600,-9.08600,0.15000,-9.51400,0.14600,-9.36400,0.12800,-9.08100,0.35200,-11.84500,0.30500,-11.51600,0.42800,-11.50700,0.37200,-11.38400,0.45200,-11.25100,0.43400,-11.21500,0.43300,-11.00500,0.41000,-10.96200,0.36000,-10.88600,0.41000,-10.67700,0.46700,-10.68600,0.47600,-8.64700,0.27500,-8.16500,0.38100,-8.23800,0.37800,-7.93900,0.36700,-7.80900,0.28500,-7.60800,0.47600,-7.30300,0.27900,-7.38600,0.28100,-7.31400,0.47300,-7.08500,0.27400,-6.75700,0.36100,-6.64800,0.49300,-6.68200,0.37400,-6.48000,0.50200,0,-9999.00000,-9999.00000,-9999.00000,28726122,12.87000,4.53000
21.27500,105.82500,Hanoi,1,0.00030,1807.00000,0.01840,6143.00000,0.02360,8937.00000,0.03610,16472.00000,-9.22600,0.20500,-9.09000,0.22600,-9.25300,0.29700,-9.32400,0.78000,-9.11900,0.13100,-9.55400,0.15200,-9.40800,0.12200,-9.12600,0.36200,-11.87800,0.34200,-11.55400,0.42600,-11.55700,0.35500,-11.42800,0.40700,-11.33600,0.43300,-11.25100,0.46500,-11.10500,0.45400,-11.05100,0.37400,-10.98000,0.39500,-10.74000,0.45900,-10.79800,0.44700,-8.74000,0.25500,-8.25500,0.37000,-8.33500,0.37900,-8.09200,0.34300,-7.90900,0.25700,-7.74000,0.46700,-7.45100,0.28300,-7.53700,0.27700,-7.43000,0.42600,-7.23900,0.24500,-6.90900,0.26400,-6.81900,0.40800,-6.76600,0.37400,-6.58300,0.46700,0,-9999.00000,-9999.00000,-9999.00000,28726122,18.14000,5.49000
21.27500,105.87500,Hanoi,2,0.00080,10553.00000,0.02310,17972.00000,0.02860,25139.00000,0.05370,41528.00000,-9.25800,0.20400,-9.12800,0.22300,-9.28900,0.31400,-9.39300,0.77000,-9.13700,0.12300,-9.57500,0.15500,-9.42800,0.12000,-9.14900,0.36600,-11.99100,0.36500,-11.66300,0.43600,-11.68000,0.33600,-11.52600,0.41000,-11.47800,0.44100,-11.35300,0.50900,-11.24200,0.50600,-11.20400,0.38900,-11.14500,0.40900,-10.86400,0.47400,-10.96800,0.45300,-8.85900,0.24300,-8.38400,0.33800,-8.47400,0.35800,-8.19300,0.32000,-7.94200,0.25500,-7.84800,0.42500,-7.51000,0.28100,-7.58500,0.29200,-7.48600,0.41900,-7.26800,0.24500,-6.93700,0.23800,-6.78100,0.43600,-6.76100,0.36900,-6.57300,0.44900,0,-9999.00000,-9999.00000,-9999.00000,28726122,10.24000,3.59000
21.27500,105.92500,Hanoi,2,0.00020,19337.00000,0.02550,43063.00000,0.02880,45304.00000,0.04520,45401.00000,-9.36500,0.19200,-9.25000,0.22600,-9.41300,0.35300,-9.84300,1.10200,-9.21100,0.11500,-9.64600,0.15400,-9.48600,0.12900,-9.25000,0.37100,-12.13900,0.40500,-11.83400,0.46200,-11.86900,0.30800,-11.67700,0.43100,-11.66000,0.44300,-11.52100,0.54400,-11.43400,0.53700,-11.40000,0.39300,-11.41400,0.46600,-11.10400,0.50400,-11.16400,0.49700,-8.96800,0.24600,-8.46400,0.33900,-8.54600,0.35700,-8.24600,0.32800,-7.95400,0.32200,-7.90500,0.40300,-7.55500,0.28800,-7.61700,0.29800,-7.51900,0.41600,-7.28200,0.26200,-6.92900,0.25100,-6.74900,0.43600,-6.75700,0.36600,-6.60000,0.43100,0,-9999.00000,-9999.00000,-9999.00000,28726122,10.16000,3.86000
21.27500,105.97500,Hanoi,2,0.00120,3116.00000,0.00680,18267.00000,0.00830,22466.00000,0.01520,24999.00000,-9.39700,0.18800,-9.29300,0.22700,-9.45200,0.35900,-9.87100,1.05900,-9.23400,0.11700,-9.67200,0.15500,-9.50900,0.12700,-9.28300,0.36800,-12.28000,0.43700,-11.98300,0.49100,-11.98900,0.29300,-11.81600,0.44000,-11.81200,0.44400,-11.68100,0.56400,-11.60300,0.55000,-11.55300,0.41000,-11.62800,0.51600,-11.29300,0.54200,-11.32000,0.54800,-9.03400,0.26300,-8.50600,0.35500,-8.59600,0.36000,-8.29800,0.33600,-7.95900,0.35200,-7.94200,0.40300,-7.61700,0.29600,-7.65200,0.30100,-7.54500,0.43200,-7.33800,0.28200,-6.93700,0.26800,-6.72700,0.44900,-6.78600,0.34800,-6.62400,0.40700,0,-9999.00000,-9999.00000,-9999.00000,28726122,9.93000,3.74000
21.27500,106.02500,Hanoi,1,0.00050,34751.00000,0.01900,23519.00000,0.02190,26207.00000,0.02990,23741.00000,-9.46400,0.17800,-9.38300,0.23000,-9.53400,0.37300,-9.92500,0.96400,-9.28400,0.11900,-9.72600,0.15600,-9.55700,0.12300,-9.35500,0.36100,-12.40500,0.47300,-12.10200,0.52700,-12.08900,0.29700,-11.93700,0.45000,-11.93400,0.46700,-11.81300,0.57600,-11.73400,0.57400,-11.67800,0.43800,-11.82300,0.55400,-11.47300,0.57600,-11.44900,0.58400,-9.06400,0.26400,-8.52900,0.37200,-8.62300,0.35600,-8.32300,0.34000,-7.94500,0.37000,-7.93300,0.42000,-7.66700,0.29700,-7.66600,0.29600,-7.55100,0.45500,-7.39100,0.32800,-6.91700,0.32400,-6.71200,0.49500,-6.80300,0.34300,-6.56800,0.41400,0,-9999.00000,-9999.00000,-9999.00000,28726122,9.96000,3.78000
21.27500,106.07500,Hanoi,2,0.00020,8125.00000,0.01390,24464.00000,0.01910,28286.00000,0.03920,27840.00000,-9.49700,0.17100,-9.43900,0.23100,-9.58600,0.36900,-9.95800,0.91400,-9.31600,0.12000,-9.76200,0.15400,-9.59700,0.12100,-9.40400,0.34400,-12.49000,0.48800,-12.18600,0.55300,-12.16700,0.29900,-12.00900,0.45500,-12.00100,0.47700,-11.91000,0.57000,-11.81200,0.59700,-11.73900,0.45700,-11.92200,0.55600,-11.58600,0.58600,-11.51900,0.60400,-9.04300,0.25100,-8.47900,0.40000,-8.59900,0.33700,-8.28200,0.35900,-7.89900,0.35600,-7.88000,0.43000,-7.65200,0.30000,-7.61900,0.28700,-7.49000,0.44600,-7.35200,0.36800,-6.85700,0.35600,-6.63800,0.52300,-6.71700,0.33800,-6.31600,0.46900,0,-9999.00000,-9999.00000,-9999.00000,28726122,9.94000,3.82000
