latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
45.97500,126.37500,Harbin,1,0.00270,534.00000,0.00400,457.00000,0.00830,920.00000,0.01240,1697.00000,-8.41300,0.37700,-8.27500,0.19800,-9.50600,0.42700,-9.14400,1.10400,-8.77700,0.76400,-8.50200,0.27300,-9.15600,0.41700,-9.35800,0.65800,-10.71500,1.13700,-11.02000,0.82700,-11.08200,1.08900,-10.58100,0.93800,-9.93900,0.52400,-10.15200,0.76400,-10.04900,0.68100,-9.96200,0.53300,-10.28100,0.47700,-10.36300,0.89600,-10.20500,0.64400,-9.72100,0.67100,-8.93000,1.00800,-9.04400,0.86600,-9.29600,0.86600,-9.17000,0.62600,-8.70900,0.91900,-8.38100,0.59200,-9.24700,0.57200,-9.84600,0.46200,-9.41600,0.74500,-9.59800,0.50600,-8.50500,0.77500,-8.62100,0.40700,-8.32900,0.99600,0,0.01040,3.00950,0.52350,21534964,6.45000,3.85000
45.97500,126.42500,Harbin,1,0.00400,2026.00000,0.00740,2072.00000,0.01260,2075.00000,0.01730,2299.00000,-8.43900,0.36400,-8.24200,0.20400,-9.41400,0.40000,-9.09800,1.05500,-8.74200,0.72300,-8.49000,0.28100,-9.07900,0.40400,-9.25600,0.65200,-10.72300,1.09300,-10.97900,0.81600,-11.05700,1.05600,-10.56100,0.92300,-9.94400,0.51800,-10.09100,0.72600,-10.02700,0.64900,-9.92000,0.52900,-10.22300,0.43500,-10.22000,0.83300,-10.13700,0.59000,-9.60100,0.70300,-8.78600,0.95900,-8.96000,0.81800,-9.15100,0.78200,-9.02700,0.58200,-8.58500,0.93400,-8.30100,0.56800,-9.06700,0.52700,-9.62800,0.45200,-9.21500,0.73900,-9.36300,0.51200,-8.34600,0.81700,-8.42300,0.41700,-8.18800,0.94000,0,0.00980,3.82360,0.39800,21534964,6.47000,3.68000
45.97500,126.47500,Harbin,1,0.01010,3451.00000,0.02430,5012.00000,0.03650,5152.00000,0.04500,5471.00000,-8.46400,0.35200,-8.20700,0.20900,-9.32100,0.37400,-9.05200,1.00700,-8.70300,0.67900,-8.47700,0.28800,-9.00200,0.39200,-9.15200,0.64800,-10.72000,1.05300,-10.93600,0.78900,-11.01800,1.01700,-10.53400,0.91100,-9.96400,0.51800,-10.04500,0.68800,-10.01100,0.60100,-9.88400,0.52300,-10.18100,0.39800,-10.11100,0.76400,-10.08300,0.54500,-9.46200,0.72400,-8.67200,0.90000,-8.90700,0.77700,-9.06300,0.70900,-8.88800,0.53300,-8.48200,0.90600,-8.25000,0.55400,-8.90100,0.49800,-9.31600,0.45000,-9.00300,0.71200,-9.06800,0.51000,-8.15400,0.82400,-8.22900,0.42700,-8.03000,0.86600,0,0.01230,4.59180,0.60050,21534964,6.52000,3.72000
45.97500,126.52500,Harbin,1,0.00790,2963.00000,0.01890,5732.00000,0.03430,9420.00000,0.04980,10991.00000,-8.46600,0.35400,-8.17800,0.21200,-9.28000,0.37100,-9.03500,1.00000,-8.66000,0.65000,-8.46400,0.28600,-8.97800,0.40400,-9.10700,0.66200,-10.72200,1.01600,-10.90200,0.75500,-10.98500,0.98500,-10.51800,0.88400,-9.99400,0.52100,-10.02200,0.66500,-10.01600,0.55100,-9.87600,0.50000,-10.16300,0.38000,-10.05900,0.69300,-10.06900,0.51000,-9.37800,0.68100,-8.60700,0.86100,-8.89600,0.73700,-9.06700,0.65400,-8.81300,0.51500,-8.41200,0.88000,-8.27500,0.55600,-8.80900,0.47500,-9.00800,0.46100,-8.86000,0.65500,-8.86100,0.50700,-7.98200,0.78600,-8.09100,0.44700,-7.91500,0.80700,0,0.00740,1.92370,0.44860,21534964,7.78000,4.65000
45.97500,126.57500,Harbin,3,0.12800,60852.00000,0.22680,77926.00000,0.24010,89602.00000,0.26380,101403.00000,-8.49100,0.34700,-8.12500,0.23100,-9.14700,0.34900,-8.98900,0.95400,-8.57700,0.58000,-8.45400,0.28900,-8.90300,0.42300,-8.96300,0.67500,-10.74300,0.99800,-10.88200,0.72200,-10.97300,0.95500,-10.50600,0.85900,-10.03400,0.53700,-10.02000,0.65300,-10.04500,0.50200,-9.90400,0.46600,-10.17000,0.38800,-10.06000,0.64200,-10.10300,0.48600,-9.33700,0.65600,-8.58500,0.83800,-8.91200,0.71400,-9.10900,0.61700,-8.81000,0.51400,-8.41400,0.90400,-8.34800,0.57500,-8.82200,0.45200,-8.97700,0.47700,-8.86500,0.63400,-8.82900,0.46400,-7.93300,0.74400,-8.09600,0.45600,-7.94000,0.79400,0,0.06300,6.72090,6.72580,21534964,8.58000,4.97000
45.97500,126.62500,Harbin,3,0.08340,59132.00000,0.32620,55964.00000,0.34890,65623.00000,0.39340,71439.00000,-8.49000,0.35000,-8.11100,0.23400,-9.13500,0.35100,-8.99100,0.95600,-8.55500,0.56300,-8.45600,0.28100,-8.90400,0.43100,-8.94800,0.69000,-10.77900,0.96700,-10.90300,0.69600,-10.97500,0.92600,-10.53300,0.84200,-10.10100,0.54800,-10.06300,0.64400,-10.11800,0.46200,-9.96200,0.44800,-10.21100,0.40800,-10.11500,0.60900,-10.19300,0.47100,-9.33800,0.62800,-8.58200,0.83600,-8.94900,0.69600,-9.17100,0.60500,-8.83200,0.51400,-8.47900,0.94800,-8.45500,0.60700,-8.91400,0.44700,-9.03800,0.49500,-8.97800,0.65200,-8.91500,0.44100,-8.00400,0.73500,-8.23000,0.45300,-8.05800,0.83200,0,0.07610,8.35280,8.06950,21534964,5.47000,4.00000
45.97500,126.67500,Harbin,1,0.02830,5599.00000,0.21910,14412.00000,0.24330,17304.00000,0.26770,18757.00000,-8.51000,0.35300,-8.08700,0.25900,-9.03800,0.33700,-8.98600,0.93000,-8.49400,0.51800,-8.47500,0.27700,-8.88500,0.45100,-8.86300,0.70500,-10.83900,0.94400,-10.96500,0.65600,-11.01100,0.93000,-10.57400,0.82000,-10.21400,0.55100,-10.15500,0.63500,-10.23800,0.40800,-10.06700,0.42500,-10.30200,0.40900,-10.25700,0.59300,-10.36300,0.47800,-9.37700,0.59800,-8.60900,0.82800,-9.07400,0.65600,-9.29700,0.60000,-8.94800,0.50900,-8.62200,0.93200,-8.65700,0.64200,-9.03900,0.47500,-9.15400,0.50800,-9.14300,0.63300,-9.04900,0.44100,-8.16200,0.67900,-8.43200,0.46800,-8.31000,0.82600,0,0.02360,5.46650,1.67680,21534964,5.87000,4.00000
45.97500,126.72500,Harbin,1,0.03940,1577.00000,0.12460,1789.00000,0.13730,1995.00000,0.14920,2239.00000,-8.52400,0.35300,-8.07700,0.27500,-8.98400,0.32900,-8.98500,0.91500,-8.46400,0.49400,-8.49100,0.27500,-8.87600,0.46000,-8.81600,0.71200,-10.91200,0.93700,-11.04600,0.62100,-11.04600,0.93700,-10.62900,0.80700,-10.32600,0.55300,-10.26700,0.62200,-10.37400,0.36700,-10.18200,0.41300,-10.41900,0.41200,-10.42800,0.59000,-10.55200,0.48400,-9.51300,0.56000,-8.85500,0.75700,-9.38000,0.59000,-9.63000,0.58300,-9.34200,0.48100,-8.97000,0.86600,-9.12600,0.63900,-9.52000,0.44500,-9.55000,0.52700,-9.64900,0.56300,-9.41600,0.42400,-8.55300,0.66000,-8.91400,0.49300,-8.90000,0.76700,0,0.01130,3.33170,0.55720,21534964,6.84000,4.42000
45.97500,126.77500,Harbin,1,0.04550,5140.00000,0.09540,6570.00000,0.10230,7606.00000,0.11870,9226.00000,-8.52600,0.35200,-8.07500,0.28300,-8.93800,0.32100,-8.98400,0.89600,-8.44200,0.48500,-8.49500,0.27400,-8.87200,0.46100,-8.78300,0.71600,-10.98600,0.95000,-11.11900,0.60500,-11.07000,0.94100,-10.68900,0.80200,-10.42100,0.55100,-10.38000,0.61500,-10.50300,0.35000,-10.28700,0.41200,-10.53700,0.42900,-10.58700,0.60200,-10.72900,0.48000,-9.67600,0.53300,-9.14300,0.69400,-9.68300,0.57200,-9.96000,0.57600,-9.75800,0.46300,-9.34000,0.84200,-9.56900,0.62100,-10.02500,0.40200,-9.99900,0.51700,-10.16700,0.52600,-9.81200,0.43300,-8.99200,0.68000,-9.42200,0.50400,-9.47700,0.75700,0,0.01520,3.48870,0.78110,21534964,9.34000,5.53000
45.97500,126.82500,Harbin,1,0.00800,1064.00000,0.01670,1381.00000,0.01860,1846.00000,0.03350,3279.00000,-8.53100,0.35100,-8.07100,0.30000,-8.85000,0.30500,-8.98200,0.85900,-8.39900,0.46700,-8.50100,0.27200,-8.86400,0.46300,-8.72100,0.72300,-11.05800,0.98400,-11.18200,0.60900,-11.09400,0.94900,-10.74400,0.80000,-10.51400,0.53600,-10.48600,0.62200,-10.62600,0.35600,-10.38600,0.41200,-10.64200,0.43700,-10.73700,0.62400,-10.88600,0.48400,-9.83300,0.52200,-9.39100,0.64500,-9.94500,0.59700,-10.21300,0.56300,-10.05900,0.43000,-9.69500,0.84900,-9.93400,0.61800,-10.41300,0.35300,-10.41300,0.46500,-10.52100,0.52100,-10.12000,0.47900,-9.36900,0.69300,-9.86300,0.52100,-9.90200,0.77300,31,0.00370,1.29030,0.22520,21534964,11.13000,6.11000
