latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
24.92500,107.82500,Hechi,-9999,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.66500,0.13600,-7.81600,0.16200,-7.88800,0.16200,-8.02400,0.24500,-7.83200,0.14000,-7.79200,0.25500,-7.78500,0.26300,-7.87900,0.20100,-9.37600,0.20300,-9.40200,0.26800,-9.32400,0.28900,-9.24800,0.34300,-9.34100,0.18800,-9.31600,0.28100,-9.36100,0.17600,-9.34100,0.28700,-9.19600,0.21400,-9.20600,0.22800,-9.27600,0.31400,-7.47500,0.21600,-7.32900,0.24800,-7.58700,0.27500,-7.33500,0.23300,-7.72900,0.20700,-7.42700,0.24300,-7.40500,0.24500,-7.33200,0.18400,-7.35300,0.25200,-7.40900,0.18400,-7.25200,0.20400,-7.28000,0.35300,-7.34600,0.34000,-7.23700,0.19900,0,0.00020,0.22230,0.00570,27972994,52.27000,10.28000
24.92500,107.87500,Hechi,1,0.00000,0.00000,0.00030,710.00000,0.00030,884.00000,0.00070,672.00000,-7.66600,0.14000,-7.83200,0.15300,-7.88700,0.16900,-8.03300,0.22400,-7.82900,0.13400,-7.79400,0.25900,-7.80900,0.27200,-7.89700,0.19400,-9.27100,0.19600,-9.25900,0.27800,-9.20700,0.29800,-9.11800,0.32500,-9.22700,0.18600,-9.21600,0.28000,-9.24300,0.16200,-9.19500,0.29200,-9.08800,0.21700,-9.09600,0.24400,-9.17700,0.31300,-7.44500,0.22400,-7.29900,0.23900,-7.55900,0.27900,-7.30900,0.22800,-7.70400,0.20500,-7.40500,0.23400,-7.35800,0.22000,-7.29200,0.18100,-7.32500,0.24500,-7.39200,0.16600,-7.22100,0.19400,-7.24100,0.36500,-7.33000,0.32100,-7.21100,0.21200,0,0.00000,0.00000,0.00000,27972994,49.42000,10.25000
24.92500,107.92500,Hechi,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.66700,0.14300,-7.84200,0.14700,-7.88600,0.17300,-8.04000,0.21100,-7.82700,0.13000,-7.79400,0.26100,-7.82600,0.27800,-7.90800,0.18900,-9.24200,0.19900,-9.19600,0.28100,-9.17500,0.30300,-9.10000,0.30200,-9.20600,0.18500,-9.20000,0.27200,-9.21600,0.17400,-9.11700,0.29600,-9.06400,0.20800,-9.06900,0.27100,-9.16800,0.30000,-7.44700,0.22600,-7.29700,0.23800,-7.56200,0.28400,-7.32100,0.22800,-7.70600,0.20900,-7.41700,0.22800,-7.35100,0.20900,-7.27800,0.18300,-7.31600,0.24400,-7.39300,0.16500,-7.21600,0.18900,-7.22900,0.37900,-7.33600,0.31600,-7.20000,0.23200,0,0.00000,0.00000,0.00000,27972994,62.07000,9.29000
24.92500,107.97500,Hechi,1,0.00000,0.00000,0.00010,214.00000,0.00050,511.00000,0.00060,766.00000,-7.71000,0.15400,-7.89500,0.15000,-7.93200,0.17900,-8.10200,0.19400,-7.87300,0.13600,-7.85600,0.26500,-7.89600,0.29900,-7.97700,0.18200,-9.31000,0.23000,-9.27300,0.27900,-9.27000,0.31300,-9.21300,0.28800,-9.33000,0.17400,-9.31100,0.28200,-9.32000,0.19800,-9.17000,0.29700,-9.15800,0.19400,-9.16000,0.29200,-9.25400,0.28800,-7.47700,0.23200,-7.34600,0.24500,-7.60200,0.29400,-7.35400,0.23200,-7.74500,0.22900,-7.45600,0.22500,-7.38200,0.20500,-7.29300,0.18800,-7.32900,0.25600,-7.41300,0.16600,-7.24000,0.18600,-7.26300,0.39600,-7.36000,0.31600,-7.21400,0.24600,0,0.00080,0.59990,0.05550,27972994,53.22000,9.50000
24.92500,108.02500,Hechi,1,0.00000,0.00000,0.00020,545.00000,0.00030,534.00000,0.00030,566.00000,-7.73000,0.15700,-7.91700,0.15400,-7.95300,0.18000,-8.12900,0.19000,-7.89500,0.13700,-7.88300,0.26600,-7.92600,0.30700,-8.00600,0.17900,-9.49100,0.27300,-9.50900,0.28300,-9.49600,0.32100,-9.45300,0.28200,-9.56100,0.16900,-9.52800,0.28300,-9.54600,0.20200,-9.34600,0.31300,-9.36400,0.20600,-9.35900,0.29800,-9.46400,0.29600,-7.59400,0.23400,-7.49700,0.24200,-7.75000,0.31000,-7.47600,0.24600,-7.88100,0.24900,-7.60700,0.28300,-7.48200,0.22400,-7.40100,0.23300,-7.43200,0.30700,-7.51500,0.21100,-7.30400,0.21000,-7.35000,0.40500,-7.44700,0.27100,-7.27600,0.26100,0,0.00040,0.29170,0.01300,27972994,51.75000,9.74000
24.92500,108.07500,Hechi,1,0.00000,0.00000,0.00000,103.00000,0.00030,266.00000,0.00070,566.00000,-7.81600,0.16300,-8.00200,0.17700,-8.04900,0.18100,-8.23600,0.18600,-7.99500,0.14000,-8.00100,0.26800,-8.03400,0.32800,-8.12700,0.17000,-9.77000,0.32400,-9.85300,0.30400,-9.82400,0.33100,-9.80600,0.28500,-9.88200,0.17600,-9.85000,0.26800,-9.88400,0.21700,-9.62200,0.33100,-9.65800,0.22800,-9.65600,0.30300,-9.77500,0.31400,-7.83600,0.24300,-7.71300,0.27400,-8.05400,0.35700,-7.68700,0.27300,-8.16700,0.29400,-7.82600,0.31300,-7.71000,0.28200,-7.61400,0.24600,-7.60000,0.33200,-7.67500,0.23900,-7.47000,0.26000,-7.47800,0.39000,-7.56300,0.27900,-7.37700,0.27700,0,0.00100,0.70140,0.04320,27972994,52.30000,9.59000
24.92500,108.12500,Hechi,1,0.00030,7509.00000,0.00360,6458.00000,0.00510,6689.00000,0.00590,4552.00000,-7.84800,0.16200,-8.03200,0.18500,-8.08700,0.17700,-8.27100,0.18900,-8.03400,0.13900,-8.04100,0.26700,-8.07000,0.33200,-8.16900,0.16900,-10.05300,0.31900,-10.17300,0.30500,-10.13900,0.33000,-10.12100,0.28600,-10.16500,0.20100,-10.12200,0.25800,-10.21200,0.24900,-9.90800,0.33000,-9.92700,0.27900,-9.93900,0.29300,-10.06100,0.32200,-8.13500,0.30700,-7.98900,0.32100,-8.29700,0.36600,-7.95000,0.30400,-8.40600,0.32200,-8.04400,0.29900,-7.96000,0.30000,-7.81500,0.22500,-7.73600,0.33900,-7.83600,0.25200,-7.61700,0.27400,-7.61600,0.43100,-7.66400,0.30000,-7.49000,0.30500,0,0.00390,1.64110,0.32110,27972994,41.43000,9.98000
24.92500,108.17500,Hechi,1,0.00000,893.00000,0.00200,4062.00000,0.00220,2970.00000,0.00250,1915.00000,-7.92000,0.16100,-8.10200,0.20100,-8.17600,0.16900,-8.34900,0.19500,-8.12100,0.13500,-8.13200,0.26500,-8.15400,0.34100,-8.26100,0.16700,-10.25100,0.31200,-10.43700,0.30100,-10.37600,0.31500,-10.34700,0.30300,-10.35400,0.21300,-10.31400,0.24900,-10.46400,0.27900,-10.11700,0.32200,-10.14300,0.28800,-10.13400,0.27800,-10.25700,0.33500,-8.31600,0.36500,-8.18800,0.31300,-8.44500,0.35600,-8.13700,0.29700,-8.54800,0.32500,-8.18800,0.28500,-8.10700,0.30900,-7.92700,0.20200,-7.82700,0.32300,-7.93900,0.24800,-7.71500,0.26100,-7.71700,0.41800,-7.77300,0.31500,-7.60900,0.29700,0,0.00250,1.04520,0.19140,27972994,38.78000,10.40000
24.92500,108.22500,Hechi,1,0.00000,130.00000,0.00010,397.00000,0.00020,418.00000,0.00040,394.00000,-7.95000,0.16200,-8.13200,0.21000,-8.22800,0.15900,-8.39100,0.19700,-8.16500,0.12800,-8.17300,0.25900,-8.19100,0.34400,-8.30100,0.17300,-10.35200,0.30300,-10.58500,0.30700,-10.51800,0.29500,-10.44800,0.30000,-10.44000,0.21600,-10.38500,0.23700,-10.60600,0.29500,-10.24400,0.32300,-10.25000,0.27700,-10.24100,0.26900,-10.36100,0.33500,-8.36000,0.37400,-8.25800,0.30800,-8.49300,0.36700,-8.19900,0.28900,-8.62000,0.33000,-8.22800,0.28000,-8.15700,0.31300,-7.98600,0.17600,-7.86200,0.31400,-7.97300,0.23500,-7.75300,0.26300,-7.77400,0.39100,-7.80400,0.32700,-7.66500,0.28200,0,0.00190,0.98280,0.11990,27972994,36.79000,10.31000
24.92500,108.27500,Hechi,1,0.00000,1509.00000,0.00060,2331.00000,0.00110,1578.00000,0.00150,1784.00000,-7.97800,0.16300,-8.16200,0.21700,-8.27800,0.14800,-8.43100,0.19900,-8.20700,0.12100,-8.21300,0.25400,-8.22700,0.34800,-8.33900,0.17900,-10.32500,0.28000,-10.58000,0.31000,-10.53000,0.26600,-10.41700,0.28400,-10.41700,0.20800,-10.34700,0.23700,-10.58800,0.29800,-10.24400,0.32900,-10.23900,0.26800,-10.23000,0.27100,-10.32800,0.32900,-8.33000,0.36500,-8.22200,0.31100,-8.47700,0.37600,-8.18900,0.28300,-8.61000,0.34100,-8.20300,0.26700,-8.14300,0.31600,-7.97100,0.16500,-7.84000,0.31500,-7.95600,0.23000,-7.72600,0.26600,-7.75500,0.38600,-7.77800,0.32800,-7.64500,0.27600,0,0.00380,1.56980,0.25210,27972994,33.76000,10.26000
