latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
27.12500,112.32500,Hengyang,0,0.00040,2082.00000,0.00130,9521.00000,0.00190,11729.00000,0.00210,6172.00000,-8.77300,0.31700,-8.71700,0.22600,-9.08800,0.39900,-8.96900,0.35300,-8.93200,0.19600,-9.18700,0.37600,-8.73900,0.21800,-9.07200,0.13500,-11.39100,0.27100,-11.68300,0.30700,-11.59100,0.29900,-11.39200,0.25200,-11.88400,0.31300,-11.59500,0.22200,-11.78500,0.31000,-11.48200,0.29700,-11.39000,0.45400,-11.40200,0.28500,-11.63100,0.26300,-9.08800,0.57100,-8.95500,0.30700,-9.15800,0.36800,-8.93700,0.37800,-9.30200,0.32400,-8.86500,0.42300,-9.13000,0.38600,-8.60700,0.21200,-8.64500,0.32900,-8.76900,0.40100,-8.83800,0.32600,-8.69800,0.38800,-8.69400,0.40700,-8.46600,0.38600,0,0.00480,2.61180,0.26820,27464498,25.44000,6.38000
27.12500,112.37500,Hengyang,1,0.00100,8081.00000,0.00250,5184.00000,0.00320,6242.00000,0.00450,7801.00000,-8.81800,0.32000,-8.74300,0.23900,-9.10200,0.40000,-8.96800,0.36900,-8.93700,0.18300,-9.23400,0.36200,-8.72600,0.20800,-9.07600,0.13300,-11.37400,0.27300,-11.63500,0.30600,-11.59700,0.28500,-11.36600,0.26700,-11.86600,0.32000,-11.57000,0.21900,-11.78100,0.28500,-11.47300,0.30000,-11.39400,0.46900,-11.39200,0.30600,-11.63200,0.26400,-9.08600,0.58900,-8.98200,0.32200,-9.17900,0.35300,-8.96100,0.38400,-9.31900,0.30600,-8.86200,0.43200,-9.14300,0.38100,-8.65000,0.22100,-8.66700,0.33500,-8.81400,0.40400,-8.85900,0.31600,-8.71700,0.40100,-8.72400,0.39200,-8.48800,0.37500,0,0.00800,3.47970,0.38050,27464498,21.04000,5.98000
27.12500,112.42500,Hengyang,1,0.00220,24168.00000,0.00500,17706.00000,0.00610,17531.00000,0.00800,17478.00000,-8.83500,0.32100,-8.75300,0.24400,-9.10800,0.40000,-8.96800,0.37500,-8.94100,0.17900,-9.25200,0.35600,-8.72200,0.20400,-9.07900,0.13200,-11.32800,0.28400,-11.54800,0.30600,-11.54500,0.27500,-11.28900,0.26600,-11.75800,0.30800,-11.48400,0.21600,-11.70300,0.26800,-11.41400,0.25700,-11.31800,0.46300,-11.31100,0.29800,-11.53100,0.29100,-9.01800,0.57100,-8.94000,0.31500,-9.13300,0.34600,-8.92500,0.36800,-9.27400,0.29800,-8.80800,0.41200,-9.09300,0.37800,-8.63900,0.23100,-8.64900,0.33100,-8.80300,0.39400,-8.84000,0.30600,-8.69500,0.41200,-8.69500,0.38700,-8.47800,0.36600,0,0.01120,3.91740,1.23120,27464498,18.84000,5.71000
27.12500,112.47500,Hengyang,1,0.00040,3605.00000,0.00120,4317.00000,0.00160,4379.00000,0.00360,4595.00000,-8.89400,0.32800,-8.79500,0.25500,-9.12700,0.39200,-8.98600,0.40100,-8.98100,0.17000,-9.31000,0.33100,-8.71600,0.19800,-9.09500,0.13400,-11.24700,0.32200,-11.43200,0.31100,-11.44100,0.27000,-11.16500,0.25800,-11.61500,0.30400,-11.34800,0.22800,-11.53400,0.24900,-11.30100,0.21800,-11.20400,0.42300,-11.19700,0.28800,-11.37600,0.29400,-8.88100,0.49400,-8.81300,0.27800,-8.97900,0.32400,-8.82300,0.31300,-9.12900,0.30400,-8.70900,0.38800,-8.94300,0.33200,-8.54800,0.25700,-8.59600,0.31500,-8.72400,0.35500,-8.75600,0.29000,-8.62800,0.39000,-8.58900,0.38800,-8.43900,0.35300,0,0.00620,3.11440,0.55940,27464498,32.55000,6.78000
27.12500,112.52500,Hengyang,0,0.00000,2326.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,-8.90600,0.32900,-8.80200,0.25500,-9.12800,0.38800,-8.98500,0.41200,-8.99500,0.16800,-9.31500,0.32200,-8.70400,0.19800,-9.09400,0.13200,-11.16900,0.32600,-11.33500,0.29000,-11.33300,0.27400,-11.05400,0.25500,-11.47400,0.26500,-11.22100,0.27000,-11.36100,0.24600,-11.19000,0.19100,-11.11700,0.37100,-11.08100,0.27200,-11.22200,0.30100,-8.73500,0.39200,-8.67400,0.25000,-8.74200,0.30300,-8.66600,0.25300,-8.93200,0.29400,-8.59200,0.34900,-8.78200,0.25100,-8.43000,0.25100,-8.52100,0.27200,-8.62700,0.30500,-8.63600,0.28000,-8.55800,0.36500,-8.47500,0.40500,-8.39300,0.33200,0,0.00000,0.00000,0.00000,27464498,49.66000,7.33000
27.12500,112.57500,Hengyang,1,0.00000,2326.00000,0.00040,16800.00000,0.00050,14955.00000,0.00200,13251.00000,-8.95800,0.33200,-8.83900,0.25700,-9.14600,0.37700,-8.98600,0.45600,-9.04800,0.16500,-9.34300,0.30200,-8.68700,0.20600,-9.10900,0.13000,-11.12600,0.31200,-11.30400,0.26100,-11.29600,0.26400,-11.01100,0.27000,-11.39700,0.24600,-11.15700,0.30000,-11.25900,0.26800,-11.12500,0.19700,-11.07500,0.33900,-11.02500,0.27400,-11.13000,0.30400,-8.67300,0.36000,-8.57500,0.22400,-8.66000,0.31900,-8.57000,0.25100,-8.77400,0.28700,-8.52700,0.35800,-8.65500,0.19300,-8.37900,0.25300,-8.48200,0.23600,-8.58300,0.27700,-8.56300,0.26900,-8.49800,0.37400,-8.41800,0.39100,-8.37200,0.30900,0,0.00250,1.26100,0.15120,27464498,37.31000,7.11000
27.12500,112.62500,Hengyang,0,0.00000,2098.00000,0.00000,0.00000,0.00000,0.00000,0.00020,1272.00000,-8.96800,0.33100,-8.84500,0.24900,-9.14800,0.36800,-8.98800,0.45500,-9.06200,0.16300,-9.34000,0.29600,-8.68500,0.20400,-9.10500,0.13000,-11.13000,0.30700,-11.32900,0.24500,-11.30500,0.25800,-11.03600,0.29300,-11.39800,0.24500,-11.20100,0.31500,-11.23500,0.29200,-11.12700,0.22800,-11.08900,0.32200,-11.03400,0.25500,-11.10800,0.28600,-8.68700,0.35900,-8.56900,0.22900,-8.65900,0.32400,-8.55500,0.27600,-8.78100,0.30400,-8.52600,0.36400,-8.66800,0.18700,-8.38700,0.27000,-8.49900,0.22400,-8.59700,0.26500,-8.56300,0.26600,-8.48600,0.38600,-8.41800,0.38800,-8.38900,0.29700,0,0.00010,0.05840,0.00500,27464498,50.60000,7.10000
27.12500,112.67500,Hengyang,1,0.00010,1924.00000,0.00060,1916.00000,0.00100,5956.00000,0.00150,6025.00000,-8.99200,0.33200,-8.86500,0.23800,-9.16000,0.35300,-8.99700,0.45500,-9.09200,0.16200,-9.34300,0.28700,-8.68900,0.20200,-9.10500,0.13300,-11.18100,0.30400,-11.40700,0.25700,-11.38700,0.27700,-11.12400,0.31700,-11.47400,0.24400,-11.31300,0.32400,-11.30100,0.31600,-11.18600,0.27600,-11.17100,0.30700,-11.12000,0.23500,-11.14500,0.27200,-8.79700,0.35900,-8.65400,0.25900,-8.75400,0.32700,-8.63200,0.32200,-8.88500,0.32800,-8.60800,0.37200,-8.80900,0.20400,-8.44700,0.31100,-8.57000,0.24900,-8.66500,0.27300,-8.62000,0.29700,-8.50800,0.40900,-8.49000,0.41500,-8.45800,0.30700,0,0.00230,1.16940,0.30500,27464498,41.09000,7.28000
27.12500,112.72500,Hengyang,1,0.00010,300.00000,0.00090,1029.00000,0.00190,3876.00000,0.00300,6562.00000,-8.98700,0.32700,-8.86600,0.22300,-9.16500,0.33800,-8.99700,0.43900,-9.09900,0.15600,-9.32400,0.28900,-8.69500,0.19300,-9.08600,0.13700,-11.25000,0.30900,-11.49800,0.28100,-11.51400,0.29500,-11.24800,0.34200,-11.60500,0.24700,-11.46000,0.30900,-11.44000,0.30900,-11.27800,0.32500,-11.28100,0.28100,-11.25100,0.23700,-11.23500,0.26300,-9.00300,0.35000,-8.88600,0.30700,-8.99000,0.33600,-8.81500,0.34300,-9.05600,0.34900,-8.75300,0.36800,-9.06000,0.22600,-8.54200,0.35900,-8.66500,0.29500,-8.78500,0.30000,-8.74300,0.35700,-8.57400,0.43500,-8.60700,0.45100,-8.55300,0.33900,0,0.00680,3.56900,0.53100,27464498,28.00000,6.65000
27.12500,112.77500,Hengyang,1,0.00020,856.00000,0.00250,12055.00000,0.00320,11896.00000,0.00360,11391.00000,-8.98000,0.32300,-8.86500,0.20700,-9.17000,0.32300,-8.99700,0.42400,-9.10400,0.15100,-9.30500,0.29100,-8.70000,0.18400,-9.06700,0.14100,-11.30300,0.33500,-11.57100,0.29600,-11.61000,0.31200,-11.35600,0.34500,-11.70100,0.26500,-11.58100,0.29900,-11.57700,0.28700,-11.36700,0.36300,-11.36800,0.26900,-11.36900,0.23500,-11.31600,0.26100,-9.19600,0.33500,-9.10600,0.34200,-9.20400,0.34200,-8.99300,0.34200,-9.24300,0.34000,-8.87100,0.35900,-9.23200,0.23800,-8.62700,0.37900,-8.72400,0.32300,-8.89900,0.32000,-8.85600,0.38600,-8.64900,0.41400,-8.67000,0.46800,-8.62400,0.36300,1,0.01270,4.41960,1.24230,27464498,18.42000,5.44000
