latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.47500,115.22500,Heze,1,0.00170,28825.00000,0.01500,12531.00000,0.01760,13138.00000,0.02730,13359.00000,-8.72700,0.42500,-8.86700,0.57200,-9.03200,0.68800,-9.30900,0.42500,-9.63900,0.58500,-9.01300,0.62900,-9.06100,0.33300,-8.47400,0.21500,-10.82600,0.31900,-10.69800,0.23400,-10.80900,0.60900,-11.18900,0.35500,-10.24300,0.55100,-10.25700,0.42900,-10.12300,0.33900,-10.28800,0.45400,-10.14800,0.57800,-10.12000,0.49300,-10.20700,0.48000,-8.98600,0.42300,-8.74500,0.37100,-8.82500,0.46200,-8.75800,0.36100,-9.31900,0.41100,-9.47200,0.36700,-9.58700,0.93200,-9.38200,0.35600,-9.36300,0.54800,-9.08300,0.62300,-8.86300,0.41900,-8.68200,0.59900,-9.06200,0.66900,-9.03500,0.65000,0,0.01370,3.43810,0.77160,25173698,5.67000,2.08000
35.47500,115.27500,Heze,1,0.00120,2179.00000,0.00580,2461.00000,0.01110,3516.00000,0.01900,8011.00000,-8.72200,0.41900,-8.87600,0.56900,-9.03000,0.68100,-9.30800,0.42300,-9.64600,0.57600,-9.01000,0.62200,-9.05700,0.33600,-8.47200,0.21600,-10.79800,0.29100,-10.58400,0.23600,-10.69100,0.61600,-11.09300,0.34300,-10.18500,0.53600,-10.21400,0.46400,-10.04200,0.37600,-10.23200,0.49200,-10.07200,0.62900,-10.05200,0.50000,-10.13600,0.47400,-8.94100,0.45700,-8.69900,0.35500,-8.79500,0.47000,-8.70100,0.36700,-9.22700,0.43300,-9.44500,0.36900,-9.52000,0.93200,-9.34800,0.35900,-9.27600,0.54700,-9.03400,0.61000,-8.82100,0.41800,-8.65500,0.58600,-9.04000,0.69200,-9.03600,0.70000,0,0.01120,3.69790,0.52290,25173698,5.05000,1.99000
35.47500,115.32500,Heze,1,0.00040,357.00000,0.00370,4627.00000,0.00860,9610.00000,0.01900,9844.00000,-8.67300,0.41000,-8.89700,0.56800,-9.01000,0.67100,-9.28800,0.43800,-9.64600,0.54300,-8.98800,0.61600,-9.03200,0.32900,-8.47200,0.22400,-10.72200,0.28400,-10.42900,0.25800,-10.51700,0.62900,-10.91200,0.35900,-10.07800,0.52500,-10.13000,0.51000,-9.89600,0.41600,-10.13200,0.55900,-9.98700,0.69700,-9.95600,0.52800,-9.99400,0.47800,-8.88000,0.52400,-8.63700,0.35200,-8.73800,0.44200,-8.63900,0.38300,-9.15200,0.45200,-9.39400,0.36400,-9.41700,0.93200,-9.28700,0.35500,-9.19300,0.54500,-8.95600,0.61300,-8.77500,0.42300,-8.65100,0.57100,-9.03200,0.69300,-9.02200,0.74800,0,0.00850,2.96620,0.46290,25173698,5.34000,2.05000
35.47500,115.37500,Heze,1,0.01140,16973.00000,0.01960,12692.00000,0.02400,10595.00000,0.03870,9409.00000,-8.66100,0.40800,-8.90200,0.56700,-9.00500,0.66900,-9.28200,0.44200,-9.64600,0.53500,-8.98300,0.61500,-9.02600,0.32700,-8.47200,0.22500,-10.61100,0.31500,-10.27100,0.28900,-10.34200,0.63600,-10.69000,0.40000,-9.97000,0.52800,-10.00800,0.56500,-9.73000,0.45500,-10.02900,0.63900,-9.86400,0.77400,-9.84000,0.56100,-9.83500,0.49200,-8.82900,0.55900,-8.58500,0.36000,-8.72000,0.42000,-8.58200,0.37900,-9.08700,0.46900,-9.34200,0.35000,-9.32100,0.93000,-9.23200,0.36900,-9.10900,0.54500,-8.84200,0.63500,-8.69500,0.44600,-8.65800,0.57800,-9.02900,0.68500,-8.97100,0.78500,0,0.01430,3.99120,0.86020,25173698,5.53000,2.04000
35.47500,115.42500,Heze,1,0.00050,596.00000,0.00220,2132.00000,0.00460,3172.00000,0.01430,6479.00000,-8.61100,0.40400,-8.90200,0.57200,-8.97200,0.67500,-9.24300,0.48800,-9.61300,0.49900,-8.94600,0.63600,-8.99000,0.31200,-8.47000,0.23900,-10.46600,0.36500,-10.10900,0.32400,-10.16400,0.65700,-10.42100,0.44300,-9.87400,0.53200,-9.88400,0.62800,-9.54600,0.47600,-9.88100,0.71000,-9.71500,0.85300,-9.70800,0.61900,-9.64200,0.52800,-8.77100,0.54000,-8.55800,0.36700,-8.70800,0.41200,-8.51100,0.35600,-9.04400,0.48200,-9.28500,0.34300,-9.23600,0.91200,-9.18300,0.38400,-9.04100,0.53200,-8.74200,0.61500,-8.62900,0.45500,-8.64700,0.61300,-9.01300,0.66300,-8.89100,0.81900,0,0.01210,4.19280,0.54330,25173698,5.59000,2.05000
35.47500,115.47500,Heze,1,0.00050,20366.00000,0.00270,18737.00000,0.00460,20614.00000,0.01240,15035.00000,-8.60000,0.40300,-8.90200,0.57300,-8.96400,0.67600,-9.23400,0.49900,-9.60500,0.49100,-8.93800,0.64100,-8.98200,0.30900,-8.47000,0.24200,-10.31400,0.41500,-9.98300,0.35800,-10.02100,0.67800,-10.19900,0.48000,-9.78600,0.54700,-9.75900,0.66100,-9.37100,0.47100,-9.74700,0.77900,-9.57700,0.90000,-9.59400,0.67900,-9.49600,0.56100,-8.70900,0.51600,-8.53000,0.37100,-8.68500,0.41000,-8.45400,0.34300,-9.00100,0.48800,-9.23100,0.32200,-9.15600,0.87100,-9.12000,0.38700,-8.99400,0.53400,-8.65300,0.59200,-8.51600,0.51900,-8.62000,0.66900,-8.93300,0.68200,-8.80400,0.81400,0,0.01630,4.15830,0.87140,25173698,5.63000,2.11000
35.47500,115.52500,Heze,1,0.00050,8464.00000,0.00330,14313.00000,0.00710,20774.00000,0.02300,15047.00000,-8.57400,0.41500,-8.87200,0.58700,-8.92700,0.70900,-9.18200,0.57300,-9.55400,0.45800,-8.89600,0.67500,-8.92000,0.30000,-8.46900,0.25600,-10.17300,0.46800,-9.89900,0.38700,-9.90500,0.71000,-10.03100,0.50000,-9.70300,0.56800,-9.63200,0.69600,-9.22300,0.45200,-9.61200,0.83000,-9.45700,0.93300,-9.50500,0.73300,-9.40000,0.58200,-8.65300,0.50300,-8.48900,0.37800,-8.66000,0.41400,-8.40600,0.33000,-8.93600,0.49400,-9.19900,0.31300,-9.10800,0.87200,-9.10100,0.38900,-8.96100,0.52400,-8.56500,0.56800,-8.41700,0.52700,-8.61900,0.67800,-8.85400,0.66500,-8.69100,0.78400,0,0.02180,4.70700,1.45930,25173698,5.49000,2.12000
35.47500,115.57500,Heze,1,0.00100,9721.00000,0.00230,8666.00000,0.00670,13660.00000,0.02500,12135.00000,-8.57200,0.41600,-8.86800,0.59100,-8.92600,0.71900,-9.17700,0.58700,-9.55500,0.45600,-8.89000,0.68300,-8.91100,0.29700,-8.47500,0.25800,-10.08300,0.49800,-9.86900,0.42100,-9.84900,0.73200,-9.93400,0.52800,-9.63800,0.58800,-9.55700,0.71100,-9.14100,0.43800,-9.52600,0.84500,-9.36300,0.94100,-9.43700,0.76700,-9.35500,0.59800,-8.61000,0.49400,-8.40800,0.38300,-8.63500,0.41900,-8.37100,0.32300,-8.88800,0.49000,-9.17300,0.30800,-9.08800,0.88900,-9.09600,0.38600,-8.93900,0.50600,-8.53300,0.56000,-8.37400,0.52300,-8.60200,0.67300,-8.77700,0.63200,-8.59500,0.75200,0,0.01900,4.46090,1.03000,25173698,5.34000,2.09000
35.47500,115.62500,Heze,2,0.00050,0.00000,0.00120,7006.00000,0.00440,17755.00000,0.02030,22487.00000,-8.56500,0.44500,-8.81500,0.60700,-8.90800,0.78500,-9.12900,0.68600,-9.50400,0.44600,-8.86400,0.73100,-8.84100,0.29300,-8.48500,0.30100,-10.01000,0.51400,-9.87600,0.45200,-9.82900,0.73800,-9.88800,0.54900,-9.55900,0.59600,-9.51500,0.70100,-9.08500,0.40600,-9.44500,0.83500,-9.29500,0.94800,-9.39300,0.79500,-9.34400,0.60900,-8.55400,0.49500,-8.34600,0.38300,-8.59600,0.42000,-8.34200,0.31900,-8.86300,0.49000,-9.14000,0.31700,-9.10500,0.92400,-9.10900,0.37700,-8.91400,0.49500,-8.53300,0.55700,-8.35100,0.51600,-8.61600,0.65300,-8.75400,0.61500,-8.56100,0.74100,0,0.02030,5.21710,1.29280,25173698,5.21000,2.04000
35.47500,115.67500,Heze,1,0.00010,538.00000,0.00050,1244.00000,0.00150,7294.00000,0.01180,18637.00000,-8.56700,0.44700,-8.80900,0.61100,-8.91200,0.80000,-9.12600,0.70300,-9.50600,0.44900,-8.86500,0.74000,-8.83200,0.29100,-8.49400,0.30700,-9.96800,0.51500,-9.89000,0.47300,-9.83300,0.74300,-9.86300,0.55100,-9.50200,0.59100,-9.48100,0.67900,-9.05900,0.39600,-9.39700,0.81700,-9.26200,0.92100,-9.35900,0.80900,-9.35000,0.60400,-8.50100,0.50800,-8.29200,0.37000,-8.55900,0.41800,-8.32500,0.32200,-8.83300,0.48600,-9.11100,0.32900,-9.10100,0.95100,-9.13700,0.36100,-8.91100,0.48300,-8.57000,0.56700,-8.33200,0.49500,-8.63600,0.65800,-8.74800,0.60700,-8.52600,0.74300,0,0.02100,5.34220,1.36260,25173698,5.03000,2.02000
