latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
34.62500,132.17500,Hiroshima,0,0.00020,0.00000,0.00030,0.00000,0.00030,0.00000,0.00040,0.00000,-7.95600,0.25700,-8.32400,0.14900,-8.08300,0.12800,-8.20500,0.32300,-7.94300,0.35900,-8.00700,0.15300,-8.15800,0.13800,-8.16800,0.16700,-10.31500,0.24200,-10.31500,0.36900,-10.37600,0.27800,-10.41200,0.30600,-10.25900,0.24600,-10.31900,0.27600,-10.42200,0.31000,-10.39600,0.33400,-10.35900,0.31100,-10.48100,0.19900,-10.46600,0.26000,-7.97500,0.24200,-8.15400,0.19000,-8.08100,0.36700,-8.06500,0.24400,-8.04900,0.30300,-8.05900,0.28100,-8.13900,0.27600,-8.03700,0.34000,-8.11000,0.25900,-8.06500,0.18300,-8.08400,0.24200,-8.17700,0.19400,-8.10400,0.23100,-8.08300,0.29000,0,-9999,-9999,-9999,25432298,70.42000,3.67000
34.62500,132.22500,Hiroshima,0,0.00080,35.00000,0.00110,41.00000,0.00120,68.00000,0.00130,83.00000,-7.87300,0.26000,-8.22900,0.15000,-7.98000,0.10900,-8.13200,0.30700,-7.86200,0.34600,-7.91400,0.14200,-8.05100,0.12400,-8.06100,0.16400,-10.36500,0.24600,-10.40300,0.38100,-10.45500,0.25500,-10.49800,0.29400,-10.34400,0.24600,-10.38800,0.29400,-10.47000,0.30600,-10.43500,0.32400,-10.40400,0.31600,-10.55400,0.18600,-10.51100,0.26200,-7.97500,0.23400,-8.14900,0.19300,-8.07700,0.35600,-8.05100,0.24400,-8.04500,0.28800,-8.04500,0.28100,-8.12000,0.28800,-8.02500,0.33700,-8.09700,0.24700,-8.06500,0.17600,-8.07700,0.23700,-8.15700,0.20800,-8.08100,0.24400,-8.06200,0.30100,0,-9999,-9999,-9999,25432298,66.98000,4.24000
34.62500,132.27500,Hiroshima,0,0.00470,6.00000,0.00610,196.00000,0.00640,205.00000,0.00680,295.00000,-7.74200,0.26400,-8.07900,0.15200,-7.81700,0.07900,-8.01800,0.28200,-7.73500,0.32400,-7.76700,0.12500,-7.88400,0.10100,-7.89400,0.16100,-10.36400,0.25300,-10.43600,0.37200,-10.46600,0.25400,-10.51400,0.27700,-10.36900,0.24000,-10.38900,0.32100,-10.46400,0.30200,-10.42200,0.30700,-10.37700,0.30900,-10.54400,0.17600,-10.48600,0.28000,-7.97100,0.23100,-8.14700,0.19100,-8.06700,0.34600,-8.04200,0.24500,-8.03600,0.28400,-8.02200,0.28600,-8.09400,0.29700,-8.00600,0.33100,-8.08400,0.23700,-8.06900,0.17000,-8.06500,0.22800,-8.12400,0.24100,-8.05000,0.26100,-8.03400,0.31000,0,-9999,-9999,-9999,25432298,62.67000,4.31000
34.62500,132.32500,Hiroshima,0,0.00680,1308.00000,0.00830,1273.00000,0.00870,1238.00000,0.00930,1208.00000,-7.71900,0.26600,-8.03800,0.14600,-7.77900,0.08700,-7.99000,0.27100,-7.69000,0.31200,-7.72300,0.12300,-7.82100,0.10200,-7.84000,0.16900,-10.32000,0.26000,-10.41600,0.35400,-10.42100,0.27200,-10.46000,0.27200,-10.34100,0.21400,-10.32900,0.34200,-10.39900,0.29200,-10.35800,0.29300,-10.28800,0.30100,-10.46500,0.18700,-10.41600,0.30900,-7.96700,0.23100,-8.14200,0.18700,-8.06500,0.32500,-8.04000,0.24700,-8.02400,0.28700,-8.00900,0.28400,-8.07300,0.29400,-7.98500,0.32800,-8.07100,0.22700,-8.07900,0.16500,-8.05000,0.22300,-8.10200,0.27100,-8.02500,0.27400,-8.00700,0.32400,0,-9999,-9999,-9999,25432298,65.12000,4.03000
34.62500,132.37500,Hiroshima,0,0.00170,9.00000,0.00210,13.00000,0.00220,10.00000,0.00240,10.00000,-7.69700,0.26400,-7.99500,0.13000,-7.74400,0.10300,-7.97900,0.24600,-7.64200,0.28600,-7.67900,0.12200,-7.74700,0.09900,-7.78100,0.18400,-10.22900,0.25000,-10.33200,0.31500,-10.32600,0.29400,-10.35900,0.30200,-10.25700,0.19800,-10.22000,0.34900,-10.27600,0.27600,-10.24100,0.30200,-10.14200,0.29900,-10.32200,0.22300,-10.30500,0.32400,-7.97000,0.23100,-8.13700,0.18700,-8.08500,0.28800,-8.04700,0.25200,-8.01300,0.28000,-8.01500,0.27700,-8.05400,0.29200,-7.97000,0.33000,-8.06800,0.21900,-8.08800,0.16500,-8.03200,0.22700,-8.08700,0.29100,-8.00100,0.28600,-7.98700,0.31400,0,-9999,-9999,-9999,25432298,61.06000,4.68000
34.62500,132.42500,Hiroshima,1,0.00550,578.00000,0.00800,633.00000,0.01240,806.00000,0.01440,1085.00000,-7.72000,0.25800,-8.02900,0.12400,-7.78100,0.11400,-8.02200,0.23700,-7.66800,0.27900,-7.71300,0.12600,-7.77600,0.09800,-7.81100,0.19100,-10.15300,0.24200,-10.28800,0.27200,-10.25200,0.29700,-10.28600,0.32600,-10.17600,0.19400,-10.14000,0.35200,-10.18200,0.28700,-10.15700,0.32600,-10.04600,0.28700,-10.20400,0.23800,-10.20900,0.32400,-7.96100,0.22900,-8.12300,0.19800,-8.07400,0.28900,-8.04400,0.26100,-7.99400,0.27500,-8.01600,0.28000,-8.03800,0.29500,-7.94800,0.33200,-8.06700,0.21700,-8.07400,0.16000,-8.01100,0.21900,-8.06200,0.26800,-7.96500,0.29100,-7.96900,0.28400,0,-9999,-9999,-9999,25432298,54.52000,5.72000
34.62500,132.47500,Hiroshima,1,0.00460,1134.00000,0.00730,1331.00000,0.00950,1348.00000,0.01070,1401.00000,-7.74000,0.25300,-8.05400,0.12600,-7.81200,0.13900,-8.05600,0.22200,-7.67300,0.27200,-7.73600,0.13200,-7.76400,0.10000,-7.82300,0.20600,-10.11700,0.23900,-10.27700,0.24100,-10.21700,0.28000,-10.25000,0.31500,-10.15200,0.19700,-10.10300,0.34100,-10.16500,0.29300,-10.13100,0.35800,-10.01200,0.28200,-10.14600,0.24200,-10.18000,0.32100,-7.93500,0.21600,-8.09200,0.21200,-8.04300,0.29400,-8.02200,0.26700,-7.96900,0.26400,-8.01100,0.29100,-8.01600,0.30400,-7.91400,0.33200,-8.04400,0.22000,-8.03400,0.14000,-7.96400,0.21700,-8.01500,0.25100,-7.92400,0.28900,-7.95300,0.27000,0,-9999,-9999,-9999,25432298,49.67000,5.62000
34.62500,132.52500,Hiroshima,1,0.00570,853.00000,0.00860,885.00000,0.01320,1227.00000,0.01390,1139.00000,-7.75500,0.25200,-8.07400,0.12900,-7.83000,0.14500,-8.07000,0.22500,-7.67900,0.27400,-7.74700,0.13300,-7.77100,0.10400,-7.83300,0.20300,-10.11800,0.23900,-10.28400,0.22700,-10.19800,0.27100,-10.25300,0.30600,-10.15700,0.22400,-10.11200,0.30800,-10.17300,0.31700,-10.11000,0.38400,-10.01300,0.29500,-10.12300,0.25300,-10.17100,0.31700,-7.88900,0.19000,-8.03700,0.23900,-7.97300,0.30400,-7.95700,0.28100,-7.91300,0.26500,-7.98200,0.29900,-7.97600,0.30800,-7.86300,0.32800,-7.96900,0.22300,-7.95500,0.15800,-7.90000,0.21900,-7.94600,0.27700,-7.85800,0.31300,-7.90600,0.27000,0,-9999,-9999,-9999,25432298,63.27000,4.91000
34.62500,132.57500,Hiroshima,0,0.00990,916.00000,0.01420,831.00000,0.01850,778.00000,0.01950,825.00000,-7.79900,0.24900,-8.13100,0.14100,-7.88200,0.16500,-8.10900,0.23700,-7.69100,0.28000,-7.77600,0.13500,-7.78600,0.11500,-7.86000,0.19300,-10.21900,0.23000,-10.38000,0.20300,-10.27500,0.26100,-10.35300,0.28400,-10.27000,0.23300,-10.21500,0.27900,-10.24500,0.34100,-10.21300,0.40300,-10.12100,0.30200,-10.19600,0.23200,-10.24700,0.32500,-7.86300,0.16700,-8.01400,0.23400,-7.94400,0.30900,-7.93800,0.27400,-7.89200,0.26500,-7.97000,0.30700,-7.95000,0.30600,-7.84700,0.30900,-7.92500,0.24100,-7.90400,0.18800,-7.87100,0.21600,-7.91500,0.28900,-7.84700,0.31800,-7.87600,0.26300,0,-9999,-9999,-9999,25432298,62.04000,4.86000
34.62500,132.62500,Hiroshima,1,0.02130,3833.00000,0.02760,3714.00000,0.03140,3707.00000,0.03310,3390.00000,-7.81500,0.24900,-8.15400,0.14400,-7.90300,0.17100,-8.12500,0.24200,-7.70400,0.28200,-7.79300,0.13500,-7.80300,0.11800,-7.87900,0.18700,-10.38400,0.20900,-10.51400,0.18800,-10.41000,0.24700,-10.49900,0.28100,-10.42900,0.23600,-10.34400,0.28000,-10.36900,0.35300,-10.37100,0.40600,-10.27300,0.32500,-10.33000,0.21700,-10.35900,0.31100,-7.87100,0.16500,-8.02400,0.22700,-7.95900,0.30600,-7.95000,0.26600,-7.91300,0.27600,-7.97900,0.31300,-7.97100,0.29500,-7.86500,0.30100,-7.92500,0.24400,-7.90400,0.19300,-7.88000,0.21600,-7.92700,0.27200,-7.88200,0.30000,-7.89700,0.27000,0,-9999,-9999,-9999,25432298,48.90000,5.93000
