latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
11.02500,106.42500,HoChiMinhCity,1,0.00040,2938.00000,0.01120,12179.00000,0.02090,16306.00000,0.05890,25996.00000,-8.73300,0.15100,-8.59500,0.18900,-8.62000,0.17200,-8.71300,0.12500,-8.50200,0.11300,-8.52100,0.12200,-8.40500,0.44800,-8.35500,0.11100,-10.87300,0.27200,-10.80900,0.25500,-10.75100,0.25900,-10.74500,0.33000,-10.62900,0.20200,-10.56000,0.26400,-10.64000,0.30000,-10.40300,0.25000,-10.30600,0.32200,-10.21900,0.28800,-10.32500,0.33300,-7.86600,0.30800,-7.78100,0.38000,-7.71500,0.34500,-7.72200,0.32500,-7.58900,0.34800,-7.65700,0.42400,-7.52300,0.27600,-7.33100,0.31700,-7.45500,0.37100,-7.27400,0.44100,-7.17600,0.30400,-7.03200,0.48600,-6.70400,0.76900,-6.83900,0.47100,0,-9999,-9999,-9999,30219528,14.41000,8.61000
11.02500,106.47500,HoChiMinhCity,1,0.00050,0.00000,0.00670,1542.00000,0.01130,3835.00000,0.03120,12233.00000,-8.62700,0.16000,-8.50000,0.19600,-8.49900,0.21600,-8.58100,0.13800,-8.36400,0.11900,-8.39300,0.11700,-8.22000,0.48100,-8.15200,0.10400,-10.61600,0.29600,-10.58000,0.22700,-10.45100,0.26200,-10.46700,0.30400,-10.38300,0.20900,-10.21600,0.25500,-10.33200,0.27100,-10.11300,0.22400,-9.99000,0.34500,-9.93000,0.27700,-9.93800,0.34100,-7.70900,0.32500,-7.64400,0.43600,-7.51900,0.37000,-7.57500,0.35800,-7.43500,0.38800,-7.39300,0.49700,-7.33800,0.30500,-7.13000,0.37400,-7.24800,0.40800,-7.04000,0.51400,-6.94000,0.34600,-6.74600,0.57800,-6.47200,0.80500,-6.69300,0.48900,0,-9999,-9999,-9999,30219528,19.08000,9.17000
11.02500,106.52500,HoChiMinhCity,2,0.00180,3766.00000,0.01250,2706.00000,0.01730,4871.00000,0.04820,17715.00000,-8.50700,0.16900,-8.39400,0.20200,-8.36300,0.26700,-8.43200,0.15300,-8.21000,0.12700,-8.24900,0.11100,-8.01200,0.52400,-7.92600,0.09900,-10.33700,0.30900,-10.27700,0.23000,-10.11300,0.25800,-10.18000,0.26200,-10.05800,0.21000,-9.83800,0.25500,-9.95500,0.25400,-9.75100,0.20600,-9.60000,0.36200,-9.57600,0.26200,-9.50600,0.33800,-7.51900,0.38700,-7.50000,0.46600,-7.28300,0.37800,-7.37600,0.42100,-7.18900,0.40800,-7.07300,0.53900,-7.05300,0.38900,-6.85900,0.47000,-6.96500,0.52400,-6.74500,0.57900,-6.61400,0.42100,-6.32200,0.68900,-6.14500,0.86100,-6.41700,0.50900,0,-9999,-9999,-9999,30219528,23.24000,9.99000
11.02500,106.57500,HoChiMinhCity,1,0.00090,1791.00000,0.00740,4409.00000,0.00930,5754.00000,0.02610,12439.00000,-8.35000,0.16500,-8.23200,0.22200,-8.17100,0.26700,-8.25300,0.15600,-7.98200,0.12500,-8.02700,0.11600,-7.76200,0.46400,-7.66600,0.14900,-10.05600,0.30300,-9.95000,0.24700,-9.77500,0.25000,-9.86900,0.23100,-9.70100,0.20800,-9.47900,0.25600,-9.51500,0.23800,-9.36100,0.17600,-9.17300,0.34700,-9.18700,0.25900,-9.04000,0.31300,-7.35000,0.45300,-7.27700,0.51800,-7.08600,0.39500,-7.15700,0.45600,-6.94300,0.43300,-6.84300,0.55700,-6.78600,0.47400,-6.55600,0.54500,-6.64100,0.62200,-6.38000,0.70600,-6.24100,0.56900,-5.84700,0.81500,-5.67300,0.91000,-5.96900,0.51300,0,-9999,-9999,-9999,30219528,19.94000,9.33000
11.02500,106.62500,HoChiMinhCity,2,0.00600,1191.00000,0.07540,13091.00000,0.10860,31477.00000,0.21260,76617.00000,-8.28500,0.16400,-8.16700,0.22800,-8.09300,0.26300,-8.18300,0.15700,-7.88700,0.12400,-7.93600,0.11800,-7.66700,0.43700,-7.56800,0.16100,-9.82200,0.27300,-9.63000,0.24700,-9.46000,0.28600,-9.55000,0.25400,-9.34300,0.20800,-9.14600,0.25900,-9.09100,0.23000,-8.95700,0.15200,-8.77200,0.31900,-8.76900,0.28400,-8.58900,0.32100,-7.17200,0.50300,-7.02200,0.57600,-6.88600,0.45100,-6.93500,0.52400,-6.64100,0.56500,-6.56000,0.65300,-6.42300,0.52900,-6.14100,0.67800,-6.19400,0.76100,-5.88400,0.77500,-5.66500,0.70500,-5.21800,0.95100,-5.10400,0.90700,-5.40000,0.58200,0,-9999,-9999,-9999,30219528,15.88000,9.10000
11.02500,106.67500,HoChiMinhCity,3,0.00670,235.00000,0.03400,2998.00000,0.04950,8328.00000,0.18730,68353.00000,-8.17000,0.16300,-8.05700,0.23200,-7.95900,0.24400,-8.06900,0.15800,-7.71900,0.12000,-7.77600,0.12100,-7.51900,0.38600,-7.42100,0.16700,-9.73000,0.25200,-9.44000,0.24300,-9.31700,0.30900,-9.39700,0.28600,-9.12600,0.19200,-8.97800,0.24100,-8.89200,0.24900,-8.73200,0.18600,-8.56100,0.29500,-8.53200,0.30300,-8.35000,0.34500,-6.96800,0.56800,-6.85400,0.61300,-6.65100,0.50400,-6.66200,0.59700,-6.31200,0.65700,-6.21100,0.74300,-6.01100,0.62600,-5.70500,0.75600,-5.77100,0.85000,-5.43900,0.80200,-5.11300,0.73900,-4.65600,0.99000,-4.75700,0.95500,-4.92500,0.63400,0,-9999,-9999,-9999,30219528,10.80000,8.75000
11.02500,106.72500,HoChiMinhCity,3,0.00700,1669.00000,0.04930,11304.00000,0.05970,21705.00000,0.23210,61335.00000,-8.13500,0.16300,-8.03700,0.23100,-7.92300,0.22900,-8.04600,0.16100,-7.67000,0.12100,-7.72800,0.12700,-7.50900,0.32900,-7.39900,0.15300,-9.73800,0.23500,-9.40400,0.25400,-9.30500,0.29400,-9.37500,0.29200,-9.06300,0.18500,-8.94700,0.21400,-8.85300,0.28200,-8.65100,0.21600,-8.50700,0.29400,-8.43400,0.30600,-8.27400,0.32600,-6.87300,0.60600,-6.82500,0.61600,-6.54600,0.54500,-6.50600,0.60600,-6.18700,0.69100,-6.06800,0.77100,-5.82300,0.67600,-5.54500,0.78300,-5.57800,0.82500,-5.26600,0.76600,-4.82300,0.73300,-4.41200,1.01500,-4.64900,0.88200,-4.76100,0.67400,0,-9999,-9999,-9999,30219528,11.45000,8.57000
11.02500,106.77500,HoChiMinhCity,2,0.01330,2158.00000,0.04140,6962.00000,0.05840,14026.00000,0.16690,36207.00000,-8.10700,0.16400,-8.02000,0.23000,-7.89300,0.21700,-8.02600,0.16300,-7.63000,0.12100,-7.68700,0.13200,-7.50000,0.28300,-7.38100,0.14100,-9.83800,0.21400,-9.50400,0.27400,-9.41400,0.25000,-9.46700,0.26500,-9.14100,0.19300,-9.04400,0.20100,-8.96400,0.30800,-8.73300,0.24600,-8.60300,0.28700,-8.50200,0.30900,-8.39300,0.28700,-7.02200,0.61300,-6.93600,0.61200,-6.66000,0.58300,-6.56900,0.56700,-6.34200,0.62700,-6.20600,0.76000,-5.98100,0.62800,-5.77400,0.77600,-5.71300,0.77200,-5.42600,0.75700,-4.98500,0.66500,-4.70100,0.92100,-4.90900,0.77000,-4.89900,0.70500,0,-9999,-9999,-9999,30219528,11.32000,8.74000
11.02500,106.82500,HoChiMinhCity,2,0.02550,21238.00000,0.04870,30649.00000,0.07200,32414.00000,0.14320,38817.00000,-8.12400,0.15600,-8.05900,0.22600,-7.92600,0.18500,-8.08000,0.15600,-7.66800,0.11900,-7.71900,0.14100,-7.60300,0.20900,-7.47000,0.11400,-9.98400,0.20200,-9.66400,0.30000,-9.58500,0.21300,-9.59400,0.23800,-9.29800,0.21800,-9.18400,0.21000,-9.15400,0.32100,-8.88700,0.26400,-8.77300,0.27900,-8.64400,0.29700,-8.58900,0.25600,-7.15900,0.65200,-7.09200,0.57100,-6.84500,0.52300,-6.83200,0.55900,-6.63900,0.57000,-6.47700,0.72400,-6.32600,0.54900,-6.17100,0.71000,-6.06500,0.74700,-5.81800,0.68500,-5.43700,0.62800,-5.23900,0.81000,-5.37900,0.71300,-5.26900,0.82100,0,-9999,-9999,-9999,30219528,16.52000,8.94000
11.02500,106.87500,HoChiMinhCity,3,0.03260,9883.00000,0.06170,19916.00000,0.10610,44076.00000,0.25080,93457.00000,-8.14300,0.15200,-8.08800,0.22400,-7.95300,0.17000,-8.12000,0.15200,-7.71000,0.11700,-7.75800,0.13800,-7.66600,0.18900,-7.53100,0.11100,-10.09500,0.19800,-9.82800,0.29900,-9.76900,0.21300,-9.73000,0.24600,-9.47500,0.24900,-9.36900,0.23400,-9.36700,0.31800,-9.11100,0.24600,-9.03000,0.26500,-8.91900,0.26800,-8.87000,0.22900,-7.28800,0.63200,-7.26000,0.50600,-7.03600,0.44400,-7.07400,0.57000,-6.91300,0.56200,-6.73900,0.69500,-6.67300,0.53100,-6.54900,0.66600,-6.40900,0.75800,-6.27600,0.67400,-5.93500,0.61400,-5.81700,0.77200,-5.85500,0.72500,-5.74100,0.96500,0,-9999,-9999,-9999,30219528,15.84000,8.18000
