latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
41.07500,111.42500,Hohhot,1,0.00010,1.00000,0.00710,14692.00000,0.00820,18678.00000,0.01770,31216.00000,-11.38000,0.82100,-10.89800,0.75600,-10.37500,0.79300,-10.61400,0.92100,-10.92500,0.83500,-11.15900,0.60000,-11.24000,0.46900,-11.19200,0.61000,-13.17900,0.50700,-12.90400,0.67800,-13.15900,0.64800,-12.97100,0.62800,-12.33400,0.63400,-12.46100,0.89500,-12.85300,0.62300,-13.14000,0.63300,-13.32800,0.49400,-12.75200,0.70200,-13.32400,0.67500,-12.16700,0.90800,-11.21400,1.15800,-11.98400,1.04100,-11.66900,1.05400,-11.39300,0.93400,-10.85600,0.77700,-10.66900,0.81300,-10.67300,0.70700,-10.90700,0.73900,-10.23800,0.76600,-10.91100,0.72000,-10.06700,1.02400,-10.05800,0.98300,-10.20000,0.81300,0,0.03340,3.54230,1.62310,23332656,0.90000,0.44000
41.07500,111.47500,Hohhot,1,0.00060,17140.00000,0.01380,23563.00000,0.01890,30979.00000,0.02480,32420.00000,-11.27100,0.80500,-10.77100,0.69400,-10.22200,0.78200,-10.53700,0.86600,-10.81900,0.81700,-10.92500,0.60600,-11.18000,0.42500,-11.07000,0.60000,-13.18000,0.50200,-12.89200,0.65700,-13.13500,0.63500,-12.94100,0.62600,-12.30900,0.59600,-12.43100,0.86800,-12.83400,0.59700,-13.11800,0.59600,-13.29300,0.46300,-12.69900,0.68000,-13.28700,0.65900,-12.17300,0.90000,-11.15900,1.13400,-11.96300,1.04600,-11.59200,1.06700,-11.45900,0.88600,-10.82600,0.81200,-10.65600,0.78800,-10.69100,0.68500,-10.93000,0.75800,-10.27600,0.76900,-10.90800,0.72100,-10.08400,1.03100,-10.09200,0.97700,-10.24400,0.81000,0,0.02880,3.02320,1.51520,23332656,1.39000,0.56000
41.07500,111.52500,Hohhot,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.30900,0.80900,-10.81600,0.69600,-10.26200,0.78800,-10.57200,0.87100,-10.86200,0.81900,-10.96200,0.61300,-11.21900,0.42700,-11.10400,0.60500,-13.18800,0.50900,-12.88600,0.64100,-13.12700,0.62200,-12.88500,0.62400,-12.30100,0.55700,-12.43500,0.83200,-12.82400,0.58200,-13.12300,0.55800,-13.26600,0.43800,-12.67300,0.65400,-13.28000,0.64200,-12.19000,0.92300,-11.15900,1.11700,-12.05700,1.05700,-11.72700,1.05900,-11.73200,0.89700,-10.91500,0.89600,-10.78200,0.76000,-10.89800,0.70200,-11.16700,0.85800,-10.43300,0.82900,-11.09400,0.74200,-10.29000,1.06900,-10.30500,0.95900,-10.42800,0.85400,0,0.00130,0.63910,0.04340,23332656,1.70000,0.71000
41.07500,111.57500,Hohhot,0,0.00000,122.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.19400,0.79600,-10.65000,0.66900,-10.09400,0.78900,-10.46400,0.82100,-10.73200,0.79400,-10.72900,0.59500,-11.12900,0.43000,-10.97800,0.62200,-13.17700,0.48000,-12.84400,0.62300,-13.07700,0.61700,-12.82400,0.61300,-12.30200,0.55200,-12.44300,0.76900,-12.81700,0.56800,-13.10200,0.51100,-13.22300,0.42400,-12.63500,0.60700,-13.23700,0.61400,-12.17400,0.95100,-11.10200,1.13500,-12.10300,1.08300,-11.89400,1.08200,-11.86300,0.93500,-11.02200,0.94400,-10.83900,0.74500,-11.04500,0.71600,-11.31200,0.87200,-10.54600,0.86900,-11.29500,0.77000,-10.48900,1.12800,-10.54900,0.98700,-10.66800,0.88200,0,0.00100,0.35430,0.02610,23332656,1.47000,0.64000
41.07500,111.62500,Hohhot,0,0.00000,213.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.20900,0.79800,-10.66600,0.66700,-10.10300,0.79300,-10.47700,0.81900,-10.75000,0.79200,-10.73200,0.59800,-11.14900,0.43200,-10.99200,0.62900,-13.19600,0.47000,-12.83300,0.59600,-13.02700,0.60300,-12.77100,0.58600,-12.35000,0.52500,-12.48100,0.72500,-12.85600,0.55400,-13.12500,0.47800,-13.24200,0.40700,-12.62800,0.56900,-13.27800,0.57600,-12.09500,0.95200,-11.01000,1.12200,-12.01800,1.16300,-11.88200,1.11200,-11.89500,0.92400,-11.03600,0.96300,-10.82100,0.73900,-11.13600,0.75900,-11.36500,0.88800,-10.61200,0.89000,-11.39700,0.77300,-10.58600,1.12600,-10.66200,1.00500,-10.80800,0.88200,0,0.00010,0.06230,0.00320,23332656,1.44000,0.60000
41.07500,111.67500,Hohhot,0,0.00000,213.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.13800,0.78600,-10.52800,0.67000,-9.95400,0.80600,-10.37400,0.78400,-10.65700,0.77600,-10.53600,0.60600,-11.09000,0.46200,-10.90200,0.65800,-13.19800,0.45700,-12.81600,0.57200,-12.95600,0.58200,-12.70200,0.57100,-12.36300,0.49900,-12.52100,0.65600,-12.86300,0.52700,-13.13800,0.43600,-13.22500,0.41400,-12.59600,0.51900,-13.26000,0.55600,-11.86800,0.88700,-10.83800,1.09400,-11.82400,1.17300,-11.63700,1.16900,-11.83800,0.86700,-10.88100,0.99200,-10.75500,0.71300,-11.15500,0.80400,-11.35500,0.93000,-10.62500,0.91100,-11.44600,0.74200,-10.64200,1.07800,-10.73500,0.98700,-10.86700,0.84500,0,0.00000,0.00000,0.00000,23332656,1.36000,0.56000
41.07500,111.72500,Hohhot,0,0.00000,214.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.13500,0.78600,-10.51100,0.67100,-9.92900,0.81300,-10.36000,0.77700,-10.65100,0.77100,-10.49800,0.61300,-11.09400,0.47200,-10.89600,0.67000,-13.16300,0.45400,-12.77500,0.56500,-12.87200,0.58200,-12.65600,0.54400,-12.37000,0.47100,-12.56100,0.58600,-12.89000,0.50800,-13.13800,0.38900,-13.19900,0.43600,-12.56800,0.47400,-13.27100,0.51600,-11.57600,0.86600,-10.64700,1.07300,-11.55500,1.09900,-11.28600,1.14000,-11.60000,0.81900,-10.55700,0.94900,-10.54300,0.67300,-11.05300,0.82500,-11.28100,0.97000,-10.56000,0.94600,-11.44400,0.71800,-10.53800,1.02200,-10.71600,0.96500,-10.76500,0.75500,0,0.00000,0.00000,0.00000,23332656,1.29000,0.51000
41.07500,111.77500,Hohhot,0,0.00000,222.00000,0.00000,39.00000,0.00000,0.00000,0.00000,0.00000,-11.10600,0.78400,-10.40300,0.68600,-9.82400,0.82400,-10.26400,0.75800,-10.59100,0.76900,-10.39500,0.61800,-11.05800,0.50900,-10.84600,0.69400,-13.14000,0.44300,-12.74700,0.56000,-12.82900,0.59100,-12.66700,0.53000,-12.40300,0.43400,-12.64200,0.53900,-12.96300,0.50300,-13.17200,0.37100,-13.20900,0.44500,-12.56800,0.45200,-13.31900,0.47900,-11.28600,0.81000,-10.42300,1.04700,-11.31600,1.01300,-11.02500,1.06400,-11.35300,0.80800,-10.27200,0.86000,-10.20600,0.64100,-10.84000,0.78300,-11.09300,0.90800,-10.36800,0.94100,-11.35600,0.68800,-10.35300,0.97100,-10.52400,0.91400,-10.52400,0.67500,0,0.00010,0.04360,0.00240,23332656,1.73000,0.64000
41.07500,111.82500,Hohhot,0,0.00000,300.00000,0.00000,435.00000,0.00000,0.00000,0.00030,0.00000,-11.10000,0.78300,-10.35800,0.69400,-9.77900,0.83200,-10.22000,0.74900,-10.56800,0.76800,-10.35100,0.62200,-11.05000,0.53000,-10.83000,0.71000,-13.09100,0.44000,-12.73000,0.55000,-12.78900,0.60000,-12.66900,0.51000,-12.40600,0.41100,-12.69200,0.52400,-12.99600,0.50700,-13.16900,0.37700,-13.19100,0.46700,-12.56200,0.42800,-13.34300,0.44800,-11.04100,0.77100,-10.24100,0.98400,-11.20300,0.93500,-10.85200,0.99600,-11.18300,0.80700,-10.08900,0.79700,-9.90400,0.60600,-10.67300,0.71800,-10.94000,0.85700,-10.15500,0.83500,-11.15300,0.67600,-10.15800,0.89500,-10.28600,0.82500,-10.27800,0.62100,0,0.00000,0.00000,0.00000,23332656,1.89000,0.64000
41.07500,111.87500,Hohhot,0,0.00000,311.00000,0.00000,490.00000,0.00000,0.00000,0.00000,0.00000,-11.10200,0.79000,-10.28100,0.71300,-9.71000,0.84900,-10.15000,0.75200,-10.52700,0.77300,-10.33400,0.61600,-11.01600,0.56400,-10.81800,0.70900,-13.05400,0.44800,-12.71800,0.53600,-12.78800,0.60200,-12.67800,0.49900,-12.40400,0.40300,-12.72000,0.51200,-13.01600,0.50600,-13.16000,0.39700,-13.17000,0.48900,-12.55600,0.42700,-13.36100,0.42300,-10.85000,0.76400,-10.11000,0.91700,-11.16400,0.85000,-10.71000,0.93700,-11.04800,0.79700,-9.97000,0.79300,-9.70600,0.55200,-10.60700,0.66700,-10.83800,0.81600,-10.04900,0.74600,-10.99700,0.67500,-9.98400,0.83600,-10.16400,0.75700,-10.10900,0.61100,0,0.00000,0.00000,0.00000,23332656,2.09000,0.73000
