latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.87500,116.72500,Huainan,1,0.00010,5629.00000,0.00260,16666.00000,0.00380,18775.00000,0.01110,7328.00000,-9.37300,0.57700,-9.96600,0.40000,-9.91000,0.54400,-10.13300,0.69400,-9.88000,0.68200,-9.66900,0.58600,-10.07100,0.41500,-9.84700,0.44400,-12.63600,0.37700,-12.18700,0.73000,-12.64500,0.50600,-11.87500,0.45000,-11.73100,0.67400,-11.87700,0.51300,-11.61300,0.51100,-11.49500,0.55200,-11.46900,0.50400,-11.51700,0.55700,-11.43900,0.49600,-9.58400,1.07700,-9.73000,0.96200,-9.55700,0.85000,-9.52900,1.11600,-9.87500,0.68900,-9.74200,1.04000,-9.97100,0.81600,-9.76700,0.84100,-9.99700,1.09700,-10.17200,0.91900,-9.89300,0.86100,-9.86100,0.95400,-10.49700,0.64100,-9.66000,1.07800,0,0.01460,4.30840,0.76730,25946898,12.79000,4.25000
32.87500,116.77500,Huainan,0,0.00000,34.00000,0.00170,12.00000,0.00260,9.00000,0.01310,1967.00000,-9.37600,0.57700,-9.96200,0.40000,-9.89600,0.54300,-10.14100,0.69500,-9.88900,0.67600,-9.68400,0.57700,-10.08400,0.42200,-9.85100,0.43600,-12.77500,0.40000,-12.28600,0.77800,-12.74300,0.54900,-11.99500,0.48600,-11.89200,0.71500,-12.03200,0.55800,-11.74700,0.53400,-11.62600,0.58800,-11.64000,0.54400,-11.67200,0.60900,-11.59900,0.53000,-9.67500,1.13100,-9.81700,1.02400,-9.64700,0.92000,-9.61700,1.15400,-9.98400,0.76800,-9.87300,1.10800,-10.04700,0.86200,-9.86100,0.87400,-10.00500,1.10400,-10.21800,1.00800,-10.02200,0.89300,-9.91200,1.00600,-10.53300,0.75000,-9.75000,1.16800,0,0.01380,4.97840,0.75930,25946898,13.92000,4.42000
32.87500,116.82500,Huainan,1,0.00000,413.00000,0.00030,2638.00000,0.00070,3447.00000,0.03130,22399.00000,-9.41300,0.58300,-9.96100,0.36500,-9.90000,0.54700,-10.13800,0.68100,-9.93900,0.66100,-9.75600,0.53000,-10.11600,0.42300,-9.89200,0.41100,-12.94000,0.43600,-12.43200,0.81800,-12.86900,0.59200,-12.15400,0.52700,-12.11600,0.76500,-12.24800,0.60700,-11.93600,0.60400,-11.78100,0.63300,-11.85500,0.62900,-11.86900,0.65700,-11.79200,0.60200,-9.82300,1.21300,-9.96100,1.17700,-9.80000,1.03700,-9.79600,1.25500,-10.21300,0.97000,-10.05200,1.25200,-10.18100,0.99800,-10.05900,0.91100,-10.08900,1.18000,-10.20400,1.16200,-10.23000,0.96400,-10.06100,1.13900,-10.63000,0.86000,-9.87800,1.30300,0,0.01710,4.88510,1.14920,25946898,13.21000,4.33000
32.87500,116.87500,Huainan,0,0.00000,0.00000,0.00170,8614.00000,0.00200,6031.00000,0.00230,7216.00000,-9.41200,0.58400,-9.95400,0.36400,-9.88300,0.55000,-10.13300,0.67800,-9.94100,0.65900,-9.75900,0.52300,-10.11000,0.42300,-9.88700,0.40100,-13.09700,0.45700,-12.62300,0.85500,-13.03100,0.64000,-12.35900,0.58900,-12.41700,0.82500,-12.50900,0.65000,-12.15700,0.68300,-11.98000,0.69000,-12.13200,0.77000,-12.10400,0.73400,-12.01100,0.69500,-10.06500,1.30400,-10.09100,1.37600,-9.99900,1.22000,-9.99100,1.33000,-10.41100,1.20000,-10.14600,1.34400,-10.31100,1.18400,-10.23200,0.97000,-10.21400,1.33000,-10.21200,1.32200,-10.27200,1.06000,-10.15000,1.35100,-10.67100,0.98500,-9.96000,1.47100,0,0.01300,3.63350,0.77690,25946898,11.70000,4.13000
32.87500,116.92500,Huainan,0,0.00000,0.00000,0.00430,28537.00000,0.00810,34259.00000,0.00920,34553.00000,-9.43800,0.59200,-9.94600,0.32000,-9.89200,0.56500,-10.08800,0.65500,-9.96300,0.65900,-9.79900,0.48500,-10.09000,0.39800,-9.87800,0.37500,-13.19900,0.44000,-12.74800,0.85300,-13.14900,0.65800,-12.52800,0.61300,-12.65900,0.86300,-12.70200,0.65700,-12.32600,0.75100,-12.14100,0.72200,-12.36600,0.90600,-12.25700,0.77100,-12.16400,0.78300,-10.22500,1.39800,-10.12900,1.45300,-10.06900,1.37500,-10.07400,1.34600,-10.47100,1.35000,-10.19300,1.36000,-10.35000,1.32600,-10.31600,1.01100,-10.26400,1.37000,-10.21300,1.36100,-10.19700,1.11800,-10.11900,1.48000,-10.64200,1.04500,-9.92600,1.58300,0,0.01510,3.64340,0.97930,25946898,12.28000,4.14000
32.87500,116.97500,Huainan,0,0.00000,0.00000,0.00050,9480.00000,0.00070,8481.00000,0.00080,6957.00000,-9.43800,0.59400,-9.94000,0.31700,-9.88300,0.57200,-10.07300,0.65000,-9.96100,0.66000,-9.79600,0.48100,-10.07500,0.39100,-9.86500,0.36700,-13.21600,0.41300,-12.77900,0.81000,-13.19600,0.63700,-12.61700,0.58800,-12.84600,0.89700,-12.79100,0.64600,-12.39300,0.77700,-12.21800,0.72000,-12.48800,0.97200,-12.29000,0.77000,-12.21400,0.78700,-10.28200,1.44200,-10.13200,1.49900,-10.07700,1.41500,-10.05800,1.36400,-10.47800,1.37700,-10.17300,1.36600,-10.30900,1.37200,-10.30300,1.00600,-10.21900,1.39200,-10.14600,1.35400,-10.04000,1.16700,-9.94700,1.54300,-10.48900,1.01700,-9.77500,1.63900,0,0.01360,3.99880,0.69880,25946898,14.43000,4.33000
32.87500,117.02500,Huainan,0,0.00000,0.00000,0.00250,4174.00000,0.00300,2613.00000,0.00320,843.00000,-9.44700,0.60600,-9.93200,0.30100,-9.88300,0.59500,-9.99100,0.62300,-9.94800,0.66400,-9.79000,0.46700,-10.00600,0.34400,-9.81500,0.34900,-13.10800,0.34000,-12.69300,0.72400,-13.14700,0.58200,-12.57800,0.51600,-12.88700,0.90800,-12.70400,0.60500,-12.31000,0.71800,-12.17100,0.68700,-12.43300,0.97400,-12.16500,0.74000,-12.06700,0.72300,-10.27500,1.44000,-10.08900,1.50800,-10.03100,1.39300,-10.00100,1.32700,-10.38600,1.34700,-10.08100,1.32100,-10.17000,1.35800,-10.13900,0.94700,-10.01800,1.31800,-9.88100,1.30000,-9.75900,1.10700,-9.76100,1.50000,-10.35200,0.97400,-9.57900,1.61700,0,0.01240,4.27980,0.60380,25946898,14.21000,4.30000
32.87500,117.07500,Huainan,0,0.00010,1107.00000,0.00350,15863.00000,0.00420,19780.00000,0.00460,11813.00000,-9.44300,0.60500,-9.92700,0.30300,-9.87700,0.59700,-9.96800,0.61800,-9.93900,0.66700,-9.77800,0.46900,-9.98300,0.33300,-9.79800,0.34500,-12.90000,0.28800,-12.50600,0.63200,-12.99000,0.48700,-12.38400,0.42800,-12.73600,0.86100,-12.45200,0.54000,-12.06600,0.60400,-11.98400,0.61200,-12.18700,0.92400,-11.88600,0.68000,-11.77400,0.61600,-10.17900,1.39600,-9.87200,1.38900,-9.73700,1.21700,-9.67200,1.12600,-10.00500,1.12600,-9.75400,1.12900,-9.75600,1.13300,-9.64400,0.73900,-9.46700,1.03300,-9.37400,1.02200,-9.23200,0.87400,-9.38200,1.32500,-10.00800,0.87500,-9.18900,1.48000,0,0.01440,4.06280,0.90160,25946898,13.49000,4.30000
32.87500,117.12500,Huainan,0,0.00010,2314.00000,0.00230,2353.00000,0.00280,2219.00000,0.00300,2812.00000,-9.41800,0.59600,-9.89900,0.32100,-9.84500,0.60400,-9.86400,0.59900,-9.89100,0.67900,-9.71800,0.48200,-9.86800,0.28100,-9.71400,0.32500,-12.60700,0.23500,-12.23900,0.54200,-12.72900,0.40000,-12.08700,0.34300,-12.43900,0.78100,-12.09900,0.46700,-11.71100,0.52200,-11.69500,0.52300,-11.82400,0.81600,-11.51700,0.59800,-11.39400,0.51500,-9.89600,1.23800,-9.31500,1.01100,-9.08400,0.81000,-9.06400,0.75700,-9.28200,0.77200,-9.07800,0.73100,-9.10800,0.77600,-8.85300,0.51900,-8.90500,0.77000,-8.80300,0.77200,-8.58400,0.64800,-8.83500,1.05800,-9.28900,0.72500,-8.60700,1.22500,0,0.00850,2.33330,0.56190,25946898,9.81000,3.84000
32.87500,117.17500,Huainan,1,0.00050,9300.00000,0.01310,11502.00000,0.01440,8525.00000,0.02200,7542.00000,-9.40500,0.59000,-9.89500,0.32400,-9.83200,0.59500,-9.83800,0.59300,-9.87600,0.68000,-9.69900,0.48900,-9.84200,0.27300,-9.69100,0.32400,-12.29700,0.22500,-11.94300,0.46300,-12.40900,0.35200,-11.73800,0.29900,-12.00900,0.68900,-11.69000,0.40800,-11.31600,0.47200,-11.36800,0.43600,-11.36800,0.70100,-11.10400,0.52500,-10.98500,0.40500,-9.44200,0.96100,-8.90700,0.77100,-8.77300,0.66900,-8.74000,0.60600,-8.76600,0.58200,-8.69600,0.57400,-8.65100,0.58000,-8.24800,0.53400,-8.49800,0.68300,-8.41700,0.69200,-8.09900,0.62700,-8.15800,0.88900,-8.58600,0.64700,-7.88900,1.03200,0,0.00730,1.62180,0.83250,25946898,8.53000,3.78000
