latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
31.12500,119.82500,Huzhou,0,0.00000,0.00000,0.00100,15.00000,0.00170,381.00000,0.00340,1303.00000,-10.22700,0.28400,-10.53000,0.26500,-10.64800,0.37000,-12.59500,3.01200,-10.31300,0.44600,-10.28300,0.45100,-10.19100,0.26900,-10.53500,0.32600,-11.82800,0.27100,-12.03000,0.35300,-11.70200,0.49900,-11.69100,0.37000,-11.46900,0.39100,-11.50900,0.42900,-11.30500,0.33700,-11.20600,0.38000,-10.96700,0.34300,-10.89100,0.40000,-10.66000,0.40800,-8.70400,0.41300,-8.38900,0.41900,-8.30700,0.45600,-8.25900,0.43400,-8.27700,0.40200,-8.23200,0.61700,-8.46300,0.40000,-7.90200,0.37300,-7.92100,0.51200,-7.92400,0.73900,-8.05500,0.54900,-7.64200,0.86900,-7.76900,0.64300,-7.46100,0.79800,0,0.00570,2.53690,0.34660,26437184,40.68000,6.87000
31.12500,119.87500,Huzhou,1,0.00040,0.00000,0.00730,1049.00000,0.01160,1486.00000,0.02160,5367.00000,-10.48600,0.27400,-10.76200,0.26300,-10.87500,0.35700,-12.69600,2.88700,-10.56200,0.42800,-10.57700,0.45200,-10.42200,0.29700,-10.74600,0.33000,-12.81900,0.28300,-13.03700,0.45700,-12.72400,0.57800,-12.71100,0.40200,-12.43800,0.42000,-12.48900,0.47200,-12.22900,0.40800,-12.14900,0.41300,-11.87900,0.40600,-11.75200,0.44400,-11.52300,0.47400,-9.43800,0.52700,-9.09300,0.50900,-8.91900,0.48800,-8.80900,0.50100,-8.85500,0.46000,-8.84200,0.63900,-9.07700,0.46100,-8.58600,0.45500,-8.56200,0.55100,-8.53400,0.85500,-8.69200,0.55300,-8.15900,1.00200,-8.34200,0.71500,-7.98600,0.91300,0,0.01360,4.39820,1.31880,26437184,28.33000,6.08000
31.12500,119.92500,Huzhou,1,0.00070,541.00000,0.01220,7807.00000,0.02600,8866.00000,0.05060,9276.00000,-10.87500,0.26200,-11.12400,0.27400,-11.21500,0.32900,-12.77500,2.70600,-10.94700,0.40200,-11.02600,0.45900,-10.78200,0.33100,-11.08500,0.34900,-14.12100,0.34300,-14.38900,0.55700,-14.09100,0.66200,-14.10000,0.43900,-13.80800,0.46400,-13.84400,0.50700,-13.54900,0.51900,-13.47900,0.45500,-13.21800,0.45700,-13.05200,0.50500,-12.81200,0.53400,-10.91400,0.63700,-10.54000,0.59700,-10.39000,0.56000,-10.18300,0.64000,-10.17600,0.52900,-10.06500,0.74200,-10.34600,0.50700,-9.96700,0.48500,-9.89500,0.60600,-9.87500,0.85900,-10.11500,0.56400,-9.42600,1.04200,-9.66100,0.76700,-9.35200,0.95900,27,0.02950,5.15390,4.09650,26437184,18.33000,5.46000
31.12500,119.97500,Huzhou,0,0.00010,0.00000,0.00530,1.00000,0.01320,1.00000,0.02510,0.00000,-10.87500,0.26200,-11.12400,0.27400,-11.21500,0.32900,-12.77500,2.70600,-10.94700,0.40200,-11.02600,0.45900,-10.78200,0.33100,-11.08500,0.34900,-14.96800,0.40400,-15.27900,0.61500,-14.99300,0.69900,-14.98800,0.46200,-14.70900,0.47800,-14.72400,0.52900,-14.41900,0.57700,-14.34200,0.48900,-14.09500,0.49300,-13.92900,0.54300,-13.65400,0.56500,-12.27800,0.67200,-11.84300,0.73100,-11.76800,0.63600,-11.51700,0.77000,-11.42500,0.57500,-11.24300,0.81300,-11.53700,0.53900,-11.19600,0.49100,-11.00000,0.70700,-10.96300,0.83300,-11.21400,0.53900,-10.61900,0.99500,-10.75100,0.76500,-10.52900,0.91900,100,0.00000,0.00000,0.00000,26437184,-9999.00000,-9999.00000
31.12500,120.02500,Huzhou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-15.44400,0.43600,-15.77400,0.67000,-15.50400,0.69900,-15.46400,0.51800,-15.19500,0.47100,-15.17400,0.53800,-14.85200,0.63600,-14.78700,0.52600,-14.51400,0.55400,-14.32200,0.56900,-13.98300,0.61600,-13.42000,0.65600,-13.08200,1.01200,-12.79700,0.68700,-12.55900,0.94600,-12.37400,0.70500,-12.13700,0.86400,-12.41200,0.58800,-11.97900,0.57600,-11.68000,0.77500,-11.57400,0.92400,-11.65800,0.51700,-11.33000,0.96100,-11.25800,0.82900,-11.00300,0.91100,100,0.00000,0.00000,0.00000,26437184,-9999.00000,4.97000
31.12500,120.07500,Huzhou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,26437184,-9999.00000,-9999.00000
31.12500,120.12500,Huzhou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,0.00000,0.00000,0.00000,26437184,-9999.00000,-9999.00000
31.12500,120.17500,Huzhou,0,0.00030,204.00000,0.00170,160.00000,0.00190,175.00000,0.00290,255.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,87,0.00110,0.37370,0.06780,26437184,3.13000,5.02000
31.12500,120.22500,Huzhou,1,0.00230,2770.00000,0.01690,2367.00000,0.01970,2539.00000,0.02870,3491.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-18.77100,0.89400,-18.94500,0.65500,-18.84000,0.61700,-18.80100,0.84900,-18.91500,0.47000,-18.74400,0.61100,-18.67200,0.77200,-18.50600,0.69300,-18.52300,0.79500,-18.70500,0.64000,-18.30900,0.53800,-13.76300,0.61400,-13.31700,0.78100,-13.32000,0.49300,-13.56600,0.60900,-13.26400,0.65700,-13.09900,0.56200,-13.31200,0.54100,-13.08200,0.50300,-13.28100,0.47500,-13.19600,0.73000,-13.30600,0.50100,-12.91800,0.77900,-12.79200,0.71600,-12.79000,0.72300,30,0.00790,2.93420,0.71450,26437184,21.44000,6.11000
31.12500,120.27500,Huzhou,1,0.00570,3239.00000,0.04460,5956.00000,0.05980,6690.00000,0.09350,7995.00000,-12.69300,0.47600,-12.70100,0.49200,-12.55900,0.49300,-13.21000,2.46100,-12.38800,0.42300,-13.04000,0.93400,-12.15200,0.63400,-12.31600,0.32300,-17.96200,0.74600,-18.07000,0.53700,-17.93400,0.57000,-17.83100,0.74800,-17.95000,0.41900,-17.77800,0.58700,-17.71100,0.69400,-17.51600,0.60300,-17.54600,0.66500,-17.68300,0.58400,-17.36100,0.55900,-12.60700,0.43200,-12.20300,0.64600,-12.25200,0.45900,-12.23500,0.51500,-12.10000,0.52200,-11.93100,0.50600,-12.02900,0.39800,-11.69600,0.48800,-11.83500,0.45100,-11.78600,0.67100,-11.75800,0.42900,-11.58600,0.70500,-11.43200,0.64000,-11.48300,0.63600,0,0.01670,4.07280,2.16420,26437184,37.21000,7.73000
31.12500,120.32500,Huzhou,2,0.00690,10979.00000,0.05070,13132.00000,0.06710,15997.00000,0.10270,22624.00000,-12.65000,0.48000,-12.66200,0.49000,-12.51800,0.49800,-13.18200,2.46400,-12.34300,0.42500,-12.98900,0.94800,-12.10200,0.62900,-12.27600,0.31900,-16.77500,0.54700,-16.78500,0.40800,-16.60000,0.55600,-16.45100,0.62500,-16.53200,0.32800,-16.32700,0.48700,-16.29500,0.58600,-16.04400,0.46000,-16.03500,0.54400,-16.09300,0.49500,-15.75800,0.56700,-12.08900,0.38800,-11.71400,0.56300,-11.72100,0.42000,-11.70900,0.45100,-11.55100,0.49300,-11.41500,0.49500,-11.54400,0.33800,-11.13100,0.48100,-11.22700,0.41100,-11.12700,0.66200,-11.09400,0.48000,-10.93300,0.75800,-10.79000,0.64600,-10.66200,0.66200,42,0.03820,5.43510,5.54160,26437184,13.36000,4.41000
31.07500,119.82500,Huzhou,0,0.00000,0.00000,0.00030,0.00000,0.00040,73.00000,0.00130,768.00000,-10.11500,0.28900,-10.44300,0.28100,-10.54800,0.36900,-12.47600,3.07400,-10.21500,0.45400,-10.16300,0.45500,-10.10200,0.24700,-10.46600,0.33500,-11.66400,0.29900,-11.89900,0.40700,-11.58000,0.53000,-11.57200,0.39700,-11.39100,0.41300,-11.37100,0.47800,-11.19900,0.37900,-11.06200,0.39100,-10.83300,0.35000,-10.75300,0.45600,-10.47200,0.44000,-8.39300,0.39300,-8.09900,0.39000,-8.04300,0.42400,-7.92300,0.44300,-7.92400,0.37600,-7.84800,0.62900,-8.09700,0.37500,-7.50500,0.34500,-7.54200,0.50700,-7.56200,0.67000,-7.58800,0.47800,-7.30700,0.75200,-7.40100,0.57100,-7.08200,0.69000,0,0.00130,0.68360,0.07680,26450830,47.99000,7.31000
31.07500,119.87500,Huzhou,1,0.00130,3041.00000,0.01110,9266.00000,0.01610,10307.00000,0.02710,8876.00000,-10.60200,0.27200,-10.87900,0.27700,-10.97500,0.34400,-12.66800,2.83800,-10.68300,0.42100,-10.71600,0.45700,-10.53800,0.30100,-10.86200,0.34400,-12.43000,0.29000,-12.66700,0.49200,-12.34800,0.59700,-12.31700,0.42900,-12.05900,0.44400,-12.06700,0.50300,-11.84400,0.43400,-11.70900,0.44300,-11.45500,0.42700,-11.32300,0.48400,-11.01800,0.48600,-8.79300,0.55100,-8.43200,0.54600,-8.28200,0.48400,-8.10900,0.54300,-8.09200,0.43800,-8.00300,0.68500,-8.18800,0.41000,-7.59000,0.47800,-7.52300,0.58200,-7.53700,0.80600,-7.55600,0.46900,-7.20900,0.84800,-7.30300,0.65200,-6.91900,0.79000,0,0.02160,5.35490,2.10820,26450830,26.53000,6.00000
31.07500,119.92500,Huzhou,2,0.00240,13321.00000,0.03500,19789.00000,0.06610,22912.00000,0.11350,25404.00000,-10.87500,0.26200,-11.12400,0.27400,-11.21500,0.32900,-12.77500,2.70600,-10.94700,0.40200,-11.02600,0.45900,-10.78200,0.33100,-11.08500,0.34900,-13.55100,0.31000,-13.80600,0.58400,-13.47600,0.65900,-13.47500,0.46800,-13.18700,0.46200,-13.16400,0.52100,-12.87600,0.54100,-12.77000,0.46900,-12.51300,0.48100,-12.31200,0.53200,-11.99000,0.55900,-9.78600,0.71900,-9.37900,0.69200,-9.05900,0.61000,-8.86400,0.71800,-8.76200,0.58300,-8.63600,0.80100,-8.76500,0.51400,-8.16000,0.58000,-8.08700,0.63700,-8.07000,0.91200,-8.12200,0.50800,-7.59900,0.94000,-7.76100,0.75800,-7.34200,0.88700,3,0.05970,8.09210,8.57440,26450830,16.24000,5.32000
