latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
17.62500,78.22500,HyderabadIndia,1,0.00000,0.00000,0.00050,585.00000,0.00090,758.00000,0.00530,2204.00000,-9.99800,0.36700,-9.79400,0.21400,-9.64200,0.40000,-9.95100,0.85400,-9.81200,0.21900,-9.94700,0.51300,-9.68900,0.31300,-9.53900,0.35300,-11.57300,0.31900,-11.75000,0.28300,-11.72900,0.37100,-11.69900,0.54600,-11.61300,0.46300,-11.67100,0.36200,-11.45900,0.43800,-11.58000,0.43300,-11.37000,0.35300,-11.44700,0.55200,-11.77800,0.66100,-9.57400,0.48400,-9.48700,0.82800,-10.19800,0.99000,-9.10800,0.48000,-9.30000,0.42800,-9.39100,0.40000,-8.89300,0.34600,-9.24100,0.59100,-9.56300,0.73800,-8.77100,0.58300,-9.09600,0.60500,-8.94800,0.78900,-8.66800,0.65500,-8.46900,0.52600,0,-9999,-9999,-9999,29364200,3.57000,1.12000
17.62500,78.27500,HyderabadIndia,1,0.00020,2346.00000,0.00390,5387.00000,0.00560,3968.00000,0.00940,2401.00000,-9.98700,0.35100,-9.77300,0.21200,-9.62700,0.39800,-9.95900,0.86800,-9.78600,0.22300,-9.92500,0.50600,-9.65600,0.30900,-9.49500,0.35200,-11.45600,0.31300,-11.54100,0.29400,-11.53800,0.38200,-11.52000,0.56000,-11.36600,0.44700,-11.44900,0.34300,-11.18500,0.41300,-11.35700,0.44600,-11.11800,0.34300,-11.10900,0.58800,-11.37500,0.62200,-9.42400,0.45200,-9.36500,0.80800,-9.84400,0.87500,-9.00100,0.49600,-9.22200,0.44200,-9.25900,0.38200,-8.81500,0.32900,-9.16900,0.55400,-9.41200,0.62200,-8.70600,0.54400,-8.99800,0.59600,-8.79800,0.73900,-8.50400,0.57100,-8.41000,0.51900,0,-9999,-9999,-9999,29364200,3.13000,1.15000
17.62500,78.32500,HyderabadIndia,1,0.00010,0.00000,0.00260,681.00000,0.00320,368.00000,0.00680,1018.00000,-9.95100,0.29500,-9.69100,0.23100,-9.58100,0.39700,-9.99200,0.93300,-9.71300,0.23500,-9.84500,0.48200,-9.54700,0.29400,-9.35400,0.35600,-11.32700,0.28900,-11.31600,0.31500,-11.35300,0.41900,-11.35100,0.58600,-11.11400,0.43300,-11.20200,0.38700,-10.91900,0.39600,-11.11800,0.47800,-10.86200,0.35000,-10.78600,0.63000,-10.99300,0.59400,-9.28600,0.40200,-9.27400,0.77600,-9.65500,0.78200,-8.94000,0.52200,-9.15000,0.45200,-9.11000,0.37200,-8.74200,0.33100,-9.10700,0.54300,-9.32600,0.59600,-8.65100,0.53800,-8.91900,0.55600,-8.67400,0.68700,-8.39500,0.54200,-8.29500,0.52300,0,-9999,-9999,-9999,29364200,3.57000,1.31000
17.62500,78.37500,HyderabadIndia,1,0.00020,2677.00000,0.00620,3644.00000,0.02050,6608.00000,0.06560,12992.00000,-9.94500,0.28100,-9.65900,0.24500,-9.57800,0.39400,-10.02200,0.96900,-9.71600,0.24400,-9.81000,0.47200,-9.52200,0.29100,-9.30900,0.36300,-11.20000,0.28000,-11.13500,0.34200,-11.20400,0.44800,-11.26500,0.63600,-10.93600,0.43700,-11.00600,0.44300,-10.72400,0.39900,-10.91000,0.50600,-10.68200,0.35100,-10.54600,0.66400,-10.72100,0.56700,-9.26100,0.41600,-9.23300,0.77200,-9.59200,0.75100,-8.91400,0.52700,-9.13900,0.46100,-9.03300,0.38300,-8.69700,0.34100,-9.06800,0.55300,-9.24700,0.60000,-8.58800,0.55300,-8.84800,0.56300,-8.53500,0.68000,-8.30100,0.56200,-8.09600,0.58000,0,-9999,-9999,-9999,29364200,4.51000,1.49000
17.62500,78.42500,HyderabadIndia,2,0.00700,24778.00000,0.02260,14699.00000,0.03100,15330.00000,0.05690,27702.00000,-9.93900,0.26400,-9.62100,0.26200,-9.57500,0.39100,-10.05600,1.01300,-9.72000,0.25500,-9.76800,0.46000,-9.49100,0.28600,-9.25500,0.37000,-11.11900,0.27600,-11.01400,0.35700,-11.12900,0.47400,-11.23900,0.69700,-10.83700,0.44300,-10.87700,0.49200,-10.61000,0.43000,-10.78400,0.52000,-10.58500,0.35100,-10.42800,0.66900,-10.56700,0.57200,-9.28900,0.42900,-9.25100,0.77000,-9.58700,0.73900,-8.93600,0.51500,-9.16000,0.47400,-8.98000,0.40600,-8.69700,0.33700,-9.04800,0.54400,-9.19000,0.61200,-8.56300,0.58600,-8.77000,0.58600,-8.43200,0.69200,-8.17100,0.59400,-7.92800,0.63000,0,-9999,-9999,-9999,29364200,3.95000,1.30000
17.62500,78.47500,HyderabadIndia,2,0.00320,5647.00000,0.03140,18522.00000,0.05910,24778.00000,0.11180,28727.00000,-9.99500,0.26200,-9.58600,0.28300,-9.64100,0.39100,-10.10100,1.03100,-9.81800,0.29400,-9.76600,0.46500,-9.53600,0.30700,-9.27100,0.36900,-11.12300,0.25800,-10.98400,0.35300,-11.15800,0.48900,-11.29600,0.73200,-10.85000,0.45300,-10.87700,0.51300,-10.62400,0.47300,-10.79500,0.51700,-10.60900,0.36800,-10.48000,0.67000,-10.60800,0.60000,-9.39300,0.44300,-9.31600,0.78400,-9.61400,0.74900,-8.99100,0.47900,-9.20200,0.47800,-8.94700,0.45000,-8.73000,0.35100,-9.07100,0.55500,-9.18800,0.66400,-8.62000,0.60900,-8.73900,0.55200,-8.39900,0.67400,-8.14700,0.59300,-7.91700,0.57500,0,-9999,-9999,-9999,29364200,3.97000,1.24000
17.62500,78.52500,HyderabadIndia,1,0.00500,875.00000,0.02020,4668.00000,0.04510,6697.00000,0.08410,7294.00000,-10.01100,0.26200,-9.57700,0.28900,-9.66100,0.39100,-10.11300,1.03500,-9.84700,0.30600,-9.76600,0.46700,-9.55000,0.31300,-9.27600,0.36900,-11.19800,0.23400,-11.03900,0.32700,-11.28200,0.47700,-11.47600,0.76100,-10.98000,0.46300,-10.97300,0.51600,-10.79000,0.52100,-10.93700,0.48700,-10.79500,0.38000,-10.70200,0.66400,-10.87000,0.63300,-9.54400,0.47300,-9.48000,0.84400,-9.71100,0.74400,-9.09400,0.48300,-9.33400,0.50500,-9.01700,0.47700,-8.87400,0.44100,-9.20600,0.58500,-9.33900,0.71500,-8.76100,0.61700,-8.85300,0.49700,-8.54500,0.60500,-8.32800,0.54100,-8.03200,0.50400,0,-9999,-9999,-9999,29364200,3.35000,1.21000
17.62500,78.57500,HyderabadIndia,2,0.00080,6407.00000,0.01140,14639.00000,0.02670,20994.00000,0.05690,26321.00000,-10.15400,0.28600,-9.60400,0.30100,-9.82000,0.40400,-10.10200,1.01500,-10.03800,0.36800,-9.85900,0.50700,-9.73600,0.27500,-9.42500,0.35500,-11.38200,0.22600,-11.17100,0.32400,-11.47700,0.46500,-11.69500,0.75200,-11.20200,0.48600,-11.19700,0.50000,-11.03200,0.56000,-11.20600,0.46000,-11.07300,0.40200,-11.05200,0.64300,-11.26400,0.65900,-9.71500,0.47600,-9.69500,0.90000,-9.96300,0.76800,-9.23500,0.53800,-9.52200,0.49000,-9.18200,0.52200,-9.05100,0.45500,-9.41200,0.59900,-9.60200,0.68800,-9.04300,0.58800,-9.13700,0.52700,-8.78100,0.60100,-8.63300,0.55700,-8.33300,0.46100,0,-9999,-9999,-9999,29364200,3.61000,1.26000
17.62500,78.62500,HyderabadIndia,1,0.00020,360.00000,0.00320,3024.00000,0.00850,5368.00000,0.02510,8972.00000,-10.21800,0.29900,-9.64000,0.31900,-9.88700,0.40700,-10.12500,1.00600,-10.11100,0.38500,-9.90500,0.52200,-9.81800,0.24200,-9.49700,0.35600,-11.58300,0.24200,-11.30900,0.32500,-11.68500,0.48600,-11.85400,0.73800,-11.41300,0.48800,-11.41700,0.49100,-11.26600,0.58700,-11.44800,0.46100,-11.31600,0.39000,-11.37400,0.61600,-11.63200,0.65100,-9.86100,0.53400,-9.83400,0.97500,-10.21800,0.84500,-9.36200,0.55800,-9.67100,0.51000,-9.36300,0.58400,-9.25000,0.46400,-9.56700,0.58100,-9.81800,0.67700,-9.24300,0.61500,-9.34700,0.56600,-9.05700,0.62500,-8.87500,0.52800,-8.65500,0.44300,0,-9999,-9999,-9999,29364200,3.46000,1.24000
17.62500,78.67500,HyderabadIndia,1,0.00000,196.00000,0.00110,1438.00000,0.00240,1745.00000,0.00630,2456.00000,-10.34600,0.32400,-9.71300,0.35500,-10.02200,0.41600,-10.17500,0.99000,-10.25800,0.41400,-10.00000,0.55200,-9.98700,0.17100,-9.64500,0.35900,-11.81100,0.27400,-11.46100,0.32600,-11.90900,0.52800,-12.03300,0.71000,-11.63000,0.50100,-11.65500,0.45600,-11.51300,0.58200,-11.73900,0.46300,-11.57800,0.37300,-11.70700,0.59400,-12.04000,0.61100,-10.00400,0.56900,-9.99100,0.96200,-10.58100,0.92600,-9.53100,0.56900,-9.93700,0.56400,-9.56800,0.60400,-9.48000,0.50300,-9.78700,0.57200,-10.05300,0.68500,-9.43500,0.64200,-9.63000,0.60200,-9.33300,0.64200,-9.14800,0.56700,-8.97400,0.44200,0,-9999,-9999,-9999,29364200,3.02000,1.07000
