latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
25.62500,68.12500,HyderabadPakistan,0,0.00000,0.00000,0.00000,0.00000,0.00000,241.00000,0.00000,96.00000,-10.65100,0.13700,-10.97000,0.13400,-10.75800,0.25800,-10.49800,0.55800,-10.95600,0.23400,-10.72600,0.38200,-10.71700,0.21900,-11.02200,0.29000,-12.20200,0.20900,-12.37200,0.36300,-12.49700,0.53200,-11.96500,0.20100,-12.67800,0.56300,-11.87700,0.25100,-12.08800,0.22100,-12.64500,0.42100,-12.31700,0.43000,-12.20200,0.37900,-12.48800,0.31900,-11.32000,0.25500,-11.29100,0.28600,-11.52900,0.23300,-11.50000,0.22800,-11.35700,0.34300,-11.08400,0.31700,-11.30200,0.24100,-11.25200,0.19000,-11.47500,0.24000,-11.51500,0.23900,-11.56600,0.24400,-11.48900,0.31800,-11.52500,0.37700,-11.39500,0.35100,0,-9999,-9999,-9999,27815610,-9999.00000,0.01000
25.62500,68.17500,HyderabadPakistan,0,0.00000,0.00000,0.00000,0.00000,0.00000,123.00000,0.00030,463.00000,-10.71500,0.13400,-10.96400,0.14300,-10.77000,0.25300,-10.60900,0.49400,-10.97700,0.19500,-10.75200,0.33900,-10.78400,0.19300,-11.04000,0.24500,-12.21700,0.19900,-12.42700,0.33100,-12.52400,0.47700,-12.08800,0.19700,-12.74600,0.53200,-11.95600,0.27200,-12.15300,0.23800,-12.65100,0.40300,-12.35100,0.37100,-12.26100,0.37700,-12.49900,0.30900,-10.87600,0.25500,-10.83400,0.20800,-10.95400,0.18700,-10.96500,0.21800,-10.75200,0.29600,-10.66300,0.25000,-10.80300,0.23100,-10.72600,0.12300,-10.95700,0.24500,-10.90900,0.17000,-10.93100,0.20500,-10.76600,0.27700,-10.86600,0.31100,-10.78000,0.27500,0,-9999,-9999,-9999,27815610,-9999.00000,0.01000
25.62500,68.22500,HyderabadPakistan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.75500,0.12800,-10.89500,0.16000,-10.72600,0.25000,-10.74100,0.36700,-10.93800,0.12100,-10.72400,0.25700,-10.83300,0.13800,-10.99100,0.15800,-12.18000,0.19200,-12.38100,0.28700,-12.44800,0.42300,-12.14700,0.18700,-12.71700,0.46500,-11.96100,0.26300,-12.15600,0.24500,-12.54800,0.35500,-12.29700,0.31300,-12.20800,0.34500,-12.37800,0.26000,-10.63800,0.24400,-10.61700,0.21600,-10.70300,0.15000,-10.75800,0.26200,-10.53000,0.30500,-10.48800,0.22600,-10.59100,0.25300,-10.53100,0.11400,-10.77700,0.26500,-10.69400,0.15900,-10.70800,0.19900,-10.48800,0.31200,-10.67900,0.25600,-10.57000,0.29900,0,-9999,-9999,-9999,27815610,-9999.00000,0.01000
25.62500,68.27500,HyderabadPakistan,0,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,0.00040,0.00000,-10.65700,0.13500,-10.69800,0.16900,-10.55200,0.26700,-10.69000,0.29000,-10.73400,0.10400,-10.55100,0.22600,-10.70000,0.12900,-10.79500,0.15300,-12.11000,0.18000,-12.25100,0.22800,-12.30500,0.38200,-12.13200,0.18700,-12.57300,0.39300,-11.92300,0.24500,-12.11600,0.25700,-12.35700,0.29300,-12.14900,0.24000,-12.04900,0.28100,-12.15700,0.22700,-10.56100,0.25900,-10.56400,0.24800,-10.61700,0.14600,-10.73500,0.35200,-10.49200,0.33400,-10.53800,0.24800,-10.58600,0.28500,-10.51500,0.13400,-10.80100,0.33100,-10.67800,0.16700,-10.66300,0.22100,-10.43100,0.28300,-10.66900,0.23500,-10.51300,0.38100,0,-9999,-9999,-9999,27815610,-9999.00000,0.01000
25.62500,68.32500,HyderabadPakistan,1,0.00020,1032.00000,0.00070,4276.00000,0.00180,12112.00000,0.00540,26305.00000,-10.57400,0.14000,-10.54000,0.17600,-10.41100,0.28100,-10.64300,0.23100,-10.56700,0.09100,-10.41000,0.20200,-10.59000,0.12200,-10.63700,0.14800,-11.97500,0.15900,-12.05600,0.19700,-12.10500,0.35600,-12.08100,0.19000,-12.33600,0.31000,-11.82800,0.22900,-12.01400,0.27100,-12.07400,0.24700,-11.93600,0.20300,-11.83400,0.21000,-11.84700,0.22300,-10.54700,0.31100,-10.58900,0.31700,-10.56000,0.18200,-10.82700,0.53300,-10.52800,0.42300,-10.75600,0.36000,-10.68600,0.33400,-10.59200,0.18200,-10.96800,0.46300,-10.75700,0.19200,-10.67800,0.25900,-10.46900,0.27000,-10.71800,0.26500,-10.53200,0.47400,0,-9999,-9999,-9999,27815610,0.91000,0.19000
25.62500,68.37500,HyderabadPakistan,1,0.00020,1377.00000,0.00080,5669.00000,0.00330,22740.00000,0.00820,30649.00000,-10.36000,0.15400,-10.19600,0.19000,-10.10300,0.30300,-10.47000,0.29900,-10.16100,0.15500,-10.07900,0.18600,-10.25500,0.15100,-10.29400,0.21100,-11.74800,0.13100,-11.79500,0.23700,-11.82300,0.33900,-11.96500,0.19400,-11.99600,0.24300,-11.65000,0.23800,-11.82300,0.28400,-11.71000,0.24400,-11.62700,0.22100,-11.53900,0.20700,-11.45800,0.25300,-10.47800,0.36300,-10.52400,0.34800,-10.43300,0.27400,-10.81700,0.64400,-10.48500,0.49800,-10.79800,0.42100,-10.69600,0.35800,-10.58800,0.19900,-10.99900,0.52100,-10.77400,0.20100,-10.63600,0.32200,-10.43900,0.29000,-10.69800,0.29800,-10.46100,0.60600,0,-9999,-9999,-9999,27815610,1.40000,0.80000
25.62500,68.42500,HyderabadPakistan,0,0.00000,0.00000,0.00030,488.00000,0.00080,773.00000,0.00150,2790.00000,-10.29800,0.15700,-10.08700,0.19700,-10.01100,0.30900,-10.42900,0.33700,-10.03900,0.17300,-9.98100,0.17800,-10.15600,0.16200,-10.19100,0.23100,-11.46400,0.11400,-11.43100,0.29200,-11.46500,0.32300,-11.73400,0.19600,-11.54400,0.21900,-11.36800,0.24400,-11.48900,0.31600,-11.25300,0.29500,-11.21800,0.26600,-11.15400,0.27100,-10.98500,0.28700,-10.13300,0.49500,-10.18900,0.43900,-9.97200,0.43100,-10.23800,0.78100,-9.83100,0.66100,-10.51200,0.57000,-10.24100,0.45900,-10.30400,0.30100,-10.56400,0.54200,-10.34700,0.31600,-10.02800,0.38200,-9.94600,0.40900,-10.05000,0.40800,-9.84900,0.67400,0,-9999,-9999,-9999,27815610,2.66000,0.98000
25.62500,68.47500,HyderabadPakistan,0,0.00000,0.00000,0.00020,3547.00000,0.00020,4343.00000,0.00030,6169.00000,-10.03200,0.15800,-9.66700,0.22500,-9.65000,0.32700,-10.05000,0.38200,-9.55400,0.24400,-9.55700,0.14700,-9.68400,0.14700,-9.79600,0.30500,-11.14800,0.08000,-11.07700,0.32800,-11.10900,0.32800,-11.44400,0.19200,-11.10400,0.22100,-11.04900,0.25400,-11.11800,0.33100,-10.78600,0.30900,-10.80500,0.29500,-10.76600,0.32500,-10.51800,0.32100,-9.28800,0.54000,-9.25400,0.47100,-9.02700,0.38700,-9.09000,0.57100,-8.74500,0.56800,-9.37400,0.57800,-9.14500,0.40900,-9.26000,0.34400,-9.35700,0.43100,-9.12900,0.36600,-8.86400,0.42300,-8.85400,0.41500,-8.77300,0.36900,-8.68600,0.47700,0,-9999,-9999,-9999,27815610,4.47000,1.30000
25.62500,68.52500,HyderabadPakistan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,338.00000,-10.02600,0.15500,-9.64600,0.22800,-9.64000,0.32500,-10.04200,0.39600,-9.54300,0.24400,-9.54800,0.14700,-9.67400,0.15000,-9.78400,0.30600,-10.87000,0.06700,-10.76600,0.34600,-10.81800,0.31700,-11.19700,0.20800,-10.76200,0.24500,-10.77100,0.26700,-10.77700,0.31300,-10.41200,0.31600,-10.46800,0.29500,-10.42500,0.34600,-10.14700,0.33600,-8.83500,0.42100,-8.84600,0.34900,-8.51300,0.31200,-8.42900,0.31600,-8.23700,0.46900,-8.66800,0.47100,-8.48200,0.34300,-8.64600,0.24600,-8.63600,0.33000,-8.48100,0.36000,-8.21000,0.37000,-8.34100,0.32800,-7.99100,0.31200,-7.95900,0.46000,0,-9999,-9999,-9999,27815610,5.30000,1.42000
25.62500,68.57500,HyderabadPakistan,0,0.00000,0.00000,0.00110,8624.00000,0.00150,10933.00000,0.00230,16995.00000,-9.84400,0.15300,-9.34300,0.25900,-9.40700,0.31900,-9.42600,0.78500,-9.21300,0.28200,-9.24600,0.15300,-9.32700,0.14500,-9.49400,0.38000,-10.71600,0.10800,-10.60400,0.34900,-10.67700,0.31400,-11.03900,0.22000,-10.58000,0.24800,-10.60300,0.28900,-10.54200,0.29700,-10.18600,0.32100,-10.27100,0.29000,-10.20800,0.33300,-9.93800,0.34000,-8.81000,0.42500,-8.78800,0.35200,-8.45700,0.30900,-8.28600,0.33600,-8.15000,0.46700,-8.54400,0.43800,-8.42100,0.30400,-8.56100,0.20400,-8.49000,0.32400,-8.37500,0.35400,-8.11500,0.34000,-8.24000,0.34600,-7.85800,0.34700,-7.80600,0.53700,0,-9999,-9999,-9999,27815610,4.97000,1.35000
