latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
7.62500,3.67500,Ibadan,0,0.00000,0.00000,0.00000,0.00000,0.00010,26.00000,0.00020,17.00000,-8.13100,0.25500,-7.92900,0.35000,-7.97000,0.13000,-8.14600,0.08300,-8.17300,0.22500,-8.04600,0.12200,-7.89300,0.17700,-8.02100,0.27600,-9.62400,0.24200,-9.59300,0.16300,-9.82600,0.22400,-9.75200,0.25600,-9.75800,0.20000,-9.65200,0.33400,-9.81100,0.33100,-9.77900,0.25700,-9.63400,0.24600,-9.60800,0.18800,-9.62300,0.27800,-7.75600,0.22100,-7.90800,0.25900,-7.87000,0.23400,-7.82300,0.25800,-7.78300,0.29100,-7.87300,0.21400,-7.90700,0.22600,-7.73400,0.22400,-7.94800,0.33300,-7.73800,0.28900,-7.77800,0.27000,-7.75900,0.31200,-7.63600,0.24200,-8.09100,0.43300,0,-9999,-9999,-9999,30507770,9.01000,4.49000
7.62500,3.72500,Ibadan,0,0.00000,0.00000,0.00010,72.00000,0.00050,192.00000,0.00100,143.00000,-7.94300,0.25000,-7.81400,0.25300,-7.80800,0.13200,-7.97100,0.07500,-8.01900,0.20800,-7.89600,0.11900,-7.75000,0.17400,-7.87300,0.26500,-9.48700,0.26000,-9.47400,0.18000,-9.70700,0.22100,-9.59800,0.23100,-9.63500,0.19900,-9.52100,0.32100,-9.66300,0.30700,-9.63800,0.23100,-9.54200,0.22200,-9.45500,0.18100,-9.50600,0.27300,-7.62100,0.17600,-7.70600,0.20700,-7.66300,0.19300,-7.62800,0.23500,-7.62600,0.26400,-7.73500,0.19500,-7.73000,0.20500,-7.57100,0.21000,-7.81200,0.30700,-7.58700,0.26000,-7.60000,0.25000,-7.58400,0.32200,-7.51300,0.25400,-7.84100,0.37800,0,-9999,-9999,-9999,30507770,9.34000,4.62000
7.62500,3.77500,Ibadan,0,0.00010,31.00000,0.00020,36.00000,0.00040,52.00000,0.00120,267.00000,-7.83100,0.24600,-7.74200,0.20100,-7.71100,0.13300,-7.86800,0.07200,-7.92600,0.19700,-7.80700,0.11900,-7.66300,0.17200,-7.78300,0.25900,-9.35800,0.27700,-9.34500,0.20700,-9.55500,0.22800,-9.44600,0.20900,-9.49800,0.20300,-9.38600,0.30800,-9.52400,0.27700,-9.48100,0.21200,-9.42700,0.22900,-9.28400,0.17300,-9.36700,0.27400,-7.53900,0.15400,-7.60400,0.19800,-7.51600,0.18200,-7.49700,0.19900,-7.51700,0.20800,-7.62600,0.20600,-7.64500,0.20500,-7.45400,0.18800,-7.69300,0.30300,-7.51000,0.23400,-7.50100,0.22600,-7.46400,0.29500,-7.43200,0.24200,-7.67200,0.34300,0,-9999,-9999,-9999,30507770,10.57000,5.39000
7.62500,3.82500,Ibadan,0,0.00060,474.00000,0.00070,274.00000,0.00080,346.00000,0.00440,1307.00000,-7.61500,0.25400,-7.64300,0.15400,-7.53300,0.13000,-7.68500,0.07800,-7.76500,0.17900,-7.65400,0.12100,-7.51500,0.16200,-7.62000,0.24900,-9.23700,0.29300,-9.20600,0.21100,-9.40000,0.25500,-9.29900,0.19600,-9.33800,0.20000,-9.25600,0.29600,-9.39300,0.26400,-9.31300,0.21200,-9.26100,0.24400,-9.12100,0.15700,-9.21600,0.25500,-7.47400,0.15800,-7.52800,0.20800,-7.43800,0.17300,-7.42700,0.17700,-7.45000,0.19200,-7.55100,0.20900,-7.60200,0.21400,-7.38100,0.19700,-7.59800,0.30600,-7.42000,0.23000,-7.43000,0.20900,-7.37500,0.26300,-7.36000,0.24700,-7.58900,0.30400,0,-9999,-9999,-9999,30507770,10.31000,4.75000
7.62500,3.87500,Ibadan,0,0.00040,483.00000,0.00060,291.00000,0.00070,338.00000,0.00610,1387.00000,-7.55100,0.25200,-7.60500,0.16800,-7.48200,0.12600,-7.63400,0.08200,-7.72000,0.17300,-7.60600,0.12100,-7.46900,0.15500,-7.56900,0.24500,-9.15500,0.30900,-9.13300,0.22200,-9.26800,0.25500,-9.18900,0.19700,-9.21700,0.19600,-9.16700,0.27900,-9.26900,0.26700,-9.18300,0.23100,-9.13700,0.24100,-9.00300,0.13900,-9.11100,0.22500,-7.40100,0.17400,-7.44700,0.21300,-7.39200,0.17000,-7.34600,0.14900,-7.38500,0.19000,-7.48200,0.20700,-7.52300,0.21600,-7.33900,0.20300,-7.54700,0.27100,-7.33500,0.25100,-7.36400,0.18500,-7.28600,0.26300,-7.31700,0.26600,-7.56300,0.30000,0,-9999,-9999,-9999,30507770,9.92000,4.73000
7.62500,3.92500,Ibadan,1,0.00010,54.00000,0.00030,78.00000,0.00100,272.00000,0.03710,4870.00000,-7.46500,0.25100,-7.55900,0.19300,-7.41300,0.12000,-7.56600,0.08500,-7.66000,0.16500,-7.54300,0.11900,-7.41100,0.14400,-7.50200,0.24000,-9.08200,0.32000,-9.06500,0.20700,-9.17000,0.25900,-9.09700,0.22500,-9.11900,0.21000,-9.08600,0.25300,-9.15100,0.28100,-9.07700,0.27000,-9.04100,0.26500,-8.91600,0.15800,-9.03200,0.20600,-7.32700,0.18400,-7.36600,0.20100,-7.33300,0.17000,-7.27300,0.14300,-7.29600,0.18500,-7.40700,0.19700,-7.41800,0.20200,-7.25800,0.19500,-7.42200,0.23300,-7.20500,0.26800,-7.27000,0.18800,-7.20600,0.25300,-7.23100,0.26900,-7.45100,0.34100,0,-9999,-9999,-9999,30507770,13.67000,6.16000
7.62500,3.97500,Ibadan,1,0.00050,300.00000,0.00050,133.00000,0.00050,147.00000,0.00440,612.00000,-7.42200,0.24700,-7.54900,0.20800,-7.37800,0.11000,-7.54200,0.08900,-7.64300,0.15900,-7.51600,0.10700,-7.39100,0.12800,-7.47000,0.23400,-9.03300,0.32400,-9.02100,0.17700,-9.11600,0.27500,-9.03400,0.23500,-9.06300,0.21800,-9.00200,0.23400,-9.06300,0.29500,-8.99800,0.29700,-8.98500,0.26700,-8.87200,0.19000,-8.99100,0.19300,-7.28100,0.16800,-7.31600,0.18900,-7.29400,0.15800,-7.20800,0.17500,-7.23600,0.18300,-7.33400,0.18100,-7.34800,0.18400,-7.19600,0.20000,-7.31700,0.20700,-7.11000,0.25500,-7.19300,0.18200,-7.15900,0.24500,-7.11100,0.24200,-7.29800,0.28400,0,-9999,-9999,-9999,30507770,15.93000,6.69000
7.62500,4.02500,Ibadan,1,0.00010,47.00000,0.00020,69.00000,0.00030,116.00000,0.00210,620.00000,-7.40000,0.24300,-7.53900,0.21200,-7.35900,0.10600,-7.52800,0.09100,-7.62900,0.15500,-7.49900,0.10300,-7.37700,0.12100,-7.45100,0.23000,-9.01500,0.32800,-9.02600,0.17100,-9.12200,0.29300,-8.98800,0.23800,-9.03300,0.24600,-8.96900,0.23200,-9.02100,0.30700,-8.98300,0.26000,-8.99400,0.26600,-8.88600,0.21500,-8.99700,0.19100,-7.27200,0.15000,-7.31200,0.18500,-7.28500,0.14300,-7.19600,0.19000,-7.24200,0.18500,-7.32400,0.15900,-7.32300,0.16900,-7.18000,0.20200,-7.30200,0.18500,-7.10200,0.22800,-7.17200,0.18200,-7.13400,0.23800,-7.06100,0.21900,-7.27900,0.25600,0,-9999,-9999,-9999,30507770,16.04000,6.29000
7.62500,4.07500,Ibadan,0,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,0.00180,337.00000,-7.41600,0.23700,-7.57200,0.21700,-7.37600,0.09400,-7.55600,0.09200,-7.66100,0.15700,-7.51800,0.08900,-7.40200,0.10800,-7.46600,0.22200,-9.02600,0.30600,-9.05700,0.17500,-9.19300,0.29700,-9.04800,0.23100,-9.05700,0.25500,-8.97200,0.23300,-9.06600,0.30600,-8.99200,0.22400,-9.06200,0.25600,-8.95300,0.22400,-9.05100,0.19600,-7.30800,0.15200,-7.36400,0.21800,-7.32200,0.14200,-7.24700,0.18700,-7.29000,0.18800,-7.35800,0.14800,-7.33900,0.16700,-7.21100,0.20600,-7.33000,0.18000,-7.12900,0.22000,-7.18400,0.18500,-7.14400,0.23800,-7.06200,0.21300,-7.31500,0.25700,0,-9999,-9999,-9999,30507770,14.50000,5.97000
7.62500,4.12500,Ibadan,0,0.01390,19.00000,0.01910,33.00000,0.02040,54.00000,0.05500,2067.00000,-7.44200,0.23600,-7.59600,0.20900,-7.40100,0.09000,-7.58400,0.09200,-7.69000,0.16300,-7.54000,0.08500,-7.43100,0.10500,-7.49000,0.21900,-9.06400,0.26800,-9.10400,0.19000,-9.25000,0.27900,-9.13600,0.22300,-9.08500,0.24300,-9.02700,0.24800,-9.14100,0.29800,-9.03100,0.19300,-9.12800,0.26900,-9.02000,0.22600,-9.09500,0.20700,-7.35100,0.17000,-7.42200,0.23700,-7.37500,0.15400,-7.31600,0.19500,-7.35800,0.19700,-7.39600,0.14300,-7.39100,0.18400,-7.26500,0.21100,-7.36400,0.19000,-7.16100,0.22300,-7.20600,0.17400,-7.14300,0.23900,-7.08800,0.21100,-7.35300,0.27400,0,-9999,-9999,-9999,30507770,10.36000,5.18000
