latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
7.77500,5.52500,Ikare,1,0.08450,45265.00000,0.09720,53814.00000,0.11500,62184.00000,0.15150,38734.00000,-7.69400,0.11700,-7.63000,0.20600,-7.58400,0.12900,-7.82300,0.22400,-7.74900,0.14700,-7.78800,0.19100,-7.62400,0.19800,-7.69900,0.10900,-8.97900,0.23500,-8.98700,0.24100,-9.03100,0.25500,-8.85400,0.18900,-8.80300,0.18200,-8.73800,0.26100,-8.79300,0.29200,-8.79200,0.25100,-8.63800,0.22600,-8.77300,0.18100,-8.68600,0.22300,-7.32700,0.18600,-7.29000,0.17800,-7.26500,0.16400,-7.22000,0.21800,-7.31200,0.13600,-7.23400,0.18000,-7.25600,0.22400,-7.14600,0.12400,-7.19000,0.19100,-7.17900,0.18600,-7.08800,0.17700,-7.09800,0.21400,-7.10200,0.19100,-7.32700,0.19300,0,-9999,-9999,-9999,30497256,23.59000,7.49000
7.77500,5.57500,Ikare,0,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-7.69600,0.10700,-7.64200,0.20300,-7.58000,0.13500,-7.82200,0.23000,-7.75100,0.15100,-7.78200,0.19600,-7.62600,0.20300,-7.70100,0.10400,-9.03500,0.26600,-8.98400,0.24300,-9.01600,0.29800,-8.84800,0.18900,-8.81700,0.19600,-8.74800,0.25500,-8.76700,0.28400,-8.74100,0.22000,-8.64900,0.21900,-8.76700,0.16000,-8.69500,0.22400,-7.33400,0.18500,-7.30500,0.19200,-7.27500,0.17300,-7.24800,0.22300,-7.32300,0.13500,-7.25700,0.18600,-7.25200,0.20500,-7.16900,0.13500,-7.19600,0.20500,-7.18800,0.18700,-7.10100,0.17100,-7.08900,0.22100,-7.11100,0.19600,-7.31200,0.17800,0,-9999,-9999,-9999,30497256,29.65000,7.92000
7.77500,5.62500,Ikare,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,49.00000,-7.70400,0.09500,-7.66600,0.19700,-7.58000,0.14300,-7.82700,0.23900,-7.76000,0.15700,-7.77900,0.20100,-7.63500,0.21100,-7.70900,0.09600,-9.11000,0.29200,-9.01200,0.24000,-9.02000,0.31000,-8.88500,0.18500,-8.83400,0.20400,-8.79400,0.26800,-8.78000,0.26300,-8.74900,0.19900,-8.68800,0.20700,-8.79100,0.15400,-8.71800,0.20600,-7.36700,0.18400,-7.35600,0.21000,-7.29200,0.16600,-7.29800,0.24500,-7.35500,0.14000,-7.28400,0.19200,-7.29800,0.21100,-7.22500,0.14600,-7.20500,0.21000,-7.21100,0.17700,-7.12000,0.16100,-7.09800,0.24800,-7.13500,0.20600,-7.30500,0.17500,0,-9999,-9999,-9999,30497256,24.28000,6.90000
7.77500,5.67500,Ikare,0,0.00100,42.00000,0.00120,3511.00000,0.00170,4086.00000,0.00310,9684.00000,-7.74400,0.09400,-7.71500,0.16800,-7.60100,0.15600,-7.84800,0.23800,-7.80500,0.17500,-7.80200,0.19900,-7.67000,0.21700,-7.73400,0.08500,-9.17900,0.31000,-9.04100,0.23100,-9.03700,0.29400,-8.95000,0.18400,-8.88600,0.19700,-8.84600,0.27500,-8.82000,0.26600,-8.79900,0.20500,-8.76300,0.19800,-8.84800,0.18100,-8.77700,0.18000,-7.42400,0.19400,-7.42700,0.19000,-7.34800,0.16500,-7.34000,0.26500,-7.41300,0.13500,-7.31300,0.19000,-7.37500,0.21200,-7.28200,0.14100,-7.23700,0.21100,-7.26000,0.16800,-7.16600,0.15000,-7.14700,0.24900,-7.18100,0.21200,-7.32100,0.17900,0,-9999,-9999,-9999,30497256,25.47000,6.65000
7.77500,5.72500,Ikare,2,0.05920,35954.00000,0.06870,48164.00000,0.08970,62400.00000,0.12730,88984.00000,-7.76400,0.09500,-7.73600,0.15700,-7.61300,0.16100,-7.86100,0.23600,-7.82800,0.18300,-7.81800,0.19900,-7.68900,0.22000,-7.74700,0.08400,-9.26100,0.29400,-9.12400,0.22900,-9.10400,0.29200,-9.06300,0.20200,-8.97400,0.19500,-8.93100,0.28000,-8.92800,0.28000,-8.87600,0.23300,-8.88900,0.18200,-8.93000,0.22800,-8.89100,0.17600,-7.48700,0.21100,-7.50000,0.17200,-7.41200,0.16900,-7.38400,0.27600,-7.48300,0.12100,-7.36400,0.19900,-7.44600,0.20100,-7.33000,0.13300,-7.31000,0.21300,-7.32900,0.16600,-7.22400,0.14100,-7.22500,0.19900,-7.23700,0.20000,-7.37800,0.19100,0,-9999,-9999,-9999,30497256,20.30000,5.66000
7.77500,5.77500,Ikare,1,0.00740,4934.00000,0.01460,11464.00000,0.01750,13357.00000,0.02770,21769.00000,-7.82500,0.10300,-7.78200,0.13000,-7.65100,0.17300,-7.90000,0.22600,-7.89800,0.20800,-7.87200,0.19800,-7.74300,0.22100,-7.78400,0.09100,-9.32300,0.26000,-9.23100,0.22400,-9.21200,0.25900,-9.19000,0.22000,-9.06800,0.21800,-9.01700,0.28300,-9.03900,0.30600,-8.98700,0.24100,-8.99300,0.16100,-9.02800,0.25800,-8.99500,0.19200,-7.53700,0.22200,-7.55800,0.17800,-7.46900,0.18000,-7.43200,0.26900,-7.54500,0.13100,-7.41700,0.18500,-7.50500,0.19400,-7.39400,0.13300,-7.39800,0.21400,-7.40400,0.17400,-7.28300,0.14400,-7.29800,0.20500,-7.29600,0.20500,-7.45800,0.20500,0,-9999,-9999,-9999,30497256,18.99000,5.33000
7.77500,5.82500,Ikare,0,0.00330,3953.00000,0.01340,12430.00000,0.01560,14075.00000,0.01990,15535.00000,-7.87700,0.11000,-7.81500,0.13000,-7.69100,0.17800,-7.93400,0.19700,-7.94900,0.22100,-7.92600,0.19900,-7.78100,0.21600,-7.82600,0.10700,-9.38900,0.21400,-9.34900,0.23200,-9.31500,0.21600,-9.31800,0.24000,-9.17300,0.23300,-9.12600,0.28500,-9.18200,0.33900,-9.10200,0.25200,-9.09900,0.16700,-9.13800,0.26900,-9.11600,0.20300,-7.61200,0.22000,-7.62700,0.16700,-7.55700,0.19600,-7.50100,0.25700,-7.63400,0.15300,-7.49200,0.18000,-7.57500,0.19200,-7.45800,0.13400,-7.48900,0.21800,-7.48200,0.18100,-7.37000,0.15300,-7.37500,0.19900,-7.36500,0.22800,-7.56100,0.23100,0,-9999,-9999,-9999,30497256,19.43000,5.54000
7.77500,5.87500,Ikare,0,0.00000,0.00000,0.00150,966.00000,0.00380,2600.00000,0.00500,2668.00000,-7.92100,0.11600,-7.84300,0.12900,-7.72600,0.18100,-7.96300,0.17200,-7.99400,0.23200,-7.97200,0.19900,-7.81400,0.21100,-7.86200,0.12100,-9.48900,0.19100,-9.46100,0.24700,-9.43600,0.20900,-9.42800,0.26000,-9.28800,0.24300,-9.24800,0.28500,-9.33100,0.33500,-9.23400,0.25900,-9.20600,0.19100,-9.24500,0.28200,-9.23600,0.20700,-7.69800,0.21900,-7.72700,0.16300,-7.64800,0.19700,-7.59100,0.24600,-7.72000,0.15800,-7.55400,0.19400,-7.65700,0.19500,-7.52300,0.13900,-7.56300,0.21400,-7.56800,0.19300,-7.45400,0.17300,-7.44600,0.19200,-7.44600,0.24500,-7.63100,0.25200,0,-9999,-9999,-9999,30497256,16.17000,4.92000
7.77500,5.92500,Ikare,0,0.00000,0.00000,0.00050,439.00000,0.00100,701.00000,0.00180,1181.00000,-8.03700,0.12900,-7.92300,0.14900,-7.82200,0.17700,-8.11400,0.30900,-8.10700,0.23800,-8.10200,0.20800,-7.90300,0.19600,-8.02400,0.08400,-9.62100,0.21900,-9.59800,0.25100,-9.54800,0.23700,-9.53000,0.28500,-9.40100,0.25900,-9.39700,0.27900,-9.46200,0.33500,-9.37000,0.24200,-9.31800,0.22700,-9.34500,0.27900,-9.35800,0.23800,-7.79500,0.21900,-7.87100,0.22100,-7.73400,0.17700,-7.66900,0.24900,-7.79500,0.15600,-7.62500,0.22000,-7.74200,0.20100,-7.59200,0.16000,-7.63100,0.22800,-7.64700,0.21500,-7.51100,0.18400,-7.49600,0.19200,-7.51900,0.24300,-7.66600,0.25800,0,-9999,-9999,-9999,30497256,15.88000,4.64000
7.77500,5.97500,Ikare,0,0.00000,0.00000,0.00050,0.00000,0.00050,0.00000,0.00060,0.00000,-8.08400,0.13600,-7.96000,0.15500,-7.86100,0.17400,-8.14500,0.25500,-8.15300,0.23600,-8.15300,0.21300,-7.93600,0.19400,-8.09200,0.11600,-9.76100,0.25100,-9.74000,0.24800,-9.65100,0.25300,-9.63100,0.28500,-9.51500,0.25400,-9.53100,0.27600,-9.56000,0.31600,-9.49800,0.21800,-9.43700,0.26100,-9.44900,0.26200,-9.45100,0.26900,-7.90700,0.23300,-8.00500,0.23100,-7.80700,0.18900,-7.73800,0.26200,-7.88500,0.18000,-7.69100,0.24100,-7.81500,0.19300,-7.63600,0.17200,-7.66600,0.22200,-7.69900,0.23100,-7.54900,0.18400,-7.52600,0.19800,-7.57200,0.24500,-7.69600,0.26500,0,-9999,-9999,-9999,30497256,14.00000,4.41000
