latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
37.72500,126.37500,Incheon,1,0.00770,4318.00000,0.01440,4481.00000,0.01720,4178.00000,0.02110,2962.00000,-11.09100,0.31200,-11.54100,0.43200,-11.02500,0.28300,-11.20300,0.54100,-10.96700,0.23500,-10.90800,0.28900,-11.10500,0.30300,-10.72300,0.58500,-14.13900,0.45600,-14.05900,0.53700,-14.08000,0.38400,-13.97400,0.34800,-14.00200,0.49400,-13.78500,0.48300,-13.81400,0.41600,-13.92000,0.32400,-13.64800,0.38000,-13.79400,0.39100,-13.89000,0.49500,-9.82000,0.40200,-9.93200,0.39100,-9.92200,0.32100,-9.64900,0.51000,-9.72000,0.48800,-9.62100,0.35600,-9.52500,0.27800,-9.84200,0.46400,-9.94500,0.41000,-9.76200,0.47900,-9.61000,0.37300,-9.68900,0.52800,-9.50900,0.50400,-9.12200,0.58200,0,-9999.00000,-9999.00000,-9999.00000,24462318,16.45000,4.63000
37.72500,126.42500,Incheon,1,0.00460,391.00000,0.00900,471.00000,0.01220,620.00000,0.01850,654.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-13.27500,0.41600,-13.21700,0.50500,-13.16400,0.36600,-12.96800,0.31400,-12.96900,0.47300,-12.76600,0.47500,-12.78300,0.37300,-12.83900,0.32700,-12.52600,0.37100,-12.57900,0.37300,-12.72300,0.43300,-8.93900,0.38200,-9.08000,0.42000,-9.06700,0.36600,-8.74200,0.50000,-8.78100,0.48600,-8.69400,0.33200,-8.55700,0.30400,-8.79500,0.45200,-8.90600,0.38500,-8.73700,0.50500,-8.50300,0.40900,-8.53400,0.62000,-8.30800,0.51300,-7.95300,0.67000,0,-9999.00000,-9999.00000,-9999.00000,24462318,46.34000,7.19000
37.72500,126.47500,Incheon,1,0.03020,15487.00000,0.05720,14882.00000,0.06580,12791.00000,0.07940,11064.00000,-9.50900,0.25000,-9.83700,0.24200,-9.35400,0.27400,-9.61400,0.42600,-9.38000,0.25500,-9.02400,0.28800,-9.28500,0.20000,-8.92000,0.44800,-12.51000,0.39200,-12.43500,0.46800,-12.31700,0.36000,-12.09600,0.30900,-12.00000,0.44700,-11.81100,0.47300,-11.81600,0.36100,-11.82500,0.36800,-11.45800,0.39100,-11.46400,0.37000,-11.60300,0.38800,-8.45800,0.43400,-8.62200,0.40400,-8.67200,0.38700,-8.29200,0.45200,-8.21200,0.53000,-8.15100,0.36500,-8.01100,0.42800,-8.25800,0.50900,-8.40700,0.44900,-8.07100,0.60800,-7.76400,0.42700,-7.76500,0.65000,-7.54600,0.56600,-7.16800,0.71300,0,-9999.00000,-9999.00000,-9999.00000,24462318,15.06000,4.87000
37.72500,126.52500,Incheon,1,0.02460,2996.00000,0.05500,6441.00000,0.07110,6448.00000,0.08630,6277.00000,-9.31900,0.24900,-9.62000,0.22900,-9.15900,0.27000,-9.40800,0.45900,-9.15900,0.25100,-8.77300,0.29000,-9.01800,0.19600,-8.64000,0.43000,-11.86500,0.38800,-11.73800,0.44300,-11.57500,0.37000,-11.29600,0.29800,-11.12200,0.42600,-10.97300,0.48800,-10.92300,0.37400,-10.89100,0.40900,-10.48600,0.44800,-10.48400,0.39600,-10.58200,0.36500,-8.03200,0.51500,-8.19000,0.45000,-8.25100,0.44000,-7.83800,0.47100,-7.69300,0.60900,-7.65600,0.42400,-7.50800,0.51200,-7.74000,0.51900,-7.91700,0.45700,-7.49800,0.64600,-7.17000,0.45500,-7.08000,0.66800,-6.91800,0.60400,-6.42300,0.77500,0,-9999.00000,-9999.00000,-9999.00000,24462318,21.45000,5.32000
37.72500,126.57500,Incheon,1,0.00630,1088.00000,0.03420,2922.00000,0.06580,5366.00000,0.10120,10346.00000,-9.15900,0.24300,-9.41300,0.22500,-8.97200,0.28500,-9.24900,0.43600,-8.97700,0.27000,-8.57300,0.29300,-8.83700,0.18900,-8.45900,0.41200,-11.28500,0.39200,-11.12800,0.45500,-10.93200,0.36800,-10.60800,0.30200,-10.35800,0.41300,-10.23900,0.51800,-10.12200,0.37700,-10.05300,0.41700,-9.60800,0.48500,-9.63200,0.45400,-9.67900,0.36200,-7.55900,0.58900,-7.67800,0.49700,-7.70100,0.46200,-7.24000,0.52100,-7.10400,0.71000,-7.08800,0.44600,-6.93900,0.54700,-7.12100,0.51200,-7.30100,0.45500,-6.85900,0.63900,-6.51100,0.48200,-6.36400,0.61700,-6.22900,0.64700,-5.62100,0.78900,0,-9999.00000,-9999.00000,-9999.00000,24462318,22.07000,5.71000
37.72500,126.62500,Incheon,2,0.01740,2990.00000,0.04910,5128.00000,0.09040,9162.00000,0.12280,15333.00000,-8.67600,0.24100,-8.81000,0.21700,-8.41500,0.31200,-8.73600,0.40100,-8.38200,0.30800,-7.94100,0.31500,-8.19500,0.18200,-7.80500,0.37900,-10.75600,0.41200,-10.61200,0.46200,-10.41600,0.38600,-10.02400,0.33400,-9.72400,0.42200,-9.62600,0.54800,-9.44400,0.37900,-9.35600,0.42800,-8.87200,0.51500,-8.91300,0.48100,-8.94600,0.39400,-7.02500,0.63100,-7.08700,0.50800,-7.02700,0.44300,-6.51100,0.58600,-6.39400,0.79800,-6.41700,0.39700,-6.28000,0.53600,-6.37000,0.50000,-6.50800,0.46500,-6.08500,0.57700,-5.73300,0.50400,-5.62300,0.57600,-5.40100,0.67000,-4.70300,0.71100,0,-9999.00000,-9999.00000,-9999.00000,24462318,13.42000,4.22000
37.72500,126.67500,Incheon,2,0.02350,2645.00000,0.05590,5853.00000,0.07170,8232.00000,0.10040,15750.00000,-8.59500,0.23900,-8.70600,0.21500,-8.32100,0.31900,-8.65400,0.38700,-8.27900,0.31400,-7.83800,0.32000,-8.09200,0.18100,-7.70100,0.37700,-10.29600,0.40000,-10.16600,0.46200,-9.96600,0.40500,-9.51200,0.37600,-9.19200,0.42700,-9.10200,0.55900,-8.87300,0.38400,-8.75500,0.46600,-8.25300,0.56000,-8.35700,0.51900,-8.34800,0.39000,-6.47200,0.62300,-6.50200,0.50200,-6.42900,0.48500,-5.88300,0.61900,-5.75000,0.84000,-5.74400,0.43100,-5.66200,0.52600,-5.72600,0.53100,-5.90000,0.43100,-5.45900,0.54300,-5.02900,0.55100,-4.99100,0.65300,-4.74000,0.71800,-3.99700,0.74900,8,-9999.00000,-9999.00000,-9999.00000,24462318,6.33000,3.25000
37.72500,126.72500,Incheon,3,0.03690,1081.00000,0.10010,6809.00000,0.17270,17621.00000,0.28480,60544.00000,-8.17300,0.23100,-8.20800,0.21000,-7.83700,0.34200,-8.21200,0.33900,-7.72700,0.31900,-7.29700,0.34400,-7.52100,0.17100,-7.12600,0.38300,-9.95300,0.39300,-9.81400,0.45400,-9.62900,0.42900,-9.12000,0.42800,-8.80800,0.43700,-8.69200,0.59000,-8.43800,0.40100,-8.32700,0.49000,-7.83100,0.57700,-7.95300,0.54500,-7.94300,0.38500,-5.94000,0.62600,-5.99600,0.52200,-5.93900,0.52500,-5.39300,0.62500,-5.22300,0.86900,-5.31700,0.44300,-5.13500,0.53400,-5.28500,0.47600,-5.38300,0.41800,-4.96400,0.47600,-4.52500,0.52700,-4.49500,0.64700,-4.23500,0.66300,-3.52900,0.73300,0,-9999.00000,-9999.00000,-9999.00000,24462318,9.32000,3.54000
37.72500,126.77500,Incheon,3,0.07110,2376.00000,0.15960,10885.00000,0.23780,23825.00000,0.31990,65508.00000,-8.09000,0.22900,-8.11100,0.20900,-7.74100,0.34600,-8.12500,0.33100,-7.62000,0.31900,-7.19200,0.34800,-7.41000,0.16900,-7.01500,0.38400,-9.63100,0.40800,-9.48400,0.45100,-9.30700,0.46600,-8.78500,0.47700,-8.45700,0.46300,-8.33000,0.59600,-8.08400,0.40400,-7.96000,0.51000,-7.46000,0.58200,-7.59100,0.57500,-7.61000,0.36600,-5.73200,0.57200,-5.75500,0.53600,-5.59400,0.55000,-5.17300,0.57200,-5.02800,0.81800,-5.12900,0.41700,-4.94000,0.54600,-5.07700,0.44600,-5.25300,0.40200,-4.91500,0.47400,-4.50800,0.50000,-4.44500,0.61900,-4.21900,0.62000,-3.47700,0.76500,0,-9999.00000,-9999.00000,-9999.00000,24462318,9.66000,3.63000
37.72500,126.82500,Incheon,3,0.04980,2792.00000,0.10650,15135.00000,0.15030,29020.00000,0.19000,56530.00000,-7.75000,0.22300,-7.72400,0.21900,-7.33900,0.37400,-7.75200,0.30900,-7.19100,0.30900,-6.79000,0.37500,-6.99100,0.16300,-6.58900,0.39100,-9.33700,0.39500,-9.20300,0.45300,-9.04000,0.47800,-8.47800,0.52200,-8.15900,0.46400,-8.01700,0.62700,-7.80700,0.38400,-7.68900,0.51900,-7.17100,0.58700,-7.31600,0.56200,-7.34800,0.34100,-5.88400,0.54600,-5.89000,0.54500,-5.64000,0.53300,-5.28800,0.54100,-5.16400,0.79900,-5.27000,0.40300,-5.03400,0.58800,-5.21700,0.43500,-5.43800,0.42400,-5.12700,0.48800,-4.73400,0.50500,-4.67100,0.62600,-4.49300,0.56100,-3.70600,0.79900,0,-9999.00000,-9999.00000,-9999.00000,24462318,15.30000,4.58000
