latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
39.97500,-86.42500,Indianapolis,1,0.00460,322.00000,0.01820,422.00000,0.02840,521.00000,0.03010,720.00000,-9.02700,0.44300,-9.29100,0.80000,-9.88000,0.70300,-9.91900,0.57300,-9.65500,0.44000,-9.47600,0.43200,-10.30200,0.58200,-9.38200,0.42100,-11.22400,1.02500,-10.48700,0.49900,-10.32700,0.45900,-10.34700,0.38500,-10.24400,0.42400,-10.66800,1.16500,-10.32600,0.47100,-10.14600,0.33800,-10.65700,0.74600,-10.30100,0.56300,-10.29100,0.38900,-9.65900,0.60500,-9.37600,0.45200,-9.54700,0.34800,-10.04100,0.88500,-9.70300,0.53300,-9.72300,0.81500,-9.45600,0.47700,-9.18700,0.51500,-9.05900,0.44400,-8.93800,0.63700,-9.53400,0.56500,-8.87700,0.88800,-9.65100,0.68400,-9.61100,0.69600,0,0.00460,3.60850,0.19130,23712726,2.11000,1.76000
39.97500,-86.37500,Indianapolis,1,0.01490,929.00000,0.04300,1225.00000,0.07240,1447.00000,0.13030,2168.00000,-9.05300,0.42000,-9.26100,0.81000,-9.85200,0.66400,-9.91400,0.54800,-9.61000,0.41400,-9.46000,0.40200,-10.22500,0.53400,-9.38500,0.41100,-11.09400,0.88700,-10.44700,0.47000,-10.26300,0.39500,-10.30500,0.37400,-10.20200,0.40800,-10.59600,1.02300,-10.27400,0.40800,-10.09200,0.32800,-10.55000,0.65200,-10.22700,0.51300,-10.23700,0.35800,-9.63900,0.56700,-9.39700,0.41200,-9.54500,0.34400,-9.99100,0.83000,-9.67400,0.50600,-9.69400,0.77900,-9.45500,0.46400,-9.18300,0.48100,-9.08000,0.42500,-8.90400,0.60900,-9.51200,0.52300,-8.88600,0.81800,-9.59000,0.65300,-9.50900,0.63200,0,0.01580,3.48040,0.72480,23712726,2.49000,1.78000
39.97500,-86.32500,Indianapolis,1,0.01110,1924.00000,0.03220,2909.00000,0.06590,3490.00000,0.12700,4441.00000,-9.07300,0.40900,-9.24100,0.81300,-9.82600,0.63600,-9.91100,0.52300,-9.57200,0.39600,-9.45000,0.37200,-10.16100,0.49900,-9.38300,0.40600,-10.94000,0.74400,-10.39800,0.43900,-10.20200,0.36500,-10.25900,0.36800,-10.15000,0.37300,-10.50700,0.87400,-10.20500,0.34800,-10.02600,0.33000,-10.42600,0.53800,-10.14500,0.45200,-10.17700,0.34800,-9.62900,0.52600,-9.39600,0.37800,-9.53600,0.32600,-9.89000,0.72100,-9.65000,0.48000,-9.64000,0.72800,-9.45600,0.44600,-9.18100,0.43400,-9.10200,0.39200,-8.87400,0.55200,-9.47800,0.47200,-8.90300,0.75100,-9.49900,0.58500,-9.40800,0.57300,0,0.01460,3.75090,0.64850,23712726,8.73000,3.76000
39.97500,-86.27500,Indianapolis,2,0.04070,4997.00000,0.09840,6875.00000,0.17560,8902.00000,0.24240,11947.00000,-9.09900,0.39700,-9.21700,0.81900,-9.79700,0.60400,-9.90800,0.49400,-9.52600,0.37400,-9.43800,0.33800,-10.08600,0.46000,-9.38100,0.40100,-10.80400,0.62600,-10.36000,0.40200,-10.15500,0.37400,-10.23100,0.36300,-10.10200,0.33100,-10.42900,0.74600,-10.14100,0.29800,-9.97100,0.33200,-10.32400,0.43700,-10.07500,0.39200,-10.12400,0.35400,-9.60500,0.47500,-9.35100,0.33900,-9.50100,0.30600,-9.73800,0.58900,-9.59200,0.44800,-9.52200,0.61600,-9.41300,0.41200,-9.14100,0.37800,-9.10300,0.35100,-8.88000,0.46100,-9.38900,0.42800,-8.86000,0.68600,-9.32600,0.49700,-9.23500,0.49900,0,0.03900,4.83790,2.03440,23712726,13.77000,5.00000
39.97500,-86.22500,Indianapolis,2,0.02050,3001.00000,0.04680,5261.00000,0.17970,7683.00000,0.29470,13446.00000,-9.10200,0.40800,-9.22100,0.81700,-9.79300,0.60000,-9.91700,0.49200,-9.50400,0.37300,-9.44200,0.33200,-10.06700,0.45300,-9.38200,0.40300,-10.70500,0.54400,-10.34100,0.37600,-10.12100,0.37800,-10.23400,0.35800,-10.07300,0.32400,-10.36700,0.64200,-10.09100,0.26900,-9.93300,0.33800,-10.24500,0.36800,-10.04000,0.34300,-10.09500,0.36600,-9.52700,0.40800,-9.28300,0.30600,-9.42000,0.28300,-9.57500,0.48300,-9.45600,0.38900,-9.35500,0.48300,-9.29700,0.36100,-9.04400,0.31200,-9.05900,0.32400,-8.85500,0.36800,-9.17500,0.38500,-8.77800,0.56200,-9.05600,0.41600,-8.95600,0.43500,0,0.05590,4.97870,2.66230,23712726,9.70000,3.84000
39.97500,-86.17500,Indianapolis,2,0.08180,3651.00000,0.20080,7130.00000,0.42220,11219.00000,0.52490,20330.00000,-9.11000,0.42600,-9.22600,0.81200,-9.78000,0.59000,-9.92800,0.48500,-9.46600,0.36900,-9.44700,0.31900,-10.02800,0.43800,-9.37800,0.40500,-10.62700,0.48600,-10.32400,0.35600,-10.10300,0.38100,-10.25600,0.34500,-10.06200,0.34000,-10.31200,0.54900,-10.05000,0.25600,-9.91900,0.34600,-10.18700,0.33000,-10.03100,0.30600,-10.08300,0.36800,-9.43600,0.35300,-9.23300,0.29100,-9.32700,0.24800,-9.42800,0.39700,-9.31800,0.32400,-9.20300,0.37800,-9.14500,0.30400,-8.93700,0.24800,-9.00200,0.30100,-8.78300,0.31400,-8.93500,0.35200,-8.69700,0.43900,-8.80600,0.36000,-8.70900,0.37900,0,0.08220,5.63060,4.21670,23712726,10.20000,3.80000
39.97500,-86.12500,Indianapolis,3,0.23970,5635.00000,0.42090,10705.00000,0.58370,16502.00000,0.63110,29977.00000,-9.11200,0.42900,-9.23500,0.80900,-9.78700,0.60000,-9.85800,0.68900,-9.46300,0.37500,-9.46100,0.32900,-10.04600,0.44700,-9.38200,0.40700,-10.63900,0.48500,-10.34500,0.34700,-10.13100,0.39100,-10.31100,0.33100,-10.08600,0.35200,-10.30700,0.49100,-10.05600,0.26300,-9.94600,0.35500,-10.19400,0.34400,-10.07100,0.28500,-10.11200,0.35700,-9.41800,0.32300,-9.23600,0.26800,-9.29800,0.21800,-9.34800,0.35400,-9.28400,0.30200,-9.13800,0.31600,-9.05300,0.27600,-8.91400,0.21600,-8.97700,0.26900,-8.74800,0.29000,-8.85500,0.34500,-8.62800,0.45600,-8.71000,0.31100,-8.65800,0.30400,0,0.09630,6.03620,5.78790,23712726,13.84000,4.23000
39.97500,-86.07500,Indianapolis,3,0.06640,4884.00000,0.16620,9388.00000,0.45010,14664.00000,0.52530,26744.00000,-9.10600,0.44500,-9.25700,0.79000,-9.78400,0.61500,-9.67400,1.18700,-9.45200,0.38600,-9.48700,0.34500,-10.06800,0.46200,-9.37700,0.41200,-10.72900,0.53200,-10.39400,0.35900,-10.19400,0.40300,-10.39700,0.30000,-10.14900,0.35300,-10.37000,0.48700,-10.10100,0.26900,-10.00800,0.34200,-10.24500,0.35900,-10.14400,0.28500,-10.18000,0.34900,-9.46100,0.30600,-9.30200,0.26200,-9.35400,0.21600,-9.38800,0.35800,-9.32600,0.29900,-9.20200,0.34900,-9.11600,0.31900,-8.98200,0.22200,-9.01300,0.25600,-8.70900,0.28900,-8.89800,0.36300,-8.61300,0.47000,-8.78300,0.29500,-8.76100,0.28600,0,0.07580,5.43610,3.91890,23712726,12.05000,3.99000
39.97500,-86.02500,Indianapolis,2,0.10330,4609.00000,0.28420,8993.00000,0.52880,13681.00000,0.55910,24695.00000,-9.14100,0.42900,-9.26400,0.79500,-9.79800,0.62700,-9.75700,1.14300,-9.45900,0.39100,-9.50600,0.36000,-10.10200,0.47500,-9.38500,0.41400,-10.85100,0.61000,-10.42600,0.37200,-10.23900,0.39000,-10.48800,0.29700,-10.19400,0.34700,-10.44300,0.52200,-10.16400,0.27600,-10.08000,0.32600,-10.31200,0.37200,-10.20800,0.29900,-10.26900,0.35500,-9.55400,0.32600,-9.40900,0.28200,-9.47600,0.24300,-9.51300,0.41400,-9.41200,0.31700,-9.31300,0.44100,-9.26200,0.39100,-9.10800,0.24300,-9.10400,0.28800,-8.72300,0.33800,-9.00300,0.39300,-8.63200,0.47400,-8.91100,0.29200,-8.94600,0.30800,0,0.07460,5.91570,4.34120,23712726,10.55000,3.97000
39.97500,-85.97500,Indianapolis,3,0.02370,5681.00000,0.06090,11000.00000,0.35170,16853.00000,0.52130,30832.00000,-9.28200,0.31500,-9.30300,0.75900,-9.81000,0.65300,-10.06900,0.95300,-9.48100,0.40000,-9.56900,0.40500,-10.19400,0.51000,-9.38800,0.42100,-11.00100,0.71600,-10.45200,0.38500,-10.29600,0.38600,-10.57500,0.30800,-10.24300,0.35100,-10.55300,0.61200,-10.23300,0.28000,-10.15000,0.31300,-10.40600,0.40400,-10.28100,0.31600,-10.37200,0.34000,-9.63300,0.36900,-9.45400,0.29600,-9.56000,0.25200,-9.64100,0.50400,-9.48800,0.36800,-9.37500,0.51000,-9.40500,0.43500,-9.17400,0.27800,-9.15300,0.30400,-8.79100,0.40300,-9.12600,0.45400,-8.68600,0.48100,-9.04300,0.32900,-9.11600,0.33400,0,0.08100,5.55130,4.40110,23712726,10.37000,3.53000
