latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
22.97500,75.62500,Indore,1,0.00210,897.00000,0.00600,2254.00000,0.00800,2922.00000,0.01360,5303.00000,-9.33700,0.48600,-8.72300,0.46600,-9.35400,0.76700,-8.91100,0.68000,-8.71400,0.45100,-8.74900,0.59400,-8.81400,0.92500,-9.13900,0.79700,-11.12200,0.35100,-11.38900,0.86800,-11.14800,0.69700,-11.36500,0.95100,-11.21200,0.72700,-11.40800,0.71100,-11.58800,0.96100,-10.82400,1.02000,-11.21200,0.73800,-11.05800,0.86200,-11.40200,0.92000,-8.70500,0.86000,-9.00200,1.07400,-9.00200,0.85200,-8.79500,0.93300,-8.37700,0.84200,-8.31200,0.94600,-8.17600,0.61200,-8.89000,0.99400,-9.06400,1.05600,-8.42100,0.81700,-8.66900,1.07500,-8.49000,0.93500,-8.11800,1.23100,-8.27000,0.73600,0,-9999,-9999,-9999,28389524,5.31000,1.87000
22.97500,75.67500,Indore,1,0.00160,3113.00000,0.00490,5054.00000,0.00620,5541.00000,0.01040,6359.00000,-9.34100,0.48600,-8.73000,0.46600,-9.33400,0.78800,-8.88900,0.67300,-8.70800,0.44400,-8.83400,0.77700,-8.80700,0.93300,-9.12500,0.76900,-11.08600,0.35100,-11.33100,0.86900,-11.15300,0.63900,-11.33300,0.91500,-11.17700,0.72200,-11.38600,0.65900,-11.53300,0.92500,-10.76200,0.98400,-11.16900,0.71100,-10.99800,0.84900,-11.35400,0.87500,-8.69000,0.85200,-8.93500,1.03700,-8.99200,0.82800,-8.77900,0.90700,-8.30000,0.81300,-8.29800,0.96600,-8.18200,0.58500,-8.87800,0.96800,-9.04200,1.06300,-8.39700,0.82300,-8.56500,1.02400,-8.43800,0.92900,-8.05000,1.17700,-8.21400,0.70500,0,-9999,-9999,-9999,28389524,5.52000,1.89000
22.97500,75.72500,Indore,0,0.00140,475.00000,0.00430,784.00000,0.00550,800.00000,0.01080,1094.00000,-9.34800,0.48500,-8.74800,0.46600,-9.29700,0.83000,-8.84600,0.66300,-8.69500,0.43300,-8.99400,1.12300,-8.78900,0.95000,-9.10100,0.71400,-11.05300,0.36900,-11.27500,0.83100,-11.13700,0.58100,-11.30900,0.87200,-11.11000,0.70800,-11.35000,0.64500,-11.49000,0.92300,-10.67500,0.98700,-11.10500,0.67900,-10.92000,0.81200,-11.28300,0.82400,-8.65600,0.81400,-8.88800,1.01000,-8.99200,0.80700,-8.78000,0.91800,-8.19300,0.74700,-8.26300,0.99200,-8.18900,0.59300,-8.86700,0.96900,-9.01300,1.06700,-8.37800,0.82700,-8.45500,0.95300,-8.37500,0.92500,-7.98900,1.12700,-8.14800,0.64700,0,-9999,-9999,-9999,28389524,6.22000,2.02000
22.97500,75.77500,Indore,1,0.00060,299.00000,0.00370,722.00000,0.00480,996.00000,0.00880,1201.00000,-9.32400,0.48100,-8.74600,0.46800,-9.24000,0.81700,-8.81300,0.68400,-8.68200,0.42800,-8.98700,1.50000,-8.76400,0.96900,-9.09100,0.67000,-11.03200,0.42600,-11.22500,0.78500,-11.11800,0.53800,-11.26800,0.85100,-11.02200,0.69500,-11.28100,0.65600,-11.45900,0.93700,-10.58100,0.99500,-11.03400,0.65100,-10.85300,0.76600,-11.19600,0.75800,-8.61500,0.75700,-8.88900,1.02600,-8.97900,0.76300,-8.77700,0.93900,-8.11100,0.70600,-8.24800,0.99800,-8.19100,0.60900,-8.84100,0.98000,-8.98700,1.06500,-8.35400,0.83600,-8.41800,0.95100,-8.37100,0.88900,-7.97200,1.12200,-8.10600,0.59600,0,-9999,-9999,-9999,28389524,6.32000,2.02000
22.97500,75.82500,Indore,1,0.00230,386.00000,0.02590,2360.00000,0.03350,3426.00000,0.04870,3905.00000,-9.30400,0.47800,-8.74300,0.46900,-9.20000,0.80800,-8.78600,0.70300,-8.67000,0.42400,-8.94300,1.68600,-8.74400,0.97800,-9.08400,0.64200,-11.00000,0.45700,-11.19500,0.76000,-11.07100,0.50500,-11.21400,0.84100,-10.94100,0.69500,-11.20300,0.67500,-11.39500,0.97300,-10.49500,0.99500,-10.95300,0.64500,-10.79200,0.72700,-11.10300,0.72500,-8.60100,0.71700,-8.89100,1.03100,-8.96400,0.72900,-8.75100,0.93900,-8.07600,0.69500,-8.23300,1.01700,-8.16400,0.61700,-8.80900,0.97800,-8.93800,1.06800,-8.33800,0.83400,-8.40600,0.96000,-8.36000,0.86100,-7.95600,1.14500,-8.09700,0.55300,0,-9999,-9999,-9999,28389524,6.24000,2.01000
22.97500,75.87500,Indore,1,0.00100,247.00000,0.00830,810.00000,0.01060,1021.00000,0.01420,1037.00000,-9.25200,0.46100,-8.72400,0.47800,-9.12400,0.75700,-8.79900,0.77900,-8.67600,0.40700,-8.71100,0.66000,-8.72500,1.01000,-9.07700,0.59300,-10.98700,0.44700,-11.19000,0.75400,-11.01800,0.48600,-11.19400,0.84000,-10.92200,0.71400,-11.14000,0.69000,-11.31000,0.98700,-10.44000,1.00500,-10.90900,0.63400,-10.75900,0.69200,-11.04300,0.72100,-8.58400,0.68400,-8.83600,0.98900,-8.93500,0.70100,-8.71400,0.94000,-8.04300,0.68600,-8.20100,1.04400,-8.11600,0.66200,-8.76000,0.99200,-8.85800,1.04900,-8.33600,0.83500,-8.39300,0.95700,-8.34400,0.85300,-7.90200,1.16700,-8.07600,0.52300,0,-9999,-9999,-9999,28389524,6.17000,1.99000
22.97500,75.92500,Indore,1,0.00010,55.00000,0.00320,1320.00000,0.00540,1677.00000,0.00760,2491.00000,-9.24200,0.45900,-8.71900,0.47900,-9.11100,0.74900,-8.79600,0.79400,-8.67400,0.40500,-8.67800,0.51000,-8.71900,1.01200,-9.07500,0.58600,-10.97900,0.40800,-11.20500,0.73300,-10.99900,0.48100,-11.16500,0.84000,-10.92800,0.70400,-11.09700,0.69900,-11.24200,0.96100,-10.44400,0.98600,-10.90100,0.60200,-10.72800,0.66600,-11.02700,0.73000,-8.53000,0.63900,-8.71100,0.94600,-8.89400,0.69500,-8.67400,0.92300,-7.97000,0.67000,-8.11400,1.05400,-8.06600,0.69000,-8.63300,0.95100,-8.75100,1.02400,-8.28700,0.80600,-8.36100,0.92900,-8.29200,0.82600,-7.73100,1.14600,-8.00000,0.52400,0,-9999,-9999,-9999,28389524,6.60000,2.13000
22.97500,75.97500,Indore,1,0.00050,347.00000,0.00800,4701.00000,0.01100,5561.00000,0.01640,5872.00000,-9.20300,0.43500,-8.69800,0.48800,-9.06900,0.70200,-8.85200,0.87200,-8.71900,0.39200,-8.63500,0.54400,-8.74800,1.03300,-9.08500,0.56300,-10.95400,0.38600,-11.27400,0.72800,-10.99900,0.49100,-11.14900,0.86000,-10.96800,0.70500,-11.09900,0.65900,-11.20000,0.94200,-10.46900,0.95900,-10.92900,0.58700,-10.77300,0.67300,-11.06300,0.74700,-8.44400,0.58500,-8.60000,0.93700,-8.83800,0.68600,-8.61400,0.89300,-7.91200,0.71600,-8.01300,1.01900,-8.00300,0.73400,-8.47700,0.89900,-8.60800,1.02000,-8.20100,0.74800,-8.28300,0.87100,-8.24300,0.81000,-7.56000,1.07300,-7.92700,0.56000,0,-9999,-9999,-9999,28389524,6.54000,2.08000
22.97500,76.02500,Indore,2,0.02710,50826.00000,0.15650,102820.00000,0.19070,123261.00000,0.22750,144818.00000,-9.20300,0.43000,-8.69700,0.49200,-9.06500,0.68800,-8.86700,0.87400,-8.73900,0.39500,-8.64300,0.54500,-8.75700,1.02900,-9.09700,0.56000,-10.93900,0.35800,-11.32600,0.72900,-11.03700,0.50800,-11.14800,0.86900,-11.04200,0.71700,-11.11700,0.64100,-11.15900,0.90100,-10.53900,0.90300,-10.95800,0.56600,-10.81100,0.69800,-11.11700,0.75100,-8.37700,0.54800,-8.55200,0.91400,-8.79900,0.68600,-8.57900,0.87800,-7.87800,0.75000,-7.96000,0.97300,-7.99800,0.74100,-8.44000,0.85100,-8.50000,1.06000,-8.15500,0.63200,-8.22200,0.82000,-8.22800,0.81100,-7.47600,1.05400,-7.92900,0.57600,0,-9999,-9999,-9999,28389524,6.95000,2.13000
22.97500,76.07500,Indore,2,0.02450,131189.00000,0.12820,107716.00000,0.16120,115618.00000,0.21190,121742.00000,-9.20300,0.41100,-8.69600,0.50400,-9.05200,0.64200,-8.91400,0.87900,-8.80000,0.40200,-8.66700,0.54800,-8.78500,1.01800,-9.13700,0.55300,-10.92000,0.32000,-11.34900,0.70600,-11.06400,0.52400,-11.14800,0.85400,-11.07600,0.71000,-11.12000,0.62200,-11.12800,0.84000,-10.57500,0.85800,-10.98300,0.54500,-10.83800,0.72100,-11.16700,0.75500,-8.38600,0.54800,-8.57000,0.90000,-8.83100,0.69100,-8.60200,0.87600,-7.92300,0.76500,-7.99200,0.97800,-8.04900,0.75900,-8.51700,0.81100,-8.51700,1.08900,-8.23400,0.64400,-8.26100,0.81800,-8.30700,0.83600,-7.53400,1.09300,-8.01500,0.58100,0,-9999,-9999,-9999,28389524,6.90000,2.18000
