latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.97500,51.47500,Isfahan,0,0.00000,0.00000,0.00000,40.00000,0.00060,144.00000,0.00060,106.00000,-11.42500,0.07300,-11.33900,0.05600,-11.41600,0.12500,-11.70200,0.10400,-11.42900,0.15800,-11.61700,0.20200,-11.43500,0.10900,-11.20900,0.08900,-11.30800,0.18000,-11.39100,0.27900,-11.64100,0.20100,-11.45700,0.27600,-11.45300,0.17500,-11.49900,0.28500,-11.36900,0.23600,-11.21100,0.20900,-11.37600,0.26100,-11.20000,0.20800,-11.45200,0.22200,-11.73800,0.16500,-11.72700,0.15200,-11.76100,0.19800,-11.69400,0.25900,-11.73700,0.17900,-11.73900,0.21700,-11.52400,0.21900,-11.64900,0.26700,-11.81500,0.35500,-11.59700,0.22900,-11.52700,0.31200,-11.54300,0.34200,-11.53900,0.26700,-11.63300,0.17600,0,-9999,-9999,-9999,25918144,-9999.00000,0.30000
32.97500,51.52500,Isfahan,1,0.00000,0.00000,0.00030,140.00000,0.00270,916.00000,0.00560,1525.00000,-11.43900,0.07500,-11.35500,0.05700,-11.43100,0.11900,-11.72400,0.11300,-11.44800,0.16700,-11.62400,0.20900,-11.44700,0.12300,-11.22000,0.09900,-11.60700,0.18700,-11.66300,0.25800,-11.90500,0.19800,-11.68300,0.27600,-11.74500,0.19300,-11.72500,0.29000,-11.57900,0.22400,-11.39300,0.21600,-11.54800,0.24200,-11.40600,0.20100,-11.64900,0.21900,-11.74200,0.16600,-11.74700,0.15300,-11.79000,0.17700,-11.75400,0.23700,-11.82600,0.14100,-11.83900,0.20500,-11.61500,0.21000,-11.76100,0.25900,-11.97900,0.31100,-11.73300,0.28100,-11.67400,0.28800,-11.73900,0.41100,-11.68200,0.26500,-11.72600,0.19200,0,-9999,-9999,-9999,25918144,-9999.00000,0.03000
32.97500,51.57500,Isfahan,0,0.00000,0.00000,0.00000,0.00000,0.00010,64.00000,0.00030,207.00000,-11.47300,0.07800,-11.39600,0.06400,-11.46900,0.10000,-11.78700,0.14500,-11.49800,0.19300,-11.64100,0.23100,-11.47500,0.17000,-11.24700,0.13300,-11.83300,0.18300,-11.83800,0.22000,-12.08700,0.19900,-11.81400,0.27100,-11.97600,0.20800,-11.87900,0.28900,-11.72500,0.22300,-11.50800,0.21700,-11.66400,0.22700,-11.55600,0.20200,-11.79800,0.22500,-11.76500,0.17500,-11.81600,0.17000,-11.87600,0.17800,-11.86900,0.21900,-11.98400,0.15100,-12.03200,0.19900,-11.81700,0.20300,-11.96100,0.29600,-12.22200,0.30500,-11.96100,0.29800,-11.94600,0.28900,-12.06600,0.45200,-11.90900,0.31000,-11.94300,0.23300,0,-9999,-9999,-9999,25918144,-9999.00000,-0.00000
32.97500,51.62500,Isfahan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.47300,0.07700,-11.39700,0.07400,-11.46700,0.09500,-11.78800,0.15800,-11.49600,0.20100,-11.62900,0.23600,-11.46700,0.18400,-11.24500,0.14400,-11.95000,0.16700,-11.91000,0.19500,-12.15000,0.19900,-11.85900,0.25000,-12.12400,0.22200,-11.96400,0.28400,-11.78000,0.21300,-11.54600,0.20000,-11.71400,0.20700,-11.66000,0.21600,-11.88500,0.22800,-11.97400,0.22100,-12.18000,0.22400,-12.23600,0.21500,-12.28300,0.18200,-12.48300,0.16800,-12.42400,0.20400,-12.22300,0.20800,-12.39200,0.26700,-12.70500,0.31500,-12.43500,0.25100,-12.45600,0.19500,-12.55500,0.43800,-12.37100,0.26900,-12.40900,0.26700,0,-9999,-9999,-9999,25918144,-9999.00000,0.00000
32.97500,51.67500,Isfahan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.46500,0.07400,-11.39300,0.10800,-11.45200,0.08300,-11.77700,0.20000,-11.48000,0.22300,-11.58300,0.25200,-11.43200,0.22900,-11.23500,0.18000,-11.94400,0.17200,-11.83700,0.17700,-12.06700,0.19200,-11.79700,0.22700,-12.11600,0.21600,-11.94000,0.28200,-11.71800,0.21500,-11.50800,0.19200,-11.66400,0.20000,-11.67100,0.22100,-11.88500,0.21400,-12.37000,0.19600,-12.51700,0.16200,-12.58500,0.18400,-12.61200,0.14900,-12.73400,0.15100,-12.61800,0.17300,-12.44300,0.21800,-12.65900,0.17400,-12.91700,0.29100,-12.70200,0.20700,-12.65200,0.16300,-12.79900,0.43400,-12.57100,0.19000,-12.61400,0.25100,0,-9999,-9999,-9999,25918144,-9999.00000,-0.01000
32.97500,51.72500,Isfahan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.44000,0.07300,-11.37200,0.13000,-11.42800,0.08500,-11.73200,0.20100,-11.43900,0.22600,-11.54000,0.25000,-11.38600,0.23100,-11.20300,0.18000,-11.79800,0.18300,-11.62200,0.17800,-11.82500,0.20200,-11.62500,0.21200,-11.96300,0.21200,-11.78400,0.28000,-11.50300,0.22400,-11.36200,0.20200,-11.49000,0.20800,-11.55000,0.20600,-11.74400,0.19800,-12.41500,0.19600,-12.54500,0.15900,-12.61200,0.18400,-12.64900,0.15600,-12.76800,0.15400,-12.66000,0.17400,-12.47700,0.22400,-12.67800,0.18800,-12.94200,0.30300,-12.73400,0.21000,-12.68500,0.17200,-12.81200,0.45700,-12.58300,0.19600,-12.63800,0.26800,0,-9999,-9999,-9999,25918144,-9999.00000,-9999.00000
32.97500,51.77500,Isfahan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.30800,0.06800,-11.25300,0.16700,-11.28300,0.09000,-11.56800,0.21100,-11.28900,0.24200,-11.37100,0.25600,-11.22900,0.24700,-11.08100,0.18400,-11.51900,0.19400,-11.30600,0.18300,-11.45900,0.19200,-11.34200,0.18900,-11.69100,0.20100,-11.52900,0.27600,-11.20500,0.21300,-11.12800,0.20500,-11.23500,0.19900,-11.32400,0.19500,-11.49900,0.18700,-12.25900,0.23000,-12.38400,0.19800,-12.44100,0.22900,-12.53200,0.20500,-12.60300,0.19300,-12.53900,0.21300,-12.36000,0.25900,-12.50900,0.25400,-12.79100,0.34300,-12.59400,0.25200,-12.57000,0.21500,-12.66500,0.50900,-12.41600,0.25100,-12.54200,0.31600,0,-9999,-9999,-9999,25918144,-9999.00000,-0.00000
32.97500,51.82500,Isfahan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.20300,0.07200,-11.15600,0.17500,-11.18000,0.09800,-11.44700,0.20000,-11.17000,0.23600,-11.26400,0.25100,-11.11600,0.23800,-10.97500,0.17200,-11.16100,0.18800,-10.92400,0.19200,-11.03400,0.19800,-11.00100,0.18300,-11.30800,0.19200,-11.18500,0.27200,-10.86500,0.17900,-10.83000,0.19800,-10.92100,0.19200,-11.00100,0.19600,-11.17700,0.18100,-11.61100,0.30900,-11.69900,0.28600,-11.80900,0.27900,-11.89600,0.29600,-11.85100,0.24000,-11.88600,0.28800,-11.76300,0.31500,-11.89400,0.31500,-12.12100,0.44500,-11.88400,0.32300,-11.95900,0.28200,-12.09600,0.51800,-11.78800,0.32900,-12.05200,0.37900,0,-9999,-9999,-9999,25918144,-9999.00000,-0.00000
32.97500,51.87500,Isfahan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-10.93000,0.08000,-10.90600,0.17500,-10.90200,0.11300,-11.15700,0.18600,-10.88400,0.22300,-10.99000,0.24100,-10.85600,0.22100,-10.73300,0.14600,-10.76800,0.17400,-10.51400,0.19900,-10.59800,0.20400,-10.64100,0.18200,-10.87500,0.16300,-10.78900,0.25700,-10.51400,0.16600,-10.50300,0.18500,-10.57300,0.21200,-10.63200,0.19400,-10.80600,0.19400,-10.64500,0.28700,-10.68700,0.33000,-10.89000,0.26400,-10.93800,0.32900,-10.82600,0.28200,-10.88500,0.32500,-10.73900,0.33000,-10.86100,0.33800,-11.15100,0.45700,-10.91000,0.35300,-10.81100,0.31700,-11.07700,0.44000,-10.76700,0.39900,-11.06400,0.38500,0,-9999,-9999,-9999,25918144,-9999.00000,0.01000
32.97500,51.92500,Isfahan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00080,412.00000,-10.81200,0.08200,-10.79300,0.17000,-10.78700,0.11600,-11.03700,0.18000,-10.76300,0.21100,-10.87800,0.23200,-10.74600,0.20800,-10.62100,0.13200,-10.40300,0.16200,-10.13000,0.19100,-10.18100,0.21100,-10.29100,0.21300,-10.46400,0.15800,-10.41800,0.24200,-10.21200,0.16800,-10.18900,0.17400,-10.25900,0.24700,-10.26400,0.17700,-10.45500,0.20200,-9.89100,0.29400,-9.77300,0.24900,-9.88900,0.26400,-9.97700,0.31800,-9.93400,0.24100,-9.97100,0.35700,-9.82700,0.28600,-9.96100,0.27200,-10.28300,0.29900,-9.95900,0.27600,-9.90200,0.25800,-10.16800,0.36800,-9.96900,0.36700,-10.22100,0.28700,0,-9999,-9999,-9999,25918144,-9999.00000,0.00000
