latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
27.17500,75.57500,Jaipur,0,0.00000,0.00000,0.00070,474.00000,0.00310,2419.00000,0.01020,10244.00000,-11.33500,0.63800,-10.39100,1.13000,-10.53000,1.73900,-10.55000,1.32800,-10.19600,0.96100,-10.97300,0.91400,-11.02400,1.01400,-10.52600,0.97300,-12.44300,0.33900,-12.36600,0.65800,-11.91100,0.73400,-13.09700,0.42200,-11.98800,0.57400,-12.00700,0.72100,-12.41900,0.36300,-12.22700,0.56400,-11.82400,0.76800,-11.76900,0.54500,-12.05800,0.67300,-10.15400,0.88200,-9.96900,0.72700,-10.45900,0.99900,-9.52800,1.07200,-9.26800,0.83600,-9.72300,1.20300,-9.40600,0.76300,-9.87700,0.92500,-9.90200,0.82100,-9.67500,0.84800,-9.72700,0.81800,-9.14800,0.91100,-9.63900,0.92500,-9.41800,1.00400,0,-9999,-9999,-9999,27452470,2.00000,0.67000
27.17500,75.62500,Jaipur,1,0.00000,0.00000,0.00160,22266.00000,0.00720,45610.00000,0.02330,115132.00000,-11.07000,0.61900,-10.22400,1.12300,-10.31700,1.66400,-10.36500,1.30900,-10.08800,0.90500,-10.61800,0.74500,-10.79500,0.96900,-10.35600,0.87300,-12.32700,0.31900,-12.28100,0.66000,-11.77900,0.70900,-12.98300,0.46200,-11.91700,0.54400,-11.86100,0.71600,-12.32400,0.37500,-12.12000,0.55500,-11.70700,0.74000,-11.67000,0.56900,-11.91300,0.66000,-9.96600,0.83100,-9.81600,0.70100,-10.25300,0.94600,-9.36700,0.95200,-9.14700,0.81900,-9.49200,1.13400,-9.28100,0.73400,-9.61700,0.86000,-9.74400,0.80100,-9.49900,0.79200,-9.60800,0.76100,-8.96600,0.85700,-9.36400,0.89200,-9.20400,0.93400,0,-9999,-9999,-9999,27452470,2.17000,0.74000
27.17500,75.67500,Jaipur,0,0.00030,0.00000,0.00190,1510.00000,0.00740,1246.00000,0.01150,1508.00000,-10.94500,0.62300,-10.15100,1.10000,-10.21300,1.60600,-10.28200,1.27400,-10.02900,0.86500,-10.48500,0.70200,-10.69000,0.94400,-10.28600,0.84800,-12.20100,0.30400,-12.18400,0.64400,-11.66100,0.65800,-12.83900,0.48600,-11.81800,0.52700,-11.72700,0.72600,-12.19200,0.38800,-11.97100,0.54600,-11.61800,0.70400,-11.57100,0.58400,-11.78200,0.64800,-9.85600,0.79400,-9.67200,0.68600,-10.13000,0.86700,-9.27200,0.89100,-9.08200,0.77300,-9.35500,1.07000,-9.20200,0.73400,-9.46800,0.83200,-9.65100,0.74300,-9.33500,0.72900,-9.48200,0.68200,-8.91200,0.82900,-9.23200,0.84200,-9.02900,0.88100,0,-9999,-9999,-9999,27452470,2.03000,0.66000
27.17500,75.72500,Jaipur,1,0.00380,135637.00000,0.01570,174099.00000,0.03350,185245.00000,0.04190,196953.00000,-10.75100,0.63100,-10.04500,1.06500,-10.05400,1.51900,-10.16100,1.22100,-9.94200,0.80600,-10.28200,0.63700,-10.53400,0.90700,-10.18400,0.80900,-12.07500,0.30300,-12.07700,0.60800,-11.58200,0.59900,-12.68700,0.51300,-11.69500,0.52900,-11.62700,0.73300,-12.05000,0.40200,-11.83200,0.54300,-11.55700,0.67000,-11.50100,0.56800,-11.71300,0.63300,-9.80000,0.76800,-9.61000,0.68200,-10.05200,0.78200,-9.23100,0.80300,-9.06800,0.73100,-9.30200,1.00300,-9.16000,0.73000,-9.42300,0.81900,-9.61100,0.70100,-9.24000,0.68800,-9.40900,0.61800,-8.91000,0.78300,-9.16900,0.80000,-8.95900,0.83800,0,-9999,-9999,-9999,27452470,2.44000,0.76000
27.17500,75.77500,Jaipur,0,0.00110,0.00000,0.00430,226.00000,0.00890,975.00000,0.01080,1499.00000,-10.58800,0.63900,-9.95700,1.00700,-9.90900,1.40800,-10.05700,1.15300,-9.85000,0.74000,-10.13800,0.60000,-10.39300,0.87900,-10.09500,0.78000,-11.97700,0.29900,-11.98500,0.56500,-11.54100,0.55100,-12.58000,0.52300,-11.58700,0.53900,-11.58300,0.72700,-11.93700,0.41500,-11.73400,0.55200,-11.53000,0.64100,-11.45800,0.53500,-11.69400,0.61900,-9.76900,0.74900,-9.56600,0.64300,-10.02200,0.75100,-9.22800,0.72100,-9.08800,0.70600,-9.28600,0.94900,-9.13600,0.70800,-9.43400,0.81800,-9.60700,0.67500,-9.18200,0.66600,-9.36800,0.55800,-8.93200,0.72500,-9.14000,0.75900,-8.94300,0.80600,0,-9999,-9999,-9999,27452470,2.50000,0.79000
27.17500,75.82500,Jaipur,0,0.00000,0.00000,0.00020,0.00000,0.00050,151.00000,0.00180,4475.00000,-10.47400,0.64400,-9.89600,0.96600,-9.80800,1.33100,-9.98400,1.10500,-9.78600,0.69400,-10.03700,0.57500,-10.29400,0.85900,-10.03200,0.76000,-11.90800,0.28100,-11.90400,0.53100,-11.53900,0.50600,-12.49700,0.52000,-11.48100,0.53600,-11.57500,0.70700,-11.84400,0.39900,-11.66700,0.55000,-11.53800,0.62300,-11.44600,0.49600,-11.67800,0.59600,-9.75300,0.73100,-9.53300,0.61100,-9.99100,0.72600,-9.21400,0.68000,-9.10100,0.66200,-9.30300,0.92400,-9.10900,0.67100,-9.44900,0.82100,-9.61700,0.65400,-9.13600,0.65900,-9.33800,0.52000,-8.94500,0.69500,-9.13500,0.74100,-8.94400,0.76900,0,-9999,-9999,-9999,27452470,2.39000,0.74000
27.17500,75.87500,Jaipur,0,0.00000,0.00000,0.00000,0.00000,0.00040,776.00000,0.00340,4555.00000,-10.27900,0.64500,-9.79100,0.88100,-9.63700,1.18200,-9.85500,0.98700,-9.67500,0.60800,-9.89600,0.55200,-10.11500,0.82100,-9.92400,0.72800,-11.87400,0.25600,-11.84500,0.50300,-11.56600,0.46100,-12.43300,0.50800,-11.37200,0.51300,-11.60000,0.67000,-11.79800,0.39700,-11.63600,0.51400,-11.55600,0.60600,-11.45200,0.44600,-11.68000,0.58200,-9.71300,0.72600,-9.50000,0.58200,-9.96700,0.71400,-9.18600,0.65800,-9.10300,0.62900,-9.32100,0.91300,-9.09400,0.64000,-9.45400,0.81800,-9.62800,0.63800,-9.10500,0.66300,-9.32300,0.51600,-8.96700,0.66500,-9.10100,0.73300,-8.94900,0.73700,0,-9999,-9999,-9999,27452470,2.54000,0.81000
27.17500,75.92500,Jaipur,0,0.00000,80.00000,0.00010,61.00000,0.00090,657.00000,0.00330,3323.00000,-10.21300,0.64100,-9.74700,0.85600,-9.58500,1.13400,-9.80700,0.95400,-9.63900,0.58400,-9.85200,0.54000,-10.05800,0.80800,-9.88700,0.72100,-11.82300,0.24500,-11.79500,0.48800,-11.57900,0.43900,-12.37400,0.47500,-11.28900,0.48400,-11.64000,0.63200,-11.76800,0.39200,-11.61000,0.46700,-11.55100,0.59700,-11.44500,0.38600,-11.68600,0.55300,-9.62100,0.67300,-9.47500,0.56700,-9.94600,0.70400,-9.15500,0.63900,-9.10600,0.61200,-9.30400,0.91100,-9.07600,0.60100,-9.46300,0.81200,-9.64400,0.62100,-9.07000,0.65900,-9.31100,0.52600,-8.98200,0.65400,-9.05800,0.71100,-8.96900,0.70700,0,-9999,-9999,-9999,27452470,3.12000,0.87000
27.17500,75.97500,Jaipur,1,0.00000,12957.00000,0.00030,5983.00000,0.00200,5623.00000,0.00630,16033.00000,-9.99100,0.59200,-9.60200,0.76400,-9.43700,0.96300,-9.60000,0.84700,-9.52500,0.50500,-9.73600,0.50300,-9.86800,0.74400,-9.76000,0.70600,-11.76400,0.25000,-11.74900,0.46900,-11.58400,0.42300,-12.28000,0.43600,-11.21400,0.44300,-11.66300,0.58000,-11.74400,0.37300,-11.57300,0.42800,-11.52500,0.57900,-11.44200,0.34700,-11.68900,0.52300,-9.53700,0.63300,-9.44900,0.55300,-9.89100,0.64900,-9.13800,0.63200,-9.10700,0.62500,-9.27100,0.89300,-9.06300,0.57200,-9.48400,0.80900,-9.66000,0.62000,-9.04900,0.64800,-9.31400,0.54800,-8.98000,0.64400,-9.01800,0.67900,-8.99000,0.68700,0,-9999,-9999,-9999,27452470,2.72000,0.81000
27.17500,76.02500,Jaipur,0,0.00000,0.00000,0.00020,7541.00000,0.00040,5650.00000,0.00120,12598.00000,-9.97900,0.58700,-9.58900,0.76200,-9.43300,0.95600,-9.58600,0.85000,-9.52300,0.50500,-9.73400,0.49700,-9.86200,0.74100,-9.75700,0.70800,-11.67900,0.25300,-11.72800,0.42500,-11.55600,0.39000,-12.16900,0.39800,-11.16100,0.40700,-11.63900,0.53100,-11.72400,0.33600,-11.49500,0.38400,-11.49000,0.55100,-11.42700,0.32700,-11.65300,0.48000,-9.46400,0.61700,-9.39200,0.52600,-9.79500,0.62000,-9.09100,0.63100,-9.08300,0.61700,-9.19700,0.87300,-9.05700,0.54800,-9.45400,0.78300,-9.63600,0.60800,-8.99900,0.64000,-9.30700,0.53900,-8.95900,0.61700,-8.97600,0.66200,-9.00700,0.67000,0,-9999,-9999,-9999,27452470,3.02000,0.86000
