latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.77500,38.97500,Jeddah,0,0.00000,0.00000,0.00000,0.00000,0.00040,0.00000,0.00090,0.00000,-14.94300,0.28800,-15.22400,0.62800,-15.08500,0.44400,-15.46500,1.50000,-14.73800,0.45400,-14.61000,0.40600,-14.40400,0.44900,-14.20700,0.52000,-20.41700,0.56800,-20.86100,0.88300,-20.85400,0.73300,-20.60300,0.83900,-21.15600,0.92400,-20.31100,0.70600,-20.27200,0.80600,-20.57700,0.82100,-20.17100,0.77300,-20.54300,0.82600,-20.36800,0.98500,-18.19100,0.79900,-18.48300,1.01500,-18.18600,0.99900,-17.91100,0.89800,-17.49000,0.84500,-17.75400,0.91800,-17.20800,0.85300,-17.07900,0.90100,-16.99300,1.06300,-16.49000,0.78000,-16.44300,0.88200,-16.77600,1.89400,-15.83500,1.00000,-16.32200,1.29300,100,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.02500,Jeddah,0,0.00290,322.00000,0.01860,2703.00000,0.02630,4592.00000,0.03550,6217.00000,-14.04500,0.21000,-14.21300,0.51400,-14.13700,0.34400,-14.60300,1.39800,-13.74800,0.35800,-13.68400,0.32300,-13.49300,0.36900,-13.37700,0.39800,-18.04700,0.37100,-18.29300,0.50900,-18.21800,0.41600,-18.06200,0.44000,-18.39800,0.47900,-17.82600,0.49200,-17.66400,0.52100,-17.87400,0.61200,-17.50200,0.54500,-17.75300,0.45200,-17.43200,0.68700,-15.79200,0.53900,-15.89900,0.69700,-15.43400,0.59000,-15.12400,0.63400,-14.69900,0.55300,-14.67300,0.61200,-14.09900,0.63300,-13.96600,0.65000,-13.80600,0.70100,-13.33300,0.68000,-13.05700,0.52400,-13.02800,1.23000,-12.50100,0.71900,-12.73900,0.93700,98,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.07500,Jeddah,2,0.00320,1162.00000,0.02040,9442.00000,0.02950,13087.00000,0.07280,30596.00000,-13.25400,0.14000,-13.32200,0.41400,-13.30100,0.25400,-13.85300,1.30600,-12.87400,0.26900,-12.87000,0.24800,-12.69000,0.29800,-12.64700,0.28500,-15.90000,0.25500,-15.99300,0.31100,-15.86000,0.28800,-15.74100,0.27500,-15.96200,0.31400,-15.48900,0.34200,-15.30400,0.35800,-15.39800,0.44600,-15.15500,0.43700,-15.27700,0.30500,-14.90300,0.49700,-14.20200,0.50200,-14.24600,0.58700,-13.72600,0.53300,-13.20200,0.58500,-12.70900,0.51200,-12.44900,0.51500,-11.88900,0.56000,-11.59900,0.55000,-11.36200,0.47900,-10.89900,0.55600,-10.68500,0.46500,-10.52800,0.72900,-10.22000,0.62200,-10.23500,0.63300,30,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.12500,Jeddah,2,0.01100,2360.00000,0.04580,12544.00000,0.07500,23993.00000,0.15780,61897.00000,-12.16500,0.14600,-12.10700,0.28000,-12.18100,0.19200,-12.63900,1.02900,-11.77400,0.24100,-11.76500,0.21300,-11.69000,0.26300,-11.68900,0.21800,-14.12200,0.18800,-14.08000,0.22700,-13.93700,0.27100,-13.84400,0.22600,-13.98700,0.29800,-13.62400,0.21500,-13.45300,0.24300,-13.44900,0.32200,-13.34500,0.36600,-13.34400,0.26300,-12.99400,0.37900,-12.89100,0.57200,-12.90000,0.62800,-12.44000,0.51300,-11.98100,0.56800,-11.50500,0.53700,-11.01400,0.51000,-10.60800,0.56300,-10.32000,0.54000,-10.06500,0.46200,-9.65600,0.53100,-9.53100,0.45900,-9.38300,0.71200,-9.17800,0.73000,-9.15900,0.54800,0,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.17500,Jeddah,2,0.00070,25.00000,0.00980,785.00000,0.01570,2381.00000,0.06430,19430.00000,-11.76700,0.15100,-11.65300,0.23300,-11.77300,0.16800,-12.18500,0.89600,-11.37700,0.22900,-11.36400,0.19700,-11.33400,0.25200,-11.35000,0.19600,-12.74800,0.17900,-12.62400,0.17900,-12.51900,0.21500,-12.41500,0.21600,-12.48700,0.29200,-12.23700,0.17200,-12.13600,0.20600,-12.07200,0.25700,-12.04700,0.30100,-12.00300,0.24700,-11.74000,0.26800,-11.78300,0.57100,-11.72600,0.54300,-11.46700,0.51000,-11.04400,0.54200,-10.60700,0.50800,-9.98700,0.58300,-9.65600,0.56200,-9.47200,0.59000,-9.24400,0.45800,-8.98500,0.52100,-8.83000,0.46100,-8.69300,0.66100,-8.49000,0.67700,-8.51900,0.52200,0,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.22500,Jeddah,1,0.00000,0.00000,0.00030,58.00000,0.00140,261.00000,0.01540,4939.00000,-10.84400,0.15600,-10.62500,0.20300,-10.83800,0.13900,-11.10700,0.50700,-10.51000,0.20600,-10.48400,0.16200,-10.54900,0.27200,-10.53400,0.17600,-11.87200,0.15600,-11.72400,0.15800,-11.59100,0.20500,-11.52000,0.18900,-11.57400,0.24300,-11.42500,0.17800,-11.35200,0.20700,-11.31400,0.21500,-11.37200,0.22100,-11.28800,0.27100,-11.14000,0.20600,-10.18000,0.59200,-10.25400,0.53200,-10.02700,0.59400,-9.83400,0.65200,-9.48800,0.60600,-9.04000,0.59400,-8.81200,0.55700,-8.67300,0.57600,-8.60600,0.44300,-8.51400,0.44700,-8.29300,0.45500,-8.26800,0.61700,-8.06400,0.65200,-8.05600,0.43200,0,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.27500,Jeddah,0,0.00000,0.00000,0.00020,0.00000,0.00110,24.00000,0.00620,1048.00000,-10.62000,0.12800,-10.44000,0.18500,-10.62900,0.11300,-10.92300,0.52500,-10.32600,0.18900,-10.30800,0.15900,-10.38800,0.28400,-10.35100,0.14500,-11.60500,0.14200,-11.45800,0.15500,-11.34500,0.23500,-11.29400,0.16900,-11.31900,0.20700,-11.28000,0.20000,-11.20900,0.20900,-11.24600,0.19600,-11.32400,0.19000,-11.23300,0.23900,-11.17200,0.17700,-9.21400,0.56400,-9.22900,0.54600,-9.10500,0.57000,-9.03100,0.58100,-8.76600,0.55900,-8.54200,0.42700,-8.42200,0.40500,-8.31400,0.46900,-8.43400,0.38000,-8.35000,0.36100,-8.27100,0.35800,-8.28100,0.59400,-8.10700,0.53800,-8.07100,0.34300,0,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.32500,Jeddah,1,0.00000,0.00000,0.00020,0.00000,0.00130,17.00000,0.00530,259.00000,-10.08800,0.06400,-9.99800,0.15000,-10.12500,0.05900,-10.48200,0.58400,-9.87800,0.15300,-9.88200,0.16000,-9.98600,0.31100,-9.89000,0.07200,-11.67300,0.14100,-11.60400,0.15900,-11.52800,0.27300,-11.47100,0.17900,-11.50900,0.19200,-11.53000,0.19900,-11.53000,0.23300,-11.55500,0.20000,-11.64100,0.19800,-11.56700,0.19800,-11.63500,0.18300,-9.11400,0.36100,-9.04600,0.35300,-9.03900,0.34000,-8.94900,0.37000,-8.79200,0.34800,-8.70900,0.33100,-8.69600,0.37500,-8.59700,0.44200,-8.77500,0.33500,-8.65100,0.32500,-8.67300,0.33900,-8.66500,0.57100,-8.58000,0.44500,-8.56500,0.33500,0,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.37500,Jeddah,0,0.00000,0.00000,0.00010,32.00000,0.00010,31.00000,0.00070,118.00000,-9.87000,0.04800,-9.81800,0.12800,-9.92300,0.04300,-10.29400,0.58000,-9.70100,0.12500,-9.73900,0.16500,-9.84500,0.30500,-9.71700,0.09400,-11.92400,0.13500,-11.92800,0.16300,-11.89000,0.30600,-11.80500,0.18400,-11.88300,0.19900,-11.93500,0.17500,-11.96100,0.24800,-11.98500,0.17600,-12.08300,0.20000,-12.01100,0.17500,-12.16700,0.24200,-9.64500,0.41000,-9.63600,0.39300,-9.67700,0.34200,-9.50300,0.40400,-9.44800,0.28200,-9.40400,0.32200,-9.51300,0.31800,-9.42100,0.41900,-9.57800,0.30200,-9.41800,0.34100,-9.44200,0.35900,-9.41700,0.57300,-9.41900,0.39700,-9.46500,0.35400,0,-9999,-9999,-9999,28629704,-9999,-9999
21.77500,39.42500,Jeddah,0,0.00000,0.00000,0.00020,0.00000,0.00100,0.00000,0.00100,0.00000,-9.67700,0.03300,-9.65700,0.11000,-9.74300,0.02900,-10.12600,0.57800,-9.54300,0.10200,-9.60900,0.16900,-9.71700,0.30100,-9.56100,0.11300,-12.23100,0.14700,-12.29500,0.17800,-12.28900,0.31600,-12.18100,0.18800,-12.27400,0.18900,-12.33100,0.15300,-12.38500,0.25100,-12.39800,0.16400,-12.52200,0.19500,-12.45900,0.18800,-12.61800,0.28800,-10.69300,0.32800,-10.70500,0.29500,-10.82600,0.30300,-10.58800,0.31900,-10.39300,0.25100,-10.53600,0.27200,-10.73200,0.24600,-10.65800,0.34800,-10.72600,0.28500,-10.66300,0.32700,-10.67500,0.28800,-10.69800,0.44000,-10.58500,0.36000,-10.80900,0.36400,0,-9999,-9999,-9999,28629704,-9999,-9999
