latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
32.02500,34.97500,Jerusalem,1,0.00290,108.00000,0.01030,916.00000,0.06890,10436.00000,0.12240,23034.00000,-8.66500,0.18100,-8.59600,0.12300,-8.48900,0.16600,-8.70600,0.28500,-8.64700,0.27500,-8.69300,0.25900,-8.81600,0.49500,-8.39000,0.14700,-9.90500,0.16600,-9.65500,0.16200,-9.63800,0.16800,-9.53200,0.16100,-9.43200,0.17000,-9.40800,0.16800,-9.37300,0.14700,-9.31700,0.15300,-9.34400,0.15300,-9.33100,0.15500,-9.30000,0.18800,-7.68300,0.22700,-7.64200,0.17400,-7.62100,0.23500,-7.65500,0.22200,-7.66800,0.16700,-7.45300,0.18400,-7.20700,0.70400,-7.32000,0.20800,-7.43400,0.19800,-7.25200,0.33400,-7.25100,0.18600,-7.15500,0.30600,-7.01800,0.33300,-6.82400,0.40900,0,-9999,-9999,-9999,26188098,1.04000,0.46000
32.02500,35.02500,Jerusalem,1,0.00040,240.00000,0.00490,1178.00000,0.01410,3039.00000,0.02720,7464.00000,-8.45600,0.15600,-8.39800,0.10600,-8.35200,0.15600,-8.53700,0.23600,-8.47200,0.25200,-8.53000,0.28400,-8.64400,0.50600,-8.26100,0.16000,-9.93000,0.16300,-9.71600,0.17200,-9.75600,0.20600,-9.66400,0.18800,-9.59200,0.15900,-9.54700,0.18300,-9.51200,0.15100,-9.51000,0.16700,-9.51800,0.17900,-9.51400,0.15500,-9.52800,0.22100,-7.75000,0.20700,-7.75100,0.16900,-7.73900,0.21200,-7.79400,0.21600,-7.87800,0.16200,-7.61600,0.16200,-7.36800,0.69900,-7.58000,0.22000,-7.66700,0.16800,-7.49700,0.32900,-7.53000,0.16100,-7.50000,0.29300,-7.37000,0.23900,-7.24400,0.34600,0,-9999,-9999,-9999,26188098,1.14000,0.43000
32.02500,35.07500,Jerusalem,1,0.00170,788.00000,0.00720,2118.00000,0.01640,4539.00000,0.02540,6678.00000,-8.28300,0.13700,-8.23600,0.09200,-8.23800,0.15000,-8.39500,0.20000,-8.32700,0.23500,-8.39300,0.30300,-8.50400,0.51500,-8.15400,0.16900,-9.95100,0.14700,-9.77600,0.18700,-9.84900,0.21500,-9.77100,0.22700,-9.72700,0.15100,-9.66800,0.17900,-9.62800,0.15800,-9.69000,0.17600,-9.68300,0.19700,-9.66300,0.15900,-9.72900,0.22200,-7.77700,0.18300,-7.79500,0.16200,-7.80400,0.19200,-7.84800,0.21500,-7.96000,0.16100,-7.69400,0.14400,-7.47100,0.66000,-7.71000,0.20500,-7.75200,0.14700,-7.63000,0.31200,-7.63100,0.15100,-7.65300,0.26200,-7.55200,0.17300,-7.49200,0.26800,0,-9999,-9999,-9999,26188098,1.54000,0.57000
32.02500,35.12500,Jerusalem,1,0.00100,619.00000,0.00610,1852.00000,0.01300,4429.00000,0.01840,6378.00000,-8.27000,0.12300,-8.22700,0.08900,-8.29600,0.17700,-8.41100,0.15100,-8.34900,0.19900,-8.39700,0.29800,-8.51200,0.50400,-8.21700,0.18700,-9.97100,0.14600,-9.83100,0.18900,-9.92300,0.21300,-9.86500,0.25400,-9.84000,0.15200,-9.76700,0.18100,-9.73900,0.17400,-9.84300,0.19500,-9.82500,0.20700,-9.77800,0.17300,-9.88400,0.21600,-7.81500,0.17200,-7.81300,0.17200,-7.85400,0.17900,-7.88100,0.19800,-8.00400,0.15500,-7.74200,0.12900,-7.55600,0.62200,-7.77000,0.19100,-7.81100,0.14400,-7.74800,0.29700,-7.68600,0.14800,-7.76600,0.23600,-7.67400,0.15100,-7.61200,0.21100,0,-9999,-9999,-9999,26188098,1.63000,0.61000
32.02500,35.17500,Jerusalem,1,0.00300,841.00000,0.01630,4094.00000,0.02190,5777.00000,0.03370,9840.00000,-8.26200,0.11500,-8.22100,0.08700,-8.33000,0.19000,-8.41800,0.12600,-8.36000,0.18000,-8.39900,0.29400,-8.51600,0.49600,-8.25100,0.19600,-10.01900,0.16300,-9.90300,0.19700,-9.99500,0.19600,-9.95600,0.26700,-9.95400,0.16600,-9.85100,0.17300,-9.85900,0.19000,-9.96100,0.20600,-9.97300,0.21300,-9.88400,0.19000,-10.01000,0.20700,-7.89500,0.20500,-7.86900,0.18600,-7.94700,0.15800,-7.94900,0.18300,-8.06100,0.14700,-7.82600,0.14900,-7.65400,0.59400,-7.84600,0.17200,-7.92000,0.12900,-7.88800,0.25900,-7.80100,0.15500,-7.93200,0.24400,-7.83500,0.14600,-7.73400,0.21000,0,-9999,-9999,-9999,26188098,1.51000,0.56000
32.02500,35.22500,Jerusalem,1,0.00130,782.00000,0.00860,2000.00000,0.01190,2897.00000,0.01390,3688.00000,-8.45200,0.10400,-8.40200,0.08500,-8.56800,0.20700,-8.64400,0.10200,-8.57500,0.15000,-8.58300,0.25100,-8.70200,0.43400,-8.49300,0.17100,-10.13900,0.18500,-10.02000,0.20400,-10.10300,0.18400,-10.08700,0.26500,-10.09000,0.18900,-9.98200,0.16700,-10.01700,0.20500,-10.09600,0.21000,-10.14200,0.21700,-10.00400,0.21600,-10.14300,0.21300,-8.03000,0.23400,-8.01300,0.20600,-8.10300,0.18300,-8.06900,0.17000,-8.17900,0.16100,-7.99300,0.16900,-7.75500,0.59500,-8.01400,0.17000,-8.05900,0.11900,-8.04900,0.20900,-7.96100,0.17400,-8.11800,0.26100,-8.01500,0.17900,-7.97800,0.20600,0,-9999,-9999,-9999,26188098,1.40000,0.53000
32.02500,35.27500,Jerusalem,1,0.00180,828.00000,0.02170,6454.00000,0.03240,10440.00000,0.03970,14314.00000,-8.52100,0.10100,-8.46600,0.08500,-8.65600,0.21200,-8.72300,0.09200,-8.65300,0.13900,-8.64900,0.23500,-8.77000,0.40900,-8.57900,0.16000,-10.32200,0.19500,-10.21500,0.21000,-10.28900,0.16900,-10.27400,0.23800,-10.25900,0.19600,-10.17000,0.17300,-10.24100,0.20900,-10.29400,0.19700,-10.34600,0.19800,-10.19000,0.22900,-10.33000,0.21900,-8.26800,0.22800,-8.26800,0.21200,-8.30300,0.19900,-8.28200,0.17200,-8.36100,0.16100,-8.23600,0.19900,-8.04900,0.63700,-8.33200,0.21700,-8.25100,0.16500,-8.21800,0.22800,-8.14900,0.19700,-8.31200,0.32900,-8.18000,0.20700,-8.27400,0.24000,0,-9999,-9999,-9999,26188098,1.10000,0.51000
32.02500,35.32500,Jerusalem,1,0.00040,49.00000,0.00770,1428.00000,0.01430,2878.00000,0.01820,3610.00000,-8.84900,0.09700,-8.77500,0.07000,-8.98400,0.21100,-9.09200,0.12300,-8.98100,0.11700,-8.95000,0.17900,-9.08000,0.32400,-8.89900,0.10100,-10.60100,0.20200,-10.49600,0.22200,-10.57100,0.15700,-10.55200,0.21100,-10.51900,0.19800,-10.42200,0.16700,-10.53900,0.20500,-10.56600,0.17500,-10.62000,0.18800,-10.45400,0.23800,-10.59800,0.23200,-8.63300,0.21200,-8.56400,0.21500,-8.59700,0.22700,-8.63700,0.21500,-8.64200,0.17700,-8.54000,0.19100,-8.45500,0.67500,-8.69600,0.31200,-8.51800,0.19700,-8.45800,0.28500,-8.42200,0.20200,-8.62900,0.43300,-8.47600,0.28900,-8.57700,0.28300,0,-9999,-9999,-9999,26188098,1.04000,0.38000
32.02500,35.37500,Jerusalem,0,0.00000,6.00000,0.00240,27.00000,0.00390,77.00000,0.00500,62.00000,-8.92700,0.09700,-8.84700,0.06700,-9.06200,0.21000,-9.17700,0.12600,-9.05700,0.11100,-9.02000,0.16500,-9.15600,0.30500,-8.97100,0.08600,-10.96800,0.20100,-10.88800,0.21600,-10.94500,0.16100,-10.90200,0.18600,-10.85200,0.18800,-10.75500,0.16200,-10.91000,0.19100,-10.91700,0.17400,-10.97200,0.20400,-10.82100,0.23600,-10.93800,0.23300,-9.14900,0.29300,-9.04100,0.25800,-9.12600,0.28100,-9.12400,0.28600,-9.02500,0.22000,-9.02400,0.24600,-9.01800,0.63600,-9.14300,0.36300,-8.99900,0.24600,-8.93800,0.41600,-8.91800,0.25400,-9.16900,0.59200,-8.91200,0.34700,-8.99100,0.28700,0,-9999,-9999,-9999,26188098,1.00000,0.09000
32.02500,35.42500,Jerusalem,1,0.00030,151.00000,0.00840,1631.00000,0.01650,4043.00000,0.03650,7386.00000,-9.24900,0.09100,-9.15500,0.05400,-9.34000,0.19300,-9.52100,0.18300,-9.34400,0.09000,-9.29000,0.12600,-9.44700,0.24600,-9.21500,0.05600,-11.37100,0.18700,-11.30300,0.20900,-11.35800,0.19400,-11.25900,0.19000,-11.19900,0.18200,-11.13500,0.16900,-11.29300,0.18100,-11.30200,0.20400,-11.35800,0.23200,-11.23000,0.23000,-11.33900,0.21600,-9.89200,0.29200,-9.77100,0.33300,-9.89000,0.24200,-9.84200,0.27400,-9.77800,0.25300,-9.71700,0.25900,-9.58000,0.53100,-9.74700,0.34800,-9.74800,0.24900,-9.56400,0.36500,-9.60900,0.23800,-9.76000,0.47600,-9.61000,0.36200,-9.70400,0.33000,0,-9999,-9999,-9999,26188098,1.00000,0.07000
