latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
47.07500,130.12500,Jiamusi,0,0.00120,184.00000,0.00140,158.00000,0.00170,181.00000,0.00220,199.00000,-8.74700,0.21100,-8.28600,0.17000,-8.77300,0.23000,-8.81700,0.45400,-8.58100,0.38300,-8.27100,0.32200,-9.37400,0.31500,-8.74300,0.49600,-11.31300,0.69100,-11.11500,0.51600,-11.19700,0.80800,-10.73800,0.39400,-10.76500,0.45800,-10.73200,0.61800,-10.72000,0.26900,-10.58600,0.39200,-10.90600,0.53400,-10.85300,0.71300,-10.50900,0.37400,-9.14000,0.72400,-8.79400,0.48300,-8.09100,0.52100,-8.25200,0.47500,-8.59000,0.71500,-8.58100,0.50000,-8.39300,0.52800,-8.73200,0.49500,-9.01700,0.44900,-8.56600,0.61700,-8.77200,0.45400,-8.83200,0.50400,-8.46500,0.43200,-8.48000,0.68700,0,0.00110,0.60880,0.05070,21108700,11.55000,6.66000
47.07500,130.17500,Jiamusi,1,0.00990,673.00000,0.01070,610.00000,0.01200,632.00000,0.01260,693.00000,-8.74900,0.21400,-8.28400,0.17100,-8.77600,0.23000,-8.82200,0.45400,-8.58500,0.38100,-8.27700,0.32400,-9.38200,0.31600,-8.74800,0.50000,-11.40000,0.70400,-11.20800,0.52300,-11.28500,0.81600,-10.80700,0.39400,-10.81300,0.47300,-10.78200,0.63600,-10.77700,0.26600,-10.59500,0.39300,-10.92500,0.53600,-10.89900,0.68800,-10.53100,0.37200,-9.16400,0.75000,-8.83300,0.49600,-8.08700,0.52900,-8.23900,0.47500,-8.58400,0.73100,-8.59400,0.52600,-8.41000,0.53400,-8.75200,0.51100,-9.01600,0.45000,-8.54600,0.65800,-8.76200,0.46800,-8.85200,0.50800,-8.46600,0.44300,-8.48800,0.74100,0,0.00390,1.80600,0.17380,21108700,10.62000,6.75000
47.07500,130.22500,Jiamusi,1,0.00710,278.00000,0.00780,458.00000,0.01780,944.00000,0.01860,1069.00000,-8.77800,0.23900,-8.25700,0.18000,-8.81000,0.23600,-8.88600,0.45600,-8.62300,0.36100,-8.34100,0.34500,-9.47600,0.32500,-8.80100,0.54200,-11.51200,0.70600,-11.33200,0.51300,-11.39100,0.81200,-10.93900,0.39700,-10.90500,0.48100,-10.87200,0.64300,-10.89100,0.29000,-10.65800,0.38900,-11.00100,0.54500,-10.97800,0.65100,-10.60500,0.36000,-9.19100,0.77200,-8.88100,0.50400,-8.09600,0.53400,-8.25000,0.47000,-8.58100,0.74100,-8.60800,0.54700,-8.43000,0.53600,-8.77600,0.52200,-9.00900,0.44600,-8.52500,0.69200,-8.76900,0.47000,-8.85600,0.51000,-8.45800,0.43900,-8.48500,0.74700,0,0.00260,1.54030,0.11200,21108700,10.08000,6.62000
47.07500,130.27500,Jiamusi,2,0.17490,15297.00000,0.18480,19871.00000,0.22330,23071.00000,0.24410,24543.00000,-8.80300,0.24700,-8.26800,0.18300,-8.84200,0.24200,-8.93100,0.45300,-8.66100,0.35600,-8.38700,0.35900,-9.53000,0.33300,-8.84500,0.56300,-11.62900,0.70200,-11.45700,0.48500,-11.52300,0.79000,-11.10300,0.39500,-11.01500,0.48200,-10.97800,0.63700,-11.02300,0.31300,-10.75300,0.38400,-11.11400,0.55700,-11.07500,0.60500,-10.69800,0.34200,-9.25000,0.79000,-8.94000,0.52300,-8.14900,0.54000,-8.31300,0.47900,-8.61200,0.76100,-8.65400,0.55800,-8.47600,0.53600,-8.82000,0.53300,-9.05200,0.46900,-8.55100,0.73400,-8.82100,0.47500,-8.92200,0.51100,-8.50400,0.44800,-8.57100,0.80700,0,0.03250,5.44360,2.65640,21108700,7.26000,5.78000
47.07500,130.32500,Jiamusi,1,0.04110,3958.00000,0.04400,4292.00000,0.07020,5127.00000,0.07560,4964.00000,-8.85100,0.25700,-8.30400,0.18000,-8.90400,0.25100,-9.01500,0.43900,-8.72400,0.34400,-8.47800,0.36900,-9.59900,0.34900,-8.92900,0.57700,-11.77900,0.68400,-11.61800,0.44200,-11.68500,0.75700,-11.32200,0.39700,-11.17600,0.46600,-11.11800,0.62500,-11.19800,0.33800,-10.90700,0.38100,-11.28600,0.57700,-11.21600,0.56500,-10.85000,0.31800,-9.35600,0.79100,-9.06900,0.53900,-8.28900,0.57500,-8.45300,0.50900,-8.71000,0.77500,-8.78300,0.62600,-8.58200,0.53800,-8.91800,0.54400,-9.18000,0.52300,-8.64100,0.79400,-8.94000,0.50400,-9.08800,0.51600,-8.61600,0.43900,-8.71800,0.82500,0,0.00730,3.11830,0.37810,21108700,7.90000,5.99000
47.07500,130.37500,Jiamusi,1,0.01370,785.00000,0.01460,804.00000,0.01650,860.00000,0.01840,1196.00000,-8.92400,0.27600,-8.35600,0.17400,-9.00000,0.26300,-9.14300,0.42000,-8.81400,0.32100,-8.61500,0.38400,-9.71200,0.37300,-9.06000,0.59500,-11.97800,0.64300,-11.81900,0.39800,-11.88700,0.71900,-11.60400,0.40800,-11.39700,0.44900,-11.30500,0.61600,-11.42600,0.36200,-11.12900,0.38300,-11.52000,0.60700,-11.41000,0.53300,-11.07800,0.29300,-9.51600,0.77500,-9.25900,0.53800,-8.52700,0.61800,-8.68700,0.54000,-8.89100,0.77300,-9.01900,0.70700,-8.77300,0.52800,-9.14100,0.55300,-9.39200,0.60900,-8.82500,0.85800,-9.18500,0.54500,-9.39300,0.54500,-8.84800,0.42500,-8.99400,0.83900,0,0.00440,2.28610,0.24050,21108700,10.07000,6.92000
47.07500,130.42500,Jiamusi,1,0.00920,724.00000,0.01010,871.00000,0.01220,933.00000,0.01270,997.00000,-8.94600,0.27900,-8.38400,0.17200,-9.02900,0.26700,-9.17500,0.41700,-8.84000,0.32000,-8.64800,0.38800,-9.74300,0.37900,-9.09600,0.59700,-12.16000,0.61500,-12.00600,0.37900,-12.08700,0.69100,-11.87900,0.42300,-11.63400,0.43200,-11.48200,0.61700,-11.65600,0.37200,-11.34700,0.38800,-11.74200,0.64100,-11.59000,0.51300,-11.32300,0.28200,-9.71800,0.78700,-9.40200,0.50000,-8.76100,0.60000,-8.95500,0.51800,-9.08600,0.75600,-9.27000,0.67800,-8.98100,0.47600,-9.46300,0.54500,-9.59600,0.65100,-9.08100,0.87200,-9.49200,0.56200,-9.72600,0.54900,-9.12600,0.45900,-9.29800,0.86700,0,0.00410,1.40920,0.24000,21108700,10.87000,6.99000
47.07500,130.47500,Jiamusi,1,0.00970,723.00000,0.01060,878.00000,0.01250,981.00000,0.01340,1094.00000,-9.01600,0.31500,-8.43500,0.16200,-9.12300,0.28000,-9.28200,0.41400,-8.90900,0.29400,-8.78800,0.38000,-9.82400,0.40300,-9.20000,0.59200,-12.35700,0.59900,-12.20300,0.37900,-12.28400,0.67100,-12.15900,0.44200,-11.88100,0.44100,-11.67900,0.61800,-11.89700,0.38700,-11.58200,0.40400,-11.96400,0.67100,-11.76900,0.50900,-11.58700,0.30500,-9.96000,0.76300,-9.54300,0.50100,-9.02700,0.60500,-9.18900,0.47700,-9.30200,0.72800,-9.51300,0.65600,-9.26000,0.50900,-9.67100,0.53400,-9.85200,0.66900,-9.33100,0.88100,-9.76600,0.50700,-9.96300,0.56800,-9.42800,0.49200,-9.56900,0.87700,0,0.00560,1.62010,0.36150,21108700,11.36000,7.16000
47.07500,130.52500,Jiamusi,0,0.00550,439.00000,0.00590,546.00000,0.00710,599.00000,0.00840,660.00000,-9.04500,0.33000,-8.45600,0.15800,-9.16100,0.28500,-9.32500,0.41400,-8.93700,0.28400,-8.84400,0.37700,-9.85700,0.41300,-9.24300,0.59100,-12.55000,0.57200,-12.39600,0.40800,-12.49100,0.66300,-12.46400,0.47200,-12.15100,0.46000,-11.90500,0.60900,-12.17000,0.42300,-11.84100,0.44300,-12.19800,0.70700,-11.97000,0.52100,-11.91000,0.33400,-10.11500,0.76300,-9.66400,0.47100,-9.27400,0.58000,-9.41100,0.46000,-9.51300,0.70700,-9.66400,0.61800,-9.56500,0.55600,-9.80200,0.52300,-10.01800,0.67200,-9.47700,0.87100,-9.90400,0.46900,-10.07800,0.57400,-9.64200,0.48400,-9.76800,0.84400,0,0.00140,0.49290,0.08060,21108700,13.11000,7.50000
47.07500,130.57500,Jiamusi,1,0.00370,473.00000,0.00410,651.00000,0.00490,735.00000,0.00580,918.00000,-9.07200,0.35900,-8.48100,0.15700,-9.20600,0.29400,-9.36500,0.42200,-8.96400,0.27300,-8.90300,0.37100,-9.88100,0.42200,-9.28400,0.58800,-12.70700,0.55300,-12.55500,0.44300,-12.67000,0.66800,-12.74100,0.50100,-12.40400,0.48300,-12.12900,0.61200,-12.42400,0.46900,-12.07800,0.49600,-12.41000,0.75900,-12.15200,0.54100,-12.22300,0.38000,-10.21500,0.77400,-9.73300,0.45600,-9.47800,0.54500,-9.57600,0.45300,-9.66500,0.68900,-9.73800,0.59100,-9.83000,0.60300,-9.88200,0.52300,-10.10200,0.67400,-9.56100,0.85900,-9.95600,0.44900,-10.12400,0.57000,-9.80200,0.47600,-9.89300,0.79700,0,0.00210,1.08890,0.11690,21108700,12.32000,7.23000
