latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
44.07500,126.32500,Jilin,1,0.03390,3308.00000,0.05000,4828.00000,0.05210,4749.00000,0.05400,4379.00000,-8.69200,0.29000,-8.27200,0.36000,-8.72800,0.26100,-8.94300,0.62000,-8.47500,0.41800,-8.31200,0.20300,-8.90600,0.29500,-9.07300,0.52300,-11.04900,0.66900,-11.21900,0.53400,-11.30600,0.62400,-10.80300,0.48400,-10.57800,0.35600,-10.56700,0.50700,-10.34800,0.43500,-10.50800,0.36500,-10.58900,0.31800,-10.34300,0.55200,-10.52300,0.43400,-9.45400,0.52800,-8.86400,0.50400,-9.52500,0.71800,-9.02500,0.51800,-9.29300,0.45800,-8.74200,0.73900,-8.73400,0.50300,-9.35900,0.44700,-9.41100,0.45700,-8.98500,0.47100,-8.86700,0.43600,-8.67500,0.67900,-8.69800,0.39900,-8.51900,0.75000,0,0.00950,3.62030,0.43460,22251930,8.73000,3.53000
44.07500,126.37500,Jilin,1,0.05570,2932.00000,0.08070,3572.00000,0.08560,3514.00000,0.09300,3567.00000,-8.69500,0.28700,-8.27500,0.35700,-8.73100,0.26000,-8.94600,0.61600,-8.47700,0.41700,-8.31300,0.20300,-8.90400,0.29500,-9.06900,0.51800,-11.11400,0.67300,-11.24300,0.51900,-11.29200,0.60200,-10.80000,0.45000,-10.58200,0.34700,-10.57300,0.49800,-10.37900,0.43500,-10.54700,0.33700,-10.56500,0.30200,-10.29100,0.51300,-10.46000,0.40300,-9.46000,0.51700,-8.88100,0.51400,-9.53700,0.70100,-9.04600,0.51700,-9.28800,0.43800,-8.75900,0.76000,-8.75700,0.52100,-9.35200,0.46700,-9.40300,0.45400,-8.98200,0.48000,-8.86700,0.44000,-8.63800,0.71000,-8.69100,0.40300,-8.45400,0.75900,0,0.01290,3.37790,0.64400,22251930,11.10000,4.28000
44.07500,126.42500,Jilin,1,0.14230,7553.00000,0.21310,8966.00000,0.24310,9493.00000,0.26350,9282.00000,-8.70600,0.26300,-8.29300,0.31500,-8.75000,0.24400,-8.93900,0.59700,-8.49900,0.39500,-8.32400,0.20100,-8.86000,0.30700,-9.01300,0.46900,-11.10400,0.65000,-11.23400,0.50500,-11.21000,0.56900,-10.75600,0.42300,-10.56500,0.33200,-10.54200,0.48800,-10.37000,0.45300,-10.55600,0.31500,-10.50800,0.29400,-10.20000,0.48500,-10.35700,0.38800,-9.45000,0.49400,-8.87200,0.52900,-9.51700,0.68100,-9.05600,0.52000,-9.27800,0.42500,-8.76000,0.77000,-8.75100,0.54100,-9.28500,0.50900,-9.30200,0.45500,-8.94200,0.50300,-8.82900,0.45100,-8.59600,0.70700,-8.63100,0.39200,-8.35700,0.72400,0,0.01230,3.32490,0.58820,22251930,5.34000,2.75000
44.07500,126.47500,Jilin,1,0.18050,7028.00000,0.27550,9117.00000,0.31630,9647.00000,0.33010,7420.00000,-8.71100,0.25300,-8.30100,0.29700,-8.75800,0.23700,-8.93700,0.58900,-8.50800,0.38600,-8.32900,0.20100,-8.84000,0.31300,-8.98900,0.44700,-11.06100,0.62400,-11.19000,0.49800,-11.10300,0.54300,-10.67900,0.40400,-10.53300,0.33000,-10.48500,0.47300,-10.33900,0.45900,-10.51900,0.30100,-10.44600,0.27400,-10.11200,0.48100,-10.24600,0.38900,-9.41100,0.49500,-8.80200,0.53700,-9.43300,0.64500,-9.01300,0.51500,-9.23900,0.44200,-8.71700,0.75000,-8.69400,0.56500,-9.19100,0.52800,-9.18600,0.43000,-8.86500,0.50100,-8.79600,0.45200,-8.51300,0.68500,-8.52800,0.39000,-8.26200,0.67800,0,0.02160,3.52100,1.09290,22251930,5.53000,2.66000
44.07500,126.52500,Jilin,1,0.10010,2300.00000,0.14130,2818.00000,0.16010,2989.00000,0.17750,2566.00000,-8.70800,0.24600,-8.30300,0.27500,-8.75400,0.23600,-8.91200,0.57900,-8.51000,0.36300,-8.33600,0.20200,-8.80100,0.32200,-8.93800,0.41300,-10.99100,0.59100,-11.12200,0.50300,-10.98000,0.52900,-10.59800,0.39900,-10.49000,0.32800,-10.42400,0.46100,-10.29900,0.44500,-10.45200,0.29100,-10.38300,0.25900,-10.04800,0.49800,-10.15000,0.39900,-9.33700,0.50100,-8.71600,0.53200,-9.33200,0.59300,-8.92800,0.52100,-9.18800,0.46900,-8.65900,0.68900,-8.62500,0.55000,-9.10600,0.51800,-9.10400,0.39900,-8.76900,0.45300,-8.75800,0.44600,-8.46100,0.60700,-8.43400,0.37300,-8.21600,0.58800,0,0.01140,3.39790,0.50060,22251930,7.97000,3.44000
44.07500,126.57500,Jilin,1,0.03530,571.00000,0.04580,681.00000,0.05050,681.00000,0.05670,537.00000,-8.70700,0.23800,-8.31000,0.25100,-8.75400,0.23200,-8.89500,0.56700,-8.51900,0.33300,-8.34800,0.20500,-8.76700,0.33100,-8.88800,0.37300,-10.89900,0.57000,-11.04200,0.50300,-10.85700,0.52900,-10.51700,0.40800,-10.44200,0.33600,-10.36700,0.45300,-10.25200,0.42300,-10.37000,0.28300,-10.33600,0.25800,-10.01400,0.52600,-10.08700,0.42000,-9.21600,0.50600,-8.59800,0.49700,-9.15600,0.55900,-8.78000,0.51800,-9.10600,0.49100,-8.59100,0.58400,-8.51900,0.50600,-8.98200,0.49100,-9.03900,0.37100,-8.66600,0.36100,-8.70500,0.43600,-8.40000,0.53200,-8.32600,0.35900,-8.20100,0.49700,0,0.00460,2.74680,0.16830,22251930,9.71000,3.81000
44.07500,126.62500,Jilin,1,0.00260,41.00000,0.00320,54.00000,0.00340,49.00000,0.00400,61.00000,-8.70500,0.23700,-8.31600,0.24300,-8.75100,0.23000,-8.90000,0.56100,-8.52100,0.31900,-8.35400,0.20300,-8.76300,0.32900,-8.87200,0.35900,-10.80600,0.56600,-10.96400,0.48800,-10.75700,0.54500,-10.43200,0.42800,-10.39800,0.35000,-10.30900,0.44600,-10.21800,0.42200,-10.30800,0.27700,-10.31500,0.25900,-10.00800,0.55800,-10.05800,0.44900,-9.05200,0.49600,-8.48000,0.45900,-8.96700,0.55200,-8.64600,0.49000,-9.02100,0.50900,-8.54400,0.49600,-8.43400,0.46900,-8.87100,0.45800,-8.98200,0.34900,-8.61100,0.31400,-8.64500,0.42300,-8.34500,0.49400,-8.26100,0.34800,-8.19600,0.43000,0,0.00100,0.74290,0.03560,22251930,26.51000,5.63000
44.07500,126.67500,Jilin,0,0.00150,53.00000,0.00200,46.00000,0.00230,42.00000,0.00270,32.00000,-8.68000,0.23500,-8.31100,0.21000,-8.72100,0.23400,-8.86100,0.54000,-8.50300,0.28500,-8.36000,0.19400,-8.70100,0.32200,-8.77800,0.31600,-10.74300,0.57900,-10.88600,0.48400,-10.69100,0.55900,-10.37500,0.45000,-10.36700,0.34700,-10.27800,0.44700,-10.20600,0.42900,-10.28200,0.27300,-10.32200,0.27100,-10.04800,0.56700,-10.07100,0.48200,-8.92200,0.45300,-8.42400,0.43300,-8.83600,0.53600,-8.57900,0.45200,-8.97700,0.51800,-8.56300,0.43300,-8.41300,0.46600,-8.81900,0.43400,-8.98000,0.34400,-8.60700,0.28400,-8.63200,0.41100,-8.31800,0.45800,-8.25000,0.34400,-8.22300,0.37700,0,0.00070,0.51000,0.01930,22251930,21.71000,5.24000
44.07500,126.72500,Jilin,0,0.00070,28.00000,0.00080,26.00000,0.00090,23.00000,0.00100,21.00000,-8.68100,0.23600,-8.31500,0.21000,-8.72000,0.23200,-8.87200,0.53900,-8.50900,0.27900,-8.36200,0.19300,-8.71100,0.32000,-8.78000,0.31200,-10.70700,0.60000,-10.82300,0.48600,-10.64100,0.57600,-10.34600,0.47500,-10.34500,0.33900,-10.28400,0.45700,-10.21100,0.42500,-10.28300,0.27700,-10.34900,0.29100,-10.11000,0.57000,-10.12000,0.51100,-8.83800,0.43500,-8.39100,0.42300,-8.77500,0.51600,-8.54600,0.42900,-8.94300,0.52600,-8.60900,0.36500,-8.39700,0.46500,-8.79200,0.42400,-8.97900,0.33500,-8.60500,0.27100,-8.62500,0.39800,-8.29500,0.43500,-8.26900,0.34600,-8.28100,0.32300,0,0.00150,1.37290,0.03740,22251930,31.08000,6.03000
44.07500,126.77500,Jilin,0,0.00150,187.00000,0.00180,275.00000,0.00200,317.00000,0.00250,567.00000,-8.63700,0.24500,-8.28700,0.20400,-8.66500,0.24800,-8.81700,0.51800,-8.46500,0.26300,-8.35300,0.17600,-8.63300,0.30100,-8.66800,0.28800,-10.66900,0.62300,-10.73900,0.48300,-10.60300,0.58700,-10.34200,0.50000,-10.30600,0.35000,-10.30100,0.46700,-10.22900,0.44300,-10.28800,0.27200,-10.37200,0.30700,-10.19000,0.56000,-10.20000,0.52200,-8.78500,0.42000,-8.35400,0.41400,-8.71000,0.51100,-8.50900,0.42600,-8.89300,0.55000,-8.61900,0.32900,-8.38200,0.45900,-8.76500,0.41600,-8.96700,0.32300,-8.59200,0.26400,-8.60900,0.39200,-8.26900,0.41600,-8.28100,0.35300,-8.29100,0.29700,0,0.00150,0.90080,0.04430,22251930,29.38000,5.94000
