latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
10.77500,7.17500,Kaduna,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-8.80700,0.21200,-8.90600,0.41200,-8.65900,0.22700,-8.77600,0.23200,-8.70600,0.24900,-8.67600,0.42600,-8.59100,0.23400,-8.88800,0.45500,-9.66900,0.22700,-9.77900,0.30000,-9.90400,0.30300,-9.74900,0.26100,-9.82800,0.20500,-9.81200,0.25200,-9.84600,0.21300,-9.99700,0.30200,-10.03500,0.26400,-9.93000,0.27500,-10.01300,0.29200,-8.65500,0.32100,-8.72700,0.39300,-8.68200,0.40800,-8.62800,0.36500,-8.73400,0.33700,-8.49000,0.27400,-8.75500,0.35800,-8.77900,0.41700,-8.98800,0.55300,-8.63800,0.38400,-8.78500,0.32200,-8.63600,0.41600,-8.63200,0.30300,-8.44000,0.35200,0,-9999,-9999,-9999,30244274,3.33000,1.20000
10.77500,7.22500,Kaduna,0,0.00000,0.00000,0.00000,6.00000,0.00000,12.00000,0.00010,102.00000,-8.84100,0.23300,-8.94500,0.42300,-8.65500,0.22700,-8.82800,0.25900,-8.71000,0.26000,-8.69500,0.46200,-8.59100,0.24200,-8.89300,0.46200,-9.69200,0.19400,-9.80000,0.29300,-9.94700,0.31600,-9.77400,0.30200,-9.89000,0.22400,-9.85900,0.29400,-9.89000,0.22500,-10.03900,0.27900,-10.12400,0.26600,-10.01300,0.29000,-10.10300,0.31100,-8.72500,0.31500,-8.79800,0.43400,-8.74400,0.41900,-8.67700,0.37600,-8.77000,0.34900,-8.52700,0.32200,-8.78400,0.36800,-8.80500,0.42500,-9.02200,0.59200,-8.67400,0.42600,-8.82600,0.34800,-8.71000,0.41000,-8.64300,0.31800,-8.50500,0.38700,0,-9999,-9999,-9999,30244274,2.51000,0.85000
10.77500,7.27500,Kaduna,0,0.00000,0.00000,0.00100,135.00000,0.00270,534.00000,0.00520,1101.00000,-8.85600,0.24900,-8.95700,0.42200,-8.66800,0.23200,-8.85400,0.28500,-8.71400,0.27400,-8.69800,0.47300,-8.57500,0.24600,-8.87900,0.46700,-9.75200,0.17500,-9.85800,0.29900,-9.97600,0.32100,-9.82400,0.33300,-9.94900,0.24900,-9.92900,0.31000,-9.94400,0.21800,-10.09200,0.26100,-10.17400,0.27800,-10.09200,0.30100,-10.17800,0.31800,-8.76900,0.31000,-8.87500,0.46700,-8.78900,0.44400,-8.70000,0.39300,-8.78800,0.35300,-8.54000,0.34500,-8.78700,0.39400,-8.81800,0.44100,-9.01900,0.62200,-8.68900,0.43600,-8.85200,0.36300,-8.74100,0.43000,-8.65800,0.34300,-8.56700,0.40400,0,-9999,-9999,-9999,30244274,2.17000,0.79000
10.77500,7.32500,Kaduna,1,0.00020,20.00000,0.00080,45.00000,0.00210,275.00000,0.00540,676.00000,-8.86800,0.26100,-8.96500,0.42100,-8.67800,0.23600,-8.87400,0.30500,-8.71600,0.28500,-8.70000,0.48100,-8.56300,0.25000,-8.86900,0.47000,-9.82800,0.16600,-9.94300,0.30200,-10.01000,0.31200,-9.89100,0.34600,-10.02800,0.26500,-9.99300,0.30500,-10.01200,0.24000,-10.16000,0.24900,-10.21600,0.28400,-10.17000,0.33100,-10.25200,0.32000,-8.78800,0.32700,-8.94500,0.47700,-8.83200,0.47600,-8.69700,0.40000,-8.79200,0.35700,-8.56400,0.36200,-8.76400,0.41200,-8.82300,0.44900,-9.00000,0.64000,-8.69500,0.42100,-8.84300,0.38300,-8.73200,0.47500,-8.67600,0.36300,-8.60900,0.41400,0,-9999,-9999,-9999,30244274,2.07000,0.74000
10.77500,7.37500,Kaduna,0,0.00010,71.00000,0.00010,77.00000,0.00060,195.00000,0.00120,369.00000,-8.88000,0.28200,-8.97400,0.42400,-8.69700,0.25800,-8.87300,0.29600,-8.71900,0.29600,-8.68100,0.47400,-8.52500,0.24500,-8.82800,0.46500,-9.88300,0.19300,-10.06100,0.30600,-10.07500,0.31400,-9.95000,0.34900,-10.11000,0.26700,-10.06100,0.28600,-10.08900,0.26800,-10.23500,0.25100,-10.25100,0.28800,-10.24900,0.37100,-10.30600,0.30800,-8.80800,0.35300,-8.99300,0.50500,-8.87900,0.46900,-8.69100,0.39100,-8.79200,0.37100,-8.57100,0.38500,-8.73800,0.41600,-8.83000,0.43900,-8.98300,0.65700,-8.69500,0.39400,-8.82800,0.39100,-8.69200,0.46300,-8.66700,0.38000,-8.62600,0.41200,0,-9999,-9999,-9999,30244274,2.13000,0.72000
10.77500,7.42500,Kaduna,0,0.00010,89.00000,0.00030,185.00000,0.00090,354.00000,0.00170,559.00000,-8.87700,0.28600,-8.97100,0.41900,-8.69400,0.26000,-8.86400,0.29100,-8.71300,0.29600,-8.66900,0.47100,-8.51300,0.24100,-8.81400,0.46000,-9.94800,0.22800,-10.13700,0.31000,-10.13300,0.33200,-10.01200,0.34000,-10.17800,0.24900,-10.13600,0.28500,-10.17400,0.29200,-10.30800,0.26600,-10.30100,0.28300,-10.29700,0.38400,-10.33800,0.29300,-8.81600,0.37700,-9.00100,0.55200,-8.86800,0.45800,-8.67400,0.38000,-8.77700,0.38600,-8.54800,0.40400,-8.70900,0.40800,-8.80400,0.43000,-8.95800,0.68600,-8.65900,0.36600,-8.74900,0.39200,-8.59800,0.41900,-8.58700,0.40200,-8.57800,0.40900,0,-9999,-9999,-9999,30244274,2.03000,0.66000
10.77500,7.47500,Kaduna,0,0.00090,241.00000,0.00160,379.00000,0.00340,623.00000,0.00540,951.00000,-8.86500,0.29000,-8.96000,0.40900,-8.68100,0.26300,-8.83700,0.28300,-8.69500,0.29500,-8.63500,0.46300,-8.48300,0.23200,-8.78000,0.44700,-9.98400,0.23800,-10.18200,0.32400,-10.19400,0.34600,-10.06000,0.35800,-10.23200,0.25000,-10.20100,0.29800,-10.22300,0.30900,-10.35700,0.30200,-10.35200,0.29300,-10.33800,0.40100,-10.36000,0.29600,-8.80800,0.41700,-8.94700,0.59300,-8.81300,0.44200,-8.63600,0.36800,-8.74000,0.40800,-8.50100,0.38600,-8.66800,0.39600,-8.73100,0.43500,-8.89700,0.71100,-8.58000,0.37200,-8.61500,0.40300,-8.45300,0.38600,-8.45200,0.44000,-8.43900,0.39300,0,-9999,-9999,-9999,30244274,1.88000,0.63000
10.77500,7.52500,Kaduna,1,0.00890,1965.00000,0.02060,5092.00000,0.02740,6739.00000,0.03930,9211.00000,-8.86300,0.28700,-8.94800,0.39100,-8.66600,0.26300,-8.82300,0.29800,-8.68600,0.30700,-8.61500,0.46100,-8.47100,0.22200,-8.76400,0.42800,-9.99400,0.25100,-10.20400,0.36000,-10.24300,0.36400,-10.10600,0.38500,-10.26700,0.23900,-10.24600,0.33100,-10.27300,0.29500,-10.38100,0.32600,-10.40600,0.29700,-10.36600,0.39700,-10.37500,0.30000,-8.79800,0.45300,-8.88300,0.61600,-8.74600,0.43000,-8.56500,0.37300,-8.69300,0.41400,-8.45400,0.34300,-8.63700,0.38900,-8.63500,0.45300,-8.83800,0.72300,-8.51900,0.39000,-8.52200,0.40300,-8.34300,0.34500,-8.33400,0.46200,-8.32600,0.37200,0,-9999,-9999,-9999,30244274,1.44000,0.52000
10.77500,7.57500,Kaduna,0,0.00490,453.00000,0.00870,772.00000,0.01080,935.00000,0.01550,1174.00000,-8.86200,0.28400,-8.94100,0.38400,-8.65800,0.26300,-8.81600,0.30700,-8.68100,0.31300,-8.60400,0.45900,-8.46300,0.21700,-8.75600,0.41800,-10.00400,0.23900,-10.20200,0.37500,-10.27000,0.36400,-10.10600,0.40700,-10.29100,0.26100,-10.25200,0.34200,-10.30100,0.27800,-10.39600,0.34000,-10.43900,0.29200,-10.37200,0.36900,-10.39800,0.33500,-8.80100,0.48000,-8.84200,0.60300,-8.71700,0.42900,-8.51900,0.38300,-8.65100,0.39500,-8.44800,0.31400,-8.64800,0.38900,-8.60300,0.46300,-8.84100,0.73400,-8.50600,0.39200,-8.51000,0.39100,-8.35100,0.32100,-8.31600,0.44500,-8.32800,0.37800,0,-9999,-9999,-9999,30244274,2.01000,0.58000
10.77500,7.62500,Kaduna,0,0.00060,81.00000,0.00100,220.00000,0.00170,416.00000,0.00270,701.00000,-8.89100,0.27400,-8.95100,0.37700,-8.63800,0.26700,-8.82500,0.33100,-8.69400,0.34000,-8.60200,0.46300,-8.46800,0.19900,-8.76300,0.37400,-9.98800,0.23100,-10.18500,0.38800,-10.26800,0.37200,-10.10300,0.40600,-10.30000,0.31300,-10.26700,0.32700,-10.30700,0.24700,-10.37800,0.32500,-10.45300,0.27800,-10.35500,0.33000,-10.41400,0.37700,-8.80900,0.47600,-8.81100,0.54700,-8.71700,0.42500,-8.51000,0.38400,-8.63600,0.39200,-8.47200,0.28800,-8.66100,0.38400,-8.63800,0.46100,-8.91000,0.78900,-8.53200,0.37400,-8.57900,0.38400,-8.40300,0.29600,-8.36700,0.40900,-8.45000,0.39600,0,-9999,-9999,-9999,30244274,2.02000,0.57000
