latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
19.52500,72.92500,Kalyan,0,0.00040,0.00000,0.00130,39.00000,0.00390,2703.00000,0.00550,4905.00000,-8.28900,0.37000,-8.19300,0.36900,-8.29700,0.26800,-8.23800,0.24300,-8.14700,0.19300,-8.06200,0.21000,-8.01300,0.31300,-7.97900,0.31400,-9.47500,0.22200,-9.47500,0.30100,-9.33300,0.27200,-9.31200,0.20100,-9.45300,0.16200,-9.42500,0.24800,-9.48900,0.30300,-9.31600,0.23200,-9.35300,0.24700,-9.40700,0.35000,-9.45300,0.27400,-7.40200,0.19700,-7.43000,0.28600,-7.65100,0.20300,-7.28800,0.24800,-7.17900,0.30100,-7.24900,0.25000,-7.22400,0.22000,-7.31900,0.25200,-7.53700,0.29800,-7.29600,0.22700,-7.17500,0.25600,-7.13900,0.49500,-7.01600,0.20700,-7.08900,0.27200,0,-9999,-9999,-9999,29046542,9.30000,3.70000
19.52500,72.97500,Kalyan,0,0.00000,0.00000,0.00010,0.00000,0.00060,0.00000,0.00140,474.00000,-8.12800,0.36800,-8.06900,0.36500,-8.13100,0.25900,-8.11100,0.23700,-8.03200,0.19400,-7.90200,0.21400,-7.89400,0.29100,-7.86100,0.32000,-9.40800,0.25300,-9.39100,0.33400,-9.26200,0.26800,-9.28200,0.17600,-9.45100,0.20900,-9.37100,0.25200,-9.43700,0.33100,-9.29300,0.27500,-9.29400,0.29100,-9.34300,0.35100,-9.43200,0.27800,-7.35700,0.19800,-7.39400,0.28800,-7.61800,0.19500,-7.28100,0.22600,-7.14900,0.29600,-7.19400,0.23300,-7.19000,0.21100,-7.30500,0.24200,-7.51200,0.27800,-7.29000,0.21100,-7.15000,0.23000,-7.11900,0.46000,-6.97900,0.19200,-7.02600,0.28300,0,-9999,-9999,-9999,29046542,10.57000,3.96000
19.52500,73.02500,Kalyan,0,0.00000,0.00000,0.00070,5719.00000,0.00220,2777.00000,0.00580,2276.00000,-7.76300,0.27600,-7.82600,0.29200,-7.79500,0.23300,-7.91000,0.30200,-7.80100,0.22300,-7.56600,0.23200,-7.68500,0.25700,-7.64200,0.34800,-9.50700,0.26700,-9.45900,0.34100,-9.36600,0.27500,-9.40000,0.16800,-9.57000,0.22000,-9.44600,0.21600,-9.53300,0.35100,-9.38900,0.29500,-9.37200,0.29600,-9.41200,0.36800,-9.59600,0.28900,-7.38200,0.21000,-7.41400,0.28400,-7.64600,0.18900,-7.31600,0.22000,-7.17600,0.29900,-7.20300,0.21800,-7.20900,0.21500,-7.33600,0.25400,-7.53500,0.26700,-7.30800,0.20200,-7.18200,0.21700,-7.14500,0.45400,-6.98000,0.19000,-7.01600,0.28200,0,-9999,-9999,-9999,29046542,9.25000,3.67000
19.52500,73.07500,Kalyan,2,0.00010,7512.00000,0.00090,23294.00000,0.01150,57629.00000,0.03140,67447.00000,-7.73800,0.27000,-7.81200,0.28000,-7.77500,0.23300,-7.90300,0.32100,-7.78800,0.22700,-7.54200,0.23300,-7.67700,0.25100,-7.64000,0.35300,-9.56300,0.26600,-9.49700,0.32600,-9.48800,0.24700,-9.54100,0.18900,-9.67100,0.24100,-9.52600,0.19300,-9.64200,0.34600,-9.47200,0.29800,-9.45000,0.29400,-9.50100,0.36200,-9.74000,0.28100,-7.43800,0.22900,-7.44700,0.27800,-7.68600,0.18700,-7.33900,0.22100,-7.21700,0.29500,-7.24400,0.21300,-7.25200,0.22500,-7.37600,0.27300,-7.56400,0.26300,-7.34500,0.20800,-7.23000,0.21100,-7.18600,0.42400,-7.00700,0.17900,-7.03000,0.28400,0,-9999,-9999,-9999,29046542,6.36000,2.96000
19.52500,73.12500,Kalyan,2,0.00020,3616.00000,0.00150,12948.00000,0.01660,53479.00000,0.04090,62325.00000,-7.64500,0.23300,-7.77200,0.23600,-7.71600,0.22600,-7.89300,0.39200,-7.76200,0.22800,-7.47300,0.23300,-7.67600,0.22200,-7.66400,0.36800,-9.53800,0.23800,-9.50200,0.29400,-9.54000,0.19400,-9.62600,0.21300,-9.70300,0.25700,-9.55000,0.17600,-9.70300,0.35200,-9.49000,0.29600,-9.46500,0.27300,-9.53200,0.34500,-9.83000,0.29100,-7.44400,0.23700,-7.46200,0.27900,-7.69400,0.17400,-7.33600,0.21800,-7.23200,0.29000,-7.27900,0.21600,-7.27700,0.23700,-7.38400,0.28500,-7.57500,0.26700,-7.35700,0.22000,-7.25000,0.20900,-7.20700,0.40700,-7.04200,0.18700,-7.05500,0.28300,0,-9999,-9999,-9999,29046542,5.49000,2.62000
19.52500,73.17500,Kalyan,0,0.00000,0.00000,0.00020,0.00000,0.00210,0.00000,0.00720,1063.00000,-7.69000,0.21300,-7.80900,0.21800,-7.77300,0.22100,-7.94200,0.40800,-7.82200,0.21600,-7.51700,0.23000,-7.74000,0.20300,-7.76100,0.36500,-9.45500,0.21400,-9.45200,0.26200,-9.49900,0.17700,-9.61300,0.22200,-9.64300,0.27300,-9.51200,0.19400,-9.69300,0.34000,-9.46500,0.31100,-9.41000,0.25600,-9.47900,0.32000,-9.80800,0.29300,-7.41700,0.24000,-7.44500,0.29300,-7.67600,0.17400,-7.31900,0.21500,-7.23000,0.28600,-7.28500,0.21800,-7.27200,0.24200,-7.37000,0.29100,-7.55800,0.27000,-7.34400,0.22600,-7.24500,0.21600,-7.20100,0.41000,-7.04600,0.21400,-7.06900,0.29400,0,-9999,-9999,-9999,29046542,6.77000,3.18000
19.52500,73.22500,Kalyan,0,0.00000,0.00000,0.00000,0.00000,0.00020,10.00000,0.00100,227.00000,-7.74100,0.19400,-7.85200,0.19900,-7.83800,0.21600,-7.99400,0.42800,-7.88900,0.20300,-7.56700,0.22600,-7.81200,0.18100,-7.86800,0.35900,-9.36400,0.21100,-9.37800,0.24800,-9.42100,0.20000,-9.54700,0.23600,-9.56100,0.27500,-9.46600,0.20800,-9.63900,0.32800,-9.41700,0.32400,-9.34200,0.24500,-9.40000,0.31100,-9.72600,0.29500,-7.37700,0.24600,-7.40800,0.31900,-7.65300,0.19000,-7.29400,0.21400,-7.22100,0.28400,-7.27900,0.22500,-7.26200,0.24400,-7.34900,0.29900,-7.51100,0.28900,-7.29900,0.20900,-7.22700,0.23400,-7.18300,0.41200,-7.03100,0.23700,-7.07000,0.30300,0,-9999,-9999,-9999,29046542,8.03000,3.57000
19.52500,73.27500,Kalyan,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-7.81600,0.15800,-7.92000,0.19600,-7.92200,0.19600,-8.06800,0.40900,-7.98000,0.19000,-7.62200,0.21100,-7.89900,0.16100,-8.00400,0.34100,-9.32200,0.22500,-9.33100,0.24400,-9.34300,0.21900,-9.48100,0.25500,-9.49600,0.25700,-9.44100,0.19500,-9.58000,0.30400,-9.38700,0.29600,-9.30000,0.25300,-9.35800,0.31900,-9.66400,0.30800,-7.37600,0.25400,-7.40600,0.34800,-7.68200,0.21900,-7.31600,0.22000,-7.27500,0.28200,-7.30200,0.23400,-7.29800,0.25700,-7.34700,0.28400,-7.51700,0.29000,-7.29900,0.20800,-7.26300,0.28100,-7.20100,0.42800,-7.05000,0.23800,-7.10300,0.31100,0,-9999,-9999,-9999,29046542,9.09000,3.90000
19.52500,73.32500,Kalyan,1,0.00010,1521.00000,0.00050,1443.00000,0.00260,9497.00000,0.00560,22032.00000,-7.83900,0.15000,-7.94100,0.19300,-7.94800,0.19100,-8.08700,0.40500,-8.00800,0.18600,-7.63900,0.20700,-7.92400,0.15300,-8.04500,0.33300,-9.35600,0.24000,-9.33100,0.24000,-9.31300,0.22600,-9.44700,0.29000,-9.47800,0.22000,-9.44800,0.19600,-9.54500,0.29800,-9.40400,0.27600,-9.31800,0.27000,-9.35100,0.33900,-9.63900,0.29000,-7.47800,0.26300,-7.53600,0.38500,-7.80200,0.25500,-7.52400,0.24700,-7.42800,0.29200,-7.40600,0.21600,-7.44100,0.27700,-7.43000,0.26500,-7.64200,0.31000,-7.44600,0.24700,-7.42400,0.29800,-7.42400,0.48300,-7.22700,0.22100,-7.34200,0.38900,0,-9999,-9999,-9999,29046542,5.76000,2.94000
19.52500,73.37500,Kalyan,0,0.00000,0.00000,0.00020,788.00000,0.00140,4383.00000,0.00480,10688.00000,-7.87200,0.10400,-7.95900,0.21800,-7.97400,0.16500,-8.14500,0.35200,-8.06400,0.19600,-7.64400,0.18200,-7.96600,0.14800,-8.12800,0.31500,-9.44400,0.25800,-9.38900,0.23300,-9.34700,0.23700,-9.45400,0.29100,-9.54100,0.23900,-9.48900,0.21100,-9.53600,0.28000,-9.49200,0.25900,-9.39600,0.28500,-9.39900,0.32600,-9.67000,0.25400,-7.67100,0.26300,-7.72600,0.39300,-8.00900,0.23900,-7.76700,0.25500,-7.63200,0.29500,-7.60500,0.18000,-7.64600,0.29500,-7.62300,0.29700,-7.79300,0.30400,-7.62800,0.25000,-7.67300,0.30300,-7.69100,0.48300,-7.43700,0.25100,-7.63400,0.40700,1,-9999,-9999,-9999,29046542,5.62000,2.79000
