latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
26.72500,80.07500,Kanpur,0,0.00040,55924.00000,0.00230,56343.00000,0.00360,37436.00000,0.00710,25062.00000,-10.23100,0.88100,-9.68100,0.67100,-10.08000,1.12900,-9.98500,1.13200,-9.65500,0.62200,-9.93300,0.55800,-9.53800,0.96000,-9.45100,0.35600,-11.79800,0.35800,-11.83600,0.41400,-11.98000,0.60600,-12.78800,0.90900,-11.97700,0.79900,-12.23300,0.43100,-11.96000,0.46600,-12.27600,0.49900,-12.22400,0.79400,-11.70800,0.47800,-12.40800,0.81700,-10.05700,0.81300,-9.27500,0.40100,-10.18000,0.90200,-9.81900,0.79100,-9.50900,0.38700,-9.54600,0.80900,-9.51700,0.43700,-10.37000,0.75600,-9.94400,0.56200,-9.41500,0.33600,-9.44600,0.36700,-9.66700,0.96000,-9.40100,0.42800,-9.51800,0.58100,0,-9999.00000,-9999.00000,-9999.00000,27559968,3.03000,1.21000
26.72500,80.12500,Kanpur,0,0.00010,0.00000,0.00080,0.00000,0.00130,129.00000,0.00370,6002.00000,-10.11700,0.86600,-9.59600,0.61700,-9.95300,1.13700,-9.96100,1.12300,-9.50800,0.59900,-9.88100,0.48700,-9.49400,0.92500,-9.39700,0.29100,-11.77400,0.32300,-11.78100,0.37400,-11.93000,0.57100,-12.79500,0.92400,-11.91600,0.79500,-12.15900,0.39400,-11.90300,0.45100,-12.20200,0.48800,-12.12400,0.79600,-11.68200,0.41200,-12.35400,0.79200,-10.05400,0.82600,-9.31000,0.38600,-10.21000,0.86400,-9.93500,0.74300,-9.62800,0.41100,-9.56800,0.80700,-9.52800,0.38000,-10.35900,0.75000,-9.92600,0.57500,-9.42000,0.32700,-9.40200,0.32900,-9.67800,0.89500,-9.33200,0.44900,-9.50800,0.55800,0,-9999.00000,-9999.00000,-9999.00000,27559968,3.01000,1.30000
26.72500,80.17500,Kanpur,1,0.00000,0.00000,0.00000,0.00000,0.00020,2215.00000,0.00300,17039.00000,-10.10500,0.86400,-9.58400,0.61000,-9.93900,1.13700,-9.95100,1.11800,-9.49000,0.59500,-9.87000,0.48100,-9.48300,0.92200,-9.39200,0.28700,-11.70500,0.31500,-11.72000,0.34100,-11.87900,0.53500,-12.78200,0.95100,-11.82400,0.80400,-12.05700,0.39000,-11.82600,0.41000,-12.09600,0.49800,-12.02300,0.80200,-11.61900,0.35200,-12.24800,0.76600,-9.99600,0.82300,-9.36100,0.34200,-10.19500,0.83900,-9.96600,0.74900,-9.66700,0.43200,-9.57800,0.82600,-9.52000,0.34100,-10.32000,0.75000,-9.90000,0.57200,-9.41700,0.32800,-9.36400,0.31900,-9.70200,0.85200,-9.23200,0.50100,-9.45700,0.49600,0,-9999.00000,-9999.00000,-9999.00000,27559968,2.69000,1.29000
26.72500,80.22500,Kanpur,0,0.00000,0.00000,0.00000,0.00000,0.00020,3232.00000,0.00080,4120.00000,-9.97900,0.83500,-9.52300,0.54600,-9.83500,1.13100,-9.70700,0.89100,-9.35000,0.55900,-9.80200,0.41200,-9.43700,0.86600,-9.34800,0.24900,-11.60900,0.32800,-11.64000,0.32300,-11.79300,0.51600,-12.70100,0.96500,-11.71100,0.78900,-11.94000,0.40200,-11.73900,0.38900,-11.97300,0.48500,-11.90300,0.78100,-11.53900,0.30700,-12.12500,0.76300,-9.88300,0.77400,-9.34300,0.33200,-10.07200,0.80000,-9.94700,0.73700,-9.62300,0.42000,-9.52300,0.82600,-9.45400,0.32400,-10.16700,0.70500,-9.83500,0.55400,-9.36200,0.33400,-9.26800,0.32600,-9.65100,0.84000,-9.13300,0.50900,-9.34800,0.45100,0,-9999.00000,-9999.00000,-9999.00000,27559968,3.04000,1.39000
26.72500,80.27500,Kanpur,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-9.95100,0.82400,-9.50700,0.52500,-9.81400,1.12000,-9.66500,0.88800,-9.31600,0.54700,-9.77900,0.40300,-9.41500,0.85700,-9.33800,0.24700,-11.49200,0.32600,-11.55400,0.31500,-11.69600,0.47800,-12.57300,0.96400,-11.58800,0.78300,-11.79900,0.41700,-11.64800,0.35100,-11.84800,0.47300,-11.79000,0.76300,-11.46000,0.31100,-11.97900,0.75300,-9.72400,0.73800,-9.25100,0.32500,-9.84600,0.74800,-9.83100,0.76400,-9.49300,0.36300,-9.35800,0.81000,-9.29900,0.34600,-9.88300,0.68600,-9.63900,0.49600,-9.23400,0.33500,-9.16200,0.32600,-9.49600,0.82700,-8.98500,0.47400,-9.21100,0.40800,0,-9999.00000,-9999.00000,-9999.00000,27559968,3.21000,1.35000
26.72500,80.32500,Kanpur,0,0.00030,280584.00000,0.00120,363356.00000,0.00420,177609.00000,0.00880,155507.00000,-9.87600,0.79200,-9.47100,0.46700,-9.76400,1.09000,-9.55000,0.88300,-9.22900,0.51700,-9.72600,0.37500,-9.36900,0.83100,-9.30900,0.24100,-11.37800,0.33000,-11.47300,0.33800,-11.58500,0.44700,-12.40600,0.92100,-11.47900,0.75300,-11.67800,0.42600,-11.55100,0.32600,-11.76700,0.46700,-11.68300,0.71100,-11.38900,0.33800,-11.84000,0.73200,-9.51000,0.69100,-9.11600,0.34700,-9.61600,0.70100,-9.54600,0.83700,-9.26400,0.32800,-9.12500,0.79600,-9.10000,0.37400,-9.58600,0.64100,-9.45600,0.47300,-9.08100,0.31300,-9.05100,0.32900,-9.18200,0.76000,-8.85400,0.44500,-9.06400,0.42900,0,-9999.00000,-9999.00000,-9999.00000,27559968,3.40000,1.35000
26.72500,80.37500,Kanpur,0,0.00050,1074.00000,0.00190,82253.00000,0.00650,64630.00000,0.01370,43782.00000,-9.84600,0.76900,-9.45800,0.44000,-9.75000,1.05700,-9.51600,0.88300,-9.20000,0.50000,-9.69300,0.37700,-9.35100,0.84100,-9.29700,0.24400,-11.31000,0.31400,-11.39100,0.35700,-11.49200,0.43400,-12.23400,0.87600,-11.39200,0.70900,-11.59600,0.43100,-11.47100,0.31600,-11.71500,0.45600,-11.59500,0.63700,-11.35000,0.35600,-11.71400,0.72100,-9.37600,0.67600,-8.99500,0.38800,-9.44700,0.66700,-9.28100,0.89500,-9.01500,0.33100,-8.98600,0.75600,-8.97600,0.37500,-9.43200,0.59700,-9.32900,0.46700,-8.95500,0.33000,-8.99000,0.32500,-8.96700,0.74000,-8.78700,0.43200,-8.98500,0.45000,0,-9999.00000,-9999.00000,-9999.00000,27559968,5.74000,2.25000
26.72500,80.42500,Kanpur,0,0.00000,0.00000,0.00000,0.00000,0.00000,463.00000,0.00010,1012.00000,-9.81400,0.74400,-9.44600,0.41100,-9.73600,1.02100,-9.48100,0.88300,-9.17100,0.48200,-9.66100,0.37900,-9.33700,0.85400,-9.28400,0.24800,-11.27600,0.31600,-11.31500,0.38100,-11.41000,0.42600,-12.07600,0.83600,-11.33000,0.65900,-11.54000,0.42200,-11.39500,0.30700,-11.70300,0.43300,-11.51000,0.55800,-11.32900,0.36100,-11.62000,0.69400,-9.32700,0.68300,-8.94500,0.40900,-9.35900,0.67100,-9.18300,0.93800,-8.92000,0.35100,-8.92400,0.68600,-8.91600,0.37900,-9.37800,0.58800,-9.29400,0.45900,-8.89300,0.33900,-8.95000,0.32000,-8.90300,0.74600,-8.77000,0.42400,-8.95700,0.46000,0,-9999.00000,-9999.00000,-9999.00000,27559968,3.66000,1.44000
26.72500,80.47500,Kanpur,0,0.00000,15366.00000,0.00010,9971.00000,0.00040,15596.00000,0.00060,13918.00000,-9.79500,0.70000,-9.45000,0.39100,-9.74400,0.95900,-9.45500,0.85800,-9.16900,0.45700,-9.61000,0.39800,-9.34400,0.88900,-9.26600,0.25500,-11.26300,0.31100,-11.25400,0.38700,-11.35200,0.42400,-11.94900,0.78600,-11.28700,0.59700,-11.50400,0.39700,-11.32500,0.28800,-11.69500,0.41400,-11.42600,0.49800,-11.32200,0.37300,-11.56100,0.65600,-9.27100,0.68700,-8.92000,0.41100,-9.29100,0.67500,-9.16200,0.95700,-8.87000,0.35500,-8.90500,0.66100,-8.87700,0.38400,-9.32800,0.56700,-9.29800,0.45600,-8.85800,0.34100,-8.91000,0.31200,-8.89800,0.77600,-8.76900,0.43700,-8.92900,0.46100,0,-9999.00000,-9999.00000,-9999.00000,27559968,3.52000,1.38000
26.72500,80.52500,Kanpur,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,-9.78600,0.68100,-9.45200,0.38200,-9.74700,0.93200,-9.44400,0.84700,-9.16900,0.44600,-9.58700,0.40700,-9.34800,0.90400,-9.25800,0.25800,-11.24300,0.29300,-11.20600,0.38500,-11.32200,0.42800,-11.86100,0.75100,-11.23900,0.53800,-11.44700,0.36700,-11.27200,0.27800,-11.65900,0.38400,-11.35200,0.45500,-11.32200,0.37800,-11.48700,0.62900,-9.15700,0.59800,-8.88100,0.39000,-9.21900,0.66100,-9.10600,0.91600,-8.81800,0.33200,-8.87400,0.65800,-8.81300,0.35800,-9.27900,0.53200,-9.27800,0.44800,-8.82600,0.34100,-8.85800,0.30700,-8.87300,0.76100,-8.75500,0.45100,-8.87100,0.44200,0,-9999.00000,-9999.00000,-9999.00000,27559968,4.17000,1.55000
