latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
22.87500,120.02500,Kaohsiung,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,28410010,-9999.00000,-9999.00000
22.87500,120.07500,Kaohsiung,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999.00000,-9999.00000,-9999.00000,28410010,-9999.00000,-9999.00000
22.87500,120.12500,Kaohsiung,0,0.00040,0.00000,0.00040,0.00000,0.00050,0.00000,0.00050,0.00000,-9.68100,0.47400,-9.47800,0.95200,-9.62200,0.75100,-9.22000,1.03200,-9.06400,0.60200,-9.14100,0.44700,-8.69800,1.06500,-8.60500,0.79200,-11.47300,0.96300,-11.39000,0.87000,-11.17700,0.73800,-11.17200,0.77300,-11.71200,0.46400,-11.14100,0.68900,-10.82700,0.84700,-10.76000,0.87900,-10.29900,0.97700,-10.48000,0.73500,-10.95500,0.72900,-9.00600,0.99000,-9.27300,1.04000,-9.52400,0.84900,-8.91200,0.87600,-8.95600,0.94700,-8.79200,0.97200,-9.05500,0.91100,-8.69400,0.83600,-8.51400,1.06500,-8.17600,1.00400,-8.63400,0.62900,-7.93400,1.67600,-7.72600,1.09200,-7.96200,0.99900,100,-9999.00000,-9999.00000,-9999.00000,28410010,-9999.00000,-9999.00000
22.87500,120.17500,Kaohsiung,1,0.05020,13571.00000,0.05020,16708.00000,0.05610,17648.00000,0.06350,18299.00000,-9.62900,0.46500,-9.40600,0.94700,-9.56200,0.73400,-9.16000,0.99800,-9.00400,0.58700,-9.08300,0.44000,-8.63600,1.06100,-8.52900,0.79300,-10.97600,0.92400,-10.87300,0.81600,-10.67600,0.70300,-10.68200,0.72100,-11.15700,0.45600,-10.62000,0.65300,-10.34000,0.79000,-10.25100,0.83100,-9.79500,0.92800,-9.96800,0.65400,-10.36900,0.74000,-8.40700,0.98200,-8.64100,1.04500,-8.76200,0.87900,-8.18100,0.89800,-8.32100,0.96600,-8.03800,0.96900,-8.28300,0.91700,-8.04600,0.83200,-7.86300,1.06400,-7.48700,0.99000,-7.90800,0.69600,-7.15400,1.57000,-6.99500,1.11200,-7.14300,1.02200,92,-9999.00000,-9999.00000,-9999.00000,28410010,4.99000,3.50000
22.87500,120.22500,Kaohsiung,2,0.15860,19119.00000,0.15860,23539.00000,0.19520,27127.00000,0.22220,27974.00000,-9.12800,0.41200,-8.91300,0.91800,-8.98000,0.64000,-8.65600,0.96400,-8.51600,0.53600,-8.57600,0.43000,-8.11700,1.04700,-8.03800,0.73600,-9.44800,0.79500,-9.27100,0.65400,-9.13600,0.59000,-9.13600,0.57200,-9.45300,0.41200,-9.00000,0.52800,-8.80300,0.62900,-8.67100,0.69200,-8.26600,0.78100,-8.39800,0.44600,-8.65100,0.65300,-6.63800,0.88400,-6.75000,0.99000,-6.68000,0.86200,-6.23200,0.91800,-6.51800,0.95900,-6.09200,1.00400,-6.24200,0.88900,-6.21000,0.87900,-6.01500,1.04800,-5.68300,0.91900,-5.95100,0.93900,-5.11500,1.22900,-5.07500,1.19000,-5.17300,1.17000,17,-9999.00000,-9999.00000,-9999.00000,28410010,8.19000,4.02000
22.87500,120.27500,Kaohsiung,2,0.20310,33125.00000,0.20310,40771.00000,0.26530,40455.00000,0.29550,39694.00000,-8.29600,0.32600,-8.10400,0.87000,-8.01200,0.48700,-7.82400,0.92400,-7.71200,0.45600,-7.73700,0.41800,-7.25900,1.02400,-7.23400,0.63700,-8.62200,0.68300,-8.41400,0.56200,-8.33100,0.54500,-8.32900,0.52300,-8.59200,0.35900,-8.16500,0.43000,-8.03100,0.56200,-7.86500,0.60000,-7.55200,0.69300,-7.65400,0.39300,-7.89600,0.54600,-6.09700,0.80300,-6.16900,0.89200,-6.15000,0.77700,-5.78800,0.88400,-5.98200,0.90500,-5.71600,1.05200,-5.83700,0.81200,-5.70600,0.95000,-5.51800,0.99900,-5.31600,0.87400,-5.49300,1.01900,-4.69100,1.11700,-4.69200,1.23300,-4.93000,1.24000,0,-9999.00000,-9999.00000,-9999.00000,28410010,6.94000,3.42000
22.87500,120.32500,Kaohsiung,2,0.07640,20467.00000,0.07640,25192.00000,0.10690,25769.00000,0.11650,25184.00000,-7.85700,0.28700,-7.66200,0.76500,-7.55000,0.38300,-7.42900,0.81400,-7.26800,0.43300,-7.32700,0.37700,-6.85900,0.91200,-6.85000,0.59500,-8.22900,0.59600,-8.02900,0.47800,-7.96500,0.50000,-8.00100,0.49200,-8.19700,0.32100,-7.84200,0.39500,-7.77400,0.49200,-7.58100,0.52300,-7.32200,0.61600,-7.42300,0.38300,-7.66100,0.53000,-6.09700,0.78500,-6.15200,0.86200,-6.14800,0.75000,-5.83400,0.84900,-6.01800,0.86200,-5.75500,1.00300,-5.91300,0.73800,-5.74700,0.91000,-5.64900,0.93300,-5.37000,0.84800,-5.60200,0.94900,-4.81100,1.08700,-4.78900,1.17500,-5.10800,1.08700,0,-9999.00000,-9999.00000,-9999.00000,28410010,9.85000,4.47000
22.87500,120.37500,Kaohsiung,1,0.01220,3162.00000,0.01220,3893.00000,0.01640,4963.00000,0.01760,4229.00000,-7.48200,0.25300,-7.28200,0.67400,-7.15400,0.29300,-7.09000,0.72000,-6.88700,0.41400,-6.97600,0.34200,-6.51600,0.81700,-6.52000,0.55900,-8.17300,0.52500,-8.04800,0.43300,-7.97000,0.46700,-8.05500,0.47900,-8.19000,0.30400,-7.92000,0.38300,-7.89400,0.43100,-7.69900,0.48400,-7.50600,0.55300,-7.60300,0.38400,-7.86700,0.50100,-6.32100,0.74100,-6.30800,0.74900,-6.36800,0.72000,-6.17700,0.74000,-6.31200,0.74700,-6.07100,0.94500,-6.20200,0.65000,-6.01500,0.83500,-6.06700,0.82200,-5.73100,0.74900,-6.04200,0.84000,-5.30700,0.96100,-5.22000,1.00600,-5.67400,0.94600,0,-9999.00000,-9999.00000,-9999.00000,28410010,27.61000,6.75000
22.87500,120.42500,Kaohsiung,0,0.00030,93.00000,0.00030,115.00000,0.00060,53.00000,0.00090,351.00000,-7.25700,0.22200,-6.98000,0.57500,-6.94100,0.21800,-6.90900,0.54100,-6.62300,0.41000,-6.76100,0.25100,-6.34800,0.61300,-6.36200,0.51800,-8.33000,0.43800,-8.31300,0.40000,-8.21300,0.42900,-8.34500,0.47000,-8.41900,0.28000,-8.23600,0.36500,-8.25800,0.35800,-8.05500,0.42400,-7.94200,0.48700,-8.02700,0.38200,-8.30000,0.46700,-6.59400,0.64500,-6.60200,0.59900,-6.69200,0.66200,-6.56900,0.61500,-6.75300,0.58300,-6.50800,0.78200,-6.55400,0.55800,-6.41400,0.73800,-6.50700,0.69900,-6.27700,0.61600,-6.48700,0.72600,-5.89200,0.82800,-5.81700,0.84900,-6.26800,0.80800,0,-9999.00000,-9999.00000,-9999.00000,28410010,36.30000,7.44000
22.87500,120.47500,Kaohsiung,1,0.02430,22128.00000,0.02430,27242.00000,0.02720,29468.00000,0.02940,27740.00000,-7.17400,0.20800,-6.86600,0.53100,-6.86200,0.19000,-6.84600,0.45700,-6.52200,0.40400,-6.68800,0.21100,-6.30000,0.52200,-6.31600,0.50000,-8.56500,0.35700,-8.61700,0.38400,-8.51200,0.37300,-8.70300,0.45200,-8.74200,0.27300,-8.64300,0.32800,-8.72700,0.31700,-8.52600,0.37000,-8.46900,0.42900,-8.53400,0.34000,-8.81500,0.40800,-6.75000,0.56900,-6.81500,0.54000,-6.93000,0.57100,-6.80900,0.53700,-6.97200,0.48000,-6.83400,0.60800,-6.81700,0.48700,-6.68800,0.64600,-6.81800,0.60100,-6.56300,0.52600,-6.78800,0.64100,-6.34100,0.69200,-6.26600,0.73300,-6.64600,0.68400,0,-9999.00000,-9999.00000,-9999.00000,28410010,25.95000,6.58000
