latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
36.07500,50.72500,Karaj,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00020,0.00000,-9.42100,0.12000,-9.49000,0.13800,-9.40700,0.10200,-9.53300,0.22700,-9.41900,0.14800,-9.14600,0.26300,-9.40500,0.10600,-9.34400,0.16600,-10.77800,0.20000,-10.60300,0.23300,-10.70500,0.21000,-10.51300,0.24600,-10.67200,0.17800,-10.66200,0.22000,-10.74100,0.20300,-10.49200,0.20300,-10.66700,0.24800,-10.49000,0.25200,-10.56400,0.26600,-8.98800,0.21200,-8.84500,0.18200,-8.75700,0.35100,-8.81100,0.21500,-8.74700,0.28500,-8.68900,0.22900,-8.69900,0.25500,-8.55700,0.27400,-8.54100,0.22800,-8.54400,0.24300,-8.44800,0.21800,-8.49300,0.43800,-8.49700,0.28300,-8.57200,0.28000,0,-9999,-9999,-9999,24987788,1.02000,0.52000
36.07500,50.77500,Karaj,0,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,0.00010,0.00000,-9.06700,0.11000,-9.10100,0.14000,-9.04300,0.10500,-9.19600,0.12300,-9.03100,0.13600,-8.76100,0.27900,-9.03100,0.08700,-8.95800,0.17100,-10.64200,0.19100,-10.45400,0.22000,-10.58100,0.21700,-10.39900,0.24500,-10.52100,0.20400,-10.51100,0.23500,-10.60100,0.20400,-10.34400,0.19800,-10.53600,0.24500,-10.37000,0.26100,-10.45200,0.26300,-8.76200,0.21600,-8.68400,0.17800,-8.58500,0.34300,-8.69200,0.19100,-8.64300,0.30100,-8.59500,0.21500,-8.60400,0.24300,-8.45700,0.24700,-8.44400,0.20900,-8.43600,0.22700,-8.33100,0.19300,-8.40800,0.36200,-8.40800,0.26500,-8.43000,0.28100,0,-9999,-9999,-9999,24987788,1.17000,0.63000
36.07500,50.82500,Karaj,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.96500,0.11000,-8.98500,0.14100,-8.94000,0.10800,-9.09300,0.10700,-8.91700,0.13000,-8.65100,0.28100,-8.92700,0.08000,-8.84700,0.17500,-10.47500,0.18900,-10.28900,0.23600,-10.44400,0.25000,-10.27000,0.25800,-10.35600,0.22300,-10.35900,0.26800,-10.44100,0.20300,-10.18600,0.19700,-10.39300,0.24500,-10.25700,0.26600,-10.31600,0.26900,-8.49800,0.21500,-8.42500,0.17000,-8.36000,0.37100,-8.50400,0.18000,-8.48700,0.29400,-8.48800,0.20500,-8.50800,0.21100,-8.38100,0.22800,-8.35700,0.18000,-8.34900,0.19400,-8.26200,0.17000,-8.31400,0.35100,-8.33600,0.26600,-8.29300,0.25900,0,-9999,-9999,-9999,24987788,1.09000,0.63000
36.07500,50.87500,Karaj,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.77900,0.10700,-8.76400,0.14600,-8.73900,0.11800,-8.88700,0.10500,-8.68700,0.10600,-8.45400,0.26400,-8.72300,0.05400,-8.64000,0.17900,-10.31700,0.19600,-10.13500,0.24600,-10.31100,0.29100,-10.14700,0.25700,-10.21100,0.23600,-10.21800,0.30200,-10.29300,0.19300,-10.04600,0.20500,-10.26100,0.24000,-10.16700,0.26900,-10.19800,0.28300,-8.34500,0.20800,-8.27200,0.20300,-8.17600,0.41700,-8.37300,0.16600,-8.35400,0.29700,-8.38200,0.20400,-8.42400,0.18600,-8.30400,0.23000,-8.27800,0.18600,-8.28900,0.17700,-8.20500,0.17000,-8.20200,0.32700,-8.29000,0.26500,-8.21600,0.22500,0,-9999,-9999,-9999,24987788,1.68000,0.72000
36.07500,50.92500,Karaj,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.72900,0.10600,-8.70600,0.14800,-8.68500,0.12000,-8.83300,0.10700,-8.62500,0.10200,-8.40300,0.25800,-8.67000,0.04900,-8.58600,0.18100,-10.15200,0.20700,-9.97400,0.25400,-10.15400,0.33000,-10.00200,0.26500,-10.07200,0.26500,-10.08100,0.32700,-10.14700,0.19100,-9.91900,0.22000,-10.15400,0.24700,-10.08900,0.26100,-10.08600,0.29900,-8.15300,0.17600,-8.11100,0.21900,-8.01900,0.42300,-8.20300,0.15900,-8.21500,0.28400,-8.24200,0.20700,-8.30500,0.18500,-8.20400,0.25500,-8.15500,0.20000,-8.19500,0.15700,-8.10100,0.17900,-8.07200,0.31600,-8.18700,0.25500,-8.11800,0.21600,0,-9999,-9999,-9999,24987788,1.33000,0.66000
36.07500,50.97500,Karaj,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.55700,0.10200,-8.51500,0.15300,-8.49800,0.11800,-8.65600,0.12900,-8.41800,0.11100,-8.24000,0.22800,-8.50000,0.04500,-8.40100,0.19100,-10.02700,0.22600,-9.83400,0.27000,-10.01500,0.37200,-9.85400,0.29000,-9.95000,0.28700,-9.97000,0.34800,-10.04500,0.20300,-9.81500,0.22600,-10.09200,0.25800,-10.02300,0.25700,-9.99800,0.29900,-8.00500,0.15000,-7.96000,0.21700,-7.88100,0.41400,-8.05400,0.15900,-8.08500,0.28000,-8.12000,0.20900,-8.17800,0.19100,-8.10100,0.24800,-8.03100,0.22000,-8.08300,0.14200,-7.97500,0.18800,-7.95100,0.30600,-8.04800,0.23400,-8.02200,0.21000,0,-9999,-9999,-9999,24987788,2.28000,0.80000
36.07500,51.02500,Karaj,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,-8.50900,0.10100,-8.46200,0.15500,-8.44600,0.11700,-8.60700,0.13500,-8.36100,0.11400,-8.19500,0.21900,-8.45300,0.04400,-8.35000,0.19300,-9.93100,0.24200,-9.72200,0.28000,-9.90700,0.39300,-9.73400,0.31200,-9.86200,0.29800,-9.89500,0.35300,-9.97700,0.22600,-9.76700,0.22300,-10.07100,0.26000,-10.00200,0.25600,-9.95200,0.29900,-7.89000,0.15500,-7.84400,0.20800,-7.76600,0.40100,-7.93200,0.16100,-7.97200,0.29400,-8.00100,0.22400,-8.04100,0.23200,-7.97600,0.20700,-7.92300,0.23000,-7.95600,0.14900,-7.82300,0.18500,-7.83300,0.27400,-7.88000,0.21800,-7.89900,0.19500,0,-9999,-9999,-9999,24987788,1.18000,0.56000
36.07500,51.07500,Karaj,0,0.00010,0.00000,0.00050,0.00000,0.00050,0.00000,0.00060,0.00000,-8.33500,0.10100,-8.27600,0.15500,-8.26700,0.11300,-8.43800,0.16500,-8.17900,0.14400,-8.03900,0.18900,-8.29500,0.05700,-8.17500,0.21000,-9.87700,0.27800,-9.64900,0.28500,-9.82200,0.42100,-9.63300,0.32700,-9.81300,0.30600,-9.85300,0.34000,-9.95400,0.24900,-9.75400,0.23400,-10.08100,0.26000,-10.00900,0.25800,-9.96000,0.30200,-7.81100,0.14400,-7.73500,0.18400,-7.68100,0.38200,-7.81200,0.16200,-7.86100,0.30800,-7.88400,0.20900,-7.92000,0.24000,-7.83900,0.18100,-7.82900,0.24200,-7.83300,0.14700,-7.67400,0.16000,-7.71500,0.22200,-7.72800,0.18000,-7.79600,0.16700,0,-9999,-9999,-9999,24987788,1.24000,0.47000
36.07500,51.12500,Karaj,0,0.00110,18.00000,0.00160,222.00000,0.00180,505.00000,0.00180,892.00000,-8.29100,0.10600,-8.22200,0.15600,-8.22500,0.11200,-8.39300,0.17200,-8.12800,0.14900,-8.00000,0.17800,-8.26100,0.06200,-8.13100,0.22100,-9.85700,0.29900,-9.62000,0.29000,-9.79600,0.43900,-9.58700,0.34500,-9.79200,0.31800,-9.84200,0.32100,-9.96000,0.27100,-9.76300,0.25400,-10.11200,0.26900,-10.02400,0.27700,-9.98600,0.31600,-7.76200,0.14100,-7.67200,0.16900,-7.62300,0.37100,-7.74200,0.17000,-7.79200,0.29200,-7.81900,0.19600,-7.83500,0.21400,-7.74000,0.15900,-7.76200,0.24000,-7.74700,0.14300,-7.59000,0.14500,-7.64200,0.20900,-7.63100,0.18200,-7.69700,0.18300,0,-9999,-9999,-9999,24987788,2.09000,0.73000
36.07500,51.17500,Karaj,0,0.00010,0.00000,0.00010,0.00000,0.00020,0.00000,0.00030,0.00000,-8.19700,0.10600,-8.12300,0.14600,-8.12800,0.10900,-8.30700,0.18400,-8.03900,0.15600,-7.92200,0.16400,-8.19000,0.07600,-8.04800,0.22700,-9.84400,0.32000,-9.61600,0.27900,-9.78800,0.44300,-9.57600,0.35000,-9.78200,0.33800,-9.82200,0.32700,-9.98100,0.28400,-9.78400,0.28400,-10.16200,0.29300,-10.05400,0.29300,-10.02900,0.34200,-7.72400,0.15000,-7.62400,0.16000,-7.58000,0.36200,-7.69400,0.17300,-7.73700,0.27600,-7.76800,0.19100,-7.76200,0.19200,-7.66800,0.14500,-7.70300,0.22600,-7.68300,0.14500,-7.53900,0.13900,-7.59500,0.21700,-7.56100,0.19800,-7.62500,0.20900,0,-9999,-9999,-9999,24987788,1.38000,0.48000
