latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
50.52500,18.77500,Katowice,1,0.00860,580.00000,0.02190,1349.00000,0.02580,1633.00000,0.02820,1547.00000,-10.04700,0.18400,-9.90700,0.28900,-9.94400,0.30300,-9.66700,0.45400,-9.80200,0.30200,-9.85000,0.30600,-9.99700,0.70500,-9.69900,0.36100,-12.42900,0.23000,-12.32100,0.35400,-11.93300,0.25600,-12.22600,0.34300,-12.49900,0.31900,-12.39000,0.25200,-12.32300,0.28300,-12.21100,0.34400,-12.23000,0.29200,-12.13200,0.27400,-12.15900,0.23700,-9.76200,0.40400,-9.60200,0.37900,-9.61700,0.31100,-9.35400,0.28500,-9.92800,0.37300,-9.86800,0.31300,-9.76600,0.31800,-9.55400,0.25300,-9.85800,0.37400,-9.55300,0.33600,-9.46700,0.31300,-9.44500,0.36700,-9.46600,0.38900,-9.29400,0.37300,0,0.00680,2.37070,0.35250,19720472,55.94000,5.96000
50.52500,18.82500,Katowice,1,0.00170,19.00000,0.00370,26.00000,0.00450,25.00000,0.00550,40.00000,-9.97800,0.19500,-9.82600,0.29900,-9.83900,0.30000,-9.53200,0.48000,-9.72300,0.37400,-9.82400,0.29500,-9.77500,0.78900,-9.63800,0.31600,-12.41200,0.21600,-12.31800,0.38200,-11.94300,0.25400,-12.19600,0.35300,-12.44700,0.32000,-12.37200,0.25000,-12.29300,0.28700,-12.14900,0.35700,-12.20200,0.28400,-12.10600,0.27300,-12.14000,0.24500,-9.69500,0.40200,-9.54400,0.35900,-9.54700,0.27900,-9.29000,0.26600,-9.77600,0.34300,-9.71400,0.31500,-9.68100,0.27400,-9.45900,0.25400,-9.74900,0.35100,-9.43000,0.34400,-9.39800,0.32500,-9.35100,0.37400,-9.28800,0.42300,-9.22700,0.38200,0,0.00160,1.16090,0.07680,19720472,55.36000,5.92000
50.52500,18.87500,Katowice,1,0.00020,0.00000,0.00030,23.00000,0.00110,84.00000,0.00150,114.00000,-9.96400,0.19600,-9.80900,0.29800,-9.82500,0.29800,-9.51500,0.47900,-9.70400,0.37400,-9.80800,0.29300,-9.75500,0.78800,-9.62100,0.31600,-12.41900,0.22500,-12.31200,0.41200,-11.94200,0.26600,-12.19100,0.35200,-12.42300,0.32500,-12.34700,0.26300,-12.26300,0.27700,-12.11300,0.36000,-12.18800,0.27700,-12.09700,0.29000,-12.12000,0.25400,-9.70300,0.40100,-9.56900,0.35900,-9.57600,0.27200,-9.30600,0.26700,-9.73200,0.33500,-9.67200,0.30800,-9.69200,0.25500,-9.46600,0.25000,-9.75100,0.34900,-9.43500,0.34100,-9.42500,0.34800,-9.33600,0.37900,-9.25600,0.44800,-9.23200,0.39400,0,0.00040,0.52090,0.01920,19720472,59.01000,5.95000
50.52500,18.92500,Katowice,1,0.01750,4276.00000,0.02080,4266.00000,0.02320,4285.00000,0.02560,4604.00000,-9.94200,0.21000,-9.78900,0.29200,-9.78900,0.30800,-9.48200,0.48600,-9.66300,0.41600,-9.81300,0.27600,-9.82600,0.74900,-9.61200,0.29300,-12.43000,0.24200,-12.30400,0.42600,-11.93200,0.27300,-12.17600,0.34800,-12.39600,0.32700,-12.32300,0.26900,-12.23900,0.27800,-12.07500,0.35200,-12.16600,0.28000,-12.08100,0.30300,-12.08900,0.25300,-9.75500,0.40300,-9.62300,0.35500,-9.64900,0.26800,-9.36100,0.26400,-9.78100,0.33600,-9.73800,0.31300,-9.73800,0.25500,-9.54400,0.22500,-9.81300,0.34900,-9.52800,0.31500,-9.49300,0.34900,-9.39800,0.38300,-9.32700,0.41900,-9.30100,0.40600,0,0.00720,1.92260,0.52060,19720472,57.07000,5.86000
50.52500,18.97500,Katowice,1,0.00100,283.00000,0.00250,533.00000,0.00350,526.00000,0.00520,582.00000,-9.92200,0.22000,-9.76900,0.28800,-9.75800,0.31500,-9.45400,0.49100,-9.62700,0.44700,-9.81100,0.26400,-9.87200,0.72300,-9.60000,0.27600,-12.44800,0.26500,-12.30100,0.43000,-11.92100,0.28300,-12.16300,0.34000,-12.37200,0.33100,-12.29700,0.27900,-12.21500,0.28000,-12.04300,0.34500,-12.14400,0.28800,-12.06000,0.31500,-12.05300,0.25300,-9.82700,0.40900,-9.69200,0.35100,-9.74400,0.26500,-9.42700,0.26700,-9.85900,0.34600,-9.83000,0.32100,-9.81000,0.26100,-9.63200,0.20200,-9.91200,0.34800,-9.63000,0.29100,-9.57300,0.34800,-9.50000,0.39500,-9.43800,0.39600,-9.39300,0.40300,0,0.00240,1.25080,0.12860,19720472,57.76000,5.89000
50.52500,19.02500,Katowice,0,0.00090,250.00000,0.00110,178.00000,0.00230,206.00000,0.00290,152.00000,-9.90700,0.22100,-9.75200,0.28800,-9.74300,0.31400,-9.43700,0.49000,-9.60800,0.44700,-9.79400,0.26300,-9.85200,0.72500,-9.58200,0.27500,-12.47300,0.29900,-12.29700,0.42100,-11.89800,0.29700,-12.15000,0.32900,-12.34900,0.34000,-12.26300,0.29900,-12.18300,0.28300,-12.01200,0.34000,-12.11600,0.30600,-12.02100,0.32800,-12.00000,0.25400,-9.92700,0.42300,-9.78100,0.35300,-9.85200,0.25100,-9.49500,0.28800,-9.95500,0.36600,-9.91600,0.33100,-9.92100,0.27200,-9.70800,0.19300,-10.05900,0.35600,-9.72400,0.29400,-9.66200,0.34900,-9.66600,0.42800,-9.58000,0.41700,-9.50800,0.35700,0,0.00060,1.13240,0.03210,19720472,51.61000,5.76000
50.52500,19.07500,Katowice,0,0.00150,185.00000,0.00270,54.00000,0.00400,140.00000,0.00470,130.00000,-9.94400,0.23500,-9.78900,0.27300,-9.79700,0.31900,-9.47000,0.50400,-9.55100,0.50800,-9.87200,0.24800,-9.89200,0.75700,-9.67600,0.24300,-12.52700,0.33400,-12.32300,0.40500,-11.89000,0.31700,-12.16900,0.31500,-12.34700,0.33300,-12.25900,0.31700,-12.18100,0.29000,-12.01400,0.33600,-12.13900,0.31500,-12.02000,0.31900,-11.99100,0.25100,-10.11200,0.44700,-9.88800,0.36400,-9.96400,0.26300,-9.56700,0.32200,-10.08400,0.38000,-10.05000,0.30400,-10.00800,0.29500,-9.76700,0.19900,-10.14700,0.32500,-9.78500,0.30800,-9.72400,0.35300,-9.76000,0.38700,-9.72700,0.40100,-9.54300,0.36900,0,0.00020,0.33310,0.01280,19720472,53.91000,5.76000
50.52500,19.12500,Katowice,1,0.00050,43.00000,0.00140,208.00000,0.00180,243.00000,0.00250,272.00000,-9.92900,0.23500,-9.77300,0.27200,-9.78200,0.31800,-9.45400,0.50400,-9.53200,0.50800,-9.85500,0.24800,-9.87200,0.76100,-9.65900,0.24100,-12.55500,0.36300,-12.34500,0.38900,-11.88000,0.31100,-12.16600,0.31900,-12.33900,0.32700,-12.25000,0.31900,-12.16500,0.30100,-12.02900,0.31800,-12.15900,0.32900,-11.99800,0.30700,-11.95600,0.24300,-10.19900,0.45900,-9.93200,0.38700,-9.99400,0.27100,-9.58300,0.33600,-10.11500,0.38500,-10.08600,0.27500,-10.01800,0.29900,-9.76700,0.20900,-10.16300,0.30900,-9.79400,0.31200,-9.73600,0.35400,-9.78400,0.38100,-9.73400,0.39500,-9.53600,0.37300,0,0.00180,1.40870,0.08600,19720472,51.39000,6.05000
50.52500,19.17500,Katowice,1,0.00180,689.00000,0.01660,2128.00000,0.02030,2023.00000,0.02210,1743.00000,-9.96900,0.24300,-9.80800,0.26900,-9.84900,0.32600,-9.49500,0.50800,-9.53500,0.52700,-9.91000,0.25100,-9.90800,0.78200,-9.73100,0.23200,-12.55600,0.37900,-12.33300,0.36900,-11.84300,0.31100,-12.15700,0.33300,-12.31700,0.32800,-12.23100,0.32800,-12.14900,0.30400,-12.03000,0.30600,-12.15100,0.34300,-11.96600,0.30000,-11.92700,0.23400,-10.22500,0.45500,-9.93400,0.39500,-9.98700,0.27300,-9.55800,0.34700,-10.09900,0.37800,-10.06900,0.26600,-9.99700,0.30000,-9.74000,0.22100,-10.13700,0.30000,-9.76900,0.31300,-9.71500,0.36200,-9.77300,0.37500,-9.71300,0.40200,-9.51100,0.37000,0,0.00760,3.11150,0.43460,19720472,43.35000,5.61000
50.52500,19.22500,Katowice,1,0.00710,1634.00000,0.02520,1900.00000,0.03260,1921.00000,0.04080,1856.00000,-10.01000,0.25000,-9.84500,0.26600,-9.91500,0.33400,-9.53700,0.51200,-9.53800,0.54600,-9.96600,0.25400,-9.94400,0.80500,-9.80300,0.22300,-12.55400,0.39200,-12.31800,0.35200,-11.80800,0.30900,-12.15200,0.35100,-12.29700,0.33300,-12.21400,0.33600,-12.13800,0.30600,-12.03500,0.29400,-12.14000,0.36000,-11.94000,0.29500,-11.91000,0.22700,-10.22100,0.44100,-9.90500,0.40000,-9.95600,0.27700,-9.50700,0.35500,-10.05400,0.37300,-10.01500,0.26300,-9.94400,0.31200,-9.68800,0.24100,-10.07400,0.29100,-9.71100,0.31500,-9.66800,0.37100,-9.72300,0.37200,-9.67100,0.41500,-9.45900,0.36100,0,0.01030,4.09780,0.55410,19720472,15.55000,4.67000
