latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
35.77500,139.47500,Kawasaki,3,0.39760,170591.00000,0.78180,180359.00000,0.79100,196591.00000,0.80730,216767.00000,-4.54100,0.18700,-4.45200,0.23800,-4.45400,0.57900,-4.52900,0.45200,-4.32000,0.24800,-3.97500,0.18400,-4.16900,0.27300,-4.39900,0.35500,-5.20500,0.33800,-4.99000,0.46300,-5.04900,0.36000,-4.84200,0.25800,-4.59900,0.42300,-4.75100,0.32900,-4.66600,0.31400,-4.47200,0.40800,-4.52400,0.34700,-4.48200,0.32500,-4.60400,0.29400,-3.85900,0.57900,-3.88000,0.53800,-4.14600,0.32400,-4.06300,0.42000,-3.89500,0.41500,-3.97000,0.41700,-3.74000,0.39500,-3.78200,0.40400,-3.58100,0.50500,-3.55700,0.45300,-3.63100,0.40000,-3.53400,0.57000,-3.26200,0.51100,-3.16100,0.53700,0,-9999,-9999,-9999,25081090,14.43000,4.12000
35.77500,139.52500,Kawasaki,3,0.38880,146799.00000,0.82540,180323.00000,0.83660,198976.00000,0.85140,221073.00000,-4.16300,0.17900,-4.06500,0.23100,-4.13100,0.66400,-4.10700,0.46000,-3.91600,0.23800,-3.61000,0.18300,-3.77300,0.26400,-4.00500,0.37700,-4.62900,0.31200,-4.43200,0.46500,-4.46700,0.34800,-4.28000,0.26700,-4.05400,0.39300,-4.20700,0.31300,-4.09100,0.29300,-3.89800,0.40800,-3.95400,0.32600,-3.90900,0.33700,-4.00700,0.29400,-3.45600,0.54300,-3.40400,0.49300,-3.68100,0.32000,-3.58200,0.40200,-3.38600,0.38400,-3.44900,0.39100,-3.28300,0.38300,-3.26800,0.40300,-3.12200,0.49300,-3.00900,0.39300,-3.12800,0.37000,-2.99300,0.52900,-2.77300,0.45200,-2.65700,0.49400,0,-9999,-9999,-9999,25081090,13.76000,4.17000
35.77500,139.57500,Kawasaki,3,0.52000,175272.00000,0.86460,222105.00000,0.87570,243659.00000,0.88950,269271.00000,-3.93100,0.17500,-3.82800,0.22600,-3.93300,0.71600,-3.84700,0.46600,-3.66700,0.23200,-3.38600,0.18300,-3.52900,0.25900,-3.76300,0.39200,-4.17100,0.29400,-3.96300,0.43900,-3.97500,0.32700,-3.80000,0.25700,-3.61100,0.37000,-3.74900,0.28500,-3.61400,0.28000,-3.42800,0.39500,-3.47900,0.28900,-3.42600,0.32200,-3.49900,0.26500,-2.87800,0.45800,-2.84900,0.45000,-3.10500,0.27900,-2.99300,0.39700,-2.80100,0.33600,-2.87300,0.34800,-2.74000,0.36700,-2.67800,0.37100,-2.55300,0.46800,-2.42900,0.33200,-2.53200,0.34500,-2.46600,0.50900,-2.30400,0.41500,-2.18500,0.43800,0,-9999,-9999,-9999,25081090,12.22000,3.87000
35.77500,139.62500,Kawasaki,3,0.67120,222077.00000,0.88130,284777.00000,0.88550,315320.00000,0.89410,353776.00000,-3.77900,0.17400,-3.67200,0.22300,-3.79200,0.76000,-3.66800,0.47300,-3.49800,0.22100,-3.24300,0.18700,-3.36400,0.25900,-3.60200,0.41300,-3.81100,0.27100,-3.59300,0.40400,-3.59600,0.31600,-3.44600,0.24700,-3.27100,0.35600,-3.38300,0.25000,-3.24000,0.27200,-3.07600,0.37400,-3.12700,0.24900,-3.05200,0.30000,-3.09700,0.23700,-2.46200,0.39600,-2.46800,0.42300,-2.67200,0.27600,-2.56800,0.35800,-2.39000,0.29800,-2.44400,0.31200,-2.35500,0.33800,-2.32300,0.33300,-2.13200,0.41400,-2.04700,0.29600,-2.14200,0.28900,-2.13800,0.45300,-2.03400,0.42900,-1.93700,0.39600,0,-9999,-9999,-9999,25081090,10.52000,3.41000
35.77500,139.67500,Kawasaki,3,0.88420,285102.00000,0.93590,354445.00000,0.93650,398309.00000,0.94100,456241.00000,-3.73500,0.17100,-3.63800,0.22200,-3.72100,0.76200,-3.62800,0.47500,-3.45300,0.22100,-3.21300,0.19000,-3.30200,0.26800,-3.54700,0.41000,-3.61400,0.24700,-3.39400,0.36700,-3.38300,0.30000,-3.24900,0.23700,-3.08400,0.34500,-3.17000,0.23300,-3.02400,0.26000,-2.88600,0.36100,-2.94200,0.21700,-2.83800,0.28700,-2.86900,0.21700,-2.23800,0.36700,-2.26200,0.38800,-2.43500,0.26800,-2.32100,0.30500,-2.19600,0.28000,-2.22000,0.28800,-2.13700,0.30600,-2.10300,0.30800,-1.94000,0.37700,-1.87100,0.28800,-1.99100,0.26600,-1.93900,0.40500,-1.87100,0.39500,-1.79800,0.34000,0,-9999,-9999,-9999,25081090,7.52000,2.56000
35.77500,139.72500,Kawasaki,3,0.89880,270924.00000,0.92280,315233.00000,0.92360,351192.00000,0.93230,401229.00000,-3.84200,0.16700,-3.75100,0.22500,-3.80100,0.73800,-3.75100,0.48400,-3.57000,0.22100,-3.32700,0.19600,-3.39400,0.28000,-3.64900,0.39200,-3.52200,0.23200,-3.31500,0.33800,-3.28600,0.28100,-3.16800,0.22600,-3.00800,0.33500,-3.07800,0.22800,-2.93300,0.24300,-2.81400,0.35600,-2.87600,0.20100,-2.74100,0.28000,-2.75500,0.20300,-2.13300,0.36700,-2.16500,0.35700,-2.30800,0.21800,-2.18900,0.28800,-2.12400,0.26000,-2.13900,0.27100,-2.05500,0.29500,-1.99400,0.28100,-1.85600,0.36500,-1.79400,0.26500,-1.92300,0.25400,-1.86500,0.40800,-1.75100,0.34300,-1.74800,0.31300,0,-9999,-9999,-9999,25081090,8.62000,3.26000
35.77500,139.77500,Kawasaki,3,0.83510,233466.00000,0.88700,282137.00000,0.88850,316349.00000,0.91110,366196.00000,-3.84400,0.16400,-3.73800,0.22600,-3.81800,0.76700,-3.72700,0.50800,-3.56200,0.20300,-3.33400,0.20900,-3.37700,0.28600,-3.64600,0.40100,-3.54000,0.22900,-3.33800,0.32100,-3.30300,0.27500,-3.20200,0.22400,-3.03800,0.33800,-3.10500,0.22800,-2.96400,0.23700,-2.85000,0.35400,-2.91800,0.19700,-2.75700,0.29000,-2.75700,0.19600,-2.04900,0.39100,-2.06900,0.31400,-2.21000,0.22000,-2.11200,0.29000,-2.04600,0.24400,-2.05200,0.26800,-1.95000,0.29200,-1.90100,0.26900,-1.79500,0.34400,-1.76900,0.25100,-1.86400,0.24000,-1.81600,0.38800,-1.68400,0.32100,-1.70200,0.31700,0,-9999,-9999,-9999,25081090,7.11000,2.69000
35.77500,139.82500,Kawasaki,3,0.90140,238672.00000,0.94140,293906.00000,0.94180,329803.00000,0.95490,374270.00000,-3.90100,0.16900,-3.78900,0.23000,-3.89800,0.77400,-3.77200,0.51900,-3.61400,0.20100,-3.38600,0.21400,-3.42500,0.28800,-3.69300,0.40100,-3.73600,0.23400,-3.56800,0.31300,-3.52100,0.28200,-3.43300,0.23200,-3.24700,0.35300,-3.32400,0.24400,-3.18900,0.24400,-3.06300,0.35700,-3.14400,0.20500,-2.95600,0.31800,-2.96000,0.20000,-2.15200,0.38800,-2.19600,0.28200,-2.30300,0.24300,-2.24900,0.28700,-2.21900,0.24500,-2.15600,0.27400,-2.09400,0.28500,-2.04700,0.29700,-1.94900,0.35200,-1.91200,0.27500,-1.99900,0.24600,-1.95000,0.39900,-1.84300,0.31000,-1.86500,0.34600,0,-9999,-9999,-9999,25081090,6.58000,2.48000
35.77500,139.87500,Kawasaki,3,0.70200,182547.00000,0.85200,214368.00000,0.85380,237895.00000,0.87370,266485.00000,-4.05400,0.18200,-3.92600,0.24100,-4.11500,0.79400,-3.89400,0.54800,-3.75400,0.19500,-3.52700,0.23000,-3.55600,0.29400,-3.82000,0.40000,-4.03100,0.23000,-3.89600,0.31900,-3.85000,0.28200,-3.77600,0.24400,-3.56300,0.37600,-3.64900,0.25800,-3.53900,0.26000,-3.38600,0.35900,-3.47200,0.21400,-3.25900,0.35100,-3.26700,0.20900,-2.41100,0.41100,-2.45300,0.29600,-2.63400,0.25200,-2.57300,0.29700,-2.57700,0.28600,-2.43400,0.32300,-2.35100,0.30000,-2.29700,0.35400,-2.24100,0.39300,-2.15000,0.30800,-2.28600,0.26800,-2.25400,0.43900,-2.15200,0.32300,-2.17100,0.39400,0,-9999,-9999,-9999,25081090,9.20000,3.37000
35.77500,139.92500,Kawasaki,3,0.38930,156224.00000,0.70770,186378.00000,0.71680,202429.00000,0.75370,221894.00000,-4.29500,0.19100,-4.18300,0.25900,-4.34300,0.76700,-4.16900,0.54500,-4.01300,0.21300,-3.77000,0.23900,-3.79500,0.30300,-4.05200,0.37500,-4.48500,0.23700,-4.37000,0.34400,-4.33700,0.29600,-4.26800,0.25000,-4.03100,0.40100,-4.12700,0.28600,-4.05200,0.27300,-3.87800,0.35900,-3.92800,0.23300,-3.71000,0.37900,-3.74900,0.23800,-2.89000,0.46800,-2.96400,0.31200,-3.05600,0.27600,-3.06600,0.37500,-3.04400,0.33100,-2.92600,0.37500,-2.76000,0.34400,-2.76400,0.41600,-2.62900,0.44700,-2.61400,0.32500,-2.74400,0.29900,-2.71500,0.45300,-2.59400,0.36200,-2.59200,0.40500,0,-9999,-9999,-9999,25081090,11.64000,3.74000
