latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
15.82500,32.27500,Khartoum,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-17.93200,0.15800,-17.22600,0.87200,-16.54600,0.18500,-17.39100,0.55900,-17.16600,0.34100,-17.09700,0.43600,-16.76200,0.35000,-17.01700,0.46000,-18.14300,0.48300,-19.04400,0.28200,-19.20800,0.49400,-19.04400,0.45900,-18.59000,1.02600,-18.87700,0.44800,-18.76000,0.93500,-18.81100,0.57900,-17.62000,1.12000,-18.33400,0.43300,-18.59800,0.73700,-17.38200,0.67600,-17.94500,0.36900,-18.15200,0.52000,-17.93200,0.43200,-18.28500,0.46200,-18.05900,0.57400,-17.19400,0.76400,-16.94800,0.61800,-17.37100,0.53900,-17.16600,0.60800,-17.27400,0.48300,-16.68500,1.00500,-16.71400,0.62100,-16.29100,0.63400,0,-9999,-9999,-9999,29635866,-9999.00000,0.00000
15.82500,32.32500,Khartoum,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,-16.85400,0.18200,-16.40400,0.62600,-15.80400,0.14900,-16.57600,0.55400,-16.27700,0.31700,-16.18900,0.37800,-15.88900,0.36400,-16.05700,0.33300,-17.79400,0.43300,-18.56400,0.25300,-18.66700,0.44600,-18.47800,0.42100,-18.09300,0.89500,-18.28400,0.41900,-18.18300,0.75500,-18.16300,0.50900,-17.11800,0.94600,-17.66000,0.38800,-17.92900,0.53500,-17.07700,0.64400,-17.58000,0.47100,-17.88700,0.46000,-17.62600,0.50200,-17.73600,0.56500,-17.53800,0.60900,-16.61200,0.80300,-16.47100,0.71600,-16.71400,0.56600,-16.52900,0.60300,-16.46700,0.53100,-15.83100,1.11300,-15.96600,0.75500,-15.60700,0.65600,0,-9999,-9999,-9999,29635866,-9999.00000,-9999.00000
15.82500,32.37500,Khartoum,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00290,566.00000,-16.45800,0.18800,-16.08300,0.54400,-15.53600,0.14000,-16.27000,0.54600,-15.95000,0.30600,-15.85300,0.35900,-15.57000,0.36400,-15.70400,0.31200,-17.23900,0.37300,-17.74100,0.21500,-17.78400,0.39700,-17.56600,0.36000,-17.30900,0.70600,-17.33800,0.37800,-17.25100,0.58500,-17.16700,0.44400,-16.35600,0.75200,-16.73800,0.31100,-16.83700,0.38200,-16.45700,0.58200,-16.80300,0.46700,-16.89200,0.44800,-16.74600,0.50200,-16.58500,0.55200,-16.43900,0.57400,-15.42500,0.66700,-15.36900,0.78200,-15.49400,0.65200,-15.36800,0.58300,-15.22900,0.49900,-14.56300,1.10400,-14.76100,0.74300,-14.44100,0.65400,0,-9999,-9999,-9999,29635866,-9999.00000,0.00000
15.82500,32.42500,Khartoum,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00970,8555.00000,-15.66700,0.19500,-15.37300,0.41300,-14.98200,0.13700,-15.61100,0.51800,-15.26100,0.28400,-15.15700,0.33200,-14.91000,0.34900,-14.97700,0.32700,-16.70900,0.34500,-16.98200,0.22600,-16.92400,0.35400,-16.75500,0.31600,-16.55600,0.53300,-16.47500,0.34900,-16.34600,0.44200,-16.26300,0.40800,-15.66700,0.58400,-15.91000,0.27600,-15.86600,0.33100,-15.80200,0.57400,-15.93900,0.38200,-15.99200,0.48500,-15.73100,0.51500,-15.55600,0.49400,-15.41100,0.57100,-14.63400,0.60800,-14.40000,0.76200,-14.52600,0.60000,-14.43300,0.50500,-14.30600,0.50100,-13.68700,1.10300,-13.92900,0.71000,-13.76200,0.60400,0,-9999,-9999,-9999,29635866,-9999.00000,0.00000
15.82500,32.47500,Khartoum,0,0.00400,0.00000,0.00560,0.00000,0.00940,47.00000,0.03040,4108.00000,-15.45200,0.18500,-15.15400,0.39800,-14.83000,0.13800,-15.40100,0.47600,-15.06800,0.26500,-14.95600,0.33200,-14.73100,0.33300,-14.78700,0.35000,-16.22500,0.32800,-16.33700,0.23700,-16.17800,0.31300,-16.03900,0.28900,-15.86500,0.39900,-15.73500,0.32900,-15.54300,0.33500,-15.49700,0.41800,-15.07100,0.44900,-15.19700,0.25200,-15.05600,0.32000,-14.92200,0.55800,-15.14700,0.33100,-15.03800,0.44500,-14.72200,0.45100,-14.66000,0.43300,-14.47100,0.55000,-13.92700,0.54300,-13.68600,0.66400,-13.86100,0.55400,-13.82300,0.43800,-13.70700,0.51100,-13.07000,1.14800,-13.35900,0.58600,-13.31500,0.58800,0,-9999,-9999,-9999,29635866,-9999.00000,-0.02000
15.82500,32.52500,Khartoum,2,0.04370,14584.00000,0.07000,21284.00000,0.08660,38187.00000,0.13830,65605.00000,-15.22300,0.17400,-14.92100,0.38000,-14.66800,0.14000,-15.17900,0.43300,-14.86000,0.24400,-14.74100,0.33300,-14.53900,0.31600,-14.58200,0.37300,-15.92800,0.32100,-16.00600,0.24400,-15.76600,0.29300,-15.66500,0.28500,-15.46100,0.33400,-15.32900,0.33300,-15.09500,0.28700,-15.07800,0.41700,-14.77300,0.38500,-14.80300,0.25400,-14.62700,0.31700,-14.12500,0.52700,-14.58900,0.34000,-14.24100,0.36400,-13.93400,0.41700,-14.02000,0.40000,-13.75800,0.50000,-13.23700,0.56500,-13.07200,0.65100,-13.36100,0.55800,-13.28300,0.42500,-13.13800,0.44700,-12.54000,1.09600,-12.85400,0.52400,-12.80800,0.75900,0,-9999,-9999,-9999,29635866,1.61000,0.43000
15.82500,32.57500,Khartoum,2,0.03740,7057.00000,0.16370,21946.00000,0.18760,31652.00000,0.24810,40686.00000,-15.22700,0.15000,-14.91700,0.37300,-14.69700,0.13800,-15.10200,0.36700,-14.83600,0.22300,-14.71300,0.37400,-14.51300,0.29900,-14.56600,0.43500,-15.83900,0.33100,-15.99500,0.26400,-15.69900,0.31300,-15.65200,0.29100,-15.35000,0.30800,-15.27100,0.33600,-15.02300,0.27900,-15.06000,0.42800,-14.77600,0.37100,-14.77600,0.24300,-14.57100,0.32900,-13.94200,0.53100,-14.56000,0.36900,-14.09800,0.35300,-13.75900,0.44800,-13.97600,0.41400,-13.66900,0.50500,-13.09900,0.59100,-12.95100,0.66200,-13.30200,0.58800,-13.20700,0.44700,-13.07800,0.41600,-12.52800,1.00600,-12.77900,0.53400,-12.73100,0.88600,0,-9999,-9999,-9999,29635866,1.10000,0.27000
15.82500,32.62500,Khartoum,2,0.00310,63.00000,0.03290,2795.00000,0.05640,7467.00000,0.13860,21554.00000,-15.33600,0.13900,-15.00200,0.37900,-14.79800,0.13900,-15.16200,0.34700,-14.91700,0.21300,-14.79200,0.39700,-14.58300,0.29500,-14.65000,0.45700,-16.06100,0.37500,-16.46200,0.28500,-16.11900,0.34800,-16.13900,0.34200,-15.66200,0.37000,-15.73500,0.33500,-15.50200,0.28300,-15.58500,0.40000,-15.26400,0.39200,-15.27000,0.27200,-15.10300,0.34800,-14.61000,0.56500,-15.12600,0.28900,-14.78900,0.42300,-14.33700,0.52400,-14.69600,0.44000,-14.32100,0.56800,-13.73900,0.60800,-13.60300,0.64500,-13.83100,0.65700,-13.83400,0.43700,-13.65100,0.46400,-13.24400,0.90500,-13.36600,0.54000,-13.10800,0.85900,0,-9999,-9999,-9999,29635866,-9999.00000,0.02000
15.82500,32.67500,Khartoum,1,0.00000,13.00000,0.00010,25.00000,0.00100,271.00000,0.01720,3744.00000,-15.77100,0.10900,-15.33800,0.40900,-15.15700,0.14900,-15.44500,0.33300,-15.24100,0.20300,-15.11300,0.45800,-14.86400,0.30200,-14.98800,0.49500,-16.42900,0.39000,-17.03800,0.28500,-16.66700,0.39200,-16.71300,0.37600,-16.12900,0.48600,-16.31600,0.32700,-16.17800,0.30600,-16.27500,0.39000,-15.89300,0.44400,-15.89200,0.34100,-15.78300,0.38200,-15.65800,0.59200,-16.09500,0.39500,-15.85300,0.52900,-15.45800,0.49800,-15.73100,0.42600,-15.40000,0.63300,-14.87600,0.62100,-14.68700,0.57500,-14.82000,0.59100,-14.85300,0.45900,-14.70300,0.55300,-14.47200,0.84000,-14.39400,0.65000,-13.95900,0.93000,0,-9999,-9999,-9999,29635866,-9999.00000,0.02000
15.82500,32.72500,Khartoum,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-16.20100,0.10500,-15.67100,0.46000,-15.50000,0.17700,-15.78400,0.36200,-15.58700,0.18700,-15.45100,0.49400,-15.14900,0.33400,-15.33800,0.47300,-16.80600,0.40400,-17.53300,0.27100,-17.18000,0.47100,-17.23100,0.40100,-16.56100,0.63100,-16.91400,0.30000,-16.89400,0.30000,-17.04300,0.41400,-16.56600,0.54400,-16.54300,0.41000,-16.50600,0.40700,-16.18200,0.51500,-16.55600,0.35900,-16.39200,0.49500,-16.15800,0.44000,-16.45500,0.35500,-16.18900,0.54900,-15.68700,0.53400,-15.49400,0.58200,-15.61500,0.52800,-15.74000,0.41700,-15.62300,0.55700,-15.28300,0.85000,-15.29100,0.61100,-14.83700,0.84200,0,-9999,-9999,-9999,29635866,-9999.00000,0.02000
