latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
10.27500,75.97500,Kochi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30292078,-9999.00000,-9999.00000
10.27500,76.02500,Kochi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30292078,-9999.00000,6.49000
10.27500,76.07500,Kochi,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-11.11800,0.56700,-11.62300,0.51900,-11.39000,0.36500,-12.06200,0.41400,-11.64800,0.55900,-11.61600,0.49200,-11.65400,0.27100,-11.75000,0.47600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,100,-9999,-9999,-9999,30292078,-9999.00000,8.55000
10.27500,76.12500,Kochi,1,0.01020,10526.00000,0.02450,14198.00000,0.02520,14969.00000,0.02770,13898.00000,-11.02400,0.56100,-11.52200,0.51900,-11.28400,0.36200,-11.94100,0.40500,-11.53500,0.54500,-11.50700,0.49100,-11.54300,0.26800,-11.64100,0.46700,-11.43000,0.40600,-11.52400,0.27500,-11.49300,0.28600,-11.36600,0.27600,-11.56300,0.26800,-11.68700,0.28200,-11.58200,0.29900,-11.59500,0.34900,-11.45600,0.27500,-11.66400,0.32500,-11.72600,0.29100,-10.03600,0.58500,-10.29200,0.59100,-10.16800,0.49200,-10.21500,0.59300,-10.10300,0.53300,-10.19200,0.45300,-10.08200,0.69500,-10.05200,0.62100,-10.14800,0.59400,-10.30400,0.58800,-10.11700,0.55000,-9.86100,1.18300,-9.62300,0.86700,-9.79300,0.58200,30,-9999,-9999,-9999,30292078,17.52000,8.03000
10.27500,76.17500,Kochi,2,0.01950,44428.00000,0.05540,41237.00000,0.05810,39266.00000,0.06780,36223.00000,-9.38100,0.46600,-9.75700,0.51100,-9.44100,0.31200,-9.81200,0.25900,-9.55200,0.28700,-9.60300,0.47900,-9.60000,0.20900,-9.72300,0.31900,-9.63200,0.31900,-9.65000,0.23800,-9.68600,0.19600,-9.54300,0.26400,-9.67500,0.21800,-9.84400,0.22900,-9.71300,0.17700,-9.75200,0.35200,-9.69800,0.26800,-9.77000,0.23500,-9.88000,0.24500,-8.05800,0.39800,-8.27100,0.50500,-8.17800,0.44800,-8.01000,0.47100,-7.99200,0.58500,-8.10800,0.44500,-8.02900,0.67900,-7.98100,0.52900,-8.04100,0.43500,-8.16400,0.48500,-7.90800,0.48500,-7.84200,0.80300,-7.61400,0.68000,-7.61900,0.50500,0,-9999,-9999,-9999,30292078,34.66000,8.90000
10.27500,76.22500,Kochi,3,0.00920,42799.00000,0.07700,68884.00000,0.08590,65375.00000,0.13960,67158.00000,-8.86800,0.46700,-9.19100,0.52600,-8.86300,0.27900,-9.14800,0.23800,-8.93500,0.22700,-9.00000,0.44800,-9.00100,0.20100,-9.10400,0.28000,-8.61700,0.24400,-8.57600,0.22900,-8.66300,0.20100,-8.46000,0.23300,-8.55000,0.21400,-8.70700,0.23300,-8.62800,0.16900,-8.67700,0.36000,-8.63400,0.28000,-8.64900,0.17800,-8.77600,0.20300,-7.43800,0.31800,-7.60200,0.41700,-7.44800,0.36100,-7.35000,0.38300,-7.35100,0.52800,-7.46000,0.44700,-7.38300,0.61200,-7.32400,0.50700,-7.31000,0.40100,-7.48800,0.45300,-7.24000,0.43200,-7.11400,0.71200,-6.83000,0.46800,-6.93900,0.44200,0,-9999,-9999,-9999,30292078,28.80000,8.67000
10.27500,76.27500,Kochi,2,0.00770,15127.00000,0.05340,36102.00000,0.06080,36151.00000,0.12460,41719.00000,-8.21400,0.46800,-8.46900,0.54400,-8.12700,0.23800,-8.29900,0.21300,-8.14700,0.15200,-8.23000,0.40800,-8.23700,0.19000,-8.31300,0.23000,-8.11500,0.23900,-8.01100,0.22600,-8.17300,0.24200,-7.94000,0.21100,-7.98800,0.21800,-8.15000,0.20100,-8.05800,0.18400,-8.13200,0.34300,-8.10400,0.28800,-8.08200,0.18200,-8.19500,0.22100,-7.06900,0.32400,-7.22200,0.39100,-7.10000,0.34800,-7.00100,0.33900,-7.00700,0.46900,-7.07400,0.41200,-7.02000,0.57500,-6.91800,0.45500,-6.95600,0.37900,-7.14400,0.38200,-6.84700,0.42100,-6.75700,0.63900,-6.59300,0.40100,-6.64900,0.40700,0,-9999,-9999,-9999,30292078,28.82000,8.66000
10.27500,76.32500,Kochi,2,0.01040,66706.00000,0.05590,64601.00000,0.06470,62396.00000,0.14770,76923.00000,-7.70400,0.46200,-7.85900,0.53200,-7.53700,0.19500,-7.67600,0.22100,-7.53300,0.13200,-7.61100,0.33400,-7.65800,0.18700,-7.65100,0.17200,-7.94400,0.21800,-7.81100,0.22900,-7.99600,0.26600,-7.77900,0.19700,-7.79000,0.20400,-7.95400,0.18100,-7.84100,0.20700,-7.90600,0.32600,-7.92000,0.27200,-7.88600,0.17600,-7.97000,0.23100,-6.84000,0.30200,-7.00000,0.37000,-6.92400,0.30600,-6.84200,0.30400,-6.84500,0.44600,-6.87000,0.36800,-6.83200,0.51500,-6.70400,0.44000,-6.78900,0.33300,-6.94800,0.37300,-6.66000,0.40500,-6.57900,0.61800,-6.48200,0.36500,-6.50000,0.39200,0,-9999,-9999,-9999,30292078,27.08000,8.71000
10.27500,76.37500,Kochi,2,0.00560,4704.00000,0.03450,13070.00000,0.04200,12767.00000,0.10060,26098.00000,-7.55700,0.45600,-7.68100,0.52100,-7.36500,0.18500,-7.49900,0.22200,-7.35200,0.12900,-7.42600,0.30400,-7.48900,0.18900,-7.46000,0.16000,-7.94700,0.22200,-7.83100,0.22000,-8.01800,0.28400,-7.81000,0.20300,-7.78300,0.18800,-7.94200,0.17400,-7.84100,0.25200,-7.87900,0.31100,-7.91300,0.22200,-7.85600,0.18100,-7.95000,0.22700,-6.75300,0.28400,-6.90000,0.34600,-6.83700,0.28500,-6.76900,0.29400,-6.75300,0.42700,-6.78900,0.33500,-6.73900,0.45000,-6.62700,0.41800,-6.74000,0.30600,-6.86200,0.35100,-6.60300,0.38100,-6.53500,0.60500,-6.43100,0.35100,-6.43200,0.40800,0,-9999,-9999,-9999,30292078,34.67000,8.96000
10.27500,76.42500,Kochi,1,0.00000,224.00000,0.00100,1168.00000,0.00410,2879.00000,0.02240,5020.00000,-7.27200,0.42500,-7.34200,0.47200,-7.02200,0.18600,-7.16900,0.21500,-6.99600,0.13200,-7.04500,0.20800,-7.16300,0.20800,-7.11400,0.16100,-8.01800,0.24700,-7.94700,0.22100,-8.10500,0.25700,-7.93400,0.19900,-7.87600,0.19000,-8.03700,0.17800,-7.96000,0.29300,-7.95200,0.32400,-8.02300,0.20400,-7.93700,0.21400,-8.01600,0.21600,-6.74700,0.27300,-6.88800,0.30600,-6.83200,0.26200,-6.77400,0.26800,-6.75000,0.38300,-6.80000,0.29100,-6.71700,0.39500,-6.66200,0.35700,-6.78500,0.25500,-6.87300,0.28800,-6.65700,0.32000,-6.60800,0.57200,-6.47800,0.31500,-6.49700,0.37300,0,-9999,-9999,-9999,30292078,44.70000,8.58000
