latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
3.42500,101.42500,KualaLumpur,2,0.10160,4477.00000,0.10160,7163.00000,0.12030,9265.00000,0.13510,12288.00000,-7.55700,0.14700,-7.75900,0.16200,-7.63100,0.29300,-7.70000,0.16200,-7.46500,0.14600,-7.55100,0.24100,-7.39500,0.20300,-7.52400,0.15800,-8.80600,0.17000,-8.57900,0.21000,-8.76400,0.15700,-8.75300,0.20600,-8.59900,0.18900,-8.75000,0.22100,-8.82200,0.19600,-8.72600,0.27300,-8.62000,0.21200,-8.68000,0.20700,-8.87700,0.22800,-7.75000,0.22100,-7.80200,0.18900,-7.90800,0.21300,-7.70500,0.20600,-7.86200,0.14900,-7.86900,0.15900,-7.76400,0.20000,-7.85300,0.22400,-7.72700,0.17200,-7.79300,0.21800,-7.65600,0.19600,-7.52500,0.41300,-7.63500,0.23500,-7.55100,0.19800,0,-9999,-9999,-9999,30719182,34.42000,10.66000
3.42500,101.47500,KualaLumpur,1,0.05120,1055.00000,0.05120,1716.00000,0.05700,2117.00000,0.06120,2633.00000,-7.37300,0.13800,-7.55100,0.17900,-7.45500,0.27700,-7.51300,0.13700,-7.27700,0.13600,-7.38300,0.22300,-7.27200,0.15600,-7.37500,0.16100,-8.94500,0.21200,-8.77100,0.22600,-8.93800,0.16500,-8.92400,0.19400,-8.77600,0.21300,-8.89200,0.23300,-8.98900,0.18300,-8.86500,0.23400,-8.79200,0.23000,-8.87700,0.19700,-9.01600,0.21400,-7.69500,0.22500,-7.74600,0.18900,-7.87300,0.25300,-7.63000,0.21600,-7.80100,0.15800,-7.81100,0.15700,-7.70700,0.19700,-7.79100,0.23600,-7.65300,0.19100,-7.73300,0.22200,-7.58300,0.20900,-7.43900,0.41800,-7.54600,0.26100,-7.45900,0.23400,0,-9999,-9999,-9999,30719182,52.18000,10.81000
3.42500,101.52500,KualaLumpur,1,0.06750,1451.00000,0.06750,2431.00000,0.12800,5068.00000,0.13490,7889.00000,-7.19000,0.12400,-7.28900,0.23600,-7.26500,0.23800,-7.33800,0.13400,-7.06800,0.13900,-7.19900,0.18600,-7.17800,0.12000,-7.20900,0.15300,-9.02400,0.26400,-8.90900,0.23600,-9.03900,0.19200,-9.04500,0.20100,-8.90800,0.25100,-8.98200,0.24700,-9.08500,0.16000,-8.93700,0.19400,-8.87200,0.22200,-8.97800,0.17600,-9.06800,0.23400,-7.59600,0.23200,-7.62200,0.19100,-7.77500,0.28100,-7.51100,0.23800,-7.69900,0.16500,-7.70000,0.16900,-7.61300,0.19800,-7.67200,0.25600,-7.53100,0.21400,-7.62400,0.23800,-7.44600,0.18100,-7.26300,0.45400,-7.37100,0.28500,-7.27200,0.27700,0,-9999,-9999,-9999,30719182,59.74000,11.46000
3.42500,101.57500,KualaLumpur,2,0.17270,7916.00000,0.17270,13265.00000,0.32390,27541.00000,0.32980,36980.00000,-7.15600,0.12300,-7.23300,0.25400,-7.22800,0.22800,-7.30000,0.13400,-7.02800,0.14000,-7.16800,0.17600,-7.17000,0.11400,-7.17900,0.15100,-8.97100,0.29500,-8.91400,0.24300,-9.00400,0.20200,-9.03700,0.21500,-8.91200,0.26200,-8.95600,0.24500,-9.05700,0.14800,-8.90100,0.18300,-8.84500,0.18200,-8.94300,0.17200,-9.00300,0.27600,-7.39800,0.25900,-7.43600,0.18100,-7.56900,0.28400,-7.33000,0.21300,-7.47800,0.17900,-7.48600,0.23000,-7.41500,0.20800,-7.40600,0.22500,-7.30000,0.21400,-7.41400,0.22000,-7.15300,0.19100,-6.87700,0.80400,-7.18900,0.24900,-7.06500,0.27700,0,-9999,-9999,-9999,30719182,38.80000,11.13000
3.42500,101.62500,KualaLumpur,1,0.11470,4038.00000,0.11470,6766.00000,0.13780,9103.00000,0.16090,13403.00000,-7.10600,0.12600,-7.13900,0.29000,-7.16900,0.21000,-7.23500,0.13200,-6.96900,0.14200,-7.12500,0.15700,-7.17300,0.10900,-7.13400,0.14800,-8.79400,0.25600,-8.80100,0.23900,-8.86500,0.22000,-8.90800,0.26000,-8.82300,0.24900,-8.82200,0.25600,-8.91200,0.15300,-8.78500,0.19000,-8.71300,0.16900,-8.77800,0.17100,-8.86300,0.27900,-7.22700,0.22800,-7.30200,0.16900,-7.37600,0.20400,-7.21300,0.19800,-7.30800,0.17700,-7.31200,0.21200,-7.29100,0.17000,-7.25300,0.18700,-7.18000,0.16000,-7.29600,0.18300,-7.02900,0.18700,-6.83200,0.64300,-7.13900,0.23000,-7.01100,0.24700,0,-9999,-9999,-9999,30719182,39.91000,11.46000
3.42500,101.67500,KualaLumpur,1,0.08970,2518.00000,0.08970,4219.00000,0.11410,4998.00000,0.13080,6667.00000,-7.12500,0.12100,-7.11100,0.35200,-7.20200,0.19300,-7.26200,0.12200,-7.01700,0.12000,-7.14800,0.13500,-7.20000,0.11100,-7.16800,0.14500,-8.61300,0.21700,-8.65700,0.24200,-8.68500,0.24000,-8.74200,0.26200,-8.68700,0.22600,-8.67000,0.23900,-8.75300,0.16400,-8.65300,0.17700,-8.59000,0.16800,-8.61500,0.15800,-8.71600,0.26700,-7.14200,0.19900,-7.22300,0.14100,-7.29500,0.17500,-7.16200,0.19300,-7.23200,0.16200,-7.22800,0.17200,-7.24400,0.15800,-7.19600,0.16500,-7.15300,0.13500,-7.26200,0.16100,-7.01800,0.17400,-6.88100,0.55800,-7.14300,0.22200,-7.01700,0.22300,0,-9999,-9999,-9999,30719182,57.22000,9.46000
3.42500,101.72500,KualaLumpur,0,0.00420,7.00000,0.00420,12.00000,0.00630,22.00000,0.00720,56.00000,-7.13700,0.11900,-7.09200,0.39200,-7.22300,0.18100,-7.27900,0.11600,-7.04800,0.10700,-7.16200,0.12000,-7.21800,0.11200,-7.19100,0.14200,-8.47500,0.21800,-8.54200,0.24600,-8.51700,0.24100,-8.58600,0.25300,-8.55900,0.22100,-8.52900,0.21600,-8.60100,0.17900,-8.53600,0.17400,-8.50400,0.16700,-8.46200,0.13600,-8.58100,0.24600,-7.10000,0.16700,-7.16200,0.11600,-7.23800,0.15700,-7.12800,0.18300,-7.18200,0.14900,-7.19800,0.15300,-7.21100,0.14700,-7.16000,0.14300,-7.13200,0.12500,-7.23700,0.14800,-7.01400,0.16300,-6.91900,0.54600,-7.13400,0.20700,-7.02500,0.20900,0,-9999,-9999,-9999,30719182,76.11000,5.71000
3.42500,101.77500,KualaLumpur,1,0.01050,1882.00000,0.01050,2784.00000,0.01720,5150.00000,0.01970,5676.00000,-7.20700,0.12600,-7.06400,0.51300,-7.30500,0.15000,-7.39800,0.12100,-7.17300,0.07200,-7.24000,0.09200,-7.24700,0.10700,-7.29400,0.13000,-8.41800,0.22000,-8.47900,0.24600,-8.41600,0.20500,-8.44400,0.20900,-8.46800,0.21600,-8.43300,0.21700,-8.48900,0.19600,-8.46900,0.18200,-8.45400,0.16700,-8.36600,0.11700,-8.49800,0.22000,-7.08200,0.13900,-7.12600,0.11000,-7.20000,0.14200,-7.08600,0.16900,-7.14400,0.13700,-7.18300,0.14300,-7.18500,0.13500,-7.12700,0.12000,-7.12400,0.11900,-7.21000,0.12900,-7.00900,0.14900,-6.95500,0.52200,-7.11300,0.18500,-7.03200,0.17100,0,-9999,-9999,-9999,30719182,75.03000,6.08000
3.42500,101.82500,KualaLumpur,0,0.00350,25.00000,0.00350,36.00000,0.00870,160.00000,0.01030,320.00000,-7.23600,0.13600,-7.06400,0.55500,-7.33200,0.14400,-7.44500,0.12900,-7.22000,0.06900,-7.27300,0.08800,-7.25100,0.10700,-7.33200,0.12500,-8.42900,0.21300,-8.44600,0.25700,-8.39400,0.18700,-8.38700,0.19800,-8.43900,0.20900,-8.40700,0.21300,-8.46700,0.20000,-8.45200,0.21700,-8.43300,0.17800,-8.32400,0.11600,-8.46600,0.20300,-7.09000,0.11800,-7.11400,0.10400,-7.20100,0.13500,-7.08700,0.16100,-7.13600,0.13000,-7.18800,0.12300,-7.17900,0.13200,-7.14000,0.11500,-7.13600,0.12300,-7.20500,0.12600,-7.02500,0.13800,-6.99200,0.47300,-7.12000,0.18700,-7.05700,0.14800,0,-9999,-9999,-9999,30719182,71.07000,6.04000
3.42500,101.87500,KualaLumpur,0,0.00340,382.00000,0.00340,548.00000,0.00460,706.00000,0.00590,892.00000,-7.29600,0.15900,-7.06900,0.64300,-7.38900,0.13400,-7.54500,0.14600,-7.31900,0.06700,-7.34100,0.08000,-7.25900,0.10800,-7.41200,0.11400,-8.46900,0.19800,-8.42000,0.27200,-8.42300,0.19700,-8.38900,0.20300,-8.44300,0.17800,-8.42000,0.20500,-8.49200,0.19900,-8.47100,0.23800,-8.42000,0.18900,-8.32700,0.13700,-8.44100,0.20500,-7.11500,0.10700,-7.12800,0.10000,-7.23600,0.13000,-7.12500,0.15300,-7.16800,0.12600,-7.21500,0.10800,-7.20600,0.13400,-7.19200,0.13300,-7.18400,0.12600,-7.24200,0.14300,-7.07900,0.14000,-7.04800,0.40000,-7.17200,0.18000,-7.11300,0.16300,0,-9999,-9999,-9999,30719182,66.88000,8.83000
