latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
25.12500,102.57500,Kunming,-9999,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.66000,0.34500,-8.61500,0.32200,-8.56100,0.38500,-8.80500,0.43000,-8.23500,0.32300,-8.24200,0.48900,-8.04700,0.24400,-8.20600,0.24200,-9.47800,0.32900,-9.49500,0.39200,-9.35800,0.36900,-9.13600,0.44400,-9.13800,0.41900,-8.86700,0.46200,-8.71400,0.37400,-8.71000,0.39700,-8.37000,0.54600,-8.45300,0.35600,-8.55800,0.37800,-7.72200,0.42900,-7.70100,0.40000,-7.89700,0.35700,-7.57700,0.44100,-7.71200,0.45200,-7.45000,0.43500,-7.42400,0.40300,-7.22100,0.42100,-7.20200,0.50600,-7.12500,0.39700,-7.01400,0.32200,-6.99200,0.59200,-6.99000,0.45600,-6.62800,0.49100,0,0.00180,0.81260,0.09530,27928450,37.37000,8.69000
25.12500,102.62500,Kunming,1,0.00490,1175.00000,0.00760,1927.00000,0.00810,2375.00000,0.00810,2706.00000,-8.67500,0.34200,-8.61200,0.32100,-8.56900,0.39000,-8.79700,0.43500,-8.21900,0.32900,-8.21400,0.49300,-8.00200,0.25400,-8.15800,0.24700,-9.25900,0.38500,-9.29100,0.42600,-9.13200,0.41400,-8.86800,0.48100,-8.86600,0.44700,-8.56400,0.48600,-8.36100,0.40800,-8.36400,0.43300,-7.92900,0.57900,-8.01300,0.40800,-8.12100,0.37600,-7.11200,0.46100,-7.10800,0.42500,-7.30900,0.38700,-6.89100,0.58100,-7.02200,0.51400,-6.70400,0.52200,-6.65500,0.44800,-6.44000,0.50500,-6.33700,0.57200,-6.26700,0.48000,-6.07500,0.40900,-6.03700,0.70700,-5.99200,0.60000,-5.69600,0.58600,0,0.00640,2.14860,0.76300,27928450,25.69000,7.58000
25.12500,102.67500,Kunming,2,0.06580,20473.00000,0.13200,32795.00000,0.14700,37617.00000,0.17640,42467.00000,-8.73000,0.33400,-8.62300,0.30700,-8.61100,0.37900,-8.79800,0.45000,-8.22700,0.33600,-8.20900,0.51000,-7.97800,0.27800,-8.12400,0.25600,-9.13100,0.41900,-9.20500,0.44500,-9.00600,0.43200,-8.72400,0.50900,-8.71400,0.46600,-8.39600,0.49900,-8.16700,0.42500,-8.15700,0.45000,-7.67700,0.59500,-7.73100,0.42900,-7.85700,0.35900,-6.47900,0.52600,-6.46800,0.48200,-6.75300,0.41500,-6.23200,0.56800,-6.22700,0.48300,-5.92900,0.49400,-5.77900,0.48700,-5.57300,0.49800,-5.54400,0.49600,-5.38200,0.50400,-5.06500,0.46900,-5.14800,0.73700,-5.01700,0.66300,-4.82300,0.52600,0,0.03970,8.10510,6.29800,27928450,15.27000,5.69000
25.12500,102.72500,Kunming,2,0.23200,88653.00000,0.27880,123260.00000,0.30370,138627.00000,0.30860,155894.00000,-8.75000,0.33300,-8.62800,0.30100,-8.62900,0.37500,-8.80100,0.45400,-8.23400,0.33700,-8.21500,0.51600,-7.97800,0.28600,-8.12200,0.25900,-9.12800,0.44100,-9.24800,0.45800,-9.01000,0.41700,-8.71400,0.54000,-8.71300,0.46700,-8.37000,0.51200,-8.11900,0.44000,-8.12500,0.44400,-7.61800,0.61800,-7.63700,0.45300,-7.76000,0.33600,-6.26100,0.54700,-6.20800,0.60100,-6.44100,0.51200,-5.95700,0.57000,-6.04100,0.42100,-5.70400,0.47700,-5.42900,0.43400,-5.13100,0.42900,-5.27000,0.49600,-5.08600,0.51900,-4.73000,0.49100,-4.78000,0.70000,-4.59500,0.67700,-4.51800,0.49700,0,0.09190,16.24710,18.50270,27928450,14.76000,5.54000
25.12500,102.77500,Kunming,2,0.06990,50204.00000,0.10100,72677.00000,0.14200,89786.00000,0.16000,104447.00000,-8.82100,0.33400,-8.66200,0.27200,-8.71300,0.35900,-8.83700,0.45900,-8.29000,0.34200,-8.28800,0.53200,-8.03800,0.30600,-8.17900,0.26300,-9.32300,0.42200,-9.44800,0.44800,-9.21400,0.38000,-8.94300,0.54300,-8.93300,0.45100,-8.60000,0.50200,-8.36500,0.43800,-8.37500,0.43300,-7.89800,0.62600,-7.86400,0.45700,-7.97200,0.31500,-6.54100,0.51700,-6.48000,0.61200,-6.65700,0.51800,-6.29300,0.58400,-6.43800,0.38900,-6.02900,0.52500,-5.81900,0.39400,-5.49400,0.43800,-5.62400,0.54800,-5.48500,0.53400,-5.12900,0.53000,-5.16900,0.71900,-4.87800,0.68200,-4.82700,0.52200,0,0.05290,8.95590,6.29810,27928450,18.30000,6.30000
25.12500,102.82500,Kunming,1,0.00010,1666.00000,0.00170,2986.00000,0.00820,5684.00000,0.01530,4488.00000,-8.84200,0.34000,-8.67600,0.25700,-8.74600,0.35400,-8.85600,0.46000,-8.31300,0.34100,-8.33000,0.53200,-8.08200,0.30800,-8.22400,0.26200,-9.60200,0.38300,-9.72600,0.40500,-9.54300,0.34100,-9.27300,0.53900,-9.29100,0.44100,-8.96600,0.48500,-8.76900,0.43100,-8.78900,0.41300,-8.36400,0.61900,-8.28200,0.46100,-8.37200,0.31000,-7.29300,0.47400,-7.18900,0.52900,-7.30300,0.44600,-7.09300,0.54000,-7.18600,0.31600,-6.83400,0.50300,-6.67500,0.43400,-6.42100,0.45700,-6.46700,0.52600,-6.33400,0.48900,-6.08300,0.54700,-5.93500,0.74600,-5.71800,0.67100,-5.61600,0.52500,0,0.00970,2.95520,0.74670,27928450,32.47000,8.25000
25.12500,102.87500,Kunming,1,0.00040,5963.00000,0.00110,3604.00000,0.00330,3771.00000,0.01120,4020.00000,-8.89000,0.35400,-8.70800,0.22400,-8.82100,0.34100,-8.90000,0.46300,-8.36600,0.33900,-8.42600,0.53300,-8.18100,0.31100,-8.32600,0.26200,-9.94100,0.33400,-10.04000,0.35500,-9.94700,0.31500,-9.66800,0.51900,-9.71500,0.42500,-9.40500,0.44300,-9.27100,0.39100,-9.29600,0.37200,-8.94700,0.57900,-8.82200,0.45400,-8.90300,0.32000,-7.81900,0.40800,-7.70400,0.44400,-7.74900,0.35100,-7.62600,0.45500,-7.73100,0.28600,-7.33400,0.50500,-7.23800,0.45400,-7.07500,0.45800,-7.02600,0.47300,-6.87600,0.46500,-6.73400,0.44000,-6.48400,0.73300,-6.40800,0.56100,-6.23200,0.44900,0,0.01320,3.74200,0.90610,27928450,28.61000,8.05000
25.12500,102.92500,Kunming,2,0.00000,324.00000,0.00040,1132.00000,0.00230,1623.00000,0.04150,14072.00000,-8.90700,0.36800,-8.72300,0.20700,-8.84800,0.32400,-8.92900,0.46400,-8.40700,0.34000,-8.50800,0.53100,-8.27600,0.30300,-8.42300,0.26400,-10.26900,0.28400,-10.33900,0.31800,-10.34300,0.30500,-10.06400,0.47100,-10.12900,0.39200,-9.85000,0.39000,-9.77100,0.33200,-9.81300,0.33700,-9.58100,0.49800,-9.41200,0.44200,-9.47700,0.31000,-8.09700,0.36900,-7.95300,0.39400,-8.07200,0.31100,-7.96000,0.40000,-8.06200,0.26300,-7.69000,0.46800,-7.64200,0.42400,-7.48700,0.37900,-7.44500,0.41100,-7.23300,0.40900,-7.12700,0.37200,-6.87000,0.63300,-6.84300,0.49900,-6.66700,0.38900,0,0.01500,4.09830,1.26550,27928450,19.68000,6.20000
25.12500,102.97500,Kunming,1,0.00000,630.00000,0.00020,1332.00000,0.00040,894.00000,0.00400,2254.00000,-8.92200,0.38000,-8.73600,0.19300,-8.87200,0.30900,-8.95600,0.46600,-8.44500,0.34100,-8.58300,0.52800,-8.36300,0.29500,-8.51200,0.26600,-10.44800,0.24100,-10.52500,0.30800,-10.60800,0.29100,-10.33700,0.41800,-10.41500,0.35700,-10.16500,0.34900,-10.12300,0.31900,-10.17700,0.31300,-10.03600,0.40600,-9.85000,0.44100,-9.92400,0.30500,-8.21700,0.35500,-8.10200,0.35700,-8.31400,0.31800,-8.15400,0.35000,-8.25600,0.27500,-7.87000,0.40900,-7.88100,0.39800,-7.69700,0.35000,-7.68300,0.37300,-7.47200,0.35200,-7.34000,0.34300,-7.13000,0.49100,-7.15300,0.50700,-7.05200,0.38400,0,0.01790,5.26720,1.19530,27928450,8.12000,4.36000
25.12500,103.02500,Kunming,1,0.00000,425.00000,0.00000,0.00000,0.00030,518.00000,0.00070,376.00000,-8.92100,0.39500,-8.74800,0.19900,-8.87600,0.28000,-9.00100,0.46000,-8.49400,0.34300,-8.68500,0.52200,-8.49500,0.28100,-8.64400,0.27700,-10.49700,0.20900,-10.62900,0.32500,-10.72400,0.28100,-10.48000,0.37500,-10.54800,0.34600,-10.31000,0.31400,-10.29200,0.31900,-10.38800,0.29100,-10.28800,0.32500,-10.12900,0.43100,-10.21900,0.31800,-8.26100,0.34200,-8.20000,0.34700,-8.43300,0.32600,-8.24100,0.31600,-8.38700,0.30500,-7.97300,0.34600,-7.99900,0.36800,-7.81900,0.29900,-7.79400,0.32900,-7.60000,0.30200,-7.50200,0.30100,-7.41500,0.36200,-7.38400,0.48300,-7.29900,0.38300,0,0.00630,2.06720,0.48240,27928450,17.45000,6.49000
