latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
29.62500,47.72500,Kuwait,0,0.00000,0.00000,0.00390,35.00000,0.00410,47.00000,0.00480,189.00000,-17.58700,0.22700,-17.97200,0.19400,-17.52400,0.26200,-17.34700,0.56400,-17.56400,0.60900,-17.50400,0.62800,-17.45800,0.42900,-17.62200,0.61200,-19.17500,0.27400,-19.81400,0.24100,-19.71500,0.29700,-19.27400,0.24000,-19.45800,0.26200,-19.20300,0.23200,-19.40100,0.25000,-19.36200,0.24200,-19.28200,0.23000,-19.98500,0.33400,-20.07400,0.27100,-19.40000,0.27200,-19.89300,0.24900,-19.96200,0.28400,-19.66100,0.26900,-19.67900,0.26100,-19.66200,0.23300,-19.74000,0.31900,-19.63100,0.28100,-19.63500,0.25300,-19.20900,0.22700,-19.29000,0.22700,-19.26700,0.41000,-18.92100,0.35000,-18.83700,0.42500,0,-9999,-9999,-9999,26837782,-9999,-9999.00000
29.62500,47.77500,Kuwait,0,0.00000,0.00000,0.00270,1509.00000,0.00310,1159.00000,0.00360,1794.00000,-17.12600,0.19400,-17.40700,0.20100,-17.07600,0.22300,-16.87200,0.58300,-16.96200,0.53500,-16.94800,0.65300,-16.86400,0.41900,-16.85200,0.52200,-19.38200,0.26800,-20.09600,0.33400,-19.92100,0.33100,-19.49700,0.26900,-19.63800,0.27400,-19.29900,0.22100,-19.53700,0.25400,-19.49100,0.24900,-19.39600,0.24300,-20.21900,0.33000,-20.24000,0.31000,-19.02600,0.28300,-19.65600,0.30700,-19.72400,0.33000,-19.48800,0.28600,-19.43000,0.32200,-19.45700,0.29200,-19.59700,0.38600,-19.52200,0.33400,-19.61400,0.28300,-19.11400,0.30400,-19.11400,0.24700,-19.02100,0.47900,-18.67200,0.39500,-18.56800,0.43600,0,-9999,-9999,-9999,26837782,-9999,-9999.00000
29.62500,47.82500,Kuwait,0,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,0.00010,0.00000,-16.87600,0.18300,-17.07600,0.21000,-16.84500,0.19200,-16.62700,0.61800,-16.62800,0.49000,-16.63900,0.67700,-16.53100,0.41300,-16.38400,0.46200,-19.51400,0.25400,-20.28700,0.38900,-20.05100,0.35800,-19.68200,0.30600,-19.77900,0.28700,-19.39300,0.24600,-19.63700,0.26100,-19.56000,0.25700,-19.47500,0.25700,-20.38200,0.33400,-20.34200,0.35900,-18.63400,0.27700,-19.30300,0.31700,-19.35200,0.33200,-19.21400,0.28300,-19.13600,0.29200,-19.20000,0.29700,-19.37300,0.39600,-19.29700,0.37500,-19.45200,0.33400,-18.84200,0.39500,-18.88500,0.25500,-18.74000,0.52700,-18.42500,0.46900,-18.28500,0.41000,0,-9999,-9999,-9999,26837782,-9999,-9999.00000
29.62500,47.87500,Kuwait,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-16.45000,0.22900,-16.50800,0.24400,-16.47800,0.18100,-16.26300,0.68700,-16.12000,0.43900,-16.20700,0.69500,-16.03700,0.44300,-15.78300,0.40500,-19.58200,0.24400,-20.34200,0.39800,-20.08000,0.33200,-19.79600,0.32300,-19.84200,0.32100,-19.49300,0.29800,-19.69000,0.25200,-19.58100,0.26000,-19.52700,0.24700,-20.45500,0.34300,-20.35500,0.39400,-18.36400,0.29400,-18.97600,0.28900,-19.01700,0.34000,-18.95400,0.31100,-18.95000,0.28200,-18.87500,0.34700,-19.02800,0.44100,-18.95500,0.36800,-19.05000,0.33800,-18.56600,0.41200,-18.57000,0.27500,-18.35300,0.55400,-18.20200,0.44600,-18.06300,0.33400,0,-9999,-9999,-9999,26837782,-9999,-9999.00000
29.62500,47.92500,Kuwait,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00030,41.00000,-16.28300,0.26600,-16.25700,0.27000,-16.35200,0.17500,-16.14600,0.74600,-15.92100,0.41300,-16.04700,0.70900,-15.84700,0.46200,-15.52500,0.36900,-19.51600,0.22600,-20.22000,0.37700,-20.00700,0.31000,-19.85400,0.31300,-19.80000,0.33800,-19.57200,0.34600,-19.66200,0.27900,-19.55600,0.28800,-19.54200,0.23200,-20.38200,0.37200,-20.23600,0.42300,-18.21600,0.33900,-18.70700,0.33400,-18.65600,0.34500,-18.78900,0.31900,-18.59100,0.32100,-18.43500,0.33800,-18.56900,0.34100,-18.41900,0.36100,-18.38400,0.29800,-18.14500,0.39500,-18.17200,0.28500,-17.93200,0.44900,-18.08600,0.37800,-18.00500,0.30200,0,-9999,-9999,-9999,26837782,-9999,-9999.00000
29.62500,47.97500,Kuwait,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-15.91900,0.35300,-15.68800,0.29100,-15.99800,0.23800,-15.85100,0.79100,-15.48800,0.40700,-15.71800,0.69700,-15.41400,0.47500,-15.10700,0.38200,-19.31000,0.24100,-19.89600,0.36700,-19.77600,0.31900,-19.76600,0.27800,-19.58800,0.33300,-19.49700,0.38700,-19.55200,0.31000,-19.38800,0.28200,-19.45300,0.24200,-20.11200,0.40400,-19.94600,0.40900,-18.13700,0.34200,-18.50100,0.36600,-18.39100,0.36800,-18.59200,0.34400,-18.29000,0.34500,-18.07600,0.36500,-18.28500,0.29000,-17.93800,0.31000,-17.91000,0.37500,-17.80000,0.34100,-17.94000,0.26800,-17.67200,0.43900,-18.05600,0.32200,-18.09300,0.34000,0,-9999,-9999,-9999,26837782,-9999,-9999.00000
29.62500,48.02500,Kuwait,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-15.78400,0.38600,-15.47700,0.29800,-15.86700,0.26200,-15.74200,0.80800,-15.32800,0.40400,-15.59600,0.69200,-15.25400,0.48000,-14.95200,0.38700,-19.03200,0.29300,-19.46100,0.33200,-19.44500,0.33400,-19.56200,0.31100,-19.22000,0.33300,-19.32500,0.42000,-19.34700,0.34800,-19.19400,0.26000,-19.30000,0.25300,-19.67800,0.40500,-19.52300,0.38400,-17.89800,0.38200,-18.20700,0.40300,-18.06100,0.39200,-18.05800,0.45300,-17.93200,0.39900,-17.59400,0.41300,-17.93200,0.43800,-17.48400,0.35900,-17.37700,0.45700,-17.40700,0.33900,-17.57900,0.32500,-17.24600,0.51500,-17.78100,0.36900,-17.83400,0.43300,0,-9999,-9999,-9999,26837782,-9999,-9999.00000
29.62500,48.07500,Kuwait,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-15.78400,0.46300,-15.29000,0.28900,-15.86400,0.37800,-15.89200,0.80500,-15.35600,0.44000,-15.70400,0.70600,-15.27700,0.48700,-15.06600,0.49500,-18.80600,0.32000,-19.04100,0.29200,-19.12600,0.34300,-19.37400,0.36700,-18.87400,0.32900,-19.17100,0.43300,-19.16300,0.40700,-19.06500,0.25600,-19.19900,0.26100,-19.23800,0.37000,-19.10900,0.36600,-17.25200,0.41200,-17.15800,0.41400,-17.23000,0.41600,-17.05800,0.52900,-16.58800,0.45200,-16.48100,0.41900,-17.11800,0.56500,-16.92100,0.44200,-16.66000,0.37200,-16.89500,0.30600,-16.80800,0.37400,-16.52500,0.53900,-17.29400,0.48600,-17.20000,0.44000,0,-9999,-9999,-9999,26837782,-9999,-9999.00000
29.62500,48.12500,Kuwait,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-15.81300,0.48800,-15.26600,0.28800,-15.89100,0.41800,-15.97900,0.81700,-15.40000,0.46600,-15.77900,0.72400,-15.32100,0.50500,-15.15900,0.55000,-18.69000,0.32300,-18.73800,0.27100,-18.95600,0.35500,-19.26100,0.44200,-18.63200,0.33100,-19.08300,0.44300,-19.07800,0.40600,-19.04100,0.29700,-19.20000,0.29500,-18.89800,0.38000,-18.79300,0.36800,-16.37900,0.46100,-15.71000,0.42000,-15.70300,0.38300,-16.01200,0.50700,-15.09200,0.32400,-14.82300,0.29300,-15.73400,0.59900,-16.05400,0.49200,-15.65500,0.32600,-16.24200,0.33500,-15.67900,0.48400,-15.49000,0.58900,-16.70400,0.58100,-16.47100,0.46600,1,-9999,-9999,-9999,26837782,-9999,0.00000
29.62500,48.17500,Kuwait,0,0.00000,0.00000,0.00010,88.00000,0.00010,64.00000,0.00040,244.00000,-16.13900,0.55700,-15.52200,0.30300,-16.22700,0.54200,-16.59000,1.01500,-15.82900,0.64600,-16.32700,0.89300,-15.76200,0.68800,-15.87700,0.85500,-18.81000,0.34000,-18.65400,0.27600,-18.98900,0.40500,-19.30900,0.51300,-18.59800,0.34700,-19.18300,0.44700,-19.22200,0.38100,-19.27000,0.32400,-19.41000,0.38100,-18.80600,0.43800,-18.69300,0.37400,-16.01300,0.37900,-15.08400,0.36700,-15.03800,0.34400,-15.50800,0.40700,-14.56100,0.32000,-14.16500,0.25000,-14.89100,0.48800,-15.74300,0.47500,-15.42000,0.34100,-15.74600,0.36500,-15.01900,0.33200,-14.94800,0.56900,-16.34300,0.72900,-15.79400,0.52200,11,-9999,-9999,-9999,26837782,-9999,0.01000
