latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
-16.22500,-68.37500,LaPaz,0,0.00050,0.00000,0.00050,0.00000,0.00050,0.00000,0.00050,0.00000,-9.77700,0.33000,-9.63200,0.37200,-9.56400,0.48600,-9.30200,0.56200,-9.32000,0.36300,-9.43400,0.30300,-9.24600,0.50000,-9.40400,0.52000,-9999.00000,-9999.00000,-13.11200,0.35600,-12.66500,0.27800,-12.95900,0.52400,-12.84400,0.49100,-13.05000,0.66100,-13.28900,0.40500,-12.99100,0.42100,-12.97800,0.33900,-13.07300,0.47400,-13.47000,0.45000,-10.27500,0.45400,-10.39300,0.70800,-10.87500,0.63300,-10.14700,0.64800,-10.28800,0.46700,-10.23000,0.63300,-10.25900,0.61300,-10.35300,0.51200,-10.21500,0.39900,-11.27400,0.99500,-10.80400,0.86500,-10.28300,0.59500,-10.40100,0.49400,-10.52900,0.49900,0,-9999,-9999,-9999,29577968,4.75000,1.76000
-16.22500,-68.32500,LaPaz,0,0.00810,4179.00000,0.00870,2665.00000,0.00910,2099.00000,0.00940,1675.00000,-9.49700,0.31600,-9.23800,0.34400,-9.27900,0.47400,-8.97800,0.50500,-9.05500,0.34400,-9.08300,0.30700,-8.95200,0.44100,-9.14200,0.51600,-9999.00000,-9999.00000,-12.72100,0.35000,-12.35300,0.27000,-12.51300,0.49200,-12.41500,0.48000,-12.68900,0.63000,-12.86400,0.42700,-12.59900,0.44000,-12.49500,0.34700,-12.65800,0.47500,-12.97500,0.46600,-9.66100,0.43300,-9.86300,0.64100,-10.21700,0.66200,-9.48200,0.61700,-9.65500,0.41400,-9.68500,0.52300,-9.63000,0.54700,-9.69000,0.41000,-9.70700,0.37200,-10.53200,0.96600,-10.16800,0.75700,-9.78700,0.62000,-9.76600,0.46800,-9.88100,0.50400,0,-9999,-9999,-9999,29577968,4.22000,1.62000
-16.22500,-68.27500,LaPaz,1,0.00760,3735.00000,0.00860,2541.00000,0.01010,2048.00000,0.01060,1413.00000,-9.26300,0.30400,-8.90900,0.32200,-9.04000,0.46400,-8.70800,0.45800,-8.83400,0.32800,-8.79000,0.30900,-8.70600,0.39200,-8.92400,0.51400,-9999.00000,-9999.00000,-12.22800,0.34100,-11.98400,0.25300,-12.03200,0.45100,-11.95000,0.45300,-12.27000,0.59800,-12.39700,0.45000,-12.17200,0.46600,-11.98300,0.37300,-12.17800,0.48600,-12.45100,0.46500,-8.86000,0.43100,-9.09500,0.47200,-9.30100,0.56700,-8.75100,0.58900,-8.89300,0.38000,-9.08500,0.50300,-8.80700,0.40300,-8.85200,0.37500,-9.13500,0.38100,-9.48200,0.84900,-9.26100,0.52400,-9.10800,0.46200,-8.95500,0.48200,-9.03800,0.50100,0,-9999,-9999,-9999,29577968,4.41000,1.99000
-16.22500,-68.22500,LaPaz,0,0.00370,203.00000,0.00410,275.00000,0.00460,359.00000,0.00470,368.00000,-8.88200,0.26900,-8.37300,0.26200,-8.66100,0.43100,-8.33900,0.39400,-8.51100,0.28500,-8.37200,0.29600,-8.35500,0.30700,-8.59700,0.51800,-9999.00000,-9999.00000,-11.71300,0.32600,-11.57400,0.24700,-11.56000,0.43500,-11.51900,0.44900,-11.80700,0.59500,-11.91600,0.47800,-11.73800,0.49300,-11.49300,0.40000,-11.69000,0.48300,-11.92900,0.44900,-8.11500,0.53300,-8.29300,0.50600,-8.38000,0.48300,-8.05000,0.58300,-8.21400,0.40300,-8.40700,0.54400,-8.07700,0.35000,-8.10900,0.38500,-8.38900,0.40300,-8.51100,0.74800,-8.35600,0.39600,-8.24300,0.39200,-8.22500,0.58000,-8.19400,0.43100,0,-9999,-9999,-9999,29577968,4.78000,2.51000
-16.22500,-68.17500,LaPaz,0,0.00010,36.00000,0.00080,366.00000,0.00210,1009.00000,0.00330,2763.00000,-8.73200,0.25300,-8.17900,0.23800,-8.51600,0.41100,-8.20300,0.36600,-8.38800,0.26600,-8.22000,0.28800,-8.22400,0.27500,-8.46400,0.50700,-9999.00000,-9999.00000,-11.04800,0.31700,-10.99300,0.26900,-10.97600,0.39800,-10.96300,0.45500,-11.23200,0.60400,-11.31000,0.45200,-11.15800,0.52500,-10.91000,0.42400,-11.05000,0.48000,-11.22600,0.40400,-7.57400,0.54300,-7.61900,0.50500,-7.63500,0.38300,-7.46300,0.54300,-7.64200,0.40500,-7.78800,0.53100,-7.40600,0.28300,-7.57300,0.39100,-7.73500,0.32100,-7.93700,0.71900,-7.75100,0.38300,-7.52600,0.32400,-7.69600,0.51700,-7.61100,0.41100,0,-9999,-9999,-9999,29577968,5.70000,3.19000
-16.22500,-68.12500,LaPaz,0,0.00030,38.00000,0.00100,593.00000,0.00340,1999.00000,0.00850,4264.00000,-8.42500,0.21900,-7.81200,0.18700,-8.22700,0.35700,-7.93800,0.30500,-8.14400,0.22300,-7.93100,0.26700,-7.96700,0.21200,-8.18700,0.46400,-9999.00000,-9999.00000,-10.49600,0.31300,-10.50800,0.30000,-10.45900,0.38000,-10.48600,0.44200,-10.73200,0.59800,-10.80200,0.41700,-10.65500,0.52000,-10.46000,0.41900,-10.52900,0.45200,-10.67100,0.36100,-7.41800,0.55000,-7.39400,0.47400,-7.36900,0.34200,-7.31400,0.49100,-7.41400,0.40000,-7.52500,0.43000,-7.25100,0.24800,-7.40100,0.34800,-7.51200,0.27700,-7.82600,0.72900,-7.58400,0.38100,-7.34200,0.27600,-7.55100,0.48200,-7.48800,0.45500,0,-9999,-9999,-9999,29577968,6.63000,3.37000
-16.22500,-68.07500,LaPaz,0,0.00000,0.00000,0.00030,206.00000,0.00100,920.00000,0.00140,1209.00000,-8.28100,0.20700,-7.65100,0.16200,-8.07200,0.32100,-7.81000,0.26700,-8.01700,0.19500,-7.78600,0.25200,-7.82900,0.18100,-8.03200,0.42000,-9999.00000,-9999.00000,-9.96000,0.30300,-9.99300,0.29400,-9.93200,0.33200,-9.96600,0.39500,-10.18400,0.55600,-10.28200,0.38100,-10.12600,0.46700,-10.01300,0.40200,-10.03200,0.41700,-10.10600,0.33900,-7.38900,0.53500,-7.35600,0.43700,-7.32600,0.33300,-7.31800,0.46800,-7.36400,0.39100,-7.46000,0.37200,-7.24800,0.23400,-7.38000,0.33000,-7.46400,0.27300,-7.81200,0.69300,-7.56800,0.37900,-7.32600,0.26400,-7.51500,0.46400,-7.48100,0.42800,0,-9999,-9999,-9999,29577968,7.17000,3.59000
-16.22500,-68.02500,LaPaz,0,0.00000,0.00000,0.00020,210.00000,0.00050,690.00000,0.00070,723.00000,-8.13600,0.19500,-7.49000,0.14000,-7.91700,0.28600,-7.68300,0.23200,-7.89700,0.17000,-7.64100,0.23700,-7.69600,0.15300,-7.88000,0.37500,-9999.00000,-9999.00000,-9.44300,0.27700,-9.48500,0.27500,-9.41200,0.29300,-9.45600,0.33800,-9.63700,0.45600,-9.73500,0.32100,-9.61100,0.39300,-9.56700,0.37700,-9.55200,0.37600,-9.55800,0.30800,-7.36000,0.48800,-7.30600,0.37200,-7.31500,0.31400,-7.31000,0.41500,-7.31100,0.35600,-7.41200,0.29200,-7.25700,0.21000,-7.38000,0.30300,-7.43600,0.26000,-7.76100,0.60600,-7.54300,0.34900,-7.33200,0.25500,-7.47900,0.41100,-7.45700,0.35900,0,-9999,-9999,-9999,29577968,10.00000,4.32000
-16.22500,-67.97500,LaPaz,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.97900,0.18700,-7.36900,0.11600,-7.72000,0.25000,-7.56600,0.19200,-7.76700,0.14400,-7.49900,0.21600,-7.57000,0.12800,-7.71900,0.31200,-9999.00000,-9999.00000,-9.03200,0.24000,-9.07900,0.24300,-8.98000,0.27000,-9.03300,0.27800,-9.19600,0.32200,-9.27900,0.27100,-9.17900,0.33100,-9.19300,0.32500,-9.14400,0.33300,-9.13500,0.28500,-7.26700,0.39000,-7.23900,0.30200,-7.29200,0.25600,-7.25200,0.29300,-7.23500,0.27100,-7.32800,0.19300,-7.23100,0.15300,-7.32200,0.24400,-7.37100,0.21800,-7.59600,0.44700,-7.44200,0.26200,-7.28400,0.22000,-7.34800,0.28700,-7.38500,0.29100,0,-9999,-9999,-9999,29577968,46.04000,7.81000
-16.22500,-67.92500,LaPaz,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.91400,0.17700,-7.33800,0.11600,-7.64700,0.23900,-7.52300,0.18100,-7.71800,0.13800,-7.44200,0.20200,-7.52200,0.12100,-7.65300,0.28100,-9999.00000,-9999.00000,-8.66300,0.20000,-8.69700,0.20100,-8.59100,0.23600,-8.63800,0.20300,-8.78000,0.21500,-8.84400,0.23600,-8.77300,0.26600,-8.83400,0.27200,-8.76400,0.28600,-8.75100,0.26000,-7.15700,0.24800,-7.17100,0.23600,-7.23400,0.18300,-7.16500,0.19200,-7.15500,0.20800,-7.25300,0.15200,-7.14800,0.14100,-7.20500,0.20200,-7.24300,0.15000,-7.29000,0.25700,-7.29300,0.17600,-7.18300,0.17500,-7.18700,0.20600,-7.23000,0.23200,0,-9999,-9999,-9999,29577968,61.85000,8.71000
