latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
31.82500,74.12500,Lahore,1,0.00110,798.00000,0.00170,1402.00000,0.00210,1866.00000,0.00690,5047.00000,-10.18000,0.59800,-9.79900,0.90700,-9.62200,1.35300,-9.89100,0.70400,-9.90500,0.89700,-10.39900,0.66100,-10.40800,0.75000,-10.22600,0.71700,-12.75800,0.80600,-12.69600,0.59100,-12.68000,0.69500,-12.76400,0.65100,-12.81500,0.71900,-12.75600,0.65200,-12.58800,0.68600,-12.47600,0.74100,-12.50700,0.65600,-12.50100,0.68300,-12.60900,0.53100,-9.77700,0.75600,-9.85400,0.95600,-10.19900,0.63600,-9.77400,0.90000,-9.65100,0.79900,-9.95000,0.97900,-9.58200,0.75900,-9.61400,0.97700,-9.63300,0.78400,-9.46300,0.60300,-9.60200,0.60700,-9.54900,0.63500,-9.66200,0.63100,-9.52700,0.65400,0,-9999,-9999,-9999,26244012,10.39000,3.20000
31.82500,74.17500,Lahore,1,0.00170,5222.00000,0.00340,3070.00000,0.00470,2809.00000,0.01190,5401.00000,-10.18300,0.62300,-9.76700,0.93100,-9.61400,1.36700,-9.86500,0.69000,-9.89100,0.91900,-10.33800,0.64700,-10.39900,0.76200,-10.19000,0.73000,-12.78500,0.82900,-12.72000,0.60500,-12.67400,0.73200,-12.78700,0.62400,-12.84300,0.73000,-12.78400,0.68800,-12.59500,0.69200,-12.50300,0.74100,-12.54800,0.66400,-12.51200,0.68000,-12.62100,0.53300,-9.75900,0.76200,-9.83500,0.98200,-10.15500,0.68600,-9.75900,0.93000,-9.60100,0.85000,-9.87900,1.03900,-9.57800,0.77100,-9.59400,1.00600,-9.56000,0.81800,-9.43400,0.66400,-9.53800,0.61100,-9.49800,0.61600,-9.56800,0.64500,-9.46500,0.70400,0,-9999,-9999,-9999,26244012,9.28000,3.09000
31.82500,74.22500,Lahore,2,0.00360,6949.00000,0.03570,42989.00000,0.05280,37017.00000,0.09320,51168.00000,-10.21200,0.66400,-9.75700,0.96900,-9.63300,1.38400,-9.86900,0.68200,-9.90700,0.95800,-10.26700,0.63600,-10.41000,0.77500,-10.16500,0.75000,-12.82000,0.86900,-12.74300,0.64500,-12.67300,0.76700,-12.81700,0.59900,-12.88600,0.75000,-12.82300,0.74300,-12.60000,0.71100,-12.55300,0.75700,-12.60600,0.69500,-12.54900,0.67600,-12.64900,0.56400,-9.76700,0.78500,-9.82300,1.02200,-10.11800,0.78900,-9.79400,0.98600,-9.62300,0.91400,-9.87200,1.10100,-9.62000,0.80100,-9.62400,1.02600,-9.52400,0.85100,-9.45300,0.71600,-9.53200,0.61600,-9.50800,0.60200,-9.55100,0.65200,-9.46300,0.72900,0,-9999,-9999,-9999,26244012,9.54000,3.12000
31.82500,74.27500,Lahore,2,0.00450,37701.00000,0.02590,73130.00000,0.03800,62956.00000,0.06910,66279.00000,-10.22900,0.68200,-9.74100,0.98800,-9.63800,1.38300,-9.86800,0.66400,-9.90700,0.97400,-10.21400,0.61900,-10.41100,0.77800,-10.14000,0.75200,-12.87700,0.89300,-12.78700,0.69500,-12.69500,0.80000,-12.87400,0.58600,-12.95200,0.78000,-12.90000,0.80000,-12.62700,0.73300,-12.62100,0.78000,-12.69800,0.72800,-12.62300,0.68600,-12.70700,0.61900,-9.83300,0.87000,-9.86400,1.11700,-10.15900,0.95800,-9.91200,1.11100,-9.73800,1.02300,-9.95600,1.17900,-9.78500,0.93300,-9.72500,1.06600,-9.56600,0.92400,-9.52100,0.78900,-9.59400,0.64200,-9.60200,0.61000,-9.64400,0.68200,-9.54400,0.76000,0,-9999,-9999,-9999,26244012,9.28000,3.00000
31.82500,74.32500,Lahore,1,0.00100,1525.00000,0.00190,1217.00000,0.00260,829.00000,0.00830,2782.00000,-10.25600,0.68100,-9.74200,0.99300,-9.65900,1.34500,-9.89200,0.62100,-9.91800,0.95700,-10.17000,0.57400,-10.42800,0.78100,-10.13100,0.74600,-12.92300,0.90600,-12.80400,0.72800,-12.69900,0.77800,-12.92000,0.55100,-12.99700,0.78300,-12.95200,0.83100,-12.63200,0.72000,-12.65000,0.78500,-12.75600,0.74000,-12.67000,0.70600,-12.75000,0.68600,-9.90100,0.95200,-9.91900,1.21300,-10.20400,1.08600,-10.02100,1.25300,-9.84600,1.10500,-10.05300,1.26900,-9.96000,1.07000,-9.85100,1.09600,-9.63200,1.01200,-9.62600,0.89200,-9.66300,0.67400,-9.70100,0.64300,-9.77900,0.72400,-9.65000,0.81600,0,-9999,-9999,-9999,26244012,10.76000,3.30000
31.82500,74.37500,Lahore,1,0.00040,1026.00000,0.00110,956.00000,0.00160,1003.00000,0.00530,3528.00000,-10.28000,0.68200,-9.74900,0.99400,-9.68200,1.31100,-9.91800,0.58900,-9.93700,0.94500,-10.14100,0.53600,-10.45100,0.78800,-10.13100,0.74200,-13.00200,0.90600,-12.84000,0.72200,-12.74800,0.73000,-13.00200,0.51000,-13.05400,0.77800,-13.02400,0.82600,-12.68500,0.69700,-12.70000,0.76000,-12.84200,0.75000,-12.77300,0.74000,-12.85200,0.74100,-9.94300,0.99900,-9.94900,1.25000,-10.22500,1.12700,-10.06200,1.33000,-9.90500,1.12400,-10.09900,1.29600,-10.05000,1.12600,-9.92200,1.09700,-9.67600,1.05600,-9.69800,0.95800,-9.71000,0.67700,-9.78100,0.68200,-9.89100,0.74600,-9.73000,0.84200,0,-9999,-9999,-9999,26244012,10.17000,3.27000
31.82500,74.42500,Lahore,1,0.00030,4795.00000,0.00040,2201.00000,0.00050,1615.00000,0.00180,3360.00000,-10.28900,0.65600,-9.76800,0.97000,-9.70900,1.25700,-9.95200,0.54600,-9.95500,0.90800,-10.14300,0.51700,-10.47100,0.79700,-10.13900,0.73500,-13.08400,0.87300,-12.87900,0.67800,-12.79000,0.64800,-13.06600,0.48200,-13.09700,0.75400,-13.08900,0.80600,-12.72800,0.64900,-12.73400,0.70700,-12.91200,0.73500,-12.87800,0.75700,-12.95100,0.78800,-9.97800,1.00100,-9.98100,1.25900,-10.24200,1.12600,-10.08500,1.35800,-9.93800,1.11600,-10.12900,1.28600,-10.06800,1.14500,-9.96600,1.08700,-9.70800,1.06900,-9.73100,0.96000,-9.75700,0.64500,-9.83200,0.70800,-9.96300,0.75800,-9.78100,0.83100,0,-9999,-9999,-9999,26244012,10.10000,3.27000
31.82500,74.47500,Lahore,1,0.00210,10127.00000,0.00360,6244.00000,0.00490,6127.00000,0.00750,6286.00000,-10.28600,0.60900,-9.76200,0.92000,-9.70900,1.17700,-9.96700,0.48600,-9.94500,0.84900,-10.13400,0.48000,-10.46900,0.78400,-10.11800,0.70700,-13.13700,0.75600,-12.87200,0.59200,-12.77800,0.51700,-13.05900,0.42800,-13.08400,0.68400,-13.11700,0.74500,-12.69900,0.54600,-12.70100,0.62900,-12.90300,0.64600,-12.89300,0.70800,-12.98600,0.80300,-10.01000,0.88700,-10.01700,1.19200,-10.24800,1.02100,-10.06700,1.30800,-9.92800,1.03900,-10.14300,1.19600,-10.02100,1.07900,-9.95400,1.03700,-9.72500,1.02400,-9.75700,0.90700,-9.79600,0.58000,-9.83100,0.70200,-9.96000,0.72000,-9.84300,0.78400,0,-9999,-9999,-9999,26244012,9.86000,3.22000
31.82500,74.52500,Lahore,1,0.00440,17840.00000,0.00990,14074.00000,0.02730,19359.00000,0.04100,20799.00000,-10.26700,0.54700,-9.74800,0.83000,-9.68800,1.12000,-9.98300,0.43900,-9.92300,0.78800,-10.14200,0.45400,-10.45700,0.75200,-10.08400,0.66700,-13.19100,0.62100,-12.85800,0.49200,-12.74900,0.40100,-13.02900,0.36200,-13.03600,0.62100,-13.12400,0.67500,-12.65600,0.45100,-12.64300,0.54300,-12.86700,0.56000,-12.86800,0.64500,-13.01700,0.81700,-10.04000,0.67600,-10.02600,1.02900,-10.26700,0.84300,-10.00400,1.18100,-9.82700,0.85600,-10.13300,1.07700,-9.87000,0.93100,-9.88900,0.90500,-9.71100,0.93000,-9.72500,0.80100,-9.78500,0.53000,-9.77600,0.68100,-9.90400,0.66100,-9.88600,0.70500,0,-9999,-9999,-9999,26244012,9.24000,3.08000
31.82500,74.57500,Lahore,1,0.00160,1589.00000,0.00810,13278.00000,0.03050,33398.00000,0.04270,37863.00000,-10.24900,0.48300,-9.74600,0.73000,-9.66900,1.07000,-10.01400,0.39000,-9.91500,0.72300,-10.16600,0.43000,-10.45600,0.72400,-10.05900,0.63200,-13.20600,0.48900,-12.81700,0.40000,-12.69200,0.35200,-12.94400,0.32400,-12.92300,0.56500,-13.07600,0.61300,-12.56800,0.37400,-12.54100,0.45700,-12.77800,0.47900,-12.78300,0.57400,-12.99600,0.82900,-10.02300,0.49600,-9.97400,0.79200,-10.23900,0.68000,-9.92100,1.06200,-9.68400,0.64200,-10.00900,0.92500,-9.64200,0.78200,-9.77800,0.75100,-9.62800,0.86300,-9.61200,0.69700,-9.71100,0.51100,-9.66600,0.68100,-9.81300,0.61000,-9.88800,0.63900,0,-9999,-9999,-9999,26244012,10.71000,3.26000
