latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
36.32500,103.52500,Lanzhou,1,0.00460,5747.00000,0.00910,5551.00000,0.00960,3556.00000,0.01070,2302.00000,-9.58100,0.92100,-10.28300,1.02800,-8.92400,1.34600,-10.73100,0.81600,-10.24000,1.44000,-10.41300,1.14600,-9.37900,1.43400,-9.77900,1.42700,-12.15100,0.80800,-11.70900,1.07400,-11.89700,0.91100,-12.47200,0.62000,-11.80900,0.96800,-12.15500,0.76800,-12.02700,0.68100,-12.09800,0.93000,-11.44200,0.94900,-11.55200,1.05900,-11.91400,1.00800,-8.96100,1.36600,-9.75900,1.31000,-9.66100,1.67000,-10.24100,1.44300,-9.76200,1.32200,-9.12600,1.41000,-9.34900,1.30700,-9.12200,1.38000,-10.18500,0.99000,-8.87600,1.59300,-9.37600,1.78600,-7.91600,1.45200,-9.31500,1.37000,-9.04400,1.11600,0,0.00000,0.01530,0.00090,24909508,1.15000,0.88000
36.32500,103.57500,Lanzhou,0,0.00000,0.00000,0.00020,225.00000,0.00070,476.00000,0.00290,1040.00000,-9.61100,0.92500,-10.27700,1.01000,-9.06800,1.34200,-10.69200,0.78700,-10.26900,1.44500,-10.38300,1.18500,-9.44900,1.40000,-9.82400,1.37100,-12.24000,0.80100,-11.80700,1.06600,-11.97400,0.91700,-12.52700,0.63400,-11.88600,0.98200,-12.22500,0.79800,-12.17100,0.66200,-12.19700,0.93700,-11.52100,0.96600,-11.64100,1.02800,-11.96800,0.98800,-9.12800,1.40000,-10.01700,1.27500,-9.92400,1.70700,-10.55100,1.49400,-10.09300,1.38300,-9.41800,1.46600,-9.62800,1.38700,-9.38900,1.47700,-10.50200,1.02900,-9.20700,1.68100,-9.71900,1.82100,-8.22700,1.41600,-9.59800,1.41700,-9.42700,1.15200,0,0.00590,1.79920,0.33400,24909508,1.25000,0.81000
36.32500,103.62500,Lanzhou,0,0.00000,0.00000,0.00020,0.00000,0.00070,0.00000,0.00210,0.00000,-9.63300,0.92800,-10.27400,0.99700,-9.17400,1.33900,-10.66300,0.76500,-10.29100,1.44800,-10.36100,1.21400,-9.50000,1.37600,-9.85700,1.33000,-12.38900,0.78500,-11.95300,1.06700,-12.08200,0.93100,-12.62000,0.64600,-11.99700,1.00300,-12.34600,0.82100,-12.35400,0.65100,-12.32400,0.93200,-11.62800,0.96700,-11.76900,1.01200,-12.05600,0.98600,-9.26100,1.44200,-10.19700,1.26300,-10.08800,1.72800,-10.76100,1.48700,-10.30900,1.42800,-9.63600,1.50900,-9.84600,1.47500,-9.55500,1.54900,-10.69500,1.09800,-9.46900,1.74600,-10.01600,1.86700,-8.54800,1.39100,-9.85700,1.47000,-9.76500,1.14400,0,0.00060,0.28840,0.03010,24909508,1.00000,0.69000
36.32500,103.67500,Lanzhou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.63900,0.92700,-10.27200,0.97700,-9.29100,1.32200,-10.59300,0.75000,-10.28600,1.43900,-10.32200,1.23100,-9.56800,1.33700,-9.92500,1.26500,-12.57400,0.75200,-12.11100,1.05200,-12.18600,0.94000,-12.74400,0.68000,-12.11900,1.03400,-12.48600,0.84300,-12.56300,0.63700,-12.46300,0.92200,-11.73100,0.95100,-11.92700,1.00400,-12.14200,0.99600,-9.33900,1.49000,-10.29000,1.26600,-10.18100,1.76500,-10.84800,1.46900,-10.40500,1.41800,-9.75700,1.53100,-9.91600,1.51900,-9.60800,1.55700,-10.78500,1.15800,-9.66000,1.72700,-10.15900,1.85800,-8.75200,1.38700,-9.99200,1.48500,-9.92300,1.13100,0,0.00120,0.68030,0.05910,24909508,1.00000,0.69000
36.32500,103.72500,Lanzhou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.64400,0.92700,-10.27100,0.96300,-9.37200,1.31000,-10.54500,0.74000,-10.28200,1.43300,-10.29400,1.24300,-9.61500,1.31000,-9.97300,1.22000,-12.74400,0.71600,-12.21600,1.03400,-12.22000,0.93800,-12.86000,0.67100,-12.19500,1.05800,-12.60500,0.85600,-12.73200,0.64000,-12.58300,0.88300,-11.78600,0.94000,-12.03100,0.99900,-12.21100,1.00200,-9.37000,1.53500,-10.36900,1.26900,-10.25100,1.78400,-10.87200,1.44700,-10.45100,1.42500,-9.78800,1.54200,-9.92500,1.54000,-9.60000,1.55700,-10.82100,1.18200,-9.76600,1.68800,-10.18700,1.83800,-8.82800,1.40700,-10.01300,1.49900,-9.96500,1.10200,0,0.00030,0.20870,0.02330,24909508,1.15000,0.75000
36.32500,103.77500,Lanzhou,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.64500,0.92400,-10.24200,0.96500,-9.44700,1.28500,-10.45200,0.75700,-10.24300,1.43100,-10.24600,1.23300,-9.67300,1.28900,-10.00500,1.15600,-12.87300,0.67800,-12.28900,1.00600,-12.21900,0.93000,-12.92300,0.64600,-12.22300,1.05400,-12.68600,0.85100,-12.84700,0.64600,-12.65600,0.85200,-11.80100,0.94400,-12.09000,0.99300,-12.27800,1.00100,-9.37300,1.57200,-10.43000,1.28100,-10.27700,1.76900,-10.85500,1.37600,-10.44300,1.43500,-9.77500,1.55000,-9.86700,1.56100,-9.53200,1.58300,-10.77000,1.19300,-9.75300,1.62000,-10.11100,1.79400,-8.81500,1.44100,-9.97000,1.52600,-9.93200,1.06800,0,0.00000,0.00760,0.00080,24909508,1.13000,0.71000
36.32500,103.82500,Lanzhou,0,0.00000,4292.00000,0.00000,6366.00000,0.00000,6741.00000,0.00420,2199.00000,-9.64400,0.92200,-10.22200,0.96600,-9.49400,1.26900,-10.38900,0.76800,-10.21600,1.43000,-10.21300,1.22600,-9.71000,1.27400,-10.02400,1.11500,-12.94000,0.65000,-12.31300,0.98600,-12.20200,0.91900,-12.93100,0.61300,-12.21800,1.04400,-12.72400,0.82000,-12.89600,0.61300,-12.65700,0.83900,-11.77500,0.96000,-12.10500,0.97600,-12.30100,1.00500,-9.35200,1.57900,-10.41700,1.28700,-10.21900,1.71500,-10.77700,1.31100,-10.36300,1.45600,-9.70500,1.56400,-9.75900,1.56000,-9.37900,1.58500,-10.62000,1.18200,-9.66200,1.54200,-9.94300,1.72900,-8.74700,1.43400,-9.85500,1.53700,-9.81000,1.05800,0,0.00730,1.80440,0.31330,24909508,1.00000,0.60000
36.32500,103.87500,Lanzhou,0,0.00000,0.00000,0.00140,2552.00000,0.00190,3593.00000,0.00450,1195.00000,-9.63700,0.92100,-10.19000,0.97300,-9.50500,1.25100,-10.28300,0.81900,-10.17200,1.44900,-10.16100,1.21300,-9.72000,1.28300,-9.98900,1.09700,-12.94200,0.62200,-12.26900,0.97000,-12.13700,0.92400,-12.87900,0.57300,-12.16500,1.05200,-12.69900,0.80900,-12.88600,0.56800,-12.59400,0.83200,-11.69900,0.97800,-12.08100,0.95900,-12.25300,1.00900,-9.30700,1.60300,-10.32600,1.27500,-10.10700,1.63600,-10.60700,1.26700,-10.23100,1.46800,-9.57900,1.56600,-9.62800,1.55800,-9.17800,1.55000,-10.38700,1.15200,-9.49100,1.48500,-9.74400,1.68600,-8.66500,1.41200,-9.69300,1.50400,-9.62700,1.04500,0,0.00090,0.10090,0.04420,24909508,1.00000,0.52000
36.32500,103.92500,Lanzhou,1,0.00140,20468.00000,0.01760,27414.00000,0.02080,27784.00000,0.03480,19922.00000,-9.63100,0.92000,-10.17000,0.97700,-9.51000,1.24100,-10.21500,0.85000,-10.14400,1.46000,-10.12800,1.20500,-9.72500,1.28800,-9.96600,1.08600,-12.87600,0.60700,-12.19500,0.91900,-12.03300,0.92500,-12.77100,0.54200,-12.06500,1.04200,-12.62600,0.79800,-12.81000,0.53400,-12.47600,0.82000,-11.57800,1.02300,-12.02100,0.94400,-12.14900,0.99000,-9.18100,1.62500,-10.19100,1.25200,-9.95800,1.52200,-10.35900,1.22900,-10.02500,1.44300,-9.39500,1.52200,-9.49300,1.56700,-8.98400,1.52600,-10.16100,1.09200,-9.33700,1.43900,-9.55600,1.63900,-8.54300,1.39600,-9.57900,1.48300,-9.44700,1.04500,0,0.02620,2.49750,2.18930,24909508,1.00000,0.56000
36.32500,103.97500,Lanzhou,1,0.00180,1416.00000,0.01830,4124.00000,0.02100,4463.00000,0.03600,7802.00000,-9.62600,0.92100,-10.14900,0.99700,-9.45100,1.23200,-10.11900,0.89900,-10.12300,1.47500,-10.06500,1.18400,-9.68400,1.30200,-9.91400,1.08400,-12.76500,0.60600,-12.09000,0.86900,-11.91100,0.92500,-12.60800,0.55000,-11.93800,1.03200,-12.52600,0.76600,-12.65400,0.49100,-12.32200,0.79900,-11.44100,1.07400,-11.91100,0.92800,-12.02200,0.94000,-9.04700,1.64400,-10.06900,1.24900,-9.88500,1.42200,-10.17400,1.19900,-9.80800,1.42200,-9.26100,1.47300,-9.37200,1.53200,-8.85100,1.52700,-9.99100,0.98600,-9.28100,1.39900,-9.41700,1.57800,-8.44000,1.38700,-9.50200,1.50400,-9.35200,1.03400,0,0.00840,0.96850,0.54960,24909508,1.01000,0.66000
