latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
36.47500,-115.47500,LasVegas,0,0.00000,645.00000,0.00000,1138.00000,0.00000,1666.00000,0.00070,0.00000,-8.09000,0.25200,-8.13900,0.22800,-8.15300,0.30000,-8.47300,0.27700,-8.56100,0.46700,-8.60700,0.35900,-8.56400,0.30800,-8.08100,0.28600,-9.51200,0.40600,-9.02600,0.60500,-8.93800,0.29800,-8.48300,0.31200,-8.96500,0.51400,-9.00300,0.46500,-9.37000,0.70400,-9.15900,0.46900,-9.19100,0.67200,-8.92400,0.36800,-8.89300,0.43700,-8.52500,0.61000,-8.42000,0.40300,-8.28800,0.36500,-8.19500,0.28500,-8.47300,0.34100,-8.83000,0.53400,-8.99600,0.54700,-8.92000,0.48100,-8.62500,0.33400,-8.54300,0.42400,-8.62500,0.40200,-8.34500,0.43800,-8.23300,0.25100,-7.99400,0.22900,0,0.00020,0.46350,0.02900,24862310,-9999.00000,0.01000
36.47500,-115.42500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-8.08800,0.25100,-8.13700,0.22900,-8.14900,0.29800,-8.47100,0.27600,-8.55800,0.46700,-8.60400,0.35900,-8.56200,0.30800,-8.07800,0.28600,-9.43100,0.39700,-8.94300,0.58900,-8.81400,0.27900,-8.38900,0.32900,-8.83700,0.48400,-8.91400,0.45300,-9.27000,0.67700,-9.05000,0.44900,-9.09600,0.67500,-8.76500,0.34600,-8.80100,0.41500,-8.39800,0.58100,-8.19700,0.40500,-8.15100,0.37700,-8.09300,0.29300,-8.28700,0.39500,-8.70700,0.48800,-8.76200,0.52600,-8.73000,0.42600,-8.42600,0.33000,-8.33100,0.42000,-8.54300,0.41100,-8.25400,0.44700,-8.07700,0.22300,-7.77200,0.20500,0,0.00010,0.16510,0.01170,24862310,-9999.00000,0.01000
36.47500,-115.37500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-8.01300,0.26000,-8.07600,0.23700,-8.03000,0.26500,-8.40600,0.27700,-8.44100,0.49400,-8.50400,0.36100,-8.48100,0.30800,-8.00400,0.28200,-9.36700,0.39000,-8.83600,0.56900,-8.70800,0.27500,-8.30600,0.35400,-8.73100,0.46200,-8.84000,0.46200,-9.17300,0.66800,-8.93900,0.43900,-9.02300,0.66600,-8.63300,0.33200,-8.71700,0.41300,-8.26900,0.60100,-8.00700,0.35200,-8.00500,0.35300,-7.95000,0.28600,-8.14100,0.43200,-8.58900,0.49000,-8.62000,0.54100,-8.59000,0.44700,-8.27000,0.32800,-8.20400,0.39600,-8.41800,0.44500,-8.11000,0.46200,-7.89500,0.25900,-7.58300,0.16300,0,0.00000,0.00000,0.00000,24862310,-9999.00000,0.01000
36.47500,-115.32500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.99600,0.26600,-8.07100,0.24000,-8.00700,0.26200,-8.39600,0.27700,-8.41500,0.49800,-8.47700,0.36100,-8.46100,0.30500,-7.98700,0.27700,-9.29900,0.38300,-8.72700,0.55000,-8.59000,0.28300,-8.20700,0.37400,-8.62700,0.44800,-8.75100,0.48000,-9.07000,0.65600,-8.80200,0.42500,-8.91200,0.67400,-8.48500,0.31700,-8.61300,0.42400,-8.02200,0.54000,-7.76100,0.31800,-7.73500,0.34900,-7.75800,0.30700,-7.87500,0.39000,-8.25700,0.47400,-8.27800,0.48800,-8.28300,0.44700,-8.01100,0.33300,-7.88500,0.38300,-8.18200,0.46500,-7.87200,0.50900,-7.64500,0.26400,-7.37300,0.15700,0,0.00000,0.00000,0.00000,24862310,1.00000,0.04000
36.47500,-115.27500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.93500,0.27400,-8.03100,0.24600,-7.90900,0.22800,-8.34200,0.27300,-8.31300,0.51300,-8.38300,0.36900,-8.38200,0.31000,-7.94400,0.28700,-9.26200,0.38600,-8.64600,0.53600,-8.50400,0.29600,-8.13900,0.39300,-8.55800,0.44900,-8.68500,0.50100,-8.98600,0.64900,-8.67500,0.41300,-8.81100,0.67300,-8.37200,0.31500,-8.51100,0.42900,-7.82600,0.54500,-7.54100,0.28800,-7.52900,0.35500,-7.55800,0.30500,-7.65800,0.38500,-8.01600,0.48700,-8.01000,0.49900,-8.05300,0.38400,-7.79500,0.33200,-7.67900,0.34600,-8.00700,0.46200,-7.66800,0.52700,-7.44100,0.26300,-7.16700,0.16800,0,0.00000,0.00000,0.00000,24862310,1.00000,0.13000
36.47500,-115.22500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.91700,0.27700,-8.02300,0.25000,-7.87500,0.21000,-8.32500,0.27100,-8.27400,0.51900,-8.34700,0.37100,-8.35000,0.30900,-7.92900,0.28900,-9.23700,0.39000,-8.58700,0.54400,-8.45300,0.32500,-8.09500,0.40700,-8.51900,0.47200,-8.63900,0.50500,-8.90000,0.64000,-8.55100,0.40900,-8.72000,0.67600,-8.29800,0.33000,-8.41700,0.42900,-7.64500,0.58700,-7.34100,0.26600,-7.34900,0.35500,-7.37500,0.29600,-7.48200,0.41200,-7.84200,0.51200,-7.82100,0.52700,-7.92100,0.37500,-7.62400,0.34300,-7.56500,0.32300,-7.85500,0.49000,-7.57100,0.54900,-7.27600,0.27200,-6.99600,0.18600,0,0.00000,0.00000,0.00000,24862310,1.00000,0.00000
36.47500,-115.17500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.90600,0.26500,-8.02200,0.25100,-7.82900,0.17400,-8.32000,0.27700,-8.22600,0.51300,-8.31700,0.37400,-8.32300,0.30600,-7.94300,0.31100,-9.20100,0.39300,-8.55100,0.57700,-8.41000,0.34400,-8.05600,0.41300,-8.49400,0.49800,-8.57700,0.50000,-8.81700,0.62700,-8.43900,0.39700,-8.62900,0.68300,-8.22700,0.34800,-8.30900,0.40600,-7.51000,0.59300,-7.17400,0.25400,-7.15700,0.33700,-7.23700,0.30700,-7.35900,0.43900,-7.71900,0.51500,-7.68500,0.53900,-7.83500,0.41200,-7.50300,0.34500,-7.49500,0.32000,-7.72200,0.48600,-7.49700,0.58200,-7.16500,0.28600,-6.86800,0.17900,0,0.00000,0.00000,0.00000,24862310,1.00000,0.11000
36.47500,-115.12500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.90900,0.25300,-8.02800,0.25200,-7.80000,0.14000,-8.32000,0.28200,-8.19400,0.50700,-8.30100,0.37600,-8.30500,0.30200,-7.95700,0.32800,-9.16900,0.40200,-8.55400,0.62100,-8.38600,0.34500,-8.02300,0.40900,-8.50000,0.51700,-8.51700,0.49100,-8.76000,0.62000,-8.36400,0.39200,-8.56600,0.69000,-8.18700,0.36200,-8.21100,0.37400,-7.40600,0.58500,-7.07400,0.25900,-7.00600,0.31100,-7.11600,0.30800,-7.29400,0.44800,-7.60100,0.49000,-7.54500,0.54200,-7.75800,0.45600,-7.37100,0.32100,-7.44100,0.33500,-7.57300,0.44100,-7.31700,0.53800,-7.06300,0.27900,-6.76100,0.14600,0,0.00000,0.00000,0.00000,24862310,1.13000,0.30000
36.47500,-115.07500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.92700,0.24200,-8.05500,0.24600,-7.79400,0.12300,-8.35100,0.29900,-8.19400,0.50500,-8.31800,0.38100,-8.31700,0.30100,-8.00800,0.34600,-9.16800,0.39800,-8.62000,0.64900,-8.40300,0.32800,-8.03400,0.40500,-8.55200,0.52900,-8.50700,0.48300,-8.76100,0.61400,-8.36700,0.39000,-8.57900,0.69000,-8.22500,0.36800,-8.18200,0.35000,-7.40900,0.58100,-7.11500,0.27900,-7.01300,0.31400,-7.10300,0.31400,-7.32000,0.44700,-7.56600,0.47800,-7.49700,0.53400,-7.74800,0.48300,-7.34600,0.31800,-7.45700,0.38600,-7.53000,0.42800,-7.23200,0.47900,-7.03600,0.26800,-6.74000,0.13300,0,0.00000,0.00000,0.00000,24862310,1.21000,0.02000
36.47500,-115.02500,LasVegas,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-7.95000,0.22700,-8.09100,0.23900,-7.78700,0.10300,-8.39000,0.32100,-8.19300,0.50200,-8.33900,0.38800,-8.33200,0.30000,-8.07400,0.36800,-9.18600,0.38000,-8.74000,0.66200,-8.45700,0.30000,-8.09400,0.40900,-8.63400,0.53100,-8.53800,0.47200,-8.82100,0.61400,-8.44300,0.37800,-8.65000,0.67900,-8.32500,0.37000,-8.20700,0.32400,-7.49400,0.57500,-7.21100,0.30300,-7.07800,0.31900,-7.18000,0.32200,-7.40400,0.45500,-7.62000,0.48500,-7.53800,0.53300,-7.79100,0.50000,-7.40300,0.34300,-7.53900,0.44800,-7.59400,0.44100,-7.27700,0.50300,-7.08800,0.30200,-6.79800,0.16200,0,0.00000,0.00000,0.00000,24862310,-9999.00000,0.01000
