latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
54.07500,-1.82500,Leeds,1,0.00010,483.00000,0.00160,296.00000,0.01020,372.00000,0.01810,489.00000,-11.79700,0.48600,-11.94900,0.69000,-12.37300,0.24900,-12.25800,0.33000,-12.06500,0.33400,-11.65000,0.28600,-11.91300,0.33100,-11.82700,0.26000,-14.07300,0.58200,-13.74000,0.36100,-13.82000,0.39800,-13.70800,0.44800,-13.87900,0.42300,-13.64300,0.30600,-13.83900,0.37000,-13.73000,0.31900,-13.61600,0.41200,-13.52300,0.43000,-13.75800,0.42300,-12.29800,0.49000,-11.89200,0.50600,-12.33200,0.38200,-12.25900,0.42900,-12.32300,0.33000,-11.98900,0.41800,-12.36500,0.30300,-12.39600,0.35800,-12.50300,0.29800,-12.36900,0.25300,-12.23100,0.33000,-12.54400,0.49700,-12.21000,0.54100,-12.32800,0.44900,0,0.00120,0.80490,0.06560,18214690,26.49000,7.06000
54.07500,-1.77500,Leeds,1,0.00210,1457.00000,0.00460,1428.00000,0.00520,1397.00000,0.00610,1511.00000,-11.49200,0.36400,-11.55200,0.72700,-12.02100,0.26000,-11.83300,0.36500,-11.61200,0.34300,-11.34800,0.30300,-11.47700,0.40000,-11.42600,0.31300,-13.76300,0.48900,-13.46000,0.38400,-13.55600,0.35400,-13.44400,0.42200,-13.59200,0.40000,-13.38200,0.29800,-13.59400,0.37500,-13.42200,0.31100,-13.37000,0.41800,-13.26600,0.42800,-13.53400,0.38100,-11.97900,0.45400,-11.61800,0.42700,-11.97900,0.34800,-12.04300,0.41000,-11.94800,0.30000,-11.63300,0.36300,-12.07500,0.31100,-12.03800,0.33500,-12.19600,0.30600,-12.03800,0.27900,-11.88300,0.34400,-12.18100,0.43700,-11.82100,0.49400,-11.97000,0.39100,0,0.00420,1.95150,0.22590,18214690,26.68000,7.39000
54.07500,-1.72500,Leeds,1,0.00200,1245.00000,0.00950,2045.00000,0.01060,1956.00000,0.01380,1407.00000,-11.40600,0.37400,-11.47300,0.72200,-11.92500,0.25200,-11.73000,0.36800,-11.50200,0.33600,-11.25600,0.29600,-11.37200,0.40000,-11.33200,0.29900,-13.48700,0.47600,-13.19400,0.39800,-13.30000,0.35000,-13.18300,0.41800,-13.31300,0.37800,-13.11800,0.29900,-13.31700,0.39000,-13.13000,0.31300,-13.10100,0.42100,-13.00900,0.40100,-13.25400,0.35200,-11.63700,0.46400,-11.27300,0.40300,-11.66200,0.33700,-11.69400,0.40700,-11.61000,0.28200,-11.24000,0.34000,-11.71100,0.29900,-11.63200,0.32800,-11.86500,0.31000,-11.69900,0.26100,-11.51400,0.31500,-11.84400,0.45300,-11.50200,0.47400,-11.62400,0.37000,0,0.00540,4.12290,0.29700,18214690,27.94000,7.75000
54.07500,-1.67500,Leeds,1,0.00040,1159.00000,0.00270,782.00000,0.00390,791.00000,0.01140,1415.00000,-11.32100,0.38300,-11.39400,0.71700,-11.82900,0.24500,-11.62700,0.37000,-11.39200,0.32800,-11.16500,0.28900,-11.26700,0.40100,-11.23800,0.28500,-13.28300,0.46100,-12.99800,0.40200,-13.10800,0.34000,-12.99000,0.41500,-13.10600,0.36000,-12.92100,0.29700,-13.10200,0.40100,-12.91300,0.31000,-12.89400,0.42300,-12.81200,0.38400,-13.04400,0.33700,-11.37400,0.46800,-10.98600,0.40600,-11.42500,0.33700,-11.40900,0.40800,-11.34700,0.27700,-10.94900,0.35100,-11.41300,0.28800,-11.31300,0.31000,-11.58700,0.30600,-11.41600,0.24500,-11.21900,0.29100,-11.57700,0.45600,-11.25100,0.46900,-11.34600,0.35800,0,0.00400,3.01100,0.21030,18214690,28.91000,8.07000
54.07500,-1.62500,Leeds,1,0.00000,691.00000,0.00220,452.00000,0.00390,594.00000,0.00920,535.00000,-11.07300,0.40400,-11.16600,0.72300,-11.60700,0.29300,-11.38000,0.38700,-11.11400,0.31900,-10.95000,0.33500,-10.96000,0.51100,-10.97200,0.39300,-12.95400,0.50100,-12.68700,0.41800,-12.79000,0.33700,-12.71700,0.38200,-12.79600,0.31300,-12.63700,0.30800,-12.78100,0.39500,-12.57700,0.34500,-12.65000,0.44800,-12.56000,0.33700,-12.75200,0.31300,-10.94800,0.46000,-10.58000,0.46800,-11.01000,0.31500,-11.03600,0.42400,-10.98900,0.27000,-10.51900,0.36900,-11.00300,0.28500,-10.88100,0.29300,-11.05700,0.29600,-10.91100,0.20300,-10.70900,0.28000,-11.00700,0.44000,-10.76900,0.44100,-10.83700,0.34100,0,0.00340,3.50730,0.18290,18214690,28.17000,8.29000
54.07500,-1.57500,Leeds,1,0.00110,635.00000,0.00410,701.00000,0.00740,709.00000,0.04830,935.00000,-11.07300,0.40400,-11.16600,0.72300,-11.60700,0.29300,-11.38000,0.38700,-11.11400,0.31900,-10.95000,0.33500,-10.96000,0.51100,-10.97200,0.39300,-12.75000,0.49800,-12.50100,0.43000,-12.60400,0.34500,-12.54000,0.37100,-12.61300,0.30200,-12.44900,0.30000,-12.56600,0.38400,-12.37600,0.37000,-12.49100,0.46200,-12.39500,0.32500,-12.56200,0.31000,-10.69400,0.50800,-10.26900,0.44600,-10.64400,0.32600,-10.69800,0.44900,-10.66200,0.26900,-10.23600,0.39200,-10.65700,0.32700,-10.59800,0.32800,-10.69600,0.32500,-10.58700,0.25100,-10.33000,0.31500,-10.72100,0.41800,-10.45000,0.46700,-10.52300,0.34900,0,0.00360,4.38810,0.20420,18214690,25.53000,8.08000
54.07500,-1.52500,Leeds,1,0.00450,1159.00000,0.00960,1189.00000,0.01350,1234.00000,0.02800,1450.00000,-10.99400,0.40400,-11.08600,0.71600,-11.51900,0.29100,-11.29500,0.38500,-11.01900,0.31200,-10.87000,0.32800,-10.86500,0.51300,-10.88500,0.37900,-12.57600,0.49100,-12.33500,0.43700,-12.43100,0.34800,-12.38600,0.36600,-12.44100,0.29400,-12.27700,0.29500,-12.36600,0.37700,-12.19100,0.38900,-12.33600,0.47500,-12.23700,0.32000,-12.38100,0.31300,-10.49900,0.54700,-10.00800,0.41600,-10.37000,0.33800,-10.42600,0.47400,-10.40800,0.27800,-10.02800,0.42300,-10.37700,0.35500,-10.36900,0.34200,-10.39900,0.36100,-10.34000,0.29300,-10.02500,0.34000,-10.50800,0.42200,-10.19200,0.49900,-10.28700,0.36000,0,0.00470,5.03600,0.26080,18214690,21.26000,7.36000
54.07500,-1.47500,Leeds,1,0.00060,1259.00000,0.00110,1205.00000,0.00170,1105.00000,0.00200,1171.00000,-10.73100,0.43400,-10.88800,0.70100,-11.32000,0.35900,-11.09900,0.38200,-10.79200,0.29200,-10.65100,0.35200,-10.59000,0.63000,-10.63600,0.45900,-12.32700,0.52900,-12.13500,0.45400,-12.22700,0.35800,-12.18200,0.33300,-12.25300,0.28700,-12.09500,0.28500,-12.14400,0.33500,-11.99500,0.44100,-12.20400,0.49200,-12.08800,0.29900,-12.19600,0.31500,-10.34300,0.60700,-9.82700,0.44200,-10.24800,0.38600,-10.25600,0.55300,-10.30500,0.34900,-9.88400,0.50600,-10.25100,0.39300,-10.31100,0.34100,-10.23500,0.41700,-10.27200,0.32700,-9.90100,0.39800,-10.45000,0.46400,-10.09200,0.55200,-10.22900,0.37400,0,0.00480,4.21670,0.25480,18214690,16.04000,6.24000
54.07500,-1.42500,Leeds,0,0.00290,2084.00000,0.00350,2111.00000,0.00420,2092.00000,0.00490,1985.00000,-10.67700,0.43600,-10.83300,0.70100,-11.26000,0.35700,-11.03800,0.38300,-10.72100,0.28400,-10.59600,0.34700,-10.51900,0.63300,-10.57200,0.44300,-12.23000,0.53800,-12.06000,0.47300,-12.14500,0.37000,-12.10900,0.31700,-12.17800,0.28800,-12.02100,0.29300,-12.05000,0.32400,-11.91900,0.46600,-12.15400,0.48800,-12.03900,0.30800,-12.13000,0.31600,-10.32100,0.61600,-9.81500,0.44400,-10.23500,0.39600,-10.24100,0.56700,-10.28300,0.36400,-9.87200,0.51700,-10.23100,0.40200,-10.29700,0.34700,-10.21800,0.41800,-10.26600,0.33400,-9.88200,0.40500,-10.44500,0.46800,-10.07900,0.56000,-10.21900,0.37800,0,0.00850,4.97250,0.57280,18214690,12.98000,5.57000
54.07500,-1.37500,Leeds,0,0.00720,4113.00000,0.01020,4019.00000,0.01060,4009.00000,0.01080,4319.00000,-10.62300,0.43700,-10.77700,0.70000,-11.19900,0.35500,-10.97700,0.38300,-10.65100,0.27500,-10.54100,0.34100,-10.44900,0.63600,-10.50900,0.42600,-12.13200,0.53800,-11.98100,0.48500,-12.06200,0.37500,-12.02900,0.30700,-12.10300,0.28800,-11.94100,0.29800,-11.95100,0.31800,-11.84100,0.49100,-12.08900,0.48700,-11.97400,0.31500,-12.06000,0.31800,-10.30200,0.61600,-9.79700,0.44800,-10.22300,0.39100,-10.22100,0.56700,-10.26300,0.37000,-9.86300,0.52300,-10.21200,0.41000,-10.28200,0.34800,-10.19100,0.41700,-10.24600,0.34300,-9.85200,0.40600,-10.44700,0.47100,-10.05500,0.57000,-10.19600,0.37800,0,0.00820,5.45820,0.53920,18214690,12.07000,5.30000
54.07500,-1.32500,Leeds,1,0.00010,927.00000,0.00020,916.00000,0.00020,919.00000,0.00030,1086.00000,-10.55300,0.50400,-10.76800,0.68000,-11.15800,0.44200,-10.97700,0.39300,-10.60000,0.25600,-10.45000,0.38200,-10.37900,0.73300,-10.40300,0.49500,-12.01700,0.56100,-11.92300,0.51100,-11.95800,0.41100,-11.92500,0.30800,-12.04300,0.30500,-11.87200,0.30900,-11.85200,0.31100,-11.77100,0.50400,-12.03100,0.48000,-11.92800,0.33400,-12.02800,0.31500,-10.27800,0.62300,-9.80000,0.45600,-10.23100,0.41000,-10.23500,0.58700,-10.26800,0.39600,-9.87000,0.52800,-10.21100,0.42000,-10.27900,0.34900,-10.19000,0.42400,-10.25300,0.36300,-9.84500,0.41800,-10.49300,0.50500,-10.06100,0.57900,-10.21600,0.39300,0,0.00560,4.56070,0.27350,18214690,12.59000,5.31000
54.02500,-1.82500,Leeds,1,0.00000,146.00000,0.00000,11.00000,0.00000,0.00000,0.00190,110.00000,-11.55900,0.38000,-11.66000,0.68100,-12.03800,0.22500,-11.89600,0.33800,-11.67900,0.31000,-11.33500,0.26200,-11.55100,0.33800,-11.47800,0.22300,-13.67200,0.54100,-13.34600,0.35000,-13.39800,0.40300,-13.28100,0.45700,-13.42300,0.40300,-13.20400,0.31100,-13.37700,0.36200,-13.25800,0.26800,-13.10500,0.41000,-13.03800,0.42100,-13.26400,0.40000,-11.93500,0.46700,-11.59500,0.43300,-11.96800,0.35800,-12.01700,0.39700,-11.96800,0.32000,-11.65100,0.36400,-12.07100,0.30400,-12.05100,0.33800,-12.21700,0.29200,-12.04100,0.25500,-11.87500,0.35200,-12.18800,0.44300,-11.82900,0.52900,-11.99700,0.39400,0,0.00010,0.15660,0.00820,18236418,28.61000,6.90000
54.02500,-1.77500,Leeds,1,0.00000,131.00000,0.00070,316.00000,0.00110,427.00000,0.00390,176.00000,-11.54900,0.38000,-11.64800,0.68000,-12.02500,0.22400,-11.88300,0.33800,-11.66500,0.30900,-11.32300,0.26100,-11.53800,0.33800,-11.46500,0.22200,-13.54000,0.53200,-13.21600,0.34700,-13.26200,0.40100,-13.14500,0.45500,-13.27600,0.39400,-13.05700,0.31100,-13.22700,0.35900,-13.10700,0.25600,-12.94500,0.41400,-12.87800,0.42100,-13.10100,0.39400,-11.84200,0.46900,-11.52000,0.41800,-11.88300,0.34400,-11.94800,0.39600,-11.88100,0.31000,-11.54800,0.34900,-12.00200,0.30200,-11.95600,0.33600,-12.13800,0.30200,-11.95600,0.25800,-11.78200,0.34400,-12.10000,0.43500,-11.74600,0.51600,-11.91100,0.38600,0,0.00190,1.73020,0.07910,18236418,26.59000,7.40000
54.02500,-1.72500,Leeds,1,0.00220,494.00000,0.01000,443.00000,0.01230,467.00000,0.01670,527.00000,-11.20600,0.38200,-11.27900,0.70400,-11.69500,0.23900,-11.49900,0.36600,-11.24600,0.31800,-11.04200,0.28100,-11.12800,0.40500,-11.10400,0.27200,-13.16000,0.49000,-12.86500,0.35500,-12.91700,0.38200,-12.80500,0.45800,-12.91200,0.36000,-12.71200,0.30800,-12.88200,0.37000,-12.73100,0.25200,-12.60300,0.40100,-12.54300,0.41700,-12.74700,0.34900,-11.40600,0.50600,-11.15800,0.41800,-11.51000,0.32600,-11.55500,0.39900,-11.50900,0.31300,-11.06000,0.36100,-11.57900,0.27300,-11.48500,0.29600,-11.73400,0.32600,-11.53100,0.24700,-11.32100,0.28500,-11.64800,0.43700,-11.33700,0.47300,-11.49300,0.35900,0,0.00450,4.43560,0.22930,18236418,25.72000,7.72000
54.02500,-1.67500,Leeds,1,0.00570,1942.00000,0.02370,1519.00000,0.02970,1543.00000,0.03690,1649.00000,-11.10600,0.38000,-11.17900,0.69300,-11.57900,0.23500,-11.38900,0.36300,-11.12100,0.31100,-10.93600,0.27300,-11.00800,0.40900,-10.98900,0.26000,-12.88800,0.46400,-12.60400,0.36800,-12.67400,0.34900,-12.57900,0.42200,-12.65800,0.32300,-12.47600,0.29700,-12.59200,0.37700,-12.45900,0.26500,-12.38700,0.43100,-12.31000,0.38300,-12.52100,0.33000,-10.98700,0.43700,-10.63800,0.46500,-11.04500,0.30900,-11.08200,0.40100,-11.02400,0.28400,-10.57300,0.38100,-11.03500,0.28200,-10.91500,0.26300,-11.17100,0.29100,-10.98200,0.21500,-10.74200,0.28100,-11.09200,0.40900,-10.82200,0.48200,-10.88600,0.33500,0,0.00900,5.11860,0.67830,18236418,25.86000,7.90000
