latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
21.37500,-101.97500,Leon,1,0.00010,3662.00000,0.01040,6755.00000,0.02820,8814.00000,0.04320,11100.00000,-9.96100,0.53600,-9.87900,0.40000,-9.92800,0.54000,-9.72500,0.60300,-10.63500,0.27300,-9.91700,0.45400,-10.37700,0.53700,-10.80200,0.51800,-12.38200,0.32000,-12.56300,0.40400,-11.87800,0.40000,-11.76000,0.33200,-11.63700,0.34000,-11.68400,0.39300,-12.26500,0.45500,-11.87700,0.67400,-11.75900,0.29700,-11.62300,0.29900,-12.39300,0.64600,-9.96800,0.48200,-9.52800,0.56000,-10.20100,0.84200,-9.66000,0.64900,-10.36100,0.59900,-9.79000,0.58100,-9.47700,0.73600,-9.76000,0.37900,-9.75700,0.49700,-9.59200,0.54200,-9.49400,0.49600,-9.22000,0.86300,-9.48200,0.63500,-9.67400,0.52400,0,-9999,-9999,-9999,28707012,4.44000,2.16000
21.37500,-101.92500,Leon,2,0.03580,37316.00000,0.10990,57368.00000,0.13950,71467.00000,0.16770,91339.00000,-9.96100,0.53800,-9.86700,0.39000,-9.91700,0.53200,-9.72200,0.59400,-10.62700,0.27000,-9.91600,0.45500,-10.35400,0.53100,-10.78800,0.50000,-12.34100,0.31000,-12.44900,0.38600,-11.84700,0.39100,-11.65700,0.31100,-11.53900,0.36100,-11.60000,0.35500,-12.12600,0.44600,-11.79700,0.65600,-11.70500,0.29500,-11.54800,0.31000,-12.28400,0.61300,-9.81900,0.47600,-9.37200,0.54700,-10.02800,0.80200,-9.52600,0.63500,-10.18200,0.54200,-9.69600,0.56600,-9.35800,0.71500,-9.63000,0.38300,-9.57800,0.47300,-9.42800,0.54000,-9.37600,0.46300,-9.07700,0.82000,-9.33400,0.60800,-9.50600,0.52000,0,-9999,-9999,-9999,28707012,4.01000,2.16000
21.37500,-101.87500,Leon,1,0.00130,3837.00000,0.01140,6210.00000,0.01710,7950.00000,0.02500,10041.00000,-9.98800,0.54800,-9.85100,0.35100,-9.88700,0.50300,-9.73400,0.53600,-10.63000,0.24300,-9.94800,0.47800,-10.27300,0.51700,-10.75300,0.41100,-12.28400,0.30600,-12.31200,0.36100,-11.78300,0.41100,-11.53600,0.29800,-11.43000,0.37400,-11.53600,0.30400,-11.95700,0.42000,-11.70500,0.64000,-11.65500,0.30200,-11.46900,0.30400,-12.15700,0.53900,-9.73000,0.45100,-9.32500,0.51700,-9.95000,0.73400,-9.47800,0.60100,-10.10500,0.49400,-9.63600,0.52500,-9.32100,0.67700,-9.58200,0.37500,-9.48200,0.43300,-9.35300,0.51400,-9.33700,0.43700,-9.01000,0.81100,-9.32700,0.59100,-9.43800,0.47900,0,-9999,-9999,-9999,28707012,5.06000,2.61000
21.37500,-101.82500,Leon,0,0.00010,1.00000,0.00080,0.00000,0.00090,5.00000,0.00150,93.00000,-9.98400,0.55200,-9.85300,0.34100,-9.86200,0.50300,-9.89200,0.79000,-10.60400,0.25400,-9.94300,0.48600,-10.21300,0.53100,-10.75900,0.42600,-12.23500,0.31000,-12.17700,0.34300,-11.72600,0.43600,-11.44600,0.26600,-11.34200,0.35900,-11.47900,0.26500,-11.81000,0.39600,-11.64700,0.60400,-11.60400,0.30000,-11.41200,0.29800,-12.01800,0.45400,-9.64500,0.42500,-9.32600,0.50400,-9.89600,0.65600,-9.49100,0.56500,-10.06400,0.48100,-9.58100,0.48400,-9.33200,0.62600,-9.55900,0.36400,-9.46000,0.41600,-9.34400,0.48900,-9.35600,0.41900,-9.01400,0.82900,-9.37100,0.63100,-9.46400,0.43700,0,-9999,-9999,-9999,28707012,7.62000,3.42000
21.37500,-101.77500,Leon,0,0.00000,11.00000,0.00000,54.00000,0.00000,69.00000,0.00000,121.00000,-9.97800,0.55600,-9.85600,0.32800,-9.83000,0.50400,-10.06200,1.04500,-10.57100,0.26600,-9.93700,0.49600,-10.13400,0.55200,-10.76300,0.43800,-12.21800,0.32600,-12.10500,0.32300,-11.70000,0.45500,-11.40600,0.23700,-11.30400,0.34800,-11.46800,0.25500,-11.73500,0.36300,-11.63300,0.55300,-11.59100,0.29100,-11.38600,0.31100,-11.93400,0.37400,-9.58500,0.41400,-9.33200,0.49300,-9.86900,0.58400,-9.53900,0.53500,-10.03400,0.48400,-9.52800,0.45500,-9.36800,0.60300,-9.54600,0.34600,-9.47200,0.40900,-9.37200,0.45700,-9.38000,0.39000,-9.04500,0.81500,-9.44000,0.63500,-9.50800,0.39200,0,-9999,-9999,-9999,28707012,12.26000,4.05000
21.37500,-101.72500,Leon,0,0.00000,24.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-9.98700,0.55900,-9.92000,0.31600,-9.81300,0.54300,-10.50900,2.24400,-10.56600,0.29400,-9.93900,0.50700,-10.05800,0.62100,-10.68100,0.44000,-12.22600,0.32500,-12.07400,0.32000,-11.73400,0.47800,-11.41900,0.22800,-11.31400,0.35400,-11.51600,0.26200,-11.73800,0.35200,-11.67600,0.53200,-11.61400,0.29100,-11.40600,0.32700,-11.91200,0.33300,-9.57700,0.41200,-9.34900,0.48700,-9.87500,0.54000,-9.63500,0.51200,-10.03400,0.48600,-9.50800,0.44000,-9.40600,0.60800,-9.55400,0.32500,-9.49800,0.40100,-9.43300,0.42200,-9.39500,0.36700,-9.09500,0.79200,-9.52800,0.59300,-9.54300,0.36300,0,-9999,-9999,-9999,28707012,9.65000,3.62000
21.37500,-101.67500,Leon,0,0.00000,182.00000,0.00000,0.00000,0.00000,0.00000,0.00010,33.00000,-9.97300,0.55900,-9.92800,0.31000,-9.79100,0.55600,-10.67400,2.72500,-10.54700,0.30100,-9.92400,0.50400,-10.01200,0.64700,-10.63300,0.44000,-12.31500,0.30400,-12.14400,0.31700,-11.86800,0.48400,-11.52900,0.26800,-11.43500,0.33600,-11.64400,0.25700,-11.85600,0.33800,-11.83100,0.51900,-11.73400,0.30200,-11.51300,0.34800,-12.01000,0.34300,-9.59800,0.41400,-9.38600,0.48900,-9.90100,0.50800,-9.73200,0.50900,-10.04900,0.49100,-9.53800,0.43300,-9.44900,0.60200,-9.56800,0.32500,-9.54400,0.39100,-9.49500,0.41100,-9.41200,0.36500,-9.16800,0.78400,-9.63500,0.48700,-9.59800,0.34800,0,-9999,-9999,-9999,28707012,11.28000,4.13000
21.37500,-101.62500,Leon,0,0.00010,99.00000,0.00010,145.00000,0.00010,188.00000,0.00010,173.00000,-9.98600,0.56200,-10.06600,0.29400,-9.80200,0.61500,-10.05100,0.96400,-10.60700,0.31300,-9.94200,0.52400,-10.00400,0.69400,-10.56000,0.38800,-12.47700,0.30400,-12.31500,0.32200,-12.10600,0.52500,-11.70800,0.33700,-11.65800,0.34200,-11.84200,0.28100,-12.08100,0.35500,-12.05600,0.54100,-11.95100,0.33900,-11.72700,0.37200,-12.21100,0.37700,-9.66600,0.43700,-9.45900,0.52300,-9.95600,0.51300,-9.82400,0.51600,-10.13700,0.51700,-9.60200,0.45200,-9.53300,0.60800,-9.60800,0.32700,-9.61100,0.38200,-9.61300,0.42400,-9.45300,0.37800,-9.30800,0.82900,-9.70100,0.50400,-9.71800,0.38300,0,-9999,-9999,-9999,28707012,11.16000,3.74000
21.37500,-101.57500,Leon,0,0.00000,72.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00000,-9.99500,0.56400,-10.10200,0.29100,-9.81300,0.62700,-10.06600,0.95900,-10.62900,0.31100,-9.95200,0.53400,-10.01700,0.69500,-10.56800,0.38700,-12.67100,0.31300,-12.55200,0.33600,-12.38300,0.56700,-11.96900,0.42600,-11.92300,0.39400,-12.11000,0.31000,-12.38200,0.37800,-12.30200,0.52800,-12.22700,0.42200,-12.01200,0.40700,-12.50100,0.41900,-9.87000,0.53300,-9.60700,0.62200,-10.21500,0.67800,-10.06500,0.64300,-10.39400,0.62800,-9.78400,0.53900,-9.80300,0.68900,-9.80000,0.36100,-9.74400,0.45400,-9.85000,0.52700,-9.58400,0.45300,-9.56500,0.95900,-9.84300,0.55700,-9.90200,0.44400,0,-9999,-9999,-9999,28707012,17.41000,4.71000
21.37500,-101.52500,Leon,0,0.00000,157.00000,0.00010,674.00000,0.00020,736.00000,0.00070,834.00000,-10.03000,0.57000,-10.24400,0.27900,-9.85600,0.67300,-10.12700,0.93800,-10.71700,0.30200,-9.99100,0.57300,-10.06900,0.69700,-10.59700,0.38400,-12.82900,0.35100,-12.74300,0.36500,-12.60800,0.60300,-12.16700,0.48000,-12.14500,0.43600,-12.31100,0.33700,-12.63600,0.41000,-12.49000,0.53800,-12.42000,0.49500,-12.21900,0.44300,-12.73500,0.45900,-10.28300,0.71000,-9.83900,0.76800,-10.67400,0.86000,-10.43800,0.81400,-10.87500,0.72200,-10.13800,0.72100,-10.17000,0.90400,-10.13900,0.48700,-10.03400,0.61400,-10.11600,0.66500,-9.92900,0.60400,-9.82700,0.99300,-10.24200,0.70100,-10.30500,0.56600,0,-9999,-9999,-9999,28707012,9.16000,3.22000
