latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
29.82500,103.47500,Leshan,1,0.00410,14102.00000,0.00690,13133.00000,0.00800,12987.00000,0.01530,12309.00000,-8.38600,0.30400,-8.53900,0.32100,-8.55100,0.25200,-8.54400,0.37500,-8.68100,0.22300,-8.46900,0.33800,-8.42000,0.34300,-8.47200,0.22000,-10.54800,0.39300,-10.74500,0.32900,-10.44800,0.40200,-10.61900,0.30000,-10.40600,0.33200,-10.43800,0.19300,-10.33200,0.30400,-10.47600,0.33700,-10.31700,0.39300,-10.24000,0.26200,-10.21000,0.30000,-8.00400,0.26300,-8.01400,0.30800,-7.83100,0.29000,-7.65600,0.23000,-7.73300,0.25400,-7.54500,0.29600,-7.58400,0.26400,-7.51100,0.22700,-7.59200,0.32700,-7.56300,0.25100,-7.61200,0.29500,-7.29000,0.36100,-7.26000,0.32300,-7.24600,0.32400,0,0.01050,4.15510,0.78490,26785426,29.50000,8.00000
29.82500,103.52500,Leshan,0,0.00030,6176.00000,0.00070,11619.00000,0.00200,4923.00000,0.00340,5897.00000,-8.48600,0.37800,-8.65200,0.36300,-8.60100,0.30600,-8.65900,0.40800,-8.77900,0.24300,-8.52700,0.37000,-8.48400,0.39200,-8.57400,0.25800,-10.56600,0.44000,-10.81500,0.37500,-10.49300,0.45300,-10.66800,0.29800,-10.43000,0.35900,-10.48200,0.22700,-10.36700,0.30800,-10.50500,0.35500,-10.33400,0.41400,-10.21100,0.28000,-10.18000,0.30000,-7.98100,0.31600,-7.98400,0.31100,-7.79800,0.29400,-7.61600,0.24400,-7.71100,0.25700,-7.51200,0.28800,-7.53400,0.26200,-7.47900,0.25500,-7.55600,0.33200,-7.48100,0.26800,-7.57800,0.30500,-7.25000,0.35600,-7.22200,0.32600,-7.20600,0.33400,0,0.00790,4.21630,0.39560,26785426,32.59000,8.15000
29.82500,103.57500,Leshan,1,0.00000,1717.00000,0.00140,6468.00000,0.00470,10640.00000,0.00700,9653.00000,-8.50700,0.39800,-8.67500,0.37900,-8.60100,0.32300,-8.68300,0.42700,-8.79800,0.24700,-8.53500,0.37300,-8.49700,0.40600,-8.59400,0.27200,-10.59000,0.49300,-10.87400,0.42700,-10.54100,0.51500,-10.72100,0.30400,-10.45100,0.39400,-10.53400,0.26500,-10.42400,0.33300,-10.53300,0.37100,-10.33600,0.44500,-10.18700,0.31600,-10.15300,0.32100,-7.96900,0.37600,-7.97000,0.33500,-7.76700,0.31400,-7.57700,0.26900,-7.67400,0.25200,-7.49800,0.29400,-7.49100,0.26000,-7.47400,0.28300,-7.52100,0.35400,-7.40700,0.28800,-7.50900,0.31800,-7.20200,0.34600,-7.15800,0.32600,-7.14800,0.36800,0,0.00800,3.64980,0.93080,26785426,31.57000,8.05000
29.82500,103.62500,Leshan,1,0.00060,19217.00000,0.00340,16094.00000,0.00920,12533.00000,0.01590,11973.00000,-8.56100,0.44900,-8.73100,0.42000,-8.60300,0.36600,-8.74300,0.47600,-8.84800,0.25600,-8.55600,0.37900,-8.53200,0.44300,-8.64600,0.30700,-10.62000,0.53000,-10.91500,0.46500,-10.57700,0.56800,-10.75300,0.31500,-10.48000,0.42800,-10.59500,0.28200,-10.46600,0.34800,-10.55700,0.37400,-10.34900,0.44600,-10.17400,0.36800,-10.14800,0.33900,-8.03000,0.39300,-7.98200,0.37600,-7.78200,0.35200,-7.60300,0.29100,-7.72400,0.23900,-7.53200,0.30500,-7.50400,0.25900,-7.51000,0.29700,-7.52700,0.38400,-7.41700,0.29200,-7.50900,0.33800,-7.22800,0.34000,-7.17600,0.33100,-7.17000,0.37300,0,0.01430,5.38750,1.41750,26785426,23.97000,7.34000
29.82500,103.67500,Leshan,0,0.00070,0.00000,0.00340,580.00000,0.00690,1171.00000,0.01090,1486.00000,-8.57100,0.46500,-8.74100,0.44200,-8.59400,0.39000,-8.76400,0.48100,-8.85500,0.25700,-8.55500,0.37700,-8.53400,0.46000,-8.65700,0.32400,-10.63600,0.54100,-10.93300,0.49300,-10.59900,0.60900,-10.77800,0.31700,-10.50200,0.45400,-10.63600,0.28300,-10.49900,0.33600,-10.56600,0.36000,-10.36500,0.45900,-10.17900,0.40100,-10.14100,0.35000,-8.13600,0.40600,-8.04400,0.40600,-7.83400,0.35900,-7.68500,0.30500,-7.85100,0.23500,-7.62000,0.29400,-7.57300,0.27000,-7.57400,0.30300,-7.60200,0.41000,-7.52800,0.30700,-7.61700,0.38900,-7.36600,0.32000,-7.27900,0.33600,-7.28200,0.35700,0,0.00850,3.86140,0.57630,26785426,28.07000,7.67000
29.82500,103.72500,Leshan,0,0.00010,13483.00000,0.00060,12577.00000,0.00070,9129.00000,0.00090,8848.00000,-8.58300,0.48500,-8.75500,0.46800,-8.58300,0.42000,-8.79100,0.48700,-8.86400,0.25800,-8.55500,0.37500,-8.53600,0.48000,-8.67000,0.34500,-10.63900,0.53300,-10.92900,0.50800,-10.60900,0.63300,-10.78500,0.31900,-10.51700,0.46100,-10.63900,0.28900,-10.50300,0.31300,-10.55900,0.33500,-10.37900,0.48100,-10.18100,0.42000,-10.13400,0.36000,-8.22500,0.42600,-8.09900,0.40100,-7.88000,0.35000,-7.74100,0.30800,-7.94400,0.24700,-7.67900,0.27100,-7.63700,0.27300,-7.63300,0.30100,-7.67400,0.42500,-7.63900,0.33800,-7.72600,0.42000,-7.50100,0.31400,-7.35000,0.33100,-7.36300,0.34600,0,0.00790,3.78760,0.60240,26785426,31.31000,8.18000
29.82500,103.77500,Leshan,0,0.00000,3153.00000,0.00010,10897.00000,0.00010,6767.00000,0.00100,7017.00000,-8.55300,0.48600,-8.73500,0.47700,-8.55500,0.44900,-8.80400,0.47100,-8.84700,0.25500,-8.53900,0.37300,-8.51100,0.49100,-8.65200,0.35600,-10.61500,0.52700,-10.89600,0.49300,-10.59100,0.62400,-10.76900,0.32400,-10.52200,0.44600,-10.62100,0.28700,-10.49100,0.29300,-10.54500,0.31800,-10.38500,0.49300,-10.18900,0.41300,-10.14600,0.35300,-8.26600,0.43500,-8.14600,0.38900,-7.90400,0.33900,-7.76600,0.29800,-7.99900,0.27200,-7.69400,0.26800,-7.67000,0.26900,-7.67200,0.30700,-7.72000,0.43500,-7.70300,0.36400,-7.78100,0.41500,-7.57000,0.31400,-7.37800,0.32800,-7.39700,0.35000,0,0.00760,3.48570,0.50760,26785426,31.17000,8.11000
29.82500,103.82500,Leshan,1,0.01230,41186.00000,0.05290,42074.00000,0.05980,40104.00000,0.07360,28787.00000,-8.53300,0.48600,-8.72200,0.48200,-8.53600,0.46700,-8.81200,0.46000,-8.83500,0.25300,-8.52900,0.37200,-8.49500,0.49800,-8.63900,0.36400,-10.56600,0.51100,-10.83700,0.47200,-10.55900,0.60500,-10.74100,0.32800,-10.52500,0.42300,-10.57900,0.27300,-10.46800,0.29300,-10.54400,0.30400,-10.39900,0.49700,-10.21300,0.39500,-10.17000,0.33900,-8.28100,0.43400,-8.17200,0.36500,-7.92200,0.30800,-7.77600,0.26700,-8.04200,0.29000,-7.71600,0.26900,-7.70900,0.26600,-7.71400,0.31200,-7.76700,0.43500,-7.75100,0.37000,-7.83100,0.40400,-7.63000,0.31700,-7.41200,0.33600,-7.42400,0.35500,0,0.05400,8.15000,8.01390,26785426,18.89000,6.51000
29.82500,103.87500,Leshan,0,0.01370,17408.00000,0.03170,19481.00000,0.03700,17711.00000,0.03900,9441.00000,-8.45300,0.48200,-8.66300,0.46800,-8.47800,0.48400,-8.80100,0.43300,-8.78700,0.24500,-8.48200,0.36200,-8.44400,0.49800,-8.58400,0.37000,-10.49400,0.49600,-10.76500,0.46700,-10.53600,0.58100,-10.70300,0.33600,-10.52200,0.41500,-10.51300,0.25400,-10.43200,0.30300,-10.55900,0.29800,-10.41500,0.48500,-10.23300,0.36700,-10.20000,0.34200,-8.28400,0.43000,-8.20100,0.33900,-7.93800,0.28000,-7.80400,0.25000,-8.11500,0.31200,-7.76400,0.27500,-7.79700,0.28500,-7.77000,0.31000,-7.83500,0.42200,-7.82000,0.35600,-7.90700,0.39200,-7.71400,0.32700,-7.47600,0.34400,-7.49600,0.37300,0,0.01010,2.82410,1.25400,26785426,29.63000,8.00000
29.82500,103.92500,Leshan,0,0.00000,1757.00000,0.00000,2028.00000,0.00000,2057.00000,0.00010,1926.00000,-8.42800,0.48000,-8.64400,0.46400,-8.46000,0.48900,-8.79700,0.42500,-8.77200,0.24300,-8.46700,0.35800,-8.42900,0.49800,-8.56800,0.37200,-10.42200,0.47300,-10.69600,0.47400,-10.50400,0.57600,-10.65500,0.35400,-10.51000,0.42200,-10.46400,0.25300,-10.39800,0.31100,-10.60200,0.30100,-10.41600,0.47000,-10.25400,0.34400,-10.22600,0.36100,-8.27900,0.41800,-8.22700,0.32200,-7.95300,0.26600,-7.84700,0.24600,-8.22000,0.32800,-7.82000,0.27100,-7.87800,0.30000,-7.84100,0.30900,-7.92100,0.41300,-7.92700,0.32800,-8.00900,0.40400,-7.79000,0.32400,-7.57900,0.36100,-7.62200,0.38400,0,0.00200,1.34770,0.12280,26785426,43.70000,8.59000
