latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
38.97500,-9.37500,Lisbon,1,0.01070,1634.00000,0.03980,2976.00000,0.07220,4402.00000,0.10080,7309.00000,-11.88200,0.37900,-11.77400,0.34700,-11.91500,0.76200,-11.64100,0.40100,-11.47500,0.24500,-11.21500,0.72500,-11.37000,0.58100,-11.33600,0.45500,-12.77100,0.32800,-12.79000,0.24900,-12.64900,0.25100,-12.60300,0.46000,-12.68600,0.25800,-12.75500,0.26700,-12.82900,0.28400,-12.50200,0.26800,-12.35900,0.23100,-12.66700,0.31300,-12.65500,0.28700,-10.43200,0.41500,-10.62000,0.29600,-10.76000,0.25400,-10.43700,0.27800,-10.50400,0.32900,-10.54500,0.31700,-10.26000,0.40900,-10.15000,0.52200,-10.63200,0.30500,-10.36000,0.31800,-10.48400,0.20600,-10.37500,0.45300,-10.50400,0.39300,-10.14800,0.53900,0,0.02670,6.33590,1.91740,24050532,13.53000,5.07000
38.97500,-9.32500,Lisbon,1,0.00930,1002.00000,0.02350,1884.00000,0.04550,2749.00000,0.06960,4487.00000,-10.80700,0.19600,-10.75000,0.21400,-10.82900,0.63300,-10.66300,0.32400,-10.50900,0.17100,-10.18200,0.55800,-10.34700,0.48100,-10.41600,0.32800,-11.70700,0.29900,-11.76100,0.21400,-11.59000,0.22600,-11.54000,0.41300,-11.58700,0.21600,-11.69400,0.26600,-11.78200,0.20600,-11.38500,0.31100,-11.31700,0.23600,-11.54500,0.27000,-11.54800,0.27500,-9.97300,0.30400,-10.15500,0.20100,-10.26000,0.20600,-10.04500,0.18500,-9.98100,0.25100,-10.06100,0.29400,-9.85400,0.37300,-9.65400,0.49500,-10.16800,0.22000,-9.96700,0.19900,-10.04700,0.21200,-9.88500,0.40500,-10.01000,0.28600,-9.73200,0.44600,0,0.01750,5.68040,1.31060,24050532,23.01000,6.53000
38.97500,-9.27500,Lisbon,1,0.00880,869.00000,0.02590,1598.00000,0.04280,2332.00000,0.07160,3810.00000,-10.53300,0.16000,-10.49300,0.18600,-10.54300,0.66600,-10.40700,0.31100,-10.25800,0.15300,-9.92000,0.52000,-10.08500,0.45200,-10.17300,0.30200,-11.00800,0.29700,-11.08600,0.22500,-10.92200,0.20900,-10.88200,0.38000,-10.88900,0.20300,-10.98100,0.21700,-11.06300,0.18700,-10.68900,0.32900,-10.65500,0.21100,-10.83500,0.27800,-10.83600,0.25200,-9.76900,0.28300,-9.97700,0.17500,-10.05000,0.17900,-9.87000,0.15500,-9.76700,0.23600,-9.87300,0.25800,-9.69200,0.36700,-9.47100,0.50300,-9.94500,0.20300,-9.78700,0.16500,-9.83100,0.21400,-9.63100,0.37600,-9.80600,0.24100,-9.56200,0.40100,0,0.01210,4.87320,0.82640,24050532,16.41000,5.60000
38.97500,-9.22500,Lisbon,1,0.00200,1475.00000,0.01360,2261.00000,0.04360,2950.00000,0.07440,4265.00000,-10.20400,0.15600,-10.16800,0.15500,-10.21300,0.61600,-10.15000,0.29300,-9.97900,0.14200,-9.62300,0.48900,-9.78100,0.43400,-9.90000,0.24100,-10.69400,0.30500,-10.75900,0.23000,-10.62200,0.21500,-10.55500,0.37100,-10.57600,0.19500,-10.64100,0.19700,-10.72800,0.16900,-10.36200,0.32900,-10.35300,0.18300,-10.48800,0.26000,-10.49600,0.22400,-9.68500,0.28100,-9.89400,0.17300,-9.97500,0.16400,-9.78500,0.16600,-9.74700,0.21600,-9.80700,0.24600,-9.65000,0.37400,-9.40700,0.50400,-9.87000,0.21100,-9.71300,0.17600,-9.76400,0.21100,-9.54900,0.35900,-9.74800,0.23500,-9.49500,0.38500,0,0.01400,5.96690,0.85370,24050532,8.17000,3.90000
38.97500,-9.17500,Lisbon,1,0.00130,1616.00000,0.01530,2217.00000,0.02890,2706.00000,0.05640,3414.00000,-9.98500,0.15700,-9.94800,0.13300,-9.99600,0.56000,-9.98500,0.28100,-9.79700,0.13600,-9.42700,0.46800,-9.58100,0.42400,-9.72200,0.19600,-10.61600,0.32200,-10.66800,0.23700,-10.55200,0.23100,-10.45600,0.37300,-10.50500,0.18500,-10.54900,0.19200,-10.65400,0.16700,-10.28300,0.31500,-10.29300,0.17300,-10.38300,0.23300,-10.41300,0.19500,-9.63600,0.28600,-9.81700,0.18100,-9.93400,0.16600,-9.70800,0.19100,-9.75500,0.19400,-9.76400,0.25800,-9.62600,0.38000,-9.37000,0.49500,-9.83000,0.21100,-9.67600,0.20000,-9.75400,0.21100,-9.51700,0.37100,-9.74100,0.23200,-9.44500,0.36900,0,0.01400,6.10700,0.80450,24050532,7.13000,3.51000
38.97500,-9.12500,Lisbon,1,0.00700,1140.00000,0.02210,1783.00000,0.04390,2339.00000,0.06160,3196.00000,-9.95600,0.15700,-9.91300,0.14200,-9.97000,0.51900,-9.95000,0.28500,-9.76900,0.14100,-9.40600,0.46600,-9.55300,0.41200,-9.69000,0.18300,-10.66200,0.33800,-10.71000,0.24800,-10.61000,0.23800,-10.50100,0.37400,-10.57400,0.18700,-10.60400,0.18800,-10.72200,0.18200,-10.35500,0.29000,-10.37100,0.17500,-10.42200,0.21000,-10.47800,0.17700,-9.54400,0.26000,-9.67600,0.18600,-9.82000,0.17100,-9.57400,0.20500,-9.63400,0.19200,-9.63100,0.26700,-9.50600,0.36500,-9.27300,0.48800,-9.71700,0.19300,-9.55700,0.19600,-9.67300,0.20700,-9.43200,0.37400,-9.64900,0.21300,-9.32600,0.35300,0,0.01370,5.45820,0.93710,24050532,8.89000,4.09000
38.97500,-9.07500,Lisbon,1,0.01160,3369.00000,0.03070,4899.00000,0.07350,6329.00000,0.11790,8918.00000,-9.88900,0.15700,-9.82800,0.16500,-9.91100,0.40100,-9.86000,0.30100,-9.70300,0.15600,-9.36300,0.46000,-9.48900,0.38000,-9.61400,0.14400,-10.81500,0.35600,-10.85700,0.24700,-10.77500,0.22700,-10.65700,0.38100,-10.75500,0.19000,-10.76500,0.18300,-10.89100,0.20700,-10.55500,0.27300,-10.55900,0.17700,-10.57600,0.18400,-10.64900,0.18000,-9.38200,0.20800,-9.49800,0.17600,-9.63600,0.16600,-9.41400,0.20100,-9.38600,0.20900,-9.40200,0.26100,-9.31800,0.31300,-9.10300,0.51000,-9.53600,0.17400,-9.33600,0.16000,-9.49600,0.22200,-9.30300,0.31100,-9.42400,0.19900,-9.14300,0.36500,0,0.01440,6.16330,1.08350,24050532,6.76000,3.38000
38.97500,-9.02500,Lisbon,1,0.01120,11984.00000,0.02850,10776.00000,0.04380,9944.00000,0.07290,8492.00000,-9.85500,0.15700,-9.79200,0.16400,-9.89000,0.36900,-9.82800,0.31000,-9.67300,0.15100,-9.33600,0.45100,-9.46100,0.37400,-9.58100,0.14200,-11.12300,0.37100,-11.13300,0.24000,-11.07500,0.20800,-10.92300,0.37200,-11.04900,0.19500,-11.04400,0.22500,-11.19600,0.22400,-10.89600,0.25700,-10.87100,0.20000,-10.87500,0.17200,-10.98700,0.19900,-9.31100,0.19700,-9.41900,0.18100,-9.51700,0.16500,-9.36700,0.19600,-9.26000,0.20800,-9.30000,0.23400,-9.22900,0.27500,-8.99800,0.47900,-9.47000,0.19800,-9.24200,0.19300,-9.38500,0.24300,-9.27700,0.31000,-9.30700,0.20700,-9.09100,0.36600,0,0.01560,6.57950,1.07230,24050532,8.51000,4.09000
38.97500,-8.97500,Lisbon,1,0.10060,30514.00000,0.14380,27244.00000,0.19600,24430.00000,0.25630,19315.00000,-10.16100,0.15600,-10.06400,0.12800,-10.27200,0.15600,-9.93400,0.70000,-9.96000,0.19500,-9.67300,0.47900,-9.78600,0.40100,-9.89500,0.11200,-11.49300,0.37800,-11.41300,0.25000,-11.38100,0.19500,-11.23900,0.37200,-11.34700,0.21800,-11.37700,0.28100,-11.54400,0.25400,-11.26400,0.24500,-11.21700,0.20600,-11.23400,0.16700,-11.37000,0.20900,-9.34400,0.20100,-9.44900,0.19300,-9.54100,0.18300,-9.40500,0.20600,-9.27000,0.21200,-9.32400,0.23700,-9.24100,0.26500,-9.01200,0.47200,-9.49700,0.22700,-9.26900,0.21500,-9.40600,0.26700,-9.30900,0.32100,-9.30700,0.21600,-9.10900,0.34300,0,0.02710,5.91760,3.19680,24050532,5.44000,3.49000
38.97500,-8.92500,Lisbon,1,0.00210,33.00000,0.01710,36.00000,0.04520,28.00000,0.06630,19.00000,-10.15600,0.15600,-10.05600,0.12400,-10.26700,0.16900,-9.93100,0.72300,-9.96000,0.19100,-9.67500,0.47600,-9.78700,0.40400,-9.89300,0.11000,-11.75000,0.37400,-11.64700,0.26700,-11.61000,0.18300,-11.47900,0.33200,-11.57300,0.22300,-11.62900,0.33600,-11.79600,0.27400,-11.54500,0.24800,-11.50800,0.22600,-11.50700,0.19900,-11.65100,0.23200,-9.47800,0.25500,-9.55900,0.22700,-9.64700,0.23400,-9.51600,0.24000,-9.33900,0.22400,-9.44000,0.28300,-9.38000,0.26700,-9.11900,0.47200,-9.60100,0.29400,-9.38700,0.28100,-9.48600,0.31300,-9.45800,0.41400,-9.38700,0.29000,-9.24300,0.32000,0,0.00350,1.69050,0.14360,24050532,5.83000,3.64000
